"Educator Race/Ethnicity Report for 2006-07"

"District","School","Race","Count","% of Total"
"Chester School District","Chester Elementary School","White",37,100.0
"Clinton School District","Abraham Pierson School","White",35,100.0
,"Jared Eliot School","White",58,100.0
,"Lewin G. Joel Jr. School","White",64,100.0
,"The Morgan School","White",67,100.0
"Colchester School District","Bacon Academy","Black or African American",1,1.1
,,"Hispanic",2,2.3
,,"White",85,96.6
,"Colchester Elementary School","White",59,100.0
,"Jack Jackter Intermediate School","White",59,100.0
,"William J. Johnston Middle School","White",66,98.5
,,"American Indian",1,1.5
"Colebrook School District","Colebrook Consolidated School","White",19,100.0
"Columbia School District","Horace W. Porter School","Hispanic",1,1.5
,,"White",65,98.5
"Common Ground High School District","Common Ground High School","Hispanic",1,7.7
,,"White",12,92.3
"Connecticut Technical High School System","A. I. Prince Technical High School","Asian",2,2.0
,,"Black or African American",21,21.0
,,"Hispanic",6,6.0
,,"White",71,71.0
,"Bristol Technical Education Center","Hispanic",2,11.1
,,"White",16,88.9
,"Bullard-Havens Technical High School","Asian",3,3.0
,,"Black or African American",7,6.9
,,"Hispanic",8,7.9
,,"White",83,82.2
,"E. C. Goodwin Technical High School","Asian",1,1.1
,,"Black or African American",6,6.8
,,"Hispanic",4,4.5
,,"White",77,87.5
,"Eli Whitney Technical High School","Asian",1,1.2
,,"Black or African American",13,15.3
,,"Hispanic",11,12.9
,,"White",60,70.6
,"Ella T. Grasso Southeastern Technical High School","Asian",2,2.6
,,"Black or African American",2,2.6
,,"Hispanic",2,2.6
,,"White",71,91.0
,,"American Indian",1,1.3
,"Emmett O'Brien Technical High School","Black or African American",1,1.6
,,"Hispanic",1,1.6
,,"White",57,93.4
,,"American Indian",2,3.3
,"H. C. Wilcox Technical High School","Black or African American",2,2.4
,,"Hispanic",7,8.2
,,"White",76,89.4
,"H. H. Ellis Technical High School","Asian",1,1.5
,,"Hispanic",2,2.9
,,"White",65,95.6
,"Henry Abbott Technical High School","Black or African American",2,2.6
,,"Hispanic",1,1.3
,,"White",73,94.8
,,"American Indian",1,1.3
,"Howell Cheney Technical High School","Black or African American",1,1.4
,,"Hispanic",5,7.2
,,"White",63,91.3
,"J. M. Wright Technical High School","Asian",1,2.1
,,"Black or African American",2,4.3
,,"Hispanic",3,6.4
,,"White",41,87.2
,"Norwich Technical High School","Asian",1,1.5
,,"Black or African American",1,1.5
,,"Hispanic",2,3.0
,,"White",62,92.5
,,"American Indian",1,1.5
,"Oliver Wolcott Technical High School","Asian",1,1.2
,,"Black or African American",2,2.4
,,"White",81,96.4
,"Platt Technical High School","Black or African American",2,2.3
,,"Hispanic",3,3.4
,,"White",82,94.3
,"Vinal Technical High School","Black or African American",1,1.3
,,"Hispanic",1,1.3
,,"White",75,97.4
,"W. F. Kaynor Technical High School","Black or African American",6,6.9
,,"Hispanic",3,3.4
,,"White",78,89.7
,"Windham Technical High School","Hispanic",2,2.9
,,"White",65,94.2
,,"American Indian",2,2.9
"Cooperative Educational Services","Academy of the Performing Arts - Part Time","White",1,100.0
,"C. E. S. Special Education","Black or African American",2,2.4
,,"White",80,97.6
,"Regional Center for the Arts - Part Time","White",1,100.0
,"Six-Six Magnet School","Asian",2,4.5
,,"Black or African American",3,6.8
,,"Hispanic",2,4.5
,,"White",37,84.1
"Cornwall School District","Cornwall Consolidated School","White",22,100.0
"Coventry School District","Capt. Nathan Hale School","Black or African American",1,2.0
,,"Hispanic",1,2.0
,,"White",47,95.9
,"Coventry Early Intervention Services","White",4,100.0
,"Coventry Grammar School","Hispanic",1,2.9
,,"White",34,97.1
,"Coventry High School","White",56,100.0
,"George Hersey Robertson School","White",39,100.0
"Cromwell School District","Cromwell High School","White",60,100.0
,"Cromwell Middle School","Black or African American",1,2.0
,,"Hispanic",1,2.0
,,"White",48,96.0
,"Edna C. Stevens School","Black or African American",1,2.6
,,"White",37,97.4
,"Woodside Intermediate School","Black or African American",1,2.6
,,"White",38,97.4
"Cross Cultural Academy District","Cross Cultural Academy","Asian",1,20.0
,,"White",4,80.0
"Danbury School District","Alternative Center For Excellence","Black or African American",1,7.7
,,"White",12,92.3
,"Broadview Middle School","Black or African American",3,3.2
,,"Hispanic",1,1.1
,,"White",91,95.8
,"Danbury High School","Asian",3,1.4
,,"Black or African American",7,3.2
,,"Hispanic",8,3.6
,,"White",202,91.8
,"Ellsworth Avenue School","Hispanic",1,2.9
,,"White",33,97.1
,"Great Plain School","Black or African American",4,11.8
,,"Hispanic",3,8.8
,,"White",27,79.4
,"Hayestown Avenue School","Black or African American",1,2.6
,,"White",38,97.4
,"King Street Intermediate School","Asian",1,3.4
,,"Black or African American",1,3.4
,,"Hispanic",1,3.4
,,"White",26,89.7
,"King Street Primary School","Hispanic",1,3.3
,,"White",29,96.7
,"Mill Ridge Educational Center","Black or African American",3,9.1
,,"White",30,90.9
,"Mill Ridge Primary School","White",29,100.0
,"Morris Street School","Hispanic",1,2.9
,,"White",33,97.1
,"Park Avenue School","Black or African American",1,2.6
,,"Hispanic",2,5.3
,,"White",35,92.1
,"Pembroke School","Black or African American",2,4.7
,,"Hispanic",2,4.7
,,"White",39,90.7
,"Rogers Park Middle School","Asian",1,1.0
,,"Black or African American",4,4.2
,,"Hispanic",7,7.3
,,"White",84,87.5
,"Shelter Rock School","Black or African American",5,15.6
,,"Hispanic",2,6.3
,,"White",25,78.1
,"South Street School","Asian",1,2.8
,,"Black or African American",1,2.8
,,"Hispanic",1,2.8
,,"White",33,91.7
,"Stadley Rough School","Black or African American",1,2.4
,,"Hispanic",1,2.4
,,"White",39,95.1
,"Western CT Academy of International Studies Elementary Magnet School","Black or African American",1,3.8
,,"Hispanic",4,15.4
,,"White",21,80.8
"Darien School District","Darien High School","Asian",3,2.4
,,"Hispanic",2,1.6
,,"White",120,96.0
,"Hindley Elementary School","Hispanic",1,2.0
,,"White",50,98.0
,"Holmes Elementary School","Asian",1,2.1
,,"White",46,97.9
,"Middlesex Middle School","White",122,100.0
,"Ox Ridge Elementary School","Asian",1,1.7
,,"Black or African American",1,1.7
,,"Hispanic",1,1.7
,,"White",55,94.8
,"Royle Elementary School","Hispanic",2,4.7
,,"White",41,95.3
,"Tokeneke Elementary School","White",40,100.0
"Deep River School District","Deep River Elementary School","Hispanic",3,7.1
,,"White",39,92.9
"Derby School District","Bradley School","White",37,100.0
,"Derby High School","Asian",3,6.0
,,"Black or African American",1,2.0
,,"Hispanic",1,2.0
,,"White",45,90.0
,"Irving School","Hispanic",1,2.4
,,"White",41,97.6
"East Granby School District","Allgrove School","White",26,100.0
,"East Granby High School","Black or African American",1,2.8
,,"White",35,97.2
,"East Granby Middle School","Black or African American",1,3.0
,,"White",32,97.0
,"R. Dudley Seymour School","White",17,100.0
"East Haddam School District","East Haddam Elementary School","White",44,100.0
,"Nathan Hale-Ray High School","White",39,100.0
,"Nathan Hale-Ray Middle School","Asian",1,2.3
,,"White",42,97.7
"East Hampton School District","Center School","White",28,100.0
,"East Hampton High School","White",49,100.0
,"East Hampton Middle School","Black or African American",2,4.7
,,"Hispanic",1,2.3
,,"White",40,93.0
,"Memorial School","White",51,100.0
"East Hartford School District","Anna E. Norris School","Black or African American",3,10.3
,,"White",26,89.7
,"Connecticut IB Academy","Asian",2,10.5
,,"Black or African American",2,10.5
,,"White",15,78.9
,"Dr. Franklin H. Mayberry School","Black or African American",2,5.1
,,"Hispanic",5,12.8
,,"White",32,82.1
,"Dr. John A. Langford School","Asian",1,3.6
,,"Black or African American",1,3.6
,,"Hispanic",2,7.1
,,"White",24,85.7
,"Dr. Thomas S. O'Connell School","Black or African American",1,2.9
,,"White",34,97.1
,"East Hartford High School","Asian",2,1.2
,,"Black or African American",6,3.6
,,"Hispanic",7,4.2
,,"White",152,91.0
,"East Hartford Middle School","Black or African American",5,4.9
,,"Hispanic",3,2.9
,,"White",94,91.3
,,"American Indian",1,1.0
,"Governor William Pitkin School","Asian",1,3.0
,,"Black or African American",4,12.1
,,"Hispanic",1,3.0
,,"White",27,81.8
,"Hockanum School","Black or African American",1,2.8
,,"Hispanic",1,2.8
,,"White",34,94.4
,"Joseph O. Goodwin School","Hispanic",1,3.7
,,"White",26,96.3
,"Robert J. O'Brien School","Asian",1,2.5
,,"Black or African American",2,5.0
,,"Hispanic",2,5.0
,,"White",35,87.5
,"Silver Lane School","Hispanic",2,7.4
,,"White",25,92.6
,"Stevens Alternate High School","White",11,100.0
,"Sunset Ridge School Elementary Academy for Arts and World Languages","Asian",1,2.5
,,"Black or African American",2,5.0
,,"White",37,92.5
,"Willowbrook Early Childhood","Black or African American",1,3.8
,,"White",25,96.2
,"Woodland School","White",28,100.0
"East Haven School District","Carbone School/East Haven Academy","White",21,100.0
,"D. C. Moore School","Hispanic",1,4.0
,,"White",24,96.0
,"Deer Run School","Hispanic",1,2.9
,,"White",33,97.1
,"Dominick H. Ferrara School","White",23,100.0
,"East Haven High School","Hispanic",2,2.0
,,"White",98,98.0
,"Grove J. Tuttle School","Hispanic",2,8.7
,,"White",21,91.3
,"Hays School","White",13,100.0
,"Joseph Melillo Middle School","White",45,100.0
,"Momauguin School","White",26,100.0
,"Overbrook Elementary School","White",15,100.0
,"Robert W. Carbone School","White",31,100.0
"East Lyme School District","East Lyme High School","Asian",1,0.8
,,"Hispanic",1,0.8
,,"White",118,98.3
,"East Lyme Middle School","Asian",1,1.1
,,"White",86,98.9
,"Flanders School","White",31,100.0
,"Lillie B. Haynes School","White",26,100.0
,"Niantic Center School","White",23,100.0
"East Windsor School District","Broad Brook Elementary School","White",47,100.0
,"East Windsor High School","Black or African American",1,2.1
,,"White",46,97.9
,"East Windsor Middle School","Hispanic",1,2.4
,,"White",41,97.6
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Arts at the Capitol Theater","White",2,100.0
,"EastConn Special Education","Asian",1,4.2
,,"Black or African American",1,4.2
,,"White",21,87.5
,,"American Indian",1,4.2
"Eastford School District","Eastford Elementary School","White",19,100.0
"Easton School District","Helen Keller Middle School","Hispanic",1,2.6
,,"White",38,97.4
,"Samuel Staples Elementary School","White",65,100.0
"Ellington School District","Center School","Hispanic",1,2.5
,,"White",39,97.5
,"Crystal Lake School","White",22,100.0
,"Ellington High School","Black or African American",2,3.0
,,"Hispanic",1,1.5
,,"White",64,95.5
,"Ellington Middle School","White",42,100.0
,"Windermere School","Asian",1,1.7
,,"White",57,98.3
"Elm City College Preparatory School","Elm City College Preparatory School","Asian",1,3.8
,,"Black or African American",6,23.1
,,"Hispanic",2,7.7
,,"White",17,65.4
"Enfield School District","Edgar H. Parkman School","White",35,100.0
,"Eli Whitney School","Asian",2,5.1
,,"White",37,94.9
,"Enfield High School","Black or African American",2,2.2
,,"Hispanic",1,1.1
,,"White",87,95.6
,,"American Indian",1,1.1
,"Enfield Street School","Hispanic",1,3.2
,,"White",30,96.8
,"Enrico Fermi High School","Hispanic",2,1.9
,,"White",101,98.1
,"Harriet Beecher Stowe School","Black or African American",1,3.2
,,"White",30,96.8
,"Hazardville Memorial School","Black or African American",1,2.9
,,"White",34,97.1
,"Head Start Program","White",7,100.0
,"Henry Barnard School","White",44,100.0
,"John F. Kennedy Middle School","Black or African American",1,1.0
,,"White",101,99.0
,"Nathan Hale School","Asian",1,4.0
,,"White",24,96.0
,"Prudence Crandall School","Asian",1,2.7
,,"White",36,97.3
,"Thomas G. Alcorn School","White",32,100.0
"Essex School District","Essex Elementary School","Hispanic",2,3.5
,,"White",55,96.5
"Explorations District","Explorations","White",7,100.0
"Fairfield School District","Burr Elementary School","Asian",2,4.9
,,"White",39,95.1
,"Dwight Elementary School","Hispanic",1,2.5
,,"White",39,97.5
,"Early Childhood Center","White",17,100.0
,"Fairfield Ludlowe High School","Black or African American",1,0.7
,,"Hispanic",4,2.8
,,"White",138,96.5
,"Fairfield Warde High School","Hispanic",4,3.0
,,"White",131,97.0
,"Fairfield Woods Middle School","Asian",1,1.4
,,"Hispanic",2,2.9
,,"White",66,95.7
,"Holland Hill School","Black or African American",1,2.9
,,"Hispanic",1,2.9
,,"White",33,94.3
,"Jennings School","Asian",1,2.4
,,"Hispanic",1,2.4
,,"White",39,95.1
,"McKinley School","Black or African American",2,4.0
,,"White",48,96.0
,"Mill Hill School","Black or African American",1,2.6
,,"Hispanic",1,2.6
,,"White",37,94.9
,"North Stratfield School","Hispanic",1,2.3
,,"White",42,97.7
,"Osborn Hill School","Asian",1,2.0
,,"Black or African American",1,2.0
,,"White",47,95.9
,"Riverfield School","Asian",1,2.3
,,"Black or African American",1,2.3
,,"White",42,95.5
,"Roger Ludlowe Middle School","Asian",1,1.0
,,"Hispanic",2,2.1
,,"White",93,96.9
,"Sherman School","White",41,100.0
,"Stratfield School","Asian",1,2.3
,,"White",42,97.7
,"Tomlinson Middle School","Asian",1,1.4
,,"Hispanic",1,1.4
,,"White",72,97.3
"Farmington School District","East Farms School","Black or African American",1,2.6
,,"Hispanic",1,2.6
,,"White",37,94.9
,"Farmington High School","Asian",1,0.7
,,"Black or African American",1,0.7
,,"Hispanic",4,2.9
,,"White",132,95.7
,"Irving A. Robbins Middle School","Asian",1,1.4
,,"Black or African American",2,2.7
,,"Hispanic",1,1.4
,,"White",69,94.5
,"Noah Wallace School","White",32,100.0
,"Union School","Black or African American",1,3.1
,,"White",31,96.9
,"West District School","Asian",1,3.1
,,"White",31,96.9
,"West Woods Upper Elementary School","Asian",1,1.6
,,"Hispanic",2,3.2
,,"White",60,95.2
"Franklin School District","Franklin Elementary School","White",23,100.0
"Glastonbury School District","Buttonball Lane School","White",62,100.0
,"Eastbury School","Asian",1,2.0
,,"Black or African American",1,2.0
,,"Hispanic",1,2.0
,,"White",48,94.1
,"Gideon Welles School","Black or African American",1,1.4
,,"Hispanic",1,1.4
,,"White",68,97.1
,"Glastonbury High School","Asian",1,0.6
,,"Black or African American",2,1.1
,,"Hispanic",3,1.7
,,"White",173,96.1
,,"American Indian",1,0.6
,"Hebron Avenue School","Black or African American",1,2.2
,,"Hispanic",1,2.2
,,"White",44,95.7
,"Hopewell School","Asian",2,3.3
,,"White",59,96.7
,"Naubuc School","Asian",1,2.3
,,"Black or African American",1,2.3
,,"Hispanic",1,2.3
,,"White",41,93.2
,"Smith Middle School","Hispanic",2,2.0
,,"White",99,98.0
"Granby School District","Frank M. Kearns Primary School","White",36,100.0
,"Granby Memorial High School","Black or African American",1,1.4
,,"Hispanic",1,1.4
,,"White",67,97.1
,"Granby Memorial Middle School","Hispanic",1,2.6
,,"White",37,97.4
,"Kelly Lane Primary School","White",31,100.0
,"Wells Road Intermediate School","White",31,100.0
"Greenwich School District","Central Middle School","Asian",1,1.5
,,"Black or African American",1,1.5
,,"Hispanic",1,1.5
,,"White",62,93.9
,,"American Indian",1,1.5
,"Cos Cob School","Hispanic",1,2.6
,,"White",38,97.4
,"Eastern Middle School","Asian",1,1.4
,,"Black or African American",3,4.1
,,"Hispanic",3,4.1
,,"White",66,90.4
,"Glenville School","Black or African American",1,2.4
,,"Hispanic",1,2.4
,,"White",39,95.1
,"Greenwich High School","Asian",5,1.8
,,"Black or African American",6,2.2
,,"Hispanic",12,4.4
,,"White",250,91.6
,"Hamilton Avenue School","Asian",2,4.5
,,"Black or African American",3,6.8
,,"Hispanic",2,4.5
,,"White",37,84.1
,"International School At Dundee","Asian",2,4.7
,,"Hispanic",5,11.6
,,"White",36,83.7
,"Julian Curtiss School","Black or African American",1,2.0
,,"Hispanic",2,4.1
,,"White",46,93.9
,"New Lebanon School","Asian",1,2.6
,,"Black or African American",1,2.6
,,"Hispanic",3,7.9
,,"White",33,86.8
,"North Mianus School","Asian",3,7.0
,,"Black or African American",1,2.3
,,"Hispanic",3,7.0
,,"White",36,83.7
,"North Street School","Black or African American",2,4.3
,,"White",45,95.7
,"Old Greenwich School","Hispanic",1,2.3
,,"White",42,97.7
,"Parkway School","Black or African American",2,4.7
,,"White",41,95.3
,"Riverside School","Black or African American",2,4.7
,,"Hispanic",1,2.3
,,"White",40,93.0
,"Western Middle School","Black or African American",4,6.6
,,"Hispanic",2,3.3
,,"White",55,90.2
"Griswold School District","Griswold Elementary School","White",75,100.0
,"Griswold High School","White",71,100.0
,"Griswold Middle School","White",44,100.0
"Groton School District","Carl C. Cutler Middle School","Asian",1,2.1
,,"Black or African American",2,4.2
,,"White",45,93.8
,"Charles Barnum School","Hispanic",2,5.4
,,"White",35,94.6
,"Claude Chester School","Asian",1,2.8
,,"Hispanic",1,2.8
,,"White",34,94.4
,"Colonel Ledyard School","White",20,100.0
,"Eastern Point School","White",41,100.0
,"Fitch Middle School","Asian",1,1.9
,,"Black or African American",2,3.8
,,"White",50,94.3
,"Groton Heights School","Black or African American",1,4.8
,,"White",20,95.2
,"Mary Morrisson School","Asian",1,2.5
,,"White",39,97.5
,"Noank School","Asian",1,2.9
,,"Black or African American",2,5.7
,,"Hispanic",1,2.9
,,"White",31,88.6
,"Pleasant Valley School","Asian",1,3.4
,,"White",28,96.6
