"Educator Race/Ethnicity Report for 2002-03"

"District","School","Race","Count","% of Total"
,,"White",73,82.0
,,"Asian",1,1.1
,"Bridgeport Regional Vocational Aquaculture School","Hispanic",1,5.6
,,"White",17,94.4
,"Bryant School","Hispanic",3,9.7
,,"White",27,87.1
,,"Asian",1,3.2
,"Central High School","American Indian",1,0.6
,,"Black or African American",21,11.8
,,"Hispanic",14,7.9
,,"White",141,79.2
,,"Asian",1,0.6
,"Cesar Batalla School","Black or African American",2,4.8
,,"Hispanic",21,50.0
,,"White",19,45.2
,"Classical Studies Academy","Black or African American",5,16.1
,,"Hispanic",1,3.2
,,"White",25,80.6
,"Columbus School","American Indian",1,1.6
,,"Black or African American",4,6.3
,,"Hispanic",11,17.5
,,"White",44,69.8
,,"Asian",3,4.8
,"Cross School","Black or African American",20,48.8
,,"White",21,51.2
,"Curiale School","Black or African American",4,6.8
,,"Hispanic",4,6.8
,,"White",51,86.4
,"Dunbar School","Black or African American",21,40.4
,,"Hispanic",3,5.8
,,"White",27,51.9
,,"Asian",1,1.9
,"Edison School","Black or African American",1,3.4
,,"White",27,93.1
,,"Asian",1,3.4
,"Garfield School","Black or African American",1,3.8
,,"Hispanic",4,15.4
,,"White",21,80.8
,"Geraldine Johnson School","Black or African American",2,11.1
,,"Hispanic",1,5.6
,,"White",15,83.3
,"Hall School","Black or African American",3,10.7
,,"White",24,85.7
,,"Asian",1,3.6
,"Hallen School","Black or African American",5,13.9
,,"White",30,83.3
,,"Asian",1,2.8
,"Harding High School","Black or African American",16,14.7
,,"Hispanic",12,11.0
,,"White",80,73.4
,,"Asian",1,0.9
,"High Horizons Magnet School","Black or African American",4,10.8
,,"White",33,89.2
,"Hooker School","Black or African American",7,17.1
,,"Hispanic",1,2.4
,,"White",32,78.0
,,"Asian",1,2.4
,"Jettie S. Tisdale School","Black or African American",13,33.3
,,"Hispanic",1,2.6
,,"White",25,64.1
,"Longfellow School","Black or African American",34,51.5
,,"Hispanic",2,3.0
,,"White",29,43.9
,,"Asian",1,1.5
,"Luis Munoz Marin School","Black or African American",8,10.8
,,"Hispanic",15,20.3
,,"White",51,68.9
,"Madison School","American Indian",1,1.9
,,"Black or African American",2,3.8
,,"Hispanic",1,1.9
,,"White",48,92.3
,"Maplewood Annex","Black or African American",1,4.0
,,"White",24,96.0
,"Multicultural Magnet School","Black or African American",3,7.9
,,"Hispanic",7,18.4
,,"White",27,71.1
,,"Asian",1,2.6
,"Newfield School","Black or African American",7,41.2
,,"Hispanic",2,11.8
,,"White",8,47.1
,"Park City Magnet School","Black or African American",6,15.0
,,"Hispanic",3,7.5
,,"White",29,72.5
,,"Asian",2,5.0
,"Read School","Black or African American",7,9.6
,,"Hispanic",1,1.4
,,"White",64,87.7
,,"Asian",1,1.4
,"Roosevelt School","Black or African American",11,14.9
,,"Hispanic",15,20.3
,,"White",46,62.2
,,"Asian",2,2.7
,"Skane Center","Black or African American",3,11.1
,,"Hispanic",2,7.4
,,"White",21,77.8
,,"Asian",1,3.7
,"Waltersville School","American Indian",1,1.8
,,"Black or African American",9,15.8
,,"Hispanic",13,22.8
,,"White",33,57.9
,,"Asian",1,1.8
,"Winthrop School","Black or African American",11,18.0
,,"Hispanic",5,8.2
,,"White",45,73.8
"Bristol School District","Bristol Central High School","Black or African American",3,2.7
,,"Hispanic",2,1.8
,,"White",105,94.6
,,"Asian",1,0.9
,"Bristol Eastern High School","Black or African American",2,1.9
,,"Hispanic",1,0.9
,,"White",104,96.3
,,"Asian",1,0.9
,"Chippens Hill Middle School","Black or African American",3,3.7
,,"Hispanic",1,1.2
,,"White",78,95.1
,"Clara T. O'Connell School","Hispanic",1,2.6
,,"White",37,94.9
,,"Asian",1,2.6
,"Clarence A. Bingham School","White",26,100.0
,"Edgewood School","Black or African American",2,5.9
,,"White",32,94.1
,"Ellen P. Hubbell School","Black or African American",1,2.6
,,"White",37,97.4
,"Greene-Hills School","White",31,96.9
,,"Asian",1,3.1
,"Ivy Drive School","White",33,100.0
,"John J. Jennings School","Hispanic",1,3.7
,,"White",26,96.3
,"Memorial Boulevard Middle School","White",53,100.0
,"Mountain View School","Black or African American",1,3.1
,,"White",31,96.9
,"Northeast Middle School","White",55,100.0
,"South Side School","Hispanic",3,6.7
,,"White",42,93.3
,"Stafford School","Black or African American",1,2.5
,,"White",39,97.5
"Brookfield School District","Brookfield High School","Hispanic",2,2.5
,,"White",78,97.5
,"Center Elementary School","Black or African American",1,2.6
,,"White",37,97.4
,"Huckleberry Hill Elementary School","Hispanic",1,1.8
,,"White",55,98.2
,"Whisconier Middle School","Hispanic",1,1.2
,,"White",82,98.8
"Brooklyn School District","Brooklyn Elementary School","White",47,100.0
,"Brooklyn Middle School","White",42,100.0
"Canaan School District","Lee H. Kellogg School","White",20,100.0
"Canterbury School District","Canterbury Elementary School","American Indian",1,3.7
,,"White",26,96.3
,"Dr. Helen Baldwin Middle School","Black or African American",1,3.8
,,"Hispanic",1,3.8
,,"White",24,92.3
"Canton School District","Canton High School","White",65,100.0
,"Canton Intermediate School","White",37,100.0
,"Cherry Brook Primary School","White",35,100.0
"Capitol Region Education Council","Glastonbury/East Hartford Magnet School","Hispanic",1,3.8
,,"White",23,88.5
,,"Asian",2,7.7
,"John J. Allison Polaris Center","Black or African American",3,3.1
,,"Hispanic",2,2.0
,,"White",93,94.9
,"Metropolitan Learning Center for Global and International Studies","Black or African American",5,11.1
,,"Hispanic",2,4.4
,,"White",37,82.2
,,"Asian",1,2.2
,"Montessori Magnet School","Black or African American",2,15.4
,,"Hispanic",3,23.1
,,"White",8,61.5
,"Two Rivers Magnet Middle School","Black or African American",1,3.1
,,"Hispanic",1,3.1
,,"White",29,90.6
,,"Asian",1,3.1
,"University of Hartford Magnet School","Black or African American",2,7.7
,,"Hispanic",1,3.8
,,"White",23,88.5
"Chaplin School District","Chaplin Elementary School","White",29,100.0
"Cheshire School District","Chapman School","White",35,100.0
,"Cheshire High School","Black or African American",2,1.6
,,"White",124,96.9
,,"Asian",2,1.6
,"Darcey School","White",31,100.0
,"Dodd Middle School","Hispanic",1,1.4
,,"White",71,98.6
,"Doolittle School","Hispanic",1,1.8
,,"White",53,96.4
,,"Asian",1,1.8
,"Highland School","White",73,100.0
,"Humiston School","White",10,100.0
,"Norton School","Black or African American",1,2.3
,,"White",43,97.7
"Chester School District","Chester Elementary School","White",38,100.0
"Clinton School District","Abraham Pierson School","White",36,100.0
,"Jared Eliot School","White",61,100.0
,"Lewin G. Joel Jr. School","White",64,100.0
,"The Morgan School","White",66,98.5
,,"Asian",1,1.5
"Colchester School District","Bacon Academy","Black or African American",1,1.2
,,"Hispanic",2,2.4
,,"White",81,96.4
,"Bacon Academy Preschool Program","White",6,100.0
,"Colchester Intermediate School","American Indian",3,7.1
,,"White",39,92.9
,"Jack Jackter Intermediate School","White",72,98.6
,,"Asian",1,1.4
,"William J. Johnston Middle School","American Indian",2,2.9
,,"White",68,97.1
"Colebrook School District","Colebrook Consolidated School","White",19,100.0
"Columbia School District","Horace W. Porter School","Hispanic",1,1.6
,,"White",62,98.4
"Common Ground High School District","Common Ground High School","Black or African American",4,30.8
,,"Hispanic",1,7.7
,,"White",8,61.5
"Connecticut Technical High School System","A. I. Prince Technical High School","Black or African American",25,27.2
,,"Hispanic",9,9.8
,,"White",58,63.0
,"Bristol Technical Education Center","American Indian",1,6.3
,,"White",15,93.8
,"Bullard-Havens Technical High School","American Indian",1,1.0
,,"Black or African American",8,7.9
,,"Hispanic",10,9.9
,,"White",81,80.2
,,"Asian",1,1.0
,"E. C. Goodwin Technical High School","Black or African American",6,6.7
,,"Hispanic",9,10.0
,,"White",74,82.2
,,"Asian",1,1.1
,"Eli Whitney Technical High School","Black or African American",11,13.9
,,"Hispanic",10,12.7
,,"White",58,73.4
,"Ella T. Grasso Southeastern Technical High School","American Indian",1,1.2
,,"Black or African American",2,2.5
,,"Hispanic",6,7.4
,,"White",71,87.7
,,"Asian",1,1.2
,"Emmett O'Brien Technical High School","American Indian",2,3.4
,,"Black or African American",3,5.2
,,"Hispanic",1,1.7
,,"White",52,89.7
,"H. C. Wilcox Technical High School","Black or African American",1,1.2
,,"Hispanic",6,7.4
,,"White",74,91.4
,"H. H. Ellis Technical High School","Hispanic",2,3.1
,,"White",63,96.9
,"Henry Abbott Technical High School","Hispanic",2,2.6
,,"White",76,97.4
,"Howell Cheney Technical High School","Black or African American",2,3.2
,,"Hispanic",1,1.6
,,"White",59,95.2
,"J. M. Wright Technical High School","Black or African American",5,8.8
,,"Hispanic",8,14.0
,,"White",43,75.4
,,"Asian",1,1.8
,"Norwich Technical High School","American Indian",2,2.9
,,"Black or African American",1,1.4
,,"White",65,94.2
,,"Asian",1,1.4
,"Oliver Wolcott Technical High School","Black or African American",3,4.1
,,"Hispanic",3,4.1
,,"White",68,91.9
,"Platt Technical High School","Black or African American",1,1.2
,,"Hispanic",1,1.2
,,"White",80,97.6
,"Vinal Technical High School","Black or African American",1,1.4
,,"White",72,98.6
,"W. F. Kaynor Technical High School","American Indian",1,1.2
,,"Black or African American",6,7.1
,,"Hispanic",3,3.5
,,"White",75,88.2
,"Windham Technical High School","American Indian",1,1.5
,,"Black or African American",1,1.5
,,"Hispanic",3,4.5
,,"White",61,92.4
"Cooperative Educational Services","C. E. S. Special Education","White",67,100.0
,"Six-Six Magnet School","Black or African American",2,5.9
,,"White",32,94.1
"Cornwall School District","Cornwall Consolidated School","White",24,96.0
,,"Asian",1,4.0
"Coventry School District","Capt. Nathan Hale School","American Indian",1,1.9
,,"Black or African American",1,1.9
,,"Hispanic",1,1.9
,,"White",49,94.2
,"Coventry Grammar School","Hispanic",1,2.6
,,"White",37,97.4
,"Coventry High School","Hispanic",1,1.9
,,"White",53,98.1
,"George Hersey Robertson School","White",39,100.0
"Cromwell School District","Cromwell High School","Black or African American",1,1.7
,,"White",58,98.3
,"Cromwell Middle School","Black or African American",1,1.6
,,"Hispanic",1,1.6
,,"White",59,96.7
,"Edna C. Stevens School","Black or African American",1,1.8
,,"White",56,98.2
"Danbury School District","Alternative Center For Excellence","Black or African American",1,7.7
,,"White",12,92.3
,"Broadview Middle School","Black or African American",5,5.2
,,"White",91,94.8
,"Danbury High School","Black or African American",8,3.7
,,"Hispanic",3,1.4
,,"White",203,94.0
,,"Asian",2,0.9
,"Ellsworth Avenue School","Black or African American",3,8.6
,,"Hispanic",1,2.9
,,"White",31,88.6
,"Great Plain School","Black or African American",2,6.5
,,"Hispanic",1,3.2
,,"White",28,90.3
,"Hayestown Avenue School","Black or African American",1,2.3
,,"Hispanic",2,4.7
,,"White",40,93.0
,"King Street Intermediate School","Black or African American",1,3.3
,,"White",29,96.7
,"King Street Primary School","Black or African American",1,3.2
,,"Hispanic",1,3.2
,,"White",29,93.5
,"Mill Ridge Educational Center","Black or African American",2,5.4
,,"White",35,94.6
,"Mill Ridge Primary School","Hispanic",1,2.9
,,"White",34,97.1
,"Morris Street School","Black or African American",1,3.3
,,"Hispanic",1,3.3
,,"White",27,90.0
,,"Asian",1,3.3
,"Park Avenue School","Black or African American",1,2.7
,,"Hispanic",2,5.4
,,"White",34,91.9
,"Pembroke School","Black or African American",1,2.6
,,"Hispanic",1,2.6
,,"White",37,94.9
,"Rogers Park Middle School","Black or African American",5,5.4
,,"Hispanic",5,5.4
,,"White",82,88.2
,,"Asian",1,1.1
,"Shelter Rock School","American Indian",1,2.9
,,"Black or African American",4,11.8
,,"Hispanic",1,2.9
,,"White",28,82.4
,"South Street School","Black or African American",1,3.2
,,"White",29,93.5
,,"Asian",1,3.2
,"Stadley Rough School","Black or African American",1,2.7
,,"White",36,97.3
"Darien School District","Darien High School","Black or African American",1,1.0
,,"Hispanic",1,1.0
,,"White",94,96.9
,,"Asian",1,1.0
,"Hindley Elementary School","Hispanic",1,2.1
,,"White",46,97.9
,"Holmes Elementary School","White",45,100.0
,"Middlesex Middle School","White",111,99.1
,,"Asian",1,0.9
,"Ox Ridge Elementary School","Hispanic",1,2.1
,,"White",46,95.8
,,"Asian",1,2.1
,"Royle Elementary School","White",44,100.0
,"Tokeneke Elementary School","White",38,100.0
"Deep River School District","Deep River Elementary School","White",41,100.0
"Derby School District","Bradley School","White",33,100.0
,"Derby High School","Black or African American",1,1.9
,,"White",51,98.1
,"Irving School","Hispanic",1,2.6
,,"White",38,97.4
"East Granby School District","Allgrove School","White",27,100.0
,"East Granby High School","Black or African American",2,6.7
,,"White",28,93.3
,"East Granby Middle School","Black or African American",1,3.2
,,"Hispanic",1,3.2
,,"White",29,93.5
,"R. Dudley Seymour School","Hispanic",1,5.3
,,"White",18,94.7
"East Haddam School District","East Haddam Elementary School","White",49,100.0
,"Nathan Hale-Ray High School","White",40,100.0
,"Nathan Hale-Ray Middle School","White",44,100.0
"East Hampton School District","Center School","White",28,100.0
,"East Hampton High School","White",48,100.0
,"East Hampton Middle School","Hispanic",1,2.4
,,"White",41,97.6
,"Memorial School","White",51,100.0
"East Hartford School District","Anna E. Norris School","Black or African American",2,7.1
,,"Hispanic",1,3.6
,,"White",25,89.3
,"Dr. Franklin H. Mayberry School","Black or African American",4,11.1
,,"Hispanic",2,5.6
,,"White",30,83.3
,"Dr. John A. Langford School","Black or African American",1,3.4
,,"White",28,96.6
,"Dr. Thomas S. O'Connell School","White",31,100.0
,"East Hartford High School","Black or African American",6,3.3
,,"Hispanic",2,1.1
,,"White",168,92.8
,,"Asian",5,2.8
,"East Hartford Middle School","American Indian",1,0.9
,,"Black or African American",6,5.4
,,"Hispanic",1,0.9
,,"White",102,91.9
,,"Asian",1,0.9
,"Governor William Pitkin School","Black or African American",2,8.0
,,"White",23,92.0
,"Hockanum School","Black or African American",1,3.2
,,"White",30,96.8
,"Joseph O. Goodwin School","White",27,96.4
,,"Asian",1,3.6
,"Robert J. O'Brien School","Black or African American",3,7.9
,,"Hispanic",1,2.6
,,"White",33,86.8
,,"Asian",1,2.6
,"Silver Lane School","Hispanic",1,3.3
,,"White",29,96.7
,"Sunset Ridge School Elementary Academy for Arts and World Languages","Black or African American",2,4.3
,,"White",44,93.6
,,"Asian",1,2.1
,"Willowbrook Early Childhood","Black or African American",1,4.2
,,"White",23,95.8
,"Woodland School","White",23,100.0
"East Haven School District","Carbone School/East Haven Academy","White",21,100.0
,"D. C. Moore School","White",24,100.0
,"Deer Run School","White",32,100.0
,"Dominick H. Ferrara School","White",21,100.0
,"East Haven High School","Hispanic",1,1.0
,,"White",95,99.0
,"Grove J. Tuttle School","Hispanic",1,4.0
,,"White",24,96.0
,"Hays School","White",14,100.0
,"Joseph Melillo Middle School","Hispanic",1,2.2
,,"White",45,97.8
,"Momauguin School","White",26,100.0
,"Overbrook Elementary School","White",14,100.0
,"Pathways","White",1,100.0
,"Robert W. Carbone School","White",29,100.0
"East Lyme School District","East Lyme High School","Black or African American",1,0.9
,,"Hispanic",1,0.9
,,"White",108,97.3
,,"Asian",1,0.9
,"East Lyme Middle School","White",86,98.9
,,"Asian",1,1.1
,"Flanders School","Hispanic",1,2.5
,,"White",38,95.0
,,"Asian",1,2.5
,"Lillie B. Haynes School","White",31,100.0
,"Niantic Center School","White",32,100.0
"East Windsor School District","Broad Brook Elementary School","White",41,100.0
,"East Windsor High School","White",45,100.0
,"East Windsor Middle School","Hispanic",2,4.3
,,"White",45,95.7
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","EastConn Special Education","American Indian",1,3.1
,,"White",31,96.9
"Eastford School District","Eastford Elementary School","White",21,100.0
"Easton School District","Helen Keller Middle School","Hispanic",2,4.5
,,"White",42,95.5
,"Samuel Staples Elementary School","Hispanic",1,1.9
,,"White",52,98.1
"EdAdvance","EdAdvance Headstart","White",1,100.0
"Ellington School District","Center School","Hispanic",1,2.9
,,"White",33,97.1
,"Crystal Lake School","White",24,100.0
,"Ellington High School","Black or African American",1,1.5
,,"Hispanic",1,1.5
,,"White",63,96.9
,"Ellington Middle School","White",42,100.0
,"Windermere School","Hispanic",1,1.5
,,"White",65,97.0
,,"Asian",1,1.5
"Enfield School District","Edgar H. Parkman School","White",37,97.4
,,"Asian",1,2.6
,"Eli Whitney School","Black or African American",1,2.6
,,"White",36,94.7
,,"Asian",1,2.6
,"Enfield High School","American Indian",1,1.0
,,"Hispanic",1,1.0
,,"White",95,97.9
,"Enfield Street School","White",32,100.0
,"Enrico Fermi High School","Black or African American",2,1.9
,,"Hispanic",2,1.9
,,"White",104,96.3
,"Harriet Beecher Stowe School","Black or African American",1,3.1
,,"White",31,96.9
,"Hazardville Memorial School","Black or African American",1,2.7
,,"White",36,97.3
,"Head Start Program","White",8,100.0
,"Henry Barnard School","White",36,100.0
,"John F. Kennedy Middle School","White",106,100.0
,"Nathan Hale School","White",31,96.9
,,"Asian",1,3.1
,"Prudence Crandall School","White",36,100.0
,"Thomas G. Alcorn School","Hispanic",1,2.9
,,"White",34,97.1
"Essex School District","Essex Elementary School","Hispanic",1,2.0
,,"White",48,98.0
"Explorations District","Explorations","White",7,100.0
"Fairfield School District","Dwight Elementary School","White",43,95.6
,,"Asian",2,4.4
,"Early Childhood Center","White",18,100.0
,"Fairfield Warde High School","American Indian",1,0.5
,,"Black or African American",1,0.5
,,"Hispanic",6,2.7
,,"White",211,96.3
,"Fairfield Woods Middle School","White",74,98.7
,,"Asian",1,1.3
,"Holland Hill School","Black or African American",1,2.7
,,"Hispanic",1,2.7
,,"White",35,94.6
,"Jennings School","Hispanic",1,2.4
,,"White",41,97.6
,"McKinley School","White",39,100.0
,"Mill Hill School","Black or African American",1,2.4
,,"Hispanic",1,2.4
,,"White",40,95.2
,"North Stratfield School","White",40,95.2
,,"Asian",2,4.8
,"Osborn Hill School","White",44,95.7
,,"Asian",2,4.3
,"Riverfield School","White",40,100.0
,"Roger Ludlowe Middle School","Hispanic",1,1.1
,,"White",93,98.9
,"Sherman School","White",39,100.0
,"Stratfield School","White",38,95.0
,,"Asian",2,5.0
,"Tomlinson Middle School","White",68,98.6
,,"Asian",1,1.4
"Farmington School District","East Farms School","Black or African American",1,2.6
,,"Hispanic",1,2.6
,,"White",37,94.9
,"Farmington High School","Black or African American",1,0.8
,,"Hispanic",4,3.1
,,"White",121,95.3
,,"Asian",1,0.8
,"Irving A. Robbins Middle School","Black or African American",2,3.0
,,"Hispanic",2,3.0
,,"White",63,94.0
,"Noah Wallace School","White",45,100.0
,"Union School","Black or African American",1,3.2
,,"White",30,96.8
,"West District School","White",28,96.6
,,"Asian",1,3.4
,"West Woods Upper Elementary School","Hispanic",2,3.1
,,"White",62,95.4
,,"Asian",1,1.5
"Franklin School District","Franklin Elementary School","White",20,100.0
"Glastonbury School District","Buttonball Lane School","White",59,100.0
,"Eastbury School","Hispanic",1,2.4
,,"White",40,97.6
,"Gideon Welles School","Hispanic",1,1.5
,,"White",65,98.5
,"Glastonbury High School","American Indian",1,0.6
,,"Black or African American",3,1.8
,,"Hispanic",4,2.4
,,"White",159,95.2
,"Hebron Avenue School","Black or African American",2,4.9
,,"White",39,95.1
,"Hopewell School","Hispanic",1,1.8
,,"White",55,96.5
,,"Asian",1,1.8
,"Naubuc School","Black or African American",1,2.2
,,"Hispanic",1,2.2
,,"White",44,95.7
,"Smith Middle School","Hispanic",3,3.0
,,"White",96,97.0
"Granby School District","Frank M. Kearns Primary School","White",35,100.0
,"Granby Memorial High School","Black or African American",1,1.7
,,"White",59,98.3
,"Granby Memorial Middle School","Black or African American",2,3.9
,,"Hispanic",1,2.0
,,"White",48,94.1
,"Kelly Lane Primary School","White",26,100.0
,"Wells Road Intermediate School","White",22,100.0
"Greenwich School District","Central Middle School","American Indian",1,1.3
,,"Black or African American",2,2.7
,,"Hispanic",1,1.3
,,"White",71,94.7
,"Cos Cob School","Black or African American",1,2.4
,,"White",39,95.1
,,"Asian",1,2.4
,"Eastern Middle School","Black or African American",2,2.8
,,"Hispanic",1,1.4
,,"White",68,95.8
,"Glenville School","White",46,100.0
,"Greenwich High School","Black or African American",3,1.2
,,"Hispanic",7,2.8
,,"White",235,94.8
,,"Asian",3,1.2
,"Hamilton Avenue School","Black or African American",2,5.1
,,"Hispanic",2,5.1
,,"White",33,84.6
,,"Asian",2,5.1
,"International School At Dundee","Black or African American",2,5.6
,,"Hispanic",3,8.3
,,"White",28,77.8
,,"Asian",3,8.3
,"Julian Curtiss School","Black or African American",1,2.5
,,"White",39,97.5
,"New Lebanon School","Hispanic",2,6.1
,,"White",31,93.9
,"North Mianus School","Black or African American",1,2.4
,,"Hispanic",2,4.9
,,"White",35,85.4
,,"Asian",3,7.3
,"North Street School","Black or African American",1,2.0
,,"White",48,98.0
,"Old Greenwich School","Hispanic",1,2.3
,,"White",40,93.0
,,"Asian",2,4.7
,"Parkway School","Black or African American",2,4.3
,,"Hispanic",1,2.2
,,"White",42,91.3
,,"Asian",1,2.2
,"Riverside School","Black or African American",1,2.4
,,"Hispanic",1,2.4
,,"White",40,95.2
,"Western Middle School","American Indian",1,1.4
,,"Black or African American",4,5.7
,,"Hispanic",1,1.4
,,"White",63,90.0
,,"Asian",1,1.4
"Griswold School District","Griswold Elementary School","White",54,98.2
,,"Asian",1,1.8
,"Griswold High School","White",69,100.0
,"Griswold Middle School","White",37,100.0
"Groton School District","Carl C. Cutler Middle School","Black or African American",1,2.1
,,"Hispanic",1,2.1
,,"White",45,95.7
,"Charles Barnum School","Hispanic",2,5.7
,,"White",33,94.3
,"Claude Chester School","Black or African American",1,2.9
,,"White",34,97.1
,"Colonel Ledyard School","Black or African American",1,5.3
,,"White",18,94.7
,"Eastern Point School","White",40,100.0
,"Fitch Middle School","Black or African American",2,3.7
,,"Hispanic",1,1.9
,,"White",51,94.4
,"Groton Heights School","Black or African American",1,5.3
,,"White",18,94.7
,"Mary Morrisson School","White",35,100.0
,"Noank School","Black or African American",1,2.9
,,"Hispanic",1,2.9
,,"White",33,94.3
,"Pleasant Valley School","White",33,97.1
,,"Asian",1,2.9
,"Robert E. Fitch High School","American Indian",1,0.8
,,"Black or African American",3,2.5
,,"Hispanic",1,0.8
,,"White",112,94.1
,,"Asian",2,1.7
,"S. B. Butler School","White",35,100.0
,"West Side Middle School","Black or African American",2,4.7
,,"Hispanic",1,2.3
,,"White",39,90.7
,,"Asian",1,2.3
"Guilford School District","A. Baldwin Middle School","White",57,100.0
,"A. W. Cox School","Black or African American",1,2.9
,,"White",34,97.1
,"Calvin Leete School","White",28,100.0
,"E. C. Adams Middle School","Hispanic",1,1.6
,,"White",63,98.4
,"Guilford High School","Black or African American",1,0.9
,,"White",112,99.1
,"Guilford Lakes School","White",41,100.0
,"Melissa Jones School","White",33,100.0
"Hamden School District","Bear Path School","White",25,96.2
,,"Asian",1,3.8
,"Church Street School","Black or African American",3,8.1
,,"Hispanic",1,2.7
,,"White",33,89.2
,"Dunbar Hill School","Black or African American",1,3.1
,,"White",31,96.9
,"Hamden High School","Black or African American",7,3.9
,,"Hispanic",3,1.7
,,"White",167,93.8
,,"Asian",1,0.6
,"Hamden Middle School","Black or African American",10,9.8
,,"Hispanic",6,5.9
,,"White",85,83.3
,,"Asian",1,1.0
,"Helen Street School","Black or African American",2,6.7
,,"White",28,93.3
,"Ridge Hill School","Black or African American",2,6.3
,,"Hispanic",1,3.1
,,"White",29,90.6
,"Shepherd Glen School","Black or African American",2,7.4
,,"White",25,92.6
,"Spring Glen School","Black or African American",3,10.3
,,"Hispanic",1,3.4
,,"White",24,82.8
,,"Asian",1,3.4
,"West Woods School","Hispanic",1,2.6
,,"White",37,97.4
"Hampton School District","Hampton Elementary School","American Indian",1,4.3
,,"White",22,95.7
"Hartford School District","Asian Studies Academy","Black or African American",1,2.0
,,"Hispanic",2,4.0
,,"White",46,92.0
,,"Asian",1,2.0
,"Barnard-Brown School","Black or African American",3,6.5
,,"Hispanic",16,34.8
,,"White",27,58.7
,"Batchelder School","Black or African American",10,18.2
,,"Hispanic",3,5.5
,,"White",42,76.4
,"Breakthrough Magnet School","Black or African American",1,5.9
,,"Hispanic",2,11.8
,,"White",14,82.4
,"Bulkeley High School Lower School","Black or African American",13,8.7
,,"Hispanic",28,18.7
,,"White",108,72.0
