"Find School/District Results"

"OrganizationType","District","OrganizationCode","OrganizationName","Street","City","State","ZIP","Phone","Fax","Website","Education Program","Program Type","Inter-District Magnet","Pre Kindergarten","Kindergarten","Grade 1","Grade 2","Grade 3","Grade 4","Grade 5","Grade 6","Grade 7","Grade 8","Grade 9","Grade 10","Grade 11","Grade 12"
"Nonpublic Elementary and Secondary Schools",,"0280182","Alternative Services-CT, Inc. (Vocational Program)","661 Windham Road","Windham","CT","06266","860-942-8270 x23","860-942-8274",,"TVSP",,,"0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Nonpublic Elementary and Secondary Schools",,"1550361","American School for the Deaf","139 North Main Street","West Hartford","CT","06107","860-570-2300","860-570-2201",,"APSEP",,,"1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Nonpublic Elementary and Secondary Schools",,"1030121","Anchor Academy","P.O. Box 774","Norwalk","CT","06852","203-807-5340",,,"Standard Non-Public",,,"0","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Nonpublic Elementary and Secondary Schools",,"0100161","Arch Bridge School","21 Arch Bridge Road","Bethlehem","CT","06751","203-266-8031","203-266-8035",,"APSEP",,,"0","0","1","1","1","1","1","1","1","1","1","1","1","1"
"Nonpublic Elementary and Secondary Schools",,"8360521","Arms Acres","75 Seminary Hill Road","Carmel","NY","10512","845-225-3400",,,"Standard Non-Public",,,,,,,,,,,,,,,,
"Nonpublic Elementary and Secondary Schools",,"0510221","Assumption Catholic School","605 Stratfield Road","Fairfield","CT","06825","203-334-6271","203-382-0399","www","Standard Non-Public",,,"1","1","1","1","1","1","1","1","1","1","0","0","0","0"
"Nonpublic Elementary and Secondary Schools",,"0775121","Assumption Early Learning Center","27 South Adams Street","Manchester","CT","06040","860-649-0889","860-643-0559",,"Standard Non-Public",,,"1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"Nonpublic Elementary and Secondary Schools",,"0020121","Assumption-Ansonia","51 North Cliff Street","Ansonia","CT","06401","203-734-0855","203-734-5521","www.assumptions.homestead.com/assumptions.html","Standard Non-Public",,,"1","1","1","1","1","1","1","1","1","1","0","0","0","0"
"Nonpublic Elementary and Secondary Schools",,"8500561","Austine School for the Deaf","60 Austine Drive","Brattleboro","VT","05301","802-258-9500",,,"APSEP",,,,,,,,,,,,,,,,
"Nonpublic Elementary and Secondary Schools",,"0046121","Avon Old Farms School","500 Old Farms Road","Avon","CT","06001","860-404-4271","860-404-4135","www.avonoldfarms.com","Standard Non-Public",,,"0","0","0","0","0","0","0","0","0","0","1","1","1","1"
"Nonpublic Elementary and Secondary Schools",,"0020382","BHcare","435 Main Street/Box 658","Ansonia","CT","06401","203-736-2601 x1308","203-736-2641",,"TVSP",,,"0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Nonpublic Elementary and Secondary Schools",,"1510321","Bais Yaakov of Waterbury","66 Buckingham Street","Waterbury","CT","06710","203-805-8401",,,"Standard Non-Public",,,"0","0","0","0","0","0","0","0","0","0","1","1","1","1"
"Nonpublic Elementary and Secondary Schools",,"8340161","Bancroft NeuroHealth","Hopkins Lane","Haddonfield","NJ","08033","856-429-5637",,,"APSEP",,,,,,,,,,,,,,,,
"Nonpublic Elementary and Secondary Schools",,"1520221","Baptist Bible Academy","1144 Hartford Turnpike","Waterford","CT","06385","860-442-0277","860-442-9150",,"Standard Non-Public",,,"0","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Nonpublic Elementary and Secondary Schools",,"0570821","Beacon School-Greenwich","44 Commerce Road","Greenwich","CT","06902","203-661-1609",,,"Standard Non-Public",,,"0","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Nonpublic Elementary and Secondary Schools",,"1351121","Beacon School-Stamford","111 W. North Street","Stamford","CT","06902","203-200-7244",,,"Standard Non-Public",,,"0","0","0","0","1","1","1","1","1","1","1","1","1","1"
"Nonpublic Elementary and Secondary Schools",,"8230121","Becket Family of Services - Androscoggin Learning & Transition","PO Box 1779","Lewiston","ME","04240","207-344-6226",,,"APSEP",,,"0","0","0","0","0","0","0","0","1","1","1","1","1","1"
"Nonpublic Elementary and Secondary Schools",,"8330221","Becket Family of Services-East Haverhill Academy","2056 Mount Moosilauke Hwy","Pike","NH","03780","603-536-1102",,,"Standard Non-Public",,,"0","0","0","0","0","0","0","0","0","1","1","1","1","1"
"Nonpublic Elementary and Secondary Schools",,"0700182","Behavior Management, LLC","33 Bernhard Road","North Haven","CT","06473","203-785-9110","203-785-9338",,"TVSP",,,"0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Nonpublic Elementary and Secondary Schools",,"8250721","Bellingham Employment Program",,,,,"x-",,,"Standard Non-Public",,,,,,,,,,,,,,,,
"Nonpublic Elementary and Secondary Schools",,"1550561","Ben Bronz Academy","141 North Main Street","West Hartford","CT","06107","860-236-5807","860-233-9945",,"APSEP",,,"0","0","0","1","1","1","1","1","1","1","1","1","1","1"
"Nonpublic Elementary and Secondary Schools",,"1480461","Benhaven Academy","50 North Plains Highway","Wallingford","CT","06492","203-774-0008","203-774-0031",,"APSEP",,,"0","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Nonpublic Elementary and Secondary Schools",,"1010221","Benhaven Individualized Bridge Program","187 Half Mile Rd.","North Haven","CT","06473","203-793-1905","203-793-1909",,"TVSP",,,"0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Nonpublic Elementary and Secondary Schools",,"1480321","Benhaven Individualized Transition Services","50 North Plains Highway","Wallingford","CT","06492","203-774-0008","203-774-0031","n/a","TVSP",,,"0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Nonpublic Elementary and Secondary Schools",,"1480161","Benhaven School","125 North Plains Industrial Road","Wallingford","CT","06492","203-793-1905","203-793-1909",,"APSEP",,,"0","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Nonpublic Elementary and Secondary Schools",,"8500161","Bennington School","192 Fairview Street","Bennington","VT","05201","802-447-1557",,,"APSEP",,,,,,,,,,,,,,,,
"Nonpublic Elementary and Secondary Schools",,"0110121","Bess & Paul Sigel Hebrew Academy","53 Gabb Road","Bloomfield","CT","06002","860-243-8333","860-243-3986",,"Standard Non-Public",,,"1","1","1","1","1","1","1","1","1","1","0","0","0","0"
"Nonpublic Elementary and Secondary Schools",,"0140421","Bhcare - Branford","13 Sycamore Way","Branford","CT","06405","860-736-2601 x1308","203-736-2641",,"TVSP",,,"0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Nonpublic Elementary and Secondary Schools",,"1351421","Bi-Cultural Day School","2186 High Ridge Road","Stamford","CT","06903","203-329-2186","203-329-0464",,"Standard Non-Public",,,"1","1","1","1","1","1","1","1","1","1","0","0","0","0"
"Nonpublic Elementary and Secondary Schools",,"1510121","Blessed Sacrament School","386 Robinwood Road","Waterbury","CT","06708","203-756-5313","203-756-5313",,"Standard Non-Public",,,"1","1","1","1","1","1","1","1","1","1","0","0","0","0"
"Nonpublic Elementary and Secondary Schools",,"8250261","Boston Higashi School, Inc.","800 North Main Street","Randolph","MA","02368","781-961-0800",,,"APSEP",,,,,,,,,,,,,,,,
"Nonpublic Elementary and Secondary Schools",,"8440461","Bradley  School-East Providence","1011 Veterans Memorial Parkway","East Providence","RI","02915","401-432-1411",,,"APSEP",,,,,,,,,,,,,,,,
"Nonpublic Elementary and Secondary Schools",,"8440861","Bradley School - Westerly","93 Tower Street","Westerly","RI","02891","401-637-4205",,,"APSEP",,,,,,,,,,,,,,,,
"Nonpublic Elementary and Secondary Schools",,"0860221","Bradley School-New London Regional","26 Maple Avenue","Uncasville","CT","06382","860-367-0851","860-367-0889","www.bradleyschool.org/Bradley-school-new-london-regional.html","Standard Non-Public",,,"0","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Nonpublic Elementary and Secondary Schools",,"8255061","Brandon School and Residential Treatment Center","27 Winter Street","Natick","MA","025xx","508-655-6400",,,"APSEP",,,,,,,,,,,,,,,,
"Nonpublic Elementary and Secondary Schools",,"8500861","Brattleboro Retreat (Retreat Healthcare) Meadows Educational Center","1 Anna Marsh Lane Box 803","Brattleboro","VT","05301","802-258-4315",,,"APSEP",,,,,,,,,,,,,,,,
"Nonpublic Elementary and Secondary Schools",,"0151921","Bridgeport Hope School","283 Lafayette Street","Bridgeport","CT","06604","203-333-6336","203-333-6336",,"Standard Non-Public",,,"0","1","1","1","1","1","1","1","1","1","0","0","0","0"
"Nonpublic Elementary and Secondary Schools",,"0156421","Bridgeport International Academy","285 Lafayette Street","Bridgeport","CT","06604","203-334-3434","203-334-8651","www","Standard Non-Public",,,"0","0","0","0","0","0","0","0","0","0","1","1","1","1"
"Nonpublic Elementary and Secondary Schools",,"8250361","Brightside School","2112 Riverdale Street","West Springfield","MA","01089","413-788-7366",,,"APSEP",,,,,,,,,,,,,,,,
"Nonpublic Elementary and Secondary Schools",,"0170282","Bristol ARC","621 Jerome Avenue /Box 726","Bristol","CT","06011","860-582-9102 x125","860-582-8280",,"TVSP",,,"0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Nonpublic Elementary and Secondary Schools",,"0576121","Brunswick School","100 Maher Avenue","Greenwich","CT","06830","203-625-5842","203-625-5816",,"Standard Non-Public",,,"1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Nonpublic Elementary and Secondary Schools",,"0950382","Buckingham Community Services","516 Vauxhall St. Suite 102","New London","CT","06320","860-447-9911","860-444-7036",,"TVSP",,,"0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Public Schools",,"8420211","Bucks County Schools Intermediate Unit # 22","705 N Shady Retreat Road","Doylestown","PA","18901","215-348-2940",,,,,,,,,,,,,,,,,,,
"Adult Education Providers",,"0150417","Bullard Havens","500 Palisade Avenue","Bridgeport","CT","06610","203-579-6333","203-382-8466",,,,,,,,,,,,,,,,,,
"Public Schools",,"8130111","Butler High School","2011 Lumkin Road","Augusta","GA","30906","706-826-1132",,,,,,,,,,,,,,,,,,,
"Nonpublic Elementary and Secondary Schools",,"0640421","CARE of Connecticut Transitional Services","606 Farmington Avenue","Hartford","CT","06105","860-523-5318","860-232-3597","www.","TVSP",,,"0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Nonpublic Elementary and Secondary Schools",,"0840461","CCCD-Orange","339 Boston Post Road","Orange","CT","06477","203-799-4110","203-799-4129",,"APSEP",,,"1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Nonpublic Elementary and Secondary Schools",,"0840561","CCCD-Wolf Harbor Rd.","95 Wolf Harbor Rd","Milford","CT","06461","203-882-8810","203-882-9468",,"APSEP",,,"1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Nonpublic Elementary and Secondary Schools",,"0620521","CCCP: Odali","995 Sherman Avenue","Hamden","CT","06514","203-786-6403",,,"Standard Non-Public",,,,,,,,,,,,,,,,
"Nonpublic Elementary and Secondary Schools",,"0156521","CCCP: Stars","350 Fairfield Ave., 3rd Floor","Bridgeport","CT","06604","203-334-6002","203-468-3514",,"Standard Non-Public",,,,,,,,,,,,,,,,
"Nonpublic Elementary and Secondary Schools",,"0890461","CCMC School","300 John Downey Drive","New Britain","CT","06051","860-837-6412","860-224-6951",,"APSEP",,,"0","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Nonpublic Elementary and Secondary Schools",,"0800521","CT Christian Academy","601 Paddock Avenue","Meriden","CT","06457","860-347-6757",,"www.Ctchristianacademy.net","Standard Non-Public",,,"1","1","1","1","1","1","1","1","1","1","0","0","0","0"
"Adult Education Providers",,"0640617","CT Puerto Rican Forum","95 Park Street","Hartford","CT","06106","860-247-3227","860-249-5769",,,,,,,,,,,,,,,,,,
"Nonpublic Elementary and Secondary Schools",,"0890182","CW Resources, Inc. School to Work Transition Services - New Britain","200 Myrtle Street","New Britain","CT","06053","860-229-7700","860-229-6847",,"TVSP",,,"0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Nonpublic Elementary and Secondary Schools",,"0170621","CW Resources, Inc. School to Work Transition Services-Bristol","530 Birch Street","Bristol","CT","06010","860-583-0401","860-585-8071",,"TVSP",,,"0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Nonpublic Elementary and Secondary Schools",,"0720121","CW Resources, Inc. School to Work Transition Services-Gales Ferry","39 Kings Highway","Ledyard","CT","06335","203-464-2437","860-464-2465",,"TVSP",,,"0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Nonpublic Elementary and Secondary Schools",,"0880421","CW Resources, Inc. School to Work Transition Services-Naugatuck","259 Great Hill Rd","Naugatuck","CT","06770","203-723-4465","203-723-4280",,"TVSP",,,"0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Nonpublic Elementary and Secondary Schools",,"1550121","CW Resources, Inc. School to Work Transition Services-West Hartford","17A Andover Drive","West Hartford","CT","06110","860-953-0747","860-953-1121",,"TVSP",,,"0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Nonpublic Elementary and Secondary Schools",,"1650221","Calvary Christain School","470 Elm Street","Windsor Locks","CT","06096","860-623-0319",,,"Standard Non-Public",,,,,,,,,,,,,,,,
"Nonpublic Elementary and Secondary Schools",,"8420161","Camphill Special Schools, Inc","1784 Fairview Road","Glenmore","PA","19343","610-469-9236",,,"APSEP",,,,,,,,,,,,,,,,
"Nonpublic Elementary and Secondary Schools",,"0966121","Canterbury School","101 Aspetuck Avenue","New Milford","CT","06776","860-210-3857","860-350-4425",,"Standard Non-Public",,,"0","0","0","0","0","0","0","0","0","0","1","1","1","1"
"Adult Education Providers",,"0640517","Capital Community College","950 Main Street","Hartford","CT","06103","860-906-5132","860-906-5110","www.ccc.commnet.edu",,,,,,,,,,,,,,,,,
"Nonpublic Elementary and Secondary Schools",,"8256061","Cardinal Cushing School at Hanover","405 Washington Street","Hanover","MA","02339","781-829-1209",,,"APSEP",,,,,,,,,,,,,,,,
"Adult Education Providers",,"0150517","Career Resources","350 Fairfield Avenue","Bridgeport","CT","06604","203-953-3256","203-382-8466",,,,,,,,,,,,,,,,,,
"Nonpublic Elementary and Secondary Schools",,"0571421","Carmel Academy","270 Lake Avenue","Greenwich","CT","06830","203-863-9663","203-863-2076",,"Standard Non-Public",,,"1","1","1","1","1","1","1","1","1","1","0","0","0","0"
"Nonpublic Elementary and Secondary Schools",,"0801221","Carver Academy School","262 Bee Street","Meriden","CT","06450","203-630-6509",,"carverpreschool@innewlife.com","Standard Non-Public",,,"0","1","1","1","1","1","0","0","0","0","0","0","0","0"
"Nonpublic Elementary and Secondary Schools",,"0151721","Catholic Academy of Bridgeport St. Raphael Academy","324 Frank Street","Bridgeport","CT","06604","203-333-6818","203-336-9205",,"Standard Non-Public",,,"1","1","1","1","1","0","0","0","0","0","0","0","0","0"
"Nonpublic Elementary and Secondary Schools",,"0620261","Cedarhurst School","871 Prospect Street","Hamden","CT","06517","203-764-9314","203-764-9321",,"APSEP",,,"0","0","0","0","0","0","0","1","1","1","1","1","1","1"
"Nonpublic Elementary and Secondary Schools",,"0620382","Cedarhurst School Passage Program","871 Prospect Street","Hamden","CT","06517","203-764-9314",,,"TVSP",,,"0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Nonpublic Elementary and Secondary Schools",,"8363361","Center for Discovery (Sullivan Diagnostic Treatment Center)","PO Box 840 Benmosche Road","Harris","NY","12742","845-794-1400",,,"APSEP",,,,,,,,,,,,,,,,
"Nonpublic Elementary and Secondary Schools",,"8250282","Center of Hope Day Habilitation","1 North Street","Southbridge","MA","01550","508-764-4085","508-765-0255",,"TVSP",,,"0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Nonpublic Elementary and Secondary Schools",,"1310421","Central Christian Academy","1505 West Street","Southington","CT","06489","860-621-6701","860-276-9584",,"Standard Non-Public",,,"1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Nonpublic Elementary and Secondary Schools",,"8290121","Change Academy Lake of the Ozarks (CALO)","130 CALO Lane","Lake Ozark","MO","65049","877-879-2256",,"caloteens.com","APSEP",,,"0","0","0","0","0","0","0","0","0","1","1","1","1","1"
"Nonpublic Elementary and Secondary Schools",,"0930661","Chapel Haven","1040 Whalley Avenue","New Haven","CT","06515","203-397-1714","203-392-3698",,"APSEP",,,"0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Nonpublic Elementary and Secondary Schools",,"0930782","Chapel Haven - Vocational Transition Program","1040 Whitney Avenue","New Haven","CT","06515","203-397-1714",,,"TVSP",,,"0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Nonpublic Elementary and Secondary Schools",,"0840161","Charles F. Hayden School at Boys & Girls Village","528 Wheelers Farms Road","Milford","CT","06461","203-877-0300","203-876-0076",,"APSEP",,,"0","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Nonpublic Elementary and Secondary Schools",,"1326021","Charter Oak Education Inc.","1294 Blue Hills Road, Suite C","Bloomfield","CT","06002","860-643-1100","860-643-5665","www","Standard Non-Public",,,"0","0","0","0","1","1","1","1","1","1","1","1","1","1"
"Nonpublic Elementary and Secondary Schools",,"1516321","Chase Collegiate","565 Chase Parkway","Waterbury","CT","06708","203-236-9501","203-236-9503",,"Standard Non-Public",,,"1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Nonpublic Elementary and Secondary Schools",,"0256121","Cheshire Academy","10 Main Street","Cheshire","CT","06410","203-272-5396","203-250-7209",,"Standard Non-Public",,,"0","0","0","0","0","0","0","0","0","1","1","1","1","1"
"Nonpublic Elementary and Secondary Schools",,"1511221","Children's Community School","31 Wolcott Street","Waterbury","CT","06702","203-575-0659",,,"Standard Non-Public",,,"1","1","1","1","1","1","1","0","0","0","0","0","0","0"
"Nonpublic Elementary and Secondary Schools",,"1486121","Choate Rosemary Hall","333 Christian Street","Wallingford","CT","06492","203-697-2385","203-697-2512",,"Standard Non-Public",,,"0","0","0","0","0","0","0","0","0","0","1","1","1","1"
"Nonpublic Elementary and Secondary Schools",,"0670121","Christ Lutheran School","330 Church Street","Amston","CT","06231","860-228-5134","860-228-1062",,"Standard Non-Public",,,"1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nonpublic Elementary and Secondary Schools",,"1440421","Christian Heritiage School","575 White Plains Road","Trumbull","CT","06611","203-261-6230","203-452-1531",,"Standard Non-Public",,,"0","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Nonpublic Elementary and Secondary Schools",,"0180321","Christian Life Academy","133 Junction Road","Brookfield","CT","06804","203-775-5191","203-775-5567",,"Standard Non-Public",,,"1","1","1","1","1","1","1","1","1","1","0","0","0","0"
"Nonpublic Elementary and Secondary Schools",,"8190161","Clarinda Academy","1820 North 16th Street","Clarinda","IA","51632","712-542-3103",,,"APSEP",,,,,,,,,,,,,,,,
"Adult Education Providers",,"0640717","Co-opportunity Inc.","20-28 Sargent Street","Hartford","CT","06106","860-236-3617","860-808-1757",,,,,,,,,,,,,,,,,,
"Nonpublic Elementary and Secondary Schools",,"0931621","Cold Spring School","263 Chapel Street","New Haven","CT","06513","203-787-1584","203-787-9444",,"Standard Non-Public",,,"1","1","1","1","1","1","1","1","0","0","0","0","0","0"
"Nonpublic Elementary and Secondary Schools",,"8250421","College Internship Program - The Berkshire Center","18 Park Street","Lee","MA","01238","413-243-2576",,,"Standard Non-Public",,,,,,,,,,,,,,,,
"Nonpublic Elementary and Secondary Schools",,"0340821","Colonial Hills Christian Academy","40 Stadley Rough Road","Danbury","CT","06811","203-794-9399","203-794-9399",,"Standard Non-Public",,,,,,,,,,,,,,,,
"Nonpublic Elementary and Secondary Schools",,"0770161","Community Child Guidance Clinic School","317 North Main Street","Manchester","CT","06042","860-643-2101","860-645-1470",,"APSEP",,,"1","1","1","1","1","1","1","1","1","1","0","0","0","0"
"Nonpublic Elementary and Secondary Schools",,"0720382","Community Enterprises, Inc.","1649 Route 12","Gales Ferry","CT","06335","860-464-7221","860-464-7223",,"TVSP",,,"0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Nonpublic Elementary and Secondary Schools",,"0950161","Connecticut College Children's Program","75 Nameaug Ave","New London","CT","06320","860-439-2920","860-439-5317",,"APSEP",,,"1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nonpublic Elementary and Secondary Schools",,"1610521","Connecticut Friends School","317 New Canaan Road","Wilton","CT","06897","203-762-9860","203-834-9640","www","Standard Non-Public",,,"1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nonpublic Elementary and Secondary Schools",,"0740161","Connecticut Junior Republic","550 Goshen Road","Litchfield","CT","06759","860-567-9423","860-567-2670",,"APSEP",,,"0","0","0","0","0","1","1","1","1","1","1","1","1","1"
"Nonpublic Elementary and Secondary Schools",,"0576221","Convent of the Sacred Heart","1177 King Street","Greenwich","CT","06831","203-532-3532","203-531-5206",,"Standard Non-Public",,,"1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Nonpublic Elementary and Secondary Schools",,"1020221","Cornerstone Baptist Academy","P.O. BOx 25, 5 Rocky Hollow Rd","North Stonington","CT","06359","860-535-0208",,,"Standard Non-Public",,,"0","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Nonpublic Elementary and Secondary Schools",,"8440221","Cornerstone School","665 Dyer Avenue","Cranston","RI","02920","401-942-2388",,"www.accesspointri.org/","APSEP",,,"1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Nonpublic Elementary and Secondary Schools",,"1080182","Corporation for Public Management","75 Summit Street","Manchester","CT","06040","413-536-5403 x216","413-420-0029",,"TVSP",,,"0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Nonpublic Elementary and Secondary Schools",,"1590121","Corpus Christi School","581 Silas Deane Highway","Wethersfield","CT","06109","860-529-5487","860-257-9106",,"Standard Non-Public",,,"1","1","1","1","1","1","1","1","1","1","0","0","0","0"
