"school_code","district_code","district","school","free_reduced_price_meal_eligibility","2011_12","2012_13","2013_14","2014_15","2015_16"
"0116311","0110011","Bloomfield School District","Global Experience Magnet School","Not Eligible For Lunch","","14.3","11.1","*","*"
"0116311","0110011","Bloomfield School District","Global Experience Magnet School","Eligible For Reduced Lunch","","*","0.0","*","*"
"0110311","0110011","Bloomfield School District","J. P. Vincent School","Eligible For Free Lunch","11.0","","","",""
"0110311","0110011","Bloomfield School District","J. P. Vincent School","Not Eligible For Lunch","*","","","",""
"0110311","0110011","Bloomfield School District","J. P. Vincent School","Eligible For Reduced Lunch","*","","","",""
"0110611","0110011","Bloomfield School District","Laurel School","Eligible For Free Lunch","","11.4","*","9.6","13.9"
"0110611","0110011","Bloomfield School District","Laurel School","Not Eligible For Lunch","","*","*","*","*"
"0110611","0110011","Bloomfield School District","Laurel School","Eligible For Reduced Lunch","","*","0.0","*","*"
"0116411","0110011","Bloomfield School District","Learning Academy at Bloomfield","Eligible For Free Lunch","","*","*","*","*"
"0116411","0110011","Bloomfield School District","Learning Academy at Bloomfield","Not Eligible For Lunch","","*","*","*","*"
"0116411","0110011","Bloomfield School District","Learning Academy at Bloomfield","Eligible For Reduced Lunch","","","*","*",""
"0110511","0110011","Bloomfield School District","Metacomet School","Eligible For Free Lunch","*","*","*","*","5.3"
"0110511","0110011","Bloomfield School District","Metacomet School","Not Eligible For Lunch","*","*","*","*","*"
"0110511","0110011","Bloomfield School District","Metacomet School","Eligible For Reduced Lunch","0.0","*","0.0","*","*"
"3480415","0110011","Bloomfield School District","SAGE","Not Eligible For Lunch","","","","","*"
"0116211","0110011","Bloomfield School District","The Big Picture High School","Eligible For Free Lunch","*","","","",""
"0116211","0110011","Bloomfield School District","The Big Picture High School","Not Eligible For Lunch","*","","","",""
"0116211","0110011","Bloomfield School District","The Big Picture High School","Eligible For Reduced Lunch","*","","","",""
"0110811","0110011","Bloomfield School District","Wintonbury Early Childhood Magnet School","Eligible For Free Lunch","*","*","*","*","*"
"0110811","0110011","Bloomfield School District","Wintonbury Early Childhood Magnet School","Not Eligible For Lunch","*","*","13.3","*","*"
"0110811","0110011","Bloomfield School District","Wintonbury Early Childhood Magnet School","Eligible For Reduced Lunch","*","*","*","*","*"
"0120111","0120011","Bolton School District","Bolton Center School","Eligible For Free Lunch","*","*","*","*","*"
"0120111","0120011","Bolton School District","Bolton Center School","Not Eligible For Lunch","1.5","3.1","*","*","1.9"
"0120111","0120011","Bolton School District","Bolton Center School","Eligible For Reduced Lunch","*","*","*","*","*"
"0126111","0120011","Bolton School District","Bolton High School","Eligible For Free Lunch","*","*","*","*","*"
"0126111","0120011","Bolton School District","Bolton High School","Not Eligible For Lunch","*","*","2.1","*","*"
"0126111","0120011","Bolton School District","Bolton High School","Eligible For Reduced Lunch","*","*","*","*","*"
"2950113","2950013","Booker T. Washington Academy District","Booker T. Washington Academy","Eligible For Free Lunch","","","","31.9","21.9"
"2950113","2950013","Booker T. Washington Academy District","Booker T. Washington Academy","Not Eligible For Lunch","","","","*","*"
"2950113","2950013","Booker T. Washington Academy District","Booker T. Washington Academy","Eligible For Reduced Lunch","","","","*","*"
"0130111","0130011","Bozrah School District","Fields Memorial School","Eligible For Free Lunch","*","*","*","*","*"
"0130111","0130011","Bozrah School District","Fields Memorial School","Not Eligible For Lunch","5.1","5.9","5.0","*","*"
"0130111","0130011","Bozrah School District","Fields Memorial School","Eligible For Reduced Lunch","*","*","*","*","*"
"0146111","0140011","Branford School District","Branford High School","Eligible For Free Lunch","*","*","19.5","*","13.5"
"0146111","0140011","Branford School District","Branford High School","Not Eligible For Lunch","9.1","8.5","13.6","13.2","9.8"
"0146111","0140011","Branford School District","Branford High School","Eligible For Reduced Lunch","*","*","12.5","*","14.8"
"0140211","0140011","Branford School District","Branford High School Horizons Program","Eligible For Free Lunch","","","","58.6","81.5"
"0140211","0140011","Branford School District","Branford High School Horizons Program","Not Eligible For Lunch","","","","*","*"
"0140211","0140011","Branford School District","Branford High School Horizons Program","Eligible For Reduced Lunch","","","","*","*"
"3480115","0140011","Branford School District","Bridgeport Detention Center","Eligible For Free Lunch","","","","","*"
"0145111","0140011","Branford School District","Francis Walsh Intermediate School","Eligible For Free Lunch","13.3","18.5","*","*","16.9"
"0145111","0140011","Branford School District","Francis Walsh Intermediate School","Not Eligible For Lunch","6.4","*","5.0","5.7","*"
"0145111","0140011","Branford School District","Francis Walsh Intermediate School","Eligible For Reduced Lunch","7.4","*","*","*","*"
"0141611","0140011","Branford School District","John B. Sliney School","Eligible For Free Lunch","10.8","*","*","*","7.5"
"0141611","0140011","Branford School District","John B. Sliney School","Not Eligible For Lunch","2.4","4.4","3.0","3.2","*"
"0141611","0140011","Branford School District","John B. Sliney School","Eligible For Reduced Lunch","0.0","*","*","*","*"
"0141511","0140011","Branford School District","Mary R. Tisko School","Eligible For Free Lunch","*","*","*","*","*"
"0141511","0140011","Branford School District","Mary R. Tisko School","Not Eligible For Lunch","3.0","*","*","*","4.9"
"0141511","0140011","Branford School District","Mary R. Tisko School","Eligible For Reduced Lunch","*","*","*","*","*"
"0141411","0140011","Branford School District","Mary T. Murphy School","Eligible For Free Lunch","*","*","*","11.1","18.1"
"0141411","0140011","Branford School District","Mary T. Murphy School","Not Eligible For Lunch","3.9","4.0","6.2","*","*"
"0141411","0140011","Branford School District","Mary T. Murphy School","Eligible For Reduced Lunch","*","*","*","*","*"
"2900113","2900013","Brass City Charter School District","Brass City Charter School","Eligible For Free Lunch","","","*","*","9.3"
"2900113","2900013","Brass City Charter School District","Brass City Charter School","Not Eligible For Lunch","","","*","*","*"
"2900113","2900013","Brass City Charter School District","Brass City Charter School","Eligible For Reduced Lunch","","","*","*","*"
"2850113","2850013","Bridgeport Achievement First District","Achievement First Bridgeport Academy","Eligible For Free Lunch","*","3.3","*","4.1","5.7"
"2850113","2850013","Bridgeport Achievement First District","Achievement First Bridgeport Academy","Not Eligible For Lunch","*","*","*","*","3.7"
"2850113","2850013","Bridgeport Achievement First District","Achievement First Bridgeport Academy","Eligible For Reduced Lunch","0.0","*","0.0","*","0.0"
"0150811","0150011","Bridgeport School District","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","Eligible For Free Lunch","","","12.1","15.5","17.1"
"0150111","0150011","Bridgeport School District","Barnum School","Eligible For Free Lunch","22.7","23.9","26.0","21.7","24.7"
"0150111","0150011","Bridgeport School District","Barnum School","Not Eligible For Lunch","*","","","",""
"0150111","0150011","Bridgeport School District","Barnum School","Eligible For Reduced Lunch","*","","","",""
"0156111","0150011","Bridgeport School District","Bassick High School","Eligible For Free Lunch","39.3","39.3","41.4","42.9","42.2"
"0156111","0150011","Bridgeport School District","Bassick High School","Not Eligible For Lunch","*","*","","",""
"0156111","0150011","Bridgeport School District","Bassick High School","Eligible For Reduced Lunch","*","*","","",""
"0150211","0150011","Bridgeport School District","Beardsley School","Eligible For Free Lunch","18.2","16.1","17.9","17.7","14.2"
"0150211","0150011","Bridgeport School District","Beardsley School","Not Eligible For Lunch","*","","","",""
"0150211","0150011","Bridgeport School District","Beardsley School","Eligible For Reduced Lunch","*","","","",""
"0150611","0150011","Bridgeport School District","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","Eligible For Free Lunch","","","12.0","4.1","11.3"
"0150311","0150011","Bridgeport School District","Black Rock School","Eligible For Free Lunch","13.1","18.8","13.3","10.9","6.4"
"0150311","0150011","Bridgeport School District","Black Rock School","Not Eligible For Lunch","*","","","",""
"0154011","0150011","Bridgeport School District","Blackham School","Eligible For Free Lunch","13.5","*","17.2","13.9","12.3"
"0154011","0150011","Bridgeport School District","Blackham School","Not Eligible For Lunch","*","","","",""
"0154011","0150011","Bridgeport School District","Blackham School","Eligible For Reduced Lunch","*","*","","",""
"0159011","0150011","Bridgeport School District","Bridgeport Learning Center","Eligible For Free Lunch","*","*","19.4","29.2","31.0"
"0159011","0150011","Bridgeport School District","Bridgeport Learning Center","Not Eligible For Lunch","","*","","",""
"0159011","0150011","Bridgeport School District","Bridgeport Learning Center","Eligible For Reduced Lunch","*","*","","",""
"0151611","0150011","Bridgeport School District","Bridgeport Military Academy","Eligible For Free Lunch","","","0.0","19.0","22.0"
"0150411","0150011","Bridgeport School District","Bryant School","Eligible For Free Lunch","16.7","21.5","17.2","14.0","14.0"
"0152711","0150011","Bridgeport School District","Career and Craftsmanship","Eligible For Free Lunch","","","","","84.4"
"0156211","0150011","Bridgeport School District","Central High School","Eligible For Free Lunch","23.0","55.5","32.4","19.1","16.5"
"0156211","0150011","Bridgeport School District","Central High School","Not Eligible For Lunch","10.6","*","","",""
"0156211","0150011","Bridgeport School District","Central High School","Eligible For Reduced Lunch","18.3","*","","",""
"0151411","0150011","Bridgeport School District","Cesar Batalla School","Eligible For Free Lunch","*","*","16.7","14.0","12.3"
"0151411","0150011","Bridgeport School District","Cesar Batalla School","Not Eligible For Lunch","*","*","","",""
"0151411","0150011","Bridgeport School District","Cesar Batalla School","Eligible For Reduced Lunch","*","*","","",""
"0152111","0150011","Bridgeport School District","Classical Studies Academy","Eligible For Free Lunch","6.1","*","2.8","4.4","4.4"
"0152111","0150011","Bridgeport School District","Classical Studies Academy","Not Eligible For Lunch","*","","","",""
"0152111","0150011","Bridgeport School District","Classical Studies Academy","Eligible For Reduced Lunch","*","*","","",""
"0150511","0150011","Bridgeport School District","Columbus School","Eligible For Free Lunch","21.7","33.2","28.1","*","24.3"
"0150511","0150011","Bridgeport School District","Columbus School","Not Eligible For Lunch","*","*","","*",""
"0150511","0150011","Bridgeport School District","Columbus School","Eligible For Reduced Lunch","*","*","","",""
"0153911","0150011","Bridgeport School District","Cross School","Eligible For Free Lunch","*","*","25.7","28.2","30.4"
"0153911","0150011","Bridgeport School District","Cross School","Not Eligible For Lunch","*","","","",""
"0153911","0150011","Bridgeport School District","Cross School","Eligible For Reduced Lunch","*","*","","",""
"0154211","0150011","Bridgeport School District","Curiale School","Eligible For Free Lunch","*","*","29.1","27.0","19.7"
"0154211","0150011","Bridgeport School District","Curiale School","Not Eligible For Lunch","*","","","",""
"0154211","0150011","Bridgeport School District","Curiale School","Eligible For Reduced Lunch","*","*","","",""
"0154111","0150011","Bridgeport School District","Dunbar School","Eligible For Free Lunch","*","*","30.4","28.7","26.6"
"0154111","0150011","Bridgeport School District","Dunbar School","Not Eligible For Lunch","","*","","",""
"0154111","0150011","Bridgeport School District","Dunbar School","Eligible For Reduced Lunch","*","*","","",""
"0150711","0150011","Bridgeport School District","Edison School","Eligible For Free Lunch","11.1","16.9","13.9","14.0","14.8"
"0153211","0150011","Bridgeport School District","Geraldine Johnson School","Eligible For Free Lunch","8.6","*","7.2","8.8","3.6"
"0153211","0150011","Bridgeport School District","Geraldine Johnson School","Not Eligible For Lunch","*","*","","",""
"0153211","0150011","Bridgeport School District","Geraldine Johnson School","Eligible For Reduced Lunch","*","*","","",""
"0151111","0150011","Bridgeport School District","Hall School","Eligible For Free Lunch","*","*","16.3","13.8","8.6"
"0151111","0150011","Bridgeport School District","Hall School","Not Eligible For Lunch","","*","","",""
"0151111","0150011","Bridgeport School District","Hall School","Eligible For Reduced Lunch","*","","","",""
"0151211","0150011","Bridgeport School District","Hallen School","Eligible For Free Lunch","*","11.2","12.7","12.3","10.0"
"0151211","0150011","Bridgeport School District","Hallen School","Not Eligible For Lunch","*","","","",""
"0156311","0150011","Bridgeport School District","Harding High School","Eligible For Free Lunch","46.1","49.3","43.9","50.6","44.8"
"0156311","0150011","Bridgeport School District","Harding High School","Not Eligible For Lunch","*","*","","",""
"0156311","0150011","Bridgeport School District","Harding High School","Eligible For Reduced Lunch","*","*","","",""
"0154511","0150011","Bridgeport School District","High Horizons Magnet School","Eligible For Free Lunch","3.0","*","1.9","3.9","2.9"
"0154511","0150011","Bridgeport School District","High Horizons Magnet School","Not Eligible For Lunch","*","","","",""
"0154511","0150011","Bridgeport School District","High Horizons Magnet School","Eligible For Reduced Lunch","*","*","","",""
"0151311","0150011","Bridgeport School District","Hooker School","Eligible For Free Lunch","*","14.1","14.8","12.9","12.3"
"0151311","0150011","Bridgeport School District","Hooker School","Not Eligible For Lunch","*","","","",""
"0151311","0150011","Bridgeport School District","Hooker School","Eligible For Reduced Lunch","*","","","",""
"0151511","0150011","Bridgeport School District","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","Eligible For Free Lunch","","","0.0","3.2","7.8"
"0153711","0150011","Bridgeport School District","Interdistrict Discovery Magnet School","Eligible For Free Lunch","*","4.9","4.1","4.6","4.1"
"0153711","0150011","Bridgeport School District","Interdistrict Discovery Magnet School","Not Eligible For Lunch","*","","","",""
"0152211","0150011","Bridgeport School District","Jettie S. Tisdale School","Eligible For Free Lunch","23.4","27.3","33.6","30.1","27.9"
"0152211","0150011","Bridgeport School District","Jettie S. Tisdale School","Not Eligible For Lunch","*","*","","",""
"0152211","0150011","Bridgeport School District","Jettie S. Tisdale School","Eligible For Reduced Lunch","*","*","","",""
"0151911","0150011","Bridgeport School District","Longfellow School","Eligible For Free Lunch","*","","","",""
"0151911","0150011","Bridgeport School District","Longfellow School","Eligible For Reduced Lunch","*","","","",""
"0151011","0150011","Bridgeport School District","Luis Munoz Marin School","Eligible For Free Lunch","*","*","27.2","25.8","24.5"
"0151011","0150011","Bridgeport School District","Luis Munoz Marin School","Not Eligible For Lunch","","*","","",""
"0151011","0150011","Bridgeport School District","Luis Munoz Marin School","Eligible For Reduced Lunch","*","*","","",""
"0152011","0150011","Bridgeport School District","Madison School","Eligible For Free Lunch","11.0","14.7","14.9","12.0","10.0"
"0159511","0150011","Bridgeport School District","Make The Grade","Eligible For Free Lunch","62.8","","","",""
"0154611","0150011","Bridgeport School District","Multicultural Magnet School","Eligible For Free Lunch","1.5","*","1.8","*","*"
"0154611","0150011","Bridgeport School District","Multicultural Magnet School","Not Eligible For Lunch","*","*","","",""
"0154611","0150011","Bridgeport School District","Multicultural Magnet School","Eligible For Reduced Lunch","*","*","","",""
"0152811","0150011","Bridgeport School District","Opportunities for Self-Discovery Community Partnership","Eligible For Free Lunch","","","","","*"
"0159211","0150011","Bridgeport School District","Park City Academy","Eligible For Free Lunch","76.3","*","","",""
"0159211","0150011","Bridgeport School District","Park City Academy","Not Eligible For Lunch","","*","","",""
"0151711","0150011","Bridgeport School District","Park City Magnet School","Eligible For Free Lunch","3.4","*","5.5","5.7","4.0"
"0151711","0150011","Bridgeport School District","Park City Magnet School","Not Eligible For Lunch","*","","","",""
"0151711","0150011","Bridgeport School District","Park City Magnet School","Eligible For Reduced Lunch","*","*","","",""
"0151811","0150011","Bridgeport School District","Pride Academy","Eligible For Free Lunch","","","0.0","",""
"0152511","0150011","Bridgeport School District","Read School","Eligible For Free Lunch","*","*","15.0","14.7","15.1"
"0152511","0150011","Bridgeport School District","Read School","Not Eligible For Lunch","","*","","",""
"0152511","0150011","Bridgeport School District","Read School","Eligible For Reduced Lunch","*","","","",""
"0152611","0150011","Bridgeport School District","Roosevelt School","Eligible For Free Lunch","*","26.9","28.5","25.0","17.5"
"0152611","0150011","Bridgeport School District","Roosevelt School","Not Eligible For Lunch","","*","","",""
"0152611","0150011","Bridgeport School District","Roosevelt School","Eligible For Reduced Lunch","*","*","","",""
"0154411","0150011","Bridgeport School District","Skane Center","Eligible For Free Lunch","*","","","",""
"0153011","0150011","Bridgeport School District","Waltersville School","Eligible For Free Lunch","*","*","26.4","19.7","22.1"
