"category","participation.rate","meeting.bench.count","meeting.bench.rate","school_code","year"
"Eligible for Free or ","N/A ","N/A ","N/A","0150811","201314"
"Reduced-Price Meals","","","","0150811","201314"
"Students with Disabilities ","N/A ","N/A ","N/A","0150811","201314"
"School ","N/A ","N/A ","N/A","0150811","201314"
"District ","65.7 ","","9.3","0150811","201314"
"Female ","0.0 ","* ","*","0150811","201415"
"Male ","* ","* ","*","0150811","201415"
"Black or African American ","* ","0 ","0.0","0150811","201415"
"Hispanic or Latino ","* ","* ","*","0150811","201415"
"White ","* ","7 ","31.8","0150811","201415"
"English Language Learners ","* ","0 ","*","0150811","201415"
"Eligible for Free or ","* ","9 ","14.3","0150811","201415"
"Reduced-Price Meals","","","","0150811","201415"
"Students with Disabilities ","* ","* ","*","0150811","201415"
"School ","* ","9 ","14.3","0150811","201415"
"District ","50.8 ","","9.0","0150811","201415"
"Female ","98.6 ","12 ","16.7","0150811","201516"
"Male ","100.0 ","28 ","23.1","0150811","201516"
"Black or African American ","98.7 ","8 ","10.4","0150811","201516"
"Hispanic or Latino ","100.0 ","8 ","14.0","0150811","201516"
"White ","100.0 ","18 ","39.1","0150811","201516"
"English Language Learners ","* ","0 ","*","0150811","201516"
"Eligible for Free or ","99.5 ","40 ","20.7","0150811","201516"
"Reduced-Price Meals","","","","0150811","201516"
"Students with Disabilities ","* ","* ","*","0150811","201516"
"School ","99.5 ","40 ","20.7","0150811","201516"
"District ","94.9 ","","11.9","0150811","201516"
"Female ","N/A ","N/A ","N/A","0151511","201314"
"Male ","N/A ","N/A ","N/A","0151511","201314"
"Black or African American ","N/A ","N/A ","N/A","0151511","201314"
"Hispanic or Latino ","N/A ","N/A ","N/A","0151511","201314"
"White ","N/A ","N/A ","N/A","0151511","201314"
"English Language Learners ","N/A ","N/A ","N/A","0151511","201314"
"Eligible for Free or ","N/A ","N/A ","N/A","0151511","201314"
"Reduced-Price Meals","","","","0151511","201314"
"Students with Disabilities ","N/A ","N/A ","N/A","0151511","201314"
"School ","N/A ","N/A ","N/A","0151511","201314"
"District ","65.7 ","","9.3","0151511","201314"
"Female ","64.0 ","* ","*","0151511","201415"
"Male ","44.4 ","* ","*","0151511","201415"
"Black or African American ","38.7 ","* ","*","0151511","201415"
"Hispanic or Latino ","* ","* ","*","0151511","201415"
"White ","50.0 ","* ","*","0151511","201415"
"English Language Learners ","* ","0 ","*","0151511","201415"
"Eligible for Free or ","51.4 ","9 ","12.9","0151511","201415"
"Reduced-Price Meals","","","","0151511","201415"
"Students with Disabilities ","* ","0 ","*","0151511","201415"
"School ","51.4 ","9 ","12.9","0151511","201415"
"District ","50.8 ","","9.0","0151511","201415"
"Female ","100.0 ","8 ","11.3","0151511","201516"
"Male ","100.0 ","32 ","23.7","0151511","201516"
"Black or African American ","100.0 ","* ","*","0151511","201516"
"Hispanic or Latino ","100.0 ","8 ","13.8","0151511","201516"
"White ","100.0 ","26 ","47.3","0151511","201516"
"English Language Learners ","* ","0 ","*","0151511","201516"
"Eligible for Free or ","100.0 ","40 ","19.4","0151511","201516"
"Reduced-Price Meals","","","","0151511","201516"
"Students with Disabilities ","* ","0 ","*","0151511","201516"
"School ","100.0 ","40 ","19.4","0151511","201516"
"District ","94.9 ","","11.9","0151511","201516"
"Female ","N/A ","N/A ","N/A","0151611","201314"
"Male ","N/A ","N/A ","N/A","0151611","201314"
"Black or African American ","N/A ","N/A ","N/A","0151611","201314"
"Hispanic or Latino ","N/A ","N/A ","N/A","0151611","201314"
"White ","N/A ","N/A ","N/A","0151611","201314"
"English Language Learners ","N/A ","N/A ","N/A","0151611","201314"
"Eligible for Free or ","N/A ","N/A ","N/A","0151611","201314"
"Reduced-Price Meals","","","","0151611","201314"
"Students with Disabilities ","N/A ","N/A ","N/A","0151611","201314"
"School ","N/A ","N/A ","N/A","0151611","201314"
"District ","65.7 ","","9.3","0151611","201314"
"Female ","N/A ","N/A ","N/A","0151611","201415"
"Male ","N/A ","N/A ","N/A","0151611","201415"
"Black or African American ","N/A ","N/A ","N/A","0151611","201415"
"Hispanic or Latino ","N/A ","N/A ","N/A","0151611","201415"
"White ","N/A ","N/A ","N/A","0151611","201415"
"English Language Learners ","N/A ","N/A ","N/A","0151611","201415"
"Eligible for Free or ","N/A ","N/A ","N/A","0151611","201415"
"Reduced-Price Meals","","","","0151611","201415"
"Students with Disabilities ","N/A ","N/A ","N/A","0151611","201415"
"School ","N/A ","N/A ","N/A","0151611","201415"
"District ","50.8 ","","9.0","0151611","201415"
"Female ","100.0 ","0 ","0.0","0151611","201516"
"Male ","100.0 ","* ","*","0151611","201516"
"Black or African American ","100.0 ","0 ","0.0","0151611","201516"
"Hispanic or Latino ","100.0 ","* ","*","0151611","201516"
"White ","* ","0 ","*","0151611","201516"
"English Language Learners ","* ","0 ","*","0151611","201516"
"Eligible for Free or ","100.0 ","* ","*","0151611","201516"
"Reduced-Price Meals","","","","0151611","201516"
"Students with Disabilities ","* ","0 ","*","0151611","201516"
"School ","100.0 ","* ","*","0151611","201516"
"District ","94.9 ","","11.9","0151611","201516"
"Female ","63.1 ","9 ","4.0","0156111","201314"
"Male ","51.2 ","9 ","3.5","0156111","201314"
"Black or African American ","52.7 ","* ","*","0156111","201314"
"Hispanic or Latino ","58.5 ","9 ","4.4","0156111","201314"
"White ","47.8 ","* ","*","0156111","201314"
"English Language Learners ","55.7 ","* ","*","0156111","201314"
"Eligible for Free or ","56.7 ","18 ","3.7","0156111","201314"
"Reduced-Price Meals","","","","0156111","201314"
"Students with Disabilities ","* ","* ","*","0156111","201314"
"School ","56.7 ","18 ","3.7","0156111","201314"
"District ","65.7 ","","9.3","0156111","201314"
"Female ","53.4 ","13 ","6.7","0156111","201415"
"Male ","46.3 ","12 ","5.2","0156111","201415"
"Black or African American ","49.7 ","* ","*","0156111","201415"
"Hispanic or Latino ","47.2 ","15 ","7.8","0156111","201415"
"White ","35.0 ","* ","*","0156111","201415"
"English Language Learners ","52.8 ","* ","*","0156111","201415"
"Eligible for Free or ","49.5 ","25 ","5.9","0156111","201415"
"Reduced-Price Meals","","","","0156111","201415"
"Students with Disabilities ","* ","* ","*","0156111","201415"
"School ","49.5 ","25 ","5.9","0156111","201415"
"District ","50.8 ","","9.0","0156111","201415"
"Female ","93.5","11 ","5.9","0156111","201516"
"Male ","93.8","10 ","4.8","0156111","201516"
"Black or African American ","93.3","* ","*","0156111","201516"
"Hispanic or Latino ","93.6","15 ","8.7","0156111","201516"
"White ","91.3","* ","*","0156111","201516"
"English Language Learners ","95.5","7 ","10.4","0156111","201516"
"Eligible for Free or ","93.6","21 ","5.3","0156111","201516"
"Reduced-Price Meals",NA,"","","0156111","201516"
"Students with Disabilities ","85","0 ","0.0","0156111","201516"
"School ","93.6","21 ","5.3","0156111","201516"
"District ","94.9","","11.9","0156111","201516"
"Female ","79.0 ","83 ","16.6","0156211","201314"
"Male ","66.4 ","49 ","11.1","0156211","201314"
"Black or African American ","75.1 ","43 ","10.6","0156211","201314"
"Hispanic or Latino ","70.9 ","59 ","15.4","0156211","201314"
"White ","70.9 ","20 ","18.2","0156211","201314"
"English Language Learners ","67.5 ","* ","*","0156211","201314"
"Eligible for Free or ","73.1 ","132 ","14.0","0156211","201314"
"Reduced-Price Meals","","","","0156211","201314"
"Students with Disabilities ","* ","0 ","*","0156211","201314"
"School ","73.1 ","132 ","14.0","0156211","201314"
"District ","65.7 ","","9.3","0156211","201314"
"Female ","67.0 ","64 ","13.8","0156211","201415"
"Male ","50.0 ","32 ","8.1","0156211","201415"
"Black or African American ","59.4 ","33 ","8.9","0156211","201415"
"Hispanic or Latino ","58.9 ","38 ","11.1","0156211","201415"
"White ","54.1 ","15 ","15.3","0156211","201415"
"English Language Learners ","47.6 ","* ","*","0156211","201415"
"Eligible for Free or ","59.2 ","96 ","11.2","0156211","201415"
"Reduced-Price Meals","","","","0156211","201415"
"Students with Disabilities ","* ","0 ","*","0156211","201415"
"School ","59.2 ","96 ","11.2","0156211","201415"
"District ","50.8 ","","9.0","0156211","201415"
"Female ","96.9 ","61 ","17.1","0156211","201516"
"Male ","94.7 ","34 ","10.6","0156211","201516"
"Black or African American ","97.0 ","32 ","10.6","0156211","201516"
"Hispanic or Latino ","95.6 ","38 ","15.1","0156211","201516"
"White ","92.8 ","13 ","15.7","0156211","201516"
"English Language Learners ","90.8 ","* ","*","0156211","201516"
"Eligible for Free or ","95.9 ","95 ","14.0","0156211","201516"
"Reduced-Price Meals","","","","0156211","201516"
"Students with Disabilities ","* ","* ","*","0156211","201516"
"School ","95.9 ","95 ","14.0","0156211","201516"
"District ","94.9 ","","11.9","0156211","201516"
"Female ","67.9 ","17 ","7.1","0156311","201314"
"Male ","69.2 ","11 ","5.6","0156311","201314"
"Black or African American ","76.0 ","* ","*","0156311","201314"
"Hispanic or Latino ","63.9 ","23 ","11.2","0156311","201314"
"White ","47.6 ","* ","*","0156311","201314"
"English Language Learners ","69.8 ","17 ","17.7","0156311","201314"
"Eligible for Free or ","68.5 ","28 ","6.4","0156311","201314"
"Reduced-Price Meals","","","","0156311","201314"
"Students with Disabilities ","* ","0 ","*","0156311","201314"
"School ","68.5 ","28 ","6.4","0156311","201314"
"District ","65.7 ","","9.3","0156311","201314"
"Female ","52.9 ","27 ","11.2","0156311","201415"
"Male ","40.5 ","10 ","4.1","0156311","201415"
"Black or African American ","50.8 ","* ","*","0156311","201415"
"Hispanic or Latino ","43.5 ","28 ","11.7","0156311","201415"
"White ","* ","* ","*","0156311","201415"
"English Language Learners ","57.4 ","28 ","24.3","0156311","201415"
"Eligible for Free or ","46.7 ","37 ","7.6","0156311","201415"
"Reduced-Price Meals","","","","0156311","201415"
"Students with Disabilities ","* ","0 ","*","0156311","201415"
"School ","46.7 ","37 ","7.6","0156311","201415"
"District ","50.8 ","","9.0","0156311","201415"
"Female ","96.3 ","27 ","11.3","0156311","201516"
"Male ","95.6 ","18 ","8.7","0156311","201516"
"Black or African American ","94.7 ","* ","*","0156311","201516"
