"school_code","year","category","cohort","count"
"0046111","201415","Black or African American ","cohort.rate.2013-14","* "
"0046111","201415","Hispanic or Latino ","cohort.rate.2013-14","* "
"0046111","201415","English Language Learners ","cohort.rate.2013-14","N/A "
"0046111","201415","Eligible for Free or Reduced-Price Meals ","cohort.rate.2013-14","100.0 "
"0046111","201415","Students with Disabilities ","cohort.rate.2013-14","92.0 "
"0046111","201415","School ","cohort.rate.2013-14","98.5 "
"0046111","201415","District ","cohort.rate.2013-14","97.4 "
"0046111","201415","Black or African American ","cohort.target.2013-14",". "
"0046111","201415","Hispanic or Latino ","cohort.target.2013-14",". "
"0046111","201415","English Language Learners ","cohort.target.2013-14","N/A "
"0046111","201415","Eligible for Free or Reduced-Price Meals ","cohort.target.2013-14",". "
"0046111","201415","Students with Disabilities ","cohort.target.2013-14",". "
"0046111","201415","School ","cohort.target.2013-14",". "
"0046111","201415","District ","cohort.target.2013-14","94.0 "
"0046111","201415","Black or African American ","target.achieved.2013-14",""
"0046111","201415","Hispanic or Latino ","target.achieved.2013-14",""
"0046111","201415","English Language Learners ","target.achieved.2013-14","N/A "
"0046111","201415","Eligible for Free or Reduced-Price Meals ","target.achieved.2013-14",""
"0046111","201415","Students with Disabilities ","target.achieved.2013-14",""
"0046111","201415","School ","target.achieved.2013-14",""
"0046111","201415","District ","target.achieved.2013-14","Yes "
"0046111","201415","Black or African American ","target.percent.2014-15","."
"0046111","201415","Hispanic or Latino ","target.percent.2014-15","."
"0046111","201415","English Language Learners ","target.percent.2014-15","N/A"
"0046111","201415","Eligible for Free or Reduced-Price Meals ","target.percent.2014-15","."
"0046111","201415","Students with Disabilities ","target.percent.2014-15","."
"0046111","201415","School ","target.percent.2014-15","."
"0046111","201415","District ","target.percent.2014-15","94.0"
"0046111","201516","Black or African American ","cohort.count.2014-15","* "
"0046111","201516","Hispanic or Latino ","cohort.count.2014-15","* "
"0046111","201516","English Language Learners ","cohort.count.2014-15","* "
"0046111","201516","Eligible for Free or Reduced-Price Meals ","cohort.count.2014-15","* "
"0046111","201516","Students with Disabilities ","cohort.count.2014-15","31 "
"0046111","201516","School ","cohort.count.2014-15","246 "
"0046111","201516","District ","cohort.count.2014-15",""
"0046111","201516","Black or African American ","cohort.rate.2014-15","* "
"0046111","201516","Hispanic or Latino ","cohort.rate.2014-15","* "
"0046111","201516","English Language Learners ","cohort.rate.2014-15","* "
"0046111","201516","Eligible for Free or Reduced-Price Meals ","cohort.rate.2014-15","* "
"0046111","201516","Students with Disabilities ","cohort.rate.2014-15","83.9 "
"0046111","201516","School ","cohort.rate.2014-15","96.3 "
"0046111","201516","District ","cohort.rate.2014-15","96.0 "
"0046111","201516","Black or African American ","cohort.target.2014-15",". "
"0046111","201516","Hispanic or Latino ","cohort.target.2014-15",". "
"0046111","201516","English Language Learners ","cohort.target.2014-15",". "
"0046111","201516","Eligible for Free or Reduced-Price Meals ","cohort.target.2014-15",". "
"0046111","201516","Students with Disabilities ","cohort.target.2014-15",". "
"0046111","201516","School ","cohort.target.2014-15",". "
"0046111","201516","District ","cohort.target.2014-15","94.0 "
"0046111","201516","Black or African American ","target.achieved.2014-15",""
"0046111","201516","Hispanic or Latino ","target.achieved.2014-15",""
"0046111","201516","English Language Learners ","target.achieved.2014-15",""
"0046111","201516","Eligible for Free or Reduced-Price Meals ","target.achieved.2014-15",""
"0046111","201516","Students with Disabilities ","target.achieved.2014-15",""
"0046111","201516","School ","target.achieved.2014-15",""
"0046111","201516","District ","target.achieved.2014-15","Yes "
"0046111","201516","Black or African American ","target.percent.2015-16","."
"0046111","201516","Hispanic or Latino ","target.percent.2015-16","."
"0046111","201516","English Language Learners ","target.percent.2015-16","."
"0046111","201516","Eligible for Free or Reduced-Price Meals ","target.percent.2015-16","."
"0046111","201516","Students with Disabilities ","target.percent.2015-16","."
"0046111","201516","School ","target.percent.2015-16","."
"0046111","201516","District ","target.percent.2015-16","94.0"
"0076111","201314","Black or African American ","cohort.count.2012-13","* "
"0076111","201314","Hispanic or Latino ","cohort.count.2012-13","* "
"0076111","201314","English Language Learners ","cohort.count.2012-13","* "
"0076111","201314","Eligible for Free or Reduced-Price Meals ","cohort.count.2012-13","33 "
"0076111","201314","Students with Disabilities ","cohort.count.2012-13","24 "
"0076111","201314","School ","cohort.count.2012-13","262 "
"0076111","201314","District ","cohort.count.2012-13",""
"0076111","201314","Black or African American ","cohort.rate.2012-13","* "
"0076111","201314","Hispanic or Latino ","cohort.rate.2012-13","* "
"0076111","201314","English Language Learners ","cohort.rate.2012-13","* "
"0076111","201314","Eligible for Free or Reduced-Price Meals ","cohort.rate.2012-13","84.8 "
"0076111","201314","Students with Disabilities ","cohort.rate.2012-13","87.5 "
"0076111","201314","School ","cohort.rate.2012-13","96.2 "
"0076111","201314","District ","cohort.rate.2012-13","96.2 "
"0076111","201314","Black or African American ","cohort.target.2012-13",". "
"0076111","201314","Hispanic or Latino ","cohort.target.2012-13",". "
"0076111","201314","English Language Learners ","cohort.target.2012-13",". "
"0076111","201314","Eligible for Free or Reduced-Price Meals ","cohort.target.2012-13",". "
"0076111","201314","Students with Disabilities ","cohort.target.2012-13",". "
"0076111","201314","School ","cohort.target.2012-13",". "
"0076111","201314","District ","cohort.target.2012-13","93.8 "
"0076111","201314","Black or African American ","target.achieved.2012-13",""
"0076111","201314","Hispanic or Latino ","target.achieved.2012-13",""
"0076111","201314","English Language Learners ","target.achieved.2012-13",""
"0076111","201314","Eligible for Free or Reduced-Price Meals ","target.achieved.2012-13",""
"0076111","201314","Students with Disabilities ","target.achieved.2012-13",""
"0076111","201314","School ","target.achieved.2012-13",""
"0076111","201314","District ","target.achieved.2012-13","Yes "
"0076111","201314","Black or African American ","target.percent.2013-14","."
"0076111","201314","Hispanic or Latino ","target.percent.2013-14","."
"0076111","201314","English Language Learners ","target.percent.2013-14","."
"0076111","201314","Eligible for Free or Reduced-Price Meals ","target.percent.2013-14","."
"0076111","201314","Students with Disabilities ","target.percent.2013-14","."
"0076111","201314","School ","target.percent.2013-14","."
"0076111","201314","District ","target.percent.2013-14","93.9"
"0076111","201415","Black or African American ","cohort.count.2013-14","* "
"0076111","201415","Hispanic or Latino ","cohort.count.2013-14","* "
"0076111","201415","English Language Learners ","cohort.count.2013-14","* "
"0076111","201415","Eligible for Free or Reduced-Price Meals ","cohort.count.2013-14","38 "
"0076111","201415","Students with Disabilities ","cohort.count.2013-14","32 "
"0076111","201415","School ","cohort.count.2013-14","234 "
"0076111","201415","District ","cohort.count.2013-14",""
"0076111","201415","Black or African American ","cohort.rate.2013-14","* "
"0076111","201415","Hispanic or Latino ","cohort.rate.2013-14","* "
"0076111","201415","English Language Learners ","cohort.rate.2013-14","* "
"0076111","201415","Eligible for Free or Reduced-Price Meals ","cohort.rate.2013-14","89.5 "
"0076111","201415","Students with Disabilities ","cohort.rate.2013-14","78.1 "
"0076111","201415","School ","cohort.rate.2013-14","95.3 "
"0076111","201415","District ","cohort.rate.2013-14","94.9 "
"0076111","201415","Black or African American ","cohort.target.2013-14",". "
"0076111","201415","Hispanic or Latino ","cohort.target.2013-14",". "
"0076111","201415","English Language Learners ","cohort.target.2013-14",". "
"0076111","201415","Eligible for Free or Reduced-Price Meals ","cohort.target.2013-14",". "
"0076111","201415","Students with Disabilities ","cohort.target.2013-14",". "
"0076111","201415","School ","cohort.target.2013-14",". "
"0076111","201415","District ","cohort.target.2013-14","93.9 "
"0076111","201415","Black or African American ","target.achieved.2013-14",""
"0076111","201415","Hispanic or Latino ","target.achieved.2013-14",""
"0076111","201415","English Language Learners ","target.achieved.2013-14",""
"0076111","201415","Eligible for Free or Reduced-Price Meals ","target.achieved.2013-14",""
"0076111","201415","Students with Disabilities ","target.achieved.2013-14",""
"0076111","201415","School ","target.achieved.2013-14",""
"0076111","201415","District ","target.achieved.2013-14","Yes "
"0076111","201415","Black or African American ","target.percent.2014-15","."
"0076111","201415","Hispanic or Latino ","target.percent.2014-15","."
"0076111","201415","English Language Learners ","target.percent.2014-15","."
"0076111","201415","Eligible for Free or Reduced-Price Meals ","target.percent.2014-15","."
"0076111","201415","Students with Disabilities ","target.percent.2014-15","."
"0076111","201415","School ","target.percent.2014-15","."
"0076111","201415","District ","target.percent.2014-15","93.9"
"0076111","201516","Black or African American ","cohort.count.2014-15","* "
"0076111","201516","Hispanic or Latino ","cohort.count.2014-15","* "
"0076111","201516","English Language Learners ","cohort.count.2014-15","* "
"0076111","201516","Eligible for Free or Reduced-Price Meals ","cohort.count.2014-15","32 "
"0076111","201516","Students with Disabilities ","cohort.count.2014-15","31 "
"0076111","201516","School ","cohort.count.2014-15","209 "
"0076111","201516","District ","cohort.count.2014-15",""
"0076111","201516","Black or African American ","cohort.rate.2014-15","* "
"0076111","201516","Hispanic or Latino ","cohort.rate.2014-15","* "
"0076111","201516","English Language Learners ","cohort.rate.2014-15","* "
"0076111","201516","Eligible for Free or Reduced-Price Meals ","cohort.rate.2014-15","84.4 "
"0076111","201516","Students with Disabilities ","cohort.rate.2014-15","80.6 "
"0076111","201516","School ","cohort.rate.2014-15","94.3 "
"0076111","201516","District ","cohort.rate.2014-15","93.8 "
"0076111","201516","Black or African American ","cohort.target.2014-15",". "
"0076111","201516","Hispanic or Latino ","cohort.target.2014-15",". "
"0076111","201516","English Language Learners ","cohort.target.2014-15",". "
"0076111","201516","Eligible for Free or Reduced-Price Meals ","cohort.target.2014-15",". "
"0076111","201516","Students with Disabilities ","cohort.target.2014-15",". "
"0076111","201516","School ","cohort.target.2014-15",". "
"0076111","201516","District ","cohort.target.2014-15","93.9 "
"0076111","201516","Black or African American ","target.achieved.2014-15",""
"0076111","201516","Hispanic or Latino ","target.achieved.2014-15",""
"0076111","201516","English Language Learners ","target.achieved.2014-15",""
"0076111","201516","Eligible for Free or Reduced-Price Meals ","target.achieved.2014-15",""
"0076111","201516","Students with Disabilities ","target.achieved.2014-15",""
"0076111","201516","School ","target.achieved.2014-15",""
"0076111","201516","District ","target.achieved.2014-15","No "
"0076111","201516","Black or African American ","target.percent.2015-16","."
"0076111","201516","Hispanic or Latino ","target.percent.2015-16","."
"0076111","201516","English Language Learners ","target.percent.2015-16","."
"0076111","201516","Eligible for Free or Reduced-Price Meals ","target.percent.2015-16","."
"0076111","201516","Students with Disabilities ","target.percent.2015-16","."
"0076111","201516","School ","target.percent.2015-16","."
"0076111","201516","District ","target.percent.2015-16","93.9"
"0096111","201314","Black or African American ","cohort.count.2012-13","* "
"0096111","201314","Hispanic or Latino ","cohort.count.2012-13","26 "
"0096111","201314","English Language Learners ","cohort.count.2012-13","* "
"0096111","201314","Eligible for Free or Reduced-Price Meals ","cohort.count.2012-13","40 "
"0096111","201314","Students with Disabilities ","cohort.count.2012-13","21 "
"0096111","201314","School ","cohort.count.2012-13","233 "
"0096111","201314","District ","cohort.count.2012-13",""
"0096111","201314","Black or African American ","cohort.rate.2012-13","* "
"0096111","201314","Hispanic or Latino ","cohort.rate.2012-13","76.9 "
"0096111","201314","English Language Learners ","cohort.rate.2012-13","* "
"0096111","201314","Eligible for Free or Reduced-Price Meals ","cohort.rate.2012-13","77.5 "
"0096111","201314","Students with Disabilities ","cohort.rate.2012-13","61.9 "
"0096111","201314","School ","cohort.rate.2012-13","93.1 "
"0096111","201314","District ","cohort.rate.2012-13","92.7 "
"0096111","201314","Black or African American ","cohort.target.2012-13",". "
"0096111","201314","Hispanic or Latino ","cohort.target.2012-13",". "
"0096111","201314","English Language Learners ","cohort.target.2012-13",". "
"0096111","201314","Eligible for Free or Reduced-Price Meals ","cohort.target.2012-13",". "
"0096111","201314","Students with Disabilities ","cohort.target.2012-13",". "
"0096111","201314","School ","cohort.target.2012-13",". "
"0096111","201314","District ","cohort.target.2012-13","93.0 "
"0096111","201314","Black or African American ","target.achieved.2012-13",""
"0096111","201314","Hispanic or Latino ","target.achieved.2012-13",""
"0096111","201314","English Language Learners ","target.achieved.2012-13",""
"0096111","201314","Eligible for Free or Reduced-Price Meals ","target.achieved.2012-13",""
"0096111","201314","Students with Disabilities ","target.achieved.2012-13",""
"0096111","201314","School ","target.achieved.2012-13",""
"0096111","201314","District ","target.achieved.2012-13","No "
"0096111","201314","Black or African American ","target.percent.2013-14","."
"0096111","201314","Hispanic or Latino ","target.percent.2013-14","."
"0096111","201314","English Language Learners ","target.percent.2013-14","."
"0096111","201314","Eligible for Free or Reduced-Price Meals ","target.percent.2013-14","."
"0096111","201314","Students with Disabilities ","target.percent.2013-14","."
"0096111","201314","School ","target.percent.2013-14","."
"0096111","201314","District ","target.percent.2013-14","93.1"
"0096111","201415","Black or African American ","cohort.count.2013-14","* "
"0096111","201415","Hispanic or Latino ","cohort.count.2013-14","29 "
"0096111","201415","English Language Learners ","cohort.count.2013-14","* "
"0096111","201415","Eligible for Free or Reduced-Price Meals ","cohort.count.2013-14","53 "
"0096111","201415","Students with Disabilities ","cohort.count.2013-14","31 "
"0096111","201415","School ","cohort.count.2013-14","244 "
"0096111","201415","District ","cohort.count.2013-14",""
"0096111","201415","Black or African American ","cohort.rate.2013-14","* "
"0096111","201415","Hispanic or Latino ","cohort.rate.2013-14","82.8 "
"0096111","201415","English Language Learners ","cohort.rate.2013-14","* "
"0096111","201415","Eligible for Free or Reduced-Price Meals ","cohort.rate.2013-14","81.1 "
"0096111","201415","Students with Disabilities ","cohort.rate.2013-14","80.6 "
"0096111","201415","School ","cohort.rate.2013-14","92.6 "
"0096111","201415","District ","cohort.rate.2013-14","92.6 "
"0096111","201415","Black or African American ","cohort.target.2013-14",". "
"0096111","201415","Hispanic or Latino ","cohort.target.2013-14",". "
"0096111","201415","English Language Learners ","cohort.target.2013-14",". "
"0096111","201415","Eligible for Free or Reduced-Price Meals ","cohort.target.2013-14",". "
"0096111","201415","Students with Disabilities ","cohort.target.2013-14",". "
"0096111","201415","School ","cohort.target.2013-14",". "
"0096111","201415","District ","cohort.target.2013-14","93.1 "
"0096111","201415","Black or African American ","target.achieved.2013-14",""
"0096111","201415","Hispanic or Latino ","target.achieved.2013-14",""
"0096111","201415","English Language Learners ","target.achieved.2013-14",""
"0096111","201415","Eligible for Free or Reduced-Price Meals ","target.achieved.2013-14",""
"0096111","201415","Students with Disabilities ","target.achieved.2013-14",""
"0096111","201415","School ","target.achieved.2013-14",""
"0096111","201415","District ","target.achieved.2013-14","No "
"0096111","201415","Black or African American ","target.percent.2014-15","."
"0096111","201415","Hispanic or Latino ","target.percent.2014-15","."
"0096111","201415","English Language Learners ","target.percent.2014-15","."
"0096111","201415","Eligible for Free or Reduced-Price Meals ","target.percent.2014-15","."
"0096111","201415","Students with Disabilities ","target.percent.2014-15","."
"0096111","201415","School ","target.percent.2014-15","."
"0096111","201415","District ","target.percent.2014-15","93.2"
"0096111","201516","Black or African American ","cohort.count.2014-15","* "
"0096111","201516","Hispanic or Latino ","cohort.count.2014-15","25 "
"0096111","201516","English Language Learners ","cohort.count.2014-15","* "
"0096111","201516","Eligible for Free or Reduced-Price Meals ","cohort.count.2014-15","56 "
"0096111","201516","Students with Disabilities ","cohort.count.2014-15","28 "
"0096111","201516","School ","cohort.count.2014-15","214 "
"0096111","201516","District ","cohort.count.2014-15",""
"0096111","201516","Black or African American ","cohort.rate.2014-15","* "
"0096111","201516","Hispanic or Latino ","cohort.rate.2014-15","92.0 "
"0096111","201516","English Language Learners ","cohort.rate.2014-15","* "
"0096111","201516","Eligible for Free or Reduced-Price Meals ","cohort.rate.2014-15","89.3 "
"0096111","201516","Students with Disabilities ","cohort.rate.2014-15","85.7 "
"0096111","201516","School ","cohort.rate.2014-15","95.8 "
"0096111","201516","District ","cohort.rate.2014-15","95.9 "
"0096111","201516","Black or African American ","cohort.target.2014-15",". "
"0096111","201516","Hispanic or Latino ","cohort.target.2014-15",". "
"0096111","201516","English Language Learners ","cohort.target.2014-15",". "
"0096111","201516","Eligible for Free or Reduced-Price Meals ","cohort.target.2014-15",". "
"0096111","201516","Students with Disabilities ","cohort.target.2014-15",". "
"0096111","201516","School ","cohort.target.2014-15",". "
"0096111","201516","District ","cohort.target.2014-15","93.2 "
"0096111","201516","Black or African American ","target.achieved.2014-15",""
"0096111","201516","Hispanic or Latino ","target.achieved.2014-15",""
"0096111","201516","English Language Learners ","target.achieved.2014-15",""
"0096111","201516","Eligible for Free or Reduced-Price Meals ","target.achieved.2014-15",""
"0096111","201516","Students with Disabilities ","target.achieved.2014-15",""
"0096111","201516","School ","target.achieved.2014-15",""
"0096111","201516","District ","target.achieved.2014-15","Yes "
"0096111","201516","Black or African American ","target.percent.2015-16","."
"0096111","201516","Hispanic or Latino ","target.percent.2015-16","."
"0096111","201516","English Language Learners ","target.percent.2015-16","."
"0096111","201516","Eligible for Free or Reduced-Price Meals ","target.percent.2015-16","."
"0096111","201516","Students with Disabilities ","target.percent.2015-16","."
"0096111","201516","School ","target.percent.2015-16","."
"0096111","201516","District ","target.percent.2015-16","93.3"
"0116111","201314","Black or African American ","cohort.count.2012-13","113 "
"0116111","201314","Hispanic or Latino ","cohort.count.2012-13","* "
"0116111","201314","English Language Learners ","cohort.count.2012-13","* "
"0116111","201314","Eligible for Free or Reduced-Price Meals ","cohort.count.2012-13","70 "
"0116111","201314","Students with Disabilities ","cohort.count.2012-13","* "
"0116111","201314","School ","cohort.count.2012-13","125 "
"0116111","201314","District ","cohort.count.2012-13",""
"0116111","201314","Black or African American ","cohort.rate.2012-13","91.2 "
"0116111","201314","Hispanic or Latino ","cohort.rate.2012-13","* "
"0116111","201314","English Language Learners ","cohort.rate.2012-13","* "
"0116111","201314","Eligible for Free or Reduced-Price Meals ","cohort.rate.2012-13","85.7 "
"0116111","201314","Students with Disabilities ","cohort.rate.2012-13","* "
"0116111","201314","School ","cohort.rate.2012-13","91.2 "
"0116111","201314","District ","cohort.rate.2012-13","88.5 "
"0116111","201314","Black or African American ","cohort.target.2012-13","78.5 "
"0116111","201314","Hispanic or Latino ","cohort.target.2012-13",". "
"0116111","201314","English Language Learners ","cohort.target.2012-13",". "
"0116111","201314","Eligible for Free or Reduced-Price Meals ","cohort.target.2012-13","70.7 "
"0116111","201314","Students with Disabilities ","cohort.target.2012-13","57.3 "
"0116111","201314","School ","cohort.target.2012-13","77.5 "
"0116111","201314","District ","cohort.target.2012-13","77.6 "
"0116111","201314","Black or African American ","target.achieved.2012-13","Yes "
"0116111","201314","Hispanic or Latino ","target.achieved.2012-13",""
