"indicator","index.rate","target","points","max","percent.points","state.avg","school_code","year"
"Science: High Needs Students ","42.9 ","75 ",57.2,100,57.2,"45.9","0026111","201415"
"Chronic absenteeism: All Students ","21.6% ","<=5% ",16.8,50,33.6,"10.6%","0026111","201415"
"Chronic absenteeism: High Needs Students ","25.7% ","<=5% ",8.7,50,17.4,"17.3%","0026111","201415"
"Prep for CCR: % Taking Courses ","80.2% ","75% ",50,50,100,"66.1%","0026111","201415"
"Prep for CCR: % Passing Exams ","22.1% ","75% ",14.8,50,29.5,"37.3%","0026111","201415"
"Postsecondary Entrance (Class of 2014) ","59.4% ","75% ",79.2,100,79.2,"72.8%","0026111","201415"
"Physical Fitness (estimated part rate) and (fitness rate) ","96.9% | 44.9% ","75% ",29.9,50,59.8,"87.6% | 51.0%","0026111","201415"
"Arts Access ","41.7% ","60% ",34.7,50,69.5,"45.7%","0026111","201415"
"Accountability Index ","","",890.9,1250,71.3,"","0026111","201415"
"ELA: High Needs Students ","47.2 ","75 ",63,100,63,"56.7","0026111","201516"
"ELA: All Students ","46.0 ","75 ",61.4,100,61.4,"61.4","0026111","201516"
"Math: High Needs Students ","41.8 ","75 ",55.7,100,55.7,"49.9","0026111","201516"
"Math: All Students ","44.5 ","75 ",59.3,100,59.3,"57.5","0026111","201516"
"Science: High Needs Students ","40.3 ","75 ",53.8,100,53.8,"47.0","0026111","201516"
"Science: All Students ","N/A ","100% ",0,0,0,"63.8%","0026111","201516"
"Chronic absenteeism: High Needs Students ","N/A ","100% ",0,0,0,"58.3%","0026111","201516"
"Chronic absenteeism: All Students ","N/A ","100% ",0,0,0,"65.0%","0026111","201516"
"Prep for CCR: High Needs Students ","N/A ","100% ",0,0,0,"57.4%","0026111","201516"
"Prep for CCR: All Students ","15.7% ","<=5% ",28.6,50,57.2,"9.6%","0026111","201516"
"On-track to High School Graduation ","91.2% ","94% ",48.5,50,97,"85.1%","0026111","201516"
"4-year Graduation All Students (2015 Cohort) ","88.9% ","94% ",94.6,100,94.6,"87.2%","0026111","201516"
"6-year Graduation - High Needs Students (2013 Cohort) ","80.1% ","94% ",85.2,100,85.2,"78.6%","0026111","201516"
"Postsecondary Entrance (Class of 2015) ","63.8% ","75% ",85.1,100,85.1,"71.9%","0026111","201516"
"Physical Fitness (estimated part rate) and (fitness rate) ","90.7% | 69.9% ","75% ",46.6,50,93.1,"89.2% | 50.5%","0026111","201516"
"ELA: All Students ","72.6 ","75 ",96.7,100,96.7,"67.9","0030111","201415"
"ELA: High Needs Students ","63.9 ","75 ",85.2,100,85.2,"56.7","0030111","201415"
"Math: All Students ","61.7 ","75 ",82.3,100,82.3,"59.3","0030111","201415"
"Math: High Needs Students ","53.9 ","75 ",71.8,100,71.8,"47.8","0030111","201415"
"Science: All Students ","54.6 ","75 ",72.8,100,72.8,"56.5","0030111","201415"
"Science: High Needs Students ","47.9 ","75 ",63.9,100,63.9,"45.9","0030111","201415"
"Chronic absenteeism: All Students ","6.9% ","<=5% ",46.1,50,92.3,"10.6%","0030111","201415"
"Chronic absenteeism: High Needs Students ","10.3% ","<=5% ",39.5,50,78.9,"17.3%","0030111","201415"
"Prep for CCR: % Taking Courses ","N/A ","75% ",0,0,0,"66.1%","0030111","201415"
"Prep for CCR: % Passing Exams ","N/A ","75% ",0,0,0,"37.3%","0030111","201415"
"Physical Fitness (estimated part rate) and (fitness rate) ","100.0% | 47.9% ","75% ",31.9,50,63.8,"87.6% | 51.0%","0030111","201415"
"Arts Access ","N/A ","60% ",0,0,0,"45.7%","0030111","201415"
"Accountability Index ","","",635.3,800,79.4,"","0030111","201415"
"ELA Performance index: All Students ","72.2 ","75 ",48.1,50,96.2,"67.7","0030111","201516"
"ELA Performance index: High Needs Students ","62.4 ","75 ",41.6,50,83.2,"56.7","0030111","201516"
"Math Performance index: All Students ","65.1 ","75 ",43.4,50,86.8,"61.4","0030111","201516"
"Math Performance index: High Needs Students ","57.9 ","75 ",38.6,50,77.2,"49.9","0030111","201516"
"Science Performance index: All Students ","64.4 ","75 ",42.9,50,85.9,"57.5","0030111","201516"
"Science Performance index: High Needs Students ","60.9 ","75 ",40.6,50,81.2,"47.0","0030111","201516"
"ELA Academic growth: ELA Performance index: All Students ","59.4% ","100% ",59.4,100,59.4,"63.8%","0030111","201516"
"ELA Academic growth: ELA Performance index: High Needs Students ","51.3% ","100% ",51.3,100,51.3,"58.3%","0030111","201516"
"Math Academic growth: Math Performance index: All Students ","58.3% ","100% ",58.3,100,58.3,"65.0%","0030111","201516"
"Math Academic growth: Math Performance index: High Needs Students ","58.1% ","100% ",58.1,100,58.1,"57.4%","0030111","201516"
"Chronic absenteeism: Science Performance index: All Students ","5.2% ","<=5% ",49.7,50,99.4,"9.6%","0030111","201516"
"Chronic absenteeism: Science Performance index: High Needs Students ","7.9% ","<=5% ",44.2,50,88.3,"15.6%","0030111","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: All Students ","N/A ","75% ",0,0,0,"67.6%","0030111","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","75% ",0,0,0,"40.7%","0030111","201516"
"On-track to High School Graduation ","87.0% ","94% ",46.3,50,92.5,"85.1%","0030111","201516"
"4-year Graduation All Students (2015 Cohort) ","N/A ","94% ",0,0,0,"87.2%","0030111","201516"
"6-year Graduation - High Needs Students (2013 Cohort) ","N/A ","94% ",0,0,0,"78.6%","0030111","201516"
"Postsecondary Entrance (Class of 2015) ","N/A ","75% ",0,0,0,"71.9%","0030111","201516"
"Physical Fitness (estimated part rate) and (fitness rate) ","94.8% | 11.0% ","75% ",7.3,50,14.7,"89.2% | 50.5%","0030111","201516"
"Arts Access ","N/A ","60% ",0,0,0,"47.5%","0030111","201516"
"ELA: All Students ","85.1 ","75 ",100,100,100,"67.9","0040311","201415"
"ELA: High Needs Students ","68.6 ","75 ",91.4,100,91.4,"56.7","0040311","201415"
"Math: All Students ","80.0 ","75 ",100,100,100,"59.3","0040311","201415"
"Math: High Needs Students ","62.4 ","75 ",83.1,100,83.1,"47.8","0040311","201415"
"Science: All Students ","N/A ","75 ",0,0,0,"56.5","0040311","201415"
"Science: High Needs Students ","N/A ","75 ",0,0,0,"45.9","0040311","201415"
"Chronic absenteeism: All Students ","4.6% ","<=5% ",50,50,100,"10.6%","0040311","201415"
"Chronic absenteeism: High Needs Students ","14.8% ","<=5% ",30.5,50,61,"17.3%","0040311","201415"
"Prep for CCR: % Taking Courses ","N/A ","75% ",0,0,0,"66.1%","0040311","201415"
"Prep for CCR: % Passing Exams ","N/A ","75% ",0,0,0,"37.3%","0040311","201415"
"Physical Fitness (estimated part rate) and (fitness rate) ","100.0% | 50.0% ","75% ",33.3,50,66.7,"87.6% | 51.0%","0040311","201415"
"Arts Access ","N/A ","60% ",0,0,0,"45.7%","0040311","201415"
"Accountability Index ","","",488.4,550,88.8,"","0040311","201415"
"ELA Performance index: All Students ","85.0 ","75 ",50,50,100,"67.7","0040311","201516"
"ELA Performance index: High Needs Students ","68.6 ","75 ",45.7,50,91.5,"56.7","0040311","201516"
"Math Performance index: All Students ","79.8 ","75 ",50,50,100,"61.4","0040311","201516"
"Math Performance index: High Needs Students ","66.0 ","75 ",44,50,88,"49.9","0040311","201516"
"Science Performance index: All Students ","N/A ","75 ",0,0,0,"57.5","0040311","201516"
"Science Performance index: High Needs Students ","N/A ","75 ",0,0,0,"47.0","0040311","201516"
"ELA Academic growth: ELA Performance index: All Students ","74.6% ","100% ",74.6,100,74.6,"63.8%","0040311","201516"
"ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","100% ",0,0,0,"58.3%","0040311","201516"
"Math Academic growth: Math Performance index: All Students ","65.5% ","100% ",65.5,100,65.5,"65.0%","0040311","201516"
"Math Academic growth: Math Performance index: High Needs Students ","N/A ","100% ",0,0,0,"57.4%","0040311","201516"
"Chronic absenteeism: Science Performance index: All Students ","6.4% ","<=5% ",47.3,50,94.6,"9.6%","0040311","201516"
"Chronic absenteeism: Science Performance index: High Needs Students ","15.9% ","<=5% ",28.3,50,56.5,"15.6%","0040311","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: All Students ","N/A ","75% ",0,0,0,"67.6%","0040311","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","75% ",0,0,0,"40.7%","0040311","201516"
"On-track to High School Graduation ","N/A ","94% ",0,0,0,"85.1%","0040311","201516"
"4-year Graduation All Students (2015 Cohort) ","N/A ","94% ",0,0,0,"87.2%","0040311","201516"
"6-year Graduation - High Needs Students (2013 Cohort) ","N/A ","94% ",0,0,0,"78.6%","0040311","201516"
"Postsecondary Entrance (Class of 2015) ","N/A ","75% ",0,0,0,"71.9%","0040311","201516"
"Physical Fitness (estimated part rate) and (fitness rate) ","99.0% | 53.8% ","75% ",35.9,50,71.8,"89.2% | 50.5%","0040311","201516"
"Arts Access ","N/A ","60% ",0,0,0,"47.5%","0040311","201516"
"ELA: All Students ","82.8 ","75 ",100,100,100,"67.9","0040411","201415"
"ELA: High Needs Students ","68.6 ","75 ",91.5,100,91.5,"56.7","0040411","201415"
"Math: All Students ","76.6 ","75 ",100,100,100,"59.3","0040411","201415"
"Math: High Needs Students ","61.8 ","75 ",82.3,100,82.3,"47.8","0040411","201415"
"Science: All Students ","N/A ","75 ",0,0,0,"56.5","0040411","201415"
"Science: High Needs Students ","N/A ","75 ",0,0,0,"45.9","0040411","201415"
"Chronic absenteeism: All Students ","0.0% ","<=5% ",50,50,100,"10.6%","0040411","201415"
"Chronic absenteeism: High Needs Students ","0.0% ","<=5% ",50,50,100,"17.3%","0040411","201415"
"Prep for CCR: % Taking Courses ","N/A ","75% ",0,0,0,"66.1%","0040411","201415"
"Prep for CCR: % Passing Exams ","N/A ","75% ",0,0,0,"37.3%","0040411","201415"
"Physical Fitness (estimated part rate) and (fitness rate) ","100.0% | 62.5% ","75% ",41.7,50,83.3,"87.6% | 51.0%","0040411","201415"
"Arts Access ","N/A ","60% ",0,0,0,"45.7%","0040411","201415"
"Accountability Index ","","",515.5,550,93.7,"","0040411","201415"
"ELA Performance index: All Students ","82.9 ","75 ",50,50,100,"67.7","0040411","201516"
"ELA Performance index: High Needs Students ","70.2 ","75 ",46.8,50,93.6,"56.7","0040411","201516"
"Math Performance index: All Students ","77.2 ","75 ",50,50,100,"61.4","0040411","201516"
"Math Performance index: High Needs Students ","63.6 ","75 ",42.4,50,84.8,"49.9","0040411","201516"
"Science Performance index: All Students ","N/A ","75 ",0,0,0,"57.5","0040411","201516"
"Science Performance index: High Needs Students ","N/A ","75 ",0,0,0,"47.0","0040411","201516"
"ELA Academic growth: ELA Performance index: All Students ","70.6% ","100% ",70.6,100,70.6,"63.8%","0040411","201516"
"ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","100% ",0,0,0,"58.3%","0040411","201516"
"Math Academic growth: Math Performance index: All Students ","70.6% ","100% ",70.6,100,70.6,"65.0%","0040411","201516"
"Math Academic growth: Math Performance index: High Needs Students ","N/A ","100% ",0,0,0,"57.4%","0040411","201516"
"Chronic absenteeism: Science Performance index: All Students ","3.7% ","<=5% ",50,50,100,"9.6%","0040411","201516"
"Chronic absenteeism: Science Performance index: High Needs Students ","7.6% ","<=5% ",44.7,50,89.4,"15.6%","0040411","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: All Students ","N/A ","75% ",0,0,0,"67.6%","0040411","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","75% ",0,0,0,"40.7%","0040411","201516"
"On-track to High School Graduation ","N/A ","94% ",0,0,0,"85.1%","0040411","201516"
"4-year Graduation All Students (2015 Cohort) ","N/A ","94% ",0,0,0,"87.2%","0040411","201516"
"6-year Graduation - High Needs Students (2013 Cohort) ","N/A ","94% ",0,0,0,"78.6%","0040411","201516"
"Postsecondary Entrance (Class of 2015) ","N/A ","75% ",0,0,0,"71.9%","0040411","201516"
"Physical Fitness (estimated part rate) and (fitness rate) ","97.4% | 61.1% ","75% ",40.7,50,81.4,"89.2% | 50.5%","0040411","201516"
"Arts Access ","N/A ","60% ",0,0,0,"47.5%","0040411","201516"
"ELA: All Students ","82.2 ","75 ",100,100,100,"67.9","0040511","201415"
"ELA: High Needs Students ","63.7 ","75 ",84.9,100,84.9,"56.7","0040511","201415"
"Math: All Students ","75.7 ","75 ",100,100,100,"59.3","0040511","201415"
"Math: High Needs Students ","56.5 ","75 ",75.3,100,75.3,"47.8","0040511","201415"
"Science: All Students ","63.7 ","75 ",85,100,85,"56.5","0040511","201415"
"Science: High Needs Students ","49.9 ","75 ",66.6,100,66.6,"45.9","0040511","201415"
"Chronic absenteeism: All Students ","4.5% ","<=5% ",50,50,100,"10.6%","0040511","201415"
"Chronic absenteeism: High Needs Students ","7.1% ","<=5% ",45.9,50,91.8,"17.3%","0040511","201415"
"Prep for CCR: % Taking Courses ","N/A ","75% ",0,0,0,"66.1%","0040511","201415"
"Prep for CCR: % Passing Exams ","N/A ","75% ",0,0,0,"37.3%","0040511","201415"
"Physical Fitness (estimated part rate) and (fitness rate) ","80.9% | 76.9% ","75% ",25,50,50,"87.6% | 51.0%","0040511","201415"
"Arts Access ","N/A ","60% ",0,0,0,"45.7%","0040511","201415"
"Accountability Index ","","",632.7,750,84.4,"","0040511","201415"
"ELA Performance index: All Students ","82.9 ","75 ",50,50,100,"67.7","0040511","201516"
"ELA Performance index: High Needs Students ","63.8 ","75 ",42.5,50,85,"56.7","0040511","201516"
"Math Performance index: All Students ","76.5 ","75 ",50,50,100,"61.4","0040511","201516"
"Math Performance index: High Needs Students ","57.7 ","75 ",38.5,50,76.9,"49.9","0040511","201516"
"Science Performance index: All Students ","66.5 ","75 ",44.3,50,88.6,"57.5","0040511","201516"
"Science Performance index: High Needs Students ","49.6 ","75 ",33.1,50,66.2,"47.0","0040511","201516"
"ELA Academic growth: ELA Performance index: All Students ","76.6% ","100% ",76.6,100,76.6,"63.8%","0040511","201516"
"ELA Academic growth: ELA Performance index: High Needs Students ","62.5% ","100% ",62.5,100,62.5,"58.3%","0040511","201516"
"Math Academic growth: Math Performance index: All Students ","74.2% ","100% ",74.2,100,74.2,"65.0%","0040511","201516"
