"category","Count","SPI","Target","Achieved","type","school_code","year"
"High Needs ","91 ","61.2","69.4 ","No","CMT","0030111","201314"
"School ","253 ","76.2","81.4 ","No","CMT","0030111","201314"
"","","","","","CMT","0040311","201314"
"Black or African American ","",".",". ","","CMT","0040311","201314"
"Hispanic or Latino ","",".",". ","","CMT","0040311","201314"
"English Language Learners ","",".",". ","","CMT","0040311","201314"
"","","","","","CMT","0040311","201314"
"Eligible for Free or Reduced-Price Meals ","",".",". ","","CMT","0040311","201314"
"Students with Disabilities ","",".",". ","","CMT","0040311","201314"
"","","","","","CMT","0040411","201314"
"Black or African American ","",".",". ","","CMT","0040411","201314"
"Hispanic or Latino ","",".",". ","","CMT","0040411","201314"
"English Language Learners ","",".",". ","","CMT","0040411","201314"
"","","","","","CMT","0040411","201314"
"Eligible for Free or Reduced-Price Meals ","",".",". ","","CMT","0040411","201314"
"Students with Disabilities ","",".",". ","","CMT","0040411","201314"
"","","","","","CMT","0040511","201314"
"Black or African American ","",".",". ","","CMT","0040511","201314"
"Hispanic or Latino ","",".",". ","","CMT","0040511","201314"
"English Language Learners ","",".",". ","","CMT","0040511","201314"
"","","","","","CMT","0040511","201314"
"Eligible for Free or Reduced-Price Meals ","",".",". ","","CMT","0040511","201314"
"Students with Disabilities ","",".",". ","","CMT","0040511","201314"
"","","","","","CMT","0045111","201314"
"Black or African American ","",".",". ","","CMT","0045111","201314"
"Hispanic or Latino ","",".",". ","","CMT","0045111","201314"
"English Language Learners ","",".",". ","","CMT","0045111","201314"
"","","","","","CMT","0045111","201314"
"Eligible for Free or Reduced-Price Meals ","",".",". ","","CMT","0045111","201314"
"Students with Disabilities ","",".",". ","","CMT","0045111","201314"
"","","","","","CAPT","0046111","201314"
"Black or African American ","",".",". ","","CAPT","0046111","201314"
"Hispanic or Latino ","",".",". ","","CAPT","0046111","201314"
"English Language Learners ","",".",". ","","CAPT","0046111","201314"
"","","","","","CAPT","0046111","201314"
"Eligible for Free or Reduced-Price Meals ","",".",". ","","CAPT","0046111","201314"
"Students with Disabilities ","",".",". ","","CAPT","0046111","201314"
"","","","","","CMT","0050111","201314"
"Black or African American ","",".",". ","","CMT","0050111","201314"
"Hispanic or Latino ","",".",". ","","CMT","0050111","201314"
"English Language Learners ","",".",". ","","CMT","0050111","201314"
"","","","","","CMT","0050111","201314"
"Eligible for Free or Reduced-Price Meals ","",".",". ","","CMT","0050111","201314"
"Students with Disabilities ","",".",". ","","CMT","0050111","201314"
"","","","","","CMT","0070111","201314"
"Black or African American ","",".",". ","","CMT","0070111","201314"
"Hispanic or Latino ","",".",". ","","CMT","0070111","201314"
"English Language Learners ","",".",". ","","CMT","0070111","201314"
"","","","","","CMT","0070111","201314"
"Eligible for Free or Reduced-Price Meals ","",".",". ","","CMT","0070111","201314"
"Students with Disabilities ","",".",". ","","CMT","0070111","201314"
"","","","","","CMT","0070411","201314"
"Black or African American ","",".",". ","","CMT","0070411","201314"
"Hispanic or Latino ","",".",". ","","CMT","0070411","201314"
"English Language Learners ","",".",". ","","CMT","0070411","201314"
"","","","","","CMT","0070411","201314"
"Eligible for Free or Reduced-Price Meals ","",".",". ","","CMT","0070411","201314"
"Students with Disabilities ","",".",". ","","CMT","0070411","201314"
"","","","","","CMT","0070511","201314"
"Black or African American ","",".",". ","","CMT","0070511","201314"
"Hispanic or Latino ","",".",". ","","CMT","0070511","201314"
"English Language Learners ","",".",". ","","CMT","0070511","201314"
"","","","","","CMT","0070511","201314"
"Eligible for Free or Reduced-Price Meals ","",".",". ","","CMT","0070511","201314"
"Students with Disabilities ","",".",". ","","CMT","0070511","201314"
"","","","","","CMT","0075111","201314"
"Black or African American ","",".",". ","","CMT","0075111","201314"
"Hispanic or Latino ","",".",". ","","CMT","0075111","201314"
"English Language Learners ","",".",". ","","CMT","0075111","201314"
"","","","","","CMT","0075111","201314"
"Eligible for Free or Reduced-Price Meals ","",".",". ","","CMT","0075111","201314"
"Students with Disabilities ","",".",". ","","CMT","0075111","201314"
"","","","","","CAPT","0076111","201314"
"Black or African American ","",".",". ","","CAPT","0076111","201314"
"Hispanic or Latino ","",".",". ","","CAPT","0076111","201314"
"English Language Learners ","",".",". ","","CAPT","0076111","201314"
"","","","","","CAPT","0076111","201314"
"Eligible for Free or Reduced-Price Meals ","",".",". ","","CAPT","0076111","201314"
"Students with Disabilities ","",".",". ","","CAPT","0076111","201314"
"","","","","","CMT","0080111","201314"
"Black or African American ","",".",". ","","CMT","0080111","201314"
"Hispanic or Latino ","",".",". ","","CMT","0080111","201314"
"English Language Learners ","",".",". ","","CMT","0080111","201314"
"","","","","","CMT","0080111","201314"
"Eligible for Free or Reduced-Price Meals ","",".",". ","","CMT","0080111","201314"
"Students with Disabilities ","",".",". ","","CMT","0080111","201314"
"","","","","","CMT","0090111","201314"
"Black or African American ","",".",". ","","CMT","0090111","201314"
"Hispanic or Latino ","",".",". ","","CMT","0090111","201314"
"English Language Learners ","",".",". ","","CMT","0090111","201314"
"","","","","","CMT","0090111","201314"
"Eligible for Free or Reduced-Price Meals ","",".",". ","","CMT","0090111","201314"
"Students with Disabilities ","",".",". ","","CMT","0090111","201314"
"","","","","","CMT","0090411","201314"
"Black or African American ","",".",". ","","CMT","0090411","201314"
"Hispanic or Latino ","",".",". ","","CMT","0090411","201314"
"English Language Learners ","",".",". ","","CMT","0090411","201314"
"","","","","","CMT","0090411","201314"
"Eligible for Free or Reduced-Price Meals ","",".",". ","","CMT","0090411","201314"
"Students with Disabilities ","",".",". ","","CMT","0090411","201314"
"","","","","","CMT","0090511","201314"
"Black or African American ","",".",". ","","CMT","0090511","201314"
"Hispanic or Latino ","",".",". ","","CMT","0090511","201314"
"English Language Learners ","",".",". ","","CMT","0090511","201314"
"","","","","","CMT","0090511","201314"
"Eligible for Free or Reduced-Price Meals ","",".",". ","","CMT","0090511","201314"
"Students with Disabilities ","",".",". ","","CMT","0090511","201314"
"","","","","","CMT","0095111","201314"
"Black or African American ","",".",". ","","CMT","0095111","201314"
"Hispanic or Latino ","",".",". ","","CMT","0095111","201314"
"English Language Learners ","",".",". ","","CMT","0095111","201314"
"","","","","","CMT","0095111","201314"
"Eligible for Free or Reduced-Price Meals ","",".",". ","","CMT","0095111","201314"
"Students with Disabilities ","",".",". ","","CMT","0095111","201314"
"","","","","","CAPT","0096111","201314"
"Black or African American ","",".",". ","","CAPT","0096111","201314"
"Hispanic or Latino ","",".",". ","","CAPT","0096111","201314"
"English Language Learners ","",".",". ","","CAPT","0096111","201314"
"","","","","","CAPT","0096111","201314"
"Eligible for Free or Reduced-Price Meals ","",".",". ","","CAPT","0096111","201314"
"Students with Disabilities ","",".",". ","","CAPT","0096111","201314"
"Black or African American ","169 ","76.3","78.3 ","No","CMT","0110511","201314"
"Hispanic or Latino ","29 ","72.7","75.6 ","No","CMT","0110511","201314"
"English Language Learners ","<20 ",".",".","","CMT","0110511","201314"
"Eligible for Free or Reduced-Price Meals ","115 ","72.3","75.7 ","No","CMT","0110511","201314"
"Students with Disabilities ","31 ","53.0","52.5 ","Yes","CMT","0110511","201314"
"High Needs ","127 ","71.6","75.4 ","No","CMT","0110511","201314"
"School ","223 ","76.9","78.6 ","No","CMT","0110511","201314"
"","","","","","CMT","0110611","201314"
"Black or African American ","",".",". ","","CMT","0110611","201314"
"Hispanic or Latino ","",".",". ","","CMT","0110611","201314"
"English Language Learners ","",".",". ","","CMT","0110611","201314"
"","","","","","CMT","0110611","201314"
"Eligible for Free or Reduced-Price Meals ","",".",". ","","CMT","0110611","201314"
"Students with Disabilities ","",".",". ","","CMT","0110611","201314"
"Black or African American ","179 ","78.5","76.7 ","Yes","CMT","0110711","201314"
"Hispanic or Latino ","<20 ",".","76.4 ","n/a","CMT","0110711","201314"
"English Language Learners ","<20 ",".",".","","CMT","0110711","201314"
"Eligible for Free or Reduced-Price Meals ","116 ","75.3","74.3 ","Yes","CMT","0110711","201314"
"Students with Disabilities ","29 ","54.1","53.3 ","Yes","CMT","0110711","201314"
"High Needs ","126 ","73.6","72.8 ","Yes","CMT","0110711","201314"
"School ","208 ","78.0","76.9 ","Yes","CMT","0110711","201314"
"Black or African American ","N/A ","N/A","N/A ","N/A","CMT","0110811","201314"
"Hispanic or Latino ","N/A ","N/A","N/A ","N/A","CMT","0110811","201314"
"English Language Learners ","N/A ","N/A","N/A ","N/A","CMT","0110811","201314"
"Eligible for Free or Reduced-Price Meals ","N/A ","N/A","N/A ","N/A","CMT","0110811","201314"
"Students with Disabilities ","N/A ","N/A","N/A ","N/A","CMT","0110811","201314"
"High Needs ","N/A ","N/A","N/A ","N/A","CMT","0110811","201314"
"School ","N/A ","N/A","N/A ","N/A","CMT","0110811","201314"
"Black or African American ","157 ","78.6","75.4 ","Yes","CMT","0115211","201314"
"Hispanic or Latino ","38 ","78.9","77.1 ","Yes","CMT","0115211","201314"
"English Language Learners ","<20 ",".",".","","CMT","0115211","201314"
"Eligible for Free or Reduced-Price Meals ","123 ","73.0","73.7 ","No","CMT","0115211","201314"
"Students with Disabilities ","38 ","61.8","52.7 ","Yes","CMT","0115211","201314"
"High Needs ","135 ","73.3","72.2 ","Yes","CMT","0115211","201314"
"School ","209 ","78.1","75.7 ","Yes","CMT","0115211","201314"
"Black or African American ","93 ","66.8","64.0 ","Yes","CAPT","0116111","201314"
"Hispanic or Latino ","<20 ",".",".","","CAPT","0116111","201314"
"English Language Learners ","<20 ",".",".","","CAPT","0116111","201314"
"Eligible for Free or Reduced-Price Meals ","61 ","63.7","59.9 ","Yes","CAPT","0116111","201314"
"Students with Disabilities ","<20 ",".","45.6 ","n/a","CAPT","0116111","201314"
"High Needs ","63 ","63.1","59.7 ","Yes","CAPT","0116111","201314"
"School ","114 ","68.2","64.2 ","Yes","CAPT","0116111","201314"
"Black or African American ","<20 ",".",".","","CAPT","0116311","201314"
"Hispanic or Latino ","<20 ",".",".","","CAPT","0116311","201314"
"English Language Learners ","",".",".","","CAPT","0116311","201314"
"Eligible for Free or Reduced-Price Meals ","<20 ",".",".","","CAPT","0116311","201314"
"Students with Disabilities ","<20 ",".",".","","CAPT","0116311","201314"
"High Needs ","<20 ",".",".","","CAPT","0116311","201314"
"School ","28 ","80.3",". ","n/a","CAPT","0116311","201314"
"","","","","","CAPT","0116411","201314"
"Black or African American ","<20 ",".",". ","","CAPT","0116411","201314"
"Hispanic or Latino ","",".",". ","","CAPT","0116411","201314"
"English Language Learners ","",".",". ","","CAPT","0116411","201314"
"","","","","","CAPT","0116411","201314"
"Eligible for Free or Reduced-Price Meals ","",".",". ","","CAPT","0116411","201314"
"Students with Disabilities ","",".",". ","","CAPT","0116411","201314"
"","","","","","CMT","0120111","201314"
"Black or African American ","",".",". ","","CMT","0120111","201314"
"Hispanic or Latino ","",".",". ","","CMT","0120111","201314"
"English Language Learners ","",".",". ","","CMT","0120111","201314"
"","","","","","CMT","0120111","201314"
"Eligible for Free or Reduced-Price Meals ","",".",". ","","CMT","0120111","201314"
"Students with Disabilities ","",".",". ","","CMT","0120111","201314"
"","","","","","CAPT","0126111","201314"
"Black or African American ","",".",". ","","CAPT","0126111","201314"
"Hispanic or Latino ","",".",". ","","CAPT","0126111","201314"
"English Language Learners ","",".",". ","","CAPT","0126111","201314"
"","","","","","CAPT","0126111","201314"
"Eligible for Free or Reduced-Price Meals ","",".",". ","","CAPT","0126111","201314"
"Students with Disabilities ","",".",". ","","CAPT","0126111","201314"
"","","","","","CMT","0130111","201314"
"Black or African American ","",".",". ","","CMT","0130111","201314"
"Hispanic or Latino ","",".",". ","","CMT","0130111","201314"
"English Language Learners ","",".",". ","","CMT","0130111","201314"
"","","","","","CMT","0130111","201314"
"Eligible for Free or Reduced-Price Meals ","",".",". ","","CMT","0130111","201314"
"Students with Disabilities ","",".",". ","","CMT","0130111","201314"
"","","","","","CMT","0141411","201314"
"Black or African American ","",".",". ","","CMT","0141411","201314"
"Hispanic or Latino ","",".",". ","","CMT","0141411","201314"
"English Language Learners ","",".",". ","","CMT","0141411","201314"
"","","","","","CMT","0141411","201314"
"Eligible for Free or Reduced-Price Meals ","",".",". ","","CMT","0141411","201314"
"Students with Disabilities ","",".",". ","","CMT","0141411","201314"
"","","","","","CMT","0141511","201314"
"Black or African American ","",".",". ","","CMT","0141511","201314"
"Hispanic or Latino ","",".",". ","","CMT","0141511","201314"
"English Language Learners ","",".",". ","","CMT","0141511","201314"
"","","","","","CMT","0141511","201314"
"Eligible for Free or Reduced-Price Meals ","",".",". ","","CMT","0141511","201314"
"Students with Disabilities ","",".",". ","","CMT","0141511","201314"
"","","","","","CMT","0141611","201314"
"Black or African American ","",".",". ","","CMT","0141611","201314"
"Hispanic or Latino ","",".",". ","","CMT","0141611","201314"
"English Language Learners ","",".",". ","","CMT","0141611","201314"
"","","","","","CMT","0141611","201314"
"Eligible for Free or Reduced-Price Meals ","",".",". ","","CMT","0141611","201314"
"Students with Disabilities ","",".",". ","","CMT","0141611","201314"
"","","","","","CMT","0145111","201314"
"Black or African American ","",".",". ","","CMT","0145111","201314"
"Hispanic or Latino ","",".",". ","","CMT","0145111","201314"
"English Language Learners ","",".",". ","","CMT","0145111","201314"
"","","","","","CMT","0145111","201314"
"Eligible for Free or Reduced-Price Meals ","",".",". ","","CMT","0145111","201314"
"Students with Disabilities ","",".",". ","","CMT","0145111","201314"
"","","","","","CAPT","0146111","201314"
"Black or African American ","",".",". ","","CAPT","0146111","201314"
"Hispanic or Latino ","",".",". ","","CAPT","0146111","201314"
"English Language Learners ","",".",". ","","CAPT","0146111","201314"
"","","","","","CAPT","0146111","201314"
"Eligible for Free or Reduced-Price Meals ","",".",". ","","CAPT","0146111","201314"
"Students with Disabilities ","",".",". ","","CAPT","0146111","201314"
"","","","","","CMT","0150111","201314"
"Black or African American ","",".",". ","","CMT","0150111","201314"
"Hispanic or Latino ","",".",". ","","CMT","0150111","201314"
"English Language Learners ","",".",". ","","CMT","0150111","201314"
"","","","","","CMT","0150111","201314"
"Eligible for Free or Reduced-Price Meals ","",".",". ","","CMT","0150111","201314"
"Students with Disabilities ","",".",". ","","CMT","0150111","201314"
"","","","","","CMT","0150211","201314"
"Black or African American ","",".",". ","","CMT","0150211","201314"
"Hispanic or Latino ","",".",". ","","CMT","0150211","201314"
"English Language Learners ","",".",". ","","CMT","0150211","201314"
"","","","","","CMT","0150211","201314"
"Eligible for Free or Reduced-Price Meals ","",".",". ","","CMT","0150211","201314"
"Students with Disabilities ","",".",". ","","CMT","0150211","201314"
"","","","","","CMT","0150311","201314"
"Black or African American ","",".",". ","","CMT","0150311","201314"
"Hispanic or Latino ","",".",". ","","CMT","0150311","201314"
"English Language Learners ","",".",". ","","CMT","0150311","201314"
"","","","","","CMT","0150311","201314"
"Eligible for Free or Reduced-Price Meals ","",".",". ","","CMT","0150311","201314"
"Students with Disabilities ","",".",". ","","CMT","0150311","201314"
"","","","","","CMT","0150411","201314"
"Black or African American ","",".",". ","","CMT","0150411","201314"
"Hispanic or Latino ","",".",". ","","CMT","0150411","201314"
"English Language Learners ","",".",". ","","CMT","0150411","201314"
"","","","","","CMT","0150411","201314"
"Eligible for Free or Reduced-Price Meals ","",".",". ","","CMT","0150411","201314"
"Students with Disabilities ","",".",". ","","CMT","0150411","201314"
"","","","","","CMT","0150511","201314"
"Black or African American ","",".",". ","","CMT","0150511","201314"
"Hispanic or Latino ","",".",". ","","CMT","0150511","201314"
"English Language Learners ","",".",". ","","CMT","0150511","201314"
"","","","","","CMT","0150511","201314"
"Eligible for Free or Reduced-Price Meals ","",".",". ","","CMT","0150511","201314"
"Students with Disabilities ","",".",". ","","CMT","0150511","201314"
"Black or African American ","N/A ","N/A","N/A ","N/A","CAPT","0150611","201314"
"Hispanic or Latino ","N/A ","N/A","N/A ","N/A","CAPT","0150611","201314"
"English Language Learners ","N/A ","N/A","N/A ","N/A","CAPT","0150611","201314"
"Eligible for Free or Reduced-Price Meals ","N/A ","N/A","N/A ","N/A","CAPT","0150611","201314"
"Students with Disabilities ","N/A ","N/A","N/A ","N/A","CAPT","0150611","201314"
"High Needs ","N/A ","N/A","N/A ","N/A","CAPT","0150611","201314"
"School ","N/A ","N/A","N/A ","N/A","CAPT","0150611","201314"
"","","","","","CMT","0150711","201314"
"Black or African American ","",".",". ","","CMT","0150711","201314"
"Hispanic or Latino ","",".",". ","","CMT","0150711","201314"
"English Language Learners ","",".",". ","","CMT","0150711","201314"
"","","","","","CMT","0150711","201314"
"Eligible for Free or Reduced-Price Meals ","",".",". ","","CMT","0150711","201314"
"Students with Disabilities ","",".",". ","","CMT","0150711","201314"
"Black or African American ","N/A ","N/A","N/A ","N/A","CAPT","0150811","201314"
"Hispanic or Latino ","N/A ","N/A","N/A ","N/A","CAPT","0150811","201314"
"English Language Learners ","N/A ","N/A","N/A ","N/A","CAPT","0150811","201314"
"Eligible for Free or Reduced-Price Meals ","N/A ","N/A","N/A ","N/A","CAPT","0150811","201314"
"Students with Disabilities ","N/A ","N/A","N/A ","N/A","CAPT","0150811","201314"
"High Needs ","N/A ","N/A","N/A ","N/A","CAPT","0150811","201314"
"School ","N/A ","N/A","N/A ","N/A","CAPT","0150811","201314"
"","","","","","CMT","0151011","201314"
"Black or African American ","",".",". ","","CMT","0151011","201314"
"Hispanic or Latino ","",".",". ","","CMT","0151011","201314"
"English Language Learners ","",".",". ","","CMT","0151011","201314"
"","","","","","CMT","0151011","201314"
"Eligible for Free or Reduced-Price Meals ","",".",". ","","CMT","0151011","201314"
"Students with Disabilities ","",".",". ","","CMT","0151011","201314"
"","","","","","CMT","0151111","201314"
"Black or African American ","",".",". ","","CMT","0151111","201314"
"Hispanic or Latino ","",".",". ","","CMT","0151111","201314"
"English Language Learners ","",".",". ","","CMT","0151111","201314"
"","","","","","CMT","0151111","201314"
"Eligible for Free or Reduced-Price Meals ","",".",". ","","CMT","0151111","201314"
"Students with Disabilities ","",".",". ","","CMT","0151111","201314"
"","","","","","CMT","0151211","201314"
"Black or African American ","",".",". ","","CMT","0151211","201314"
"Hispanic or Latino ","",".",". ","","CMT","0151211","201314"
"English Language Learners ","",".",". ","","CMT","0151211","201314"
"","","","","","CMT","0151211","201314"
"Eligible for Free or Reduced-Price Meals ","",".",". ","","CMT","0151211","201314"
"Students with Disabilities ","",".",". ","","CMT","0151211","201314"
"","","","","","CMT","0151311","201314"
"Black or African American ","",".",". ","","CMT","0151311","201314"
"Hispanic or Latino ","",".",". ","","CMT","0151311","201314"
"English Language Learners ","",".",". ","","CMT","0151311","201314"
"","","","","","CMT","0151311","201314"
"Eligible for Free or Reduced-Price Meals ","",".",". ","","CMT","0151311","201314"
"Students with Disabilities ","",".",". ","","CMT","0151311","201314"
"","","","","","CMT","0151411","201314"
"Black or African American ","",".",". ","","CMT","0151411","201314"
"Hispanic or Latino ","",".",". ","","CMT","0151411","201314"
"English Language Learners ","",".",". ","","CMT","0151411","201314"
"","","","","","CMT","0151411","201314"
"Eligible for Free or Reduced-Price Meals ","",".",". ","","CMT","0151411","201314"
"Students with Disabilities ","",".",". ","","CMT","0151411","201314"
"Black or African American ","N/A ","N/A","N/A ","N/A","CAPT","0151511","201314"
"Hispanic or Latino ","N/A ","N/A","N/A ","N/A","CAPT","0151511","201314"
"English Language Learners ","N/A ","N/A","N/A ","N/A","CAPT","0151511","201314"
"Eligible for Free or Reduced-Price Meals ","N/A ","N/A","N/A ","N/A","CAPT","0151511","201314"
"Students with Disabilities ","N/A ","N/A","N/A ","N/A","CAPT","0151511","201314"
"High Needs ","N/A ","N/A","N/A ","N/A","CAPT","0151511","201314"
"School ","N/A ","N/A","N/A ","N/A","CAPT","0151511","201314"
"Black or African American ","N/A ","N/A","N/A ","N/A","CAPT","0151611","201314"
"Hispanic or Latino ","N/A ","N/A","N/A ","N/A","CAPT","0151611","201314"
"English Language Learners ","N/A ","N/A","N/A ","N/A","CAPT","0151611","201314"
"Eligible for Free or Reduced-Price Meals ","N/A ","N/A","N/A ","N/A","CAPT","0151611","201314"
"Students with Disabilities ","N/A ","N/A","N/A ","N/A","CAPT","0151611","201314"
"High Needs ","N/A ","N/A","N/A ","N/A","CAPT","0151611","201314"
"School ","N/A ","N/A","N/A ","N/A","CAPT","0151611","201314"
"","","","","","CMT","0151711","201314"
"Black or African American ","",".",". ","","CMT","0151711","201314"
"Hispanic or Latino ","",".",". ","","CMT","0151711","201314"
"English Language Learners ","",".",". ","","CMT","0151711","201314"
"","","","","","CMT","0151711","201314"
"Eligible for Free or Reduced-Price Meals ","",".",". ","","CMT","0151711","201314"
"Students with Disabilities ","",".",". ","","CMT","0151711","201314"
"","","","","","CMT","0152011","201314"
"Black or African American ","",".",". ","","CMT","0152011","201314"
"Hispanic or Latino ","",".",". ","","CMT","0152011","201314"
"English Language Learners ","",".",". ","","CMT","0152011","201314"
"","","","","","CMT","0152011","201314"
"Eligible for Free or Reduced-Price Meals ","",".",". ","","CMT","0152011","201314"
"Students with Disabilities ","",".",". ","","CMT","0152011","201314"
"","","","","","CMT","0152111","201314"
"Black or African American ","",".",". ","","CMT","0152111","201314"
"Hispanic or Latino ","",".",". ","","CMT","0152111","201314"
"English Language Learners ","",".",". ","","CMT","0152111","201314"
"","","","","","CMT","0152111","201314"
"Eligible for Free or Reduced-Price Meals ","",".",". ","","CMT","0152111","201314"
"Students with Disabilities ","",".",". ","","CMT","0152111","201314"
"","","","","","CMT","0152211","201314"
"Black or African American ","",".",". ","","CMT","0152211","201314"
"Hispanic or Latino ","",".",". ","","CMT","0152211","201314"
"English Language Learners ","",".",". ","","CMT","0152211","201314"
"","","","","","CMT","0152211","201314"
"Eligible for Free or Reduced-Price Meals ","",".",". ","","CMT","0152211","201314"
"Students with Disabilities ","",".",". ","","CMT","0152211","201314"
"","","","","","CMT","0152511","201314"
"Black or African American ","",".",". ","","CMT","0152511","201314"
"Hispanic or Latino ","",".",". ","","CMT","0152511","201314"
"English Language Learners ","",".",". ","","CMT","0152511","201314"
"","","","","","CMT","0152511","201314"
"Eligible for Free or Reduced-Price Meals ","",".",". ","","CMT","0152511","201314"
"Students with Disabilities ","",".",". ","","CMT","0152511","201314"
"","","","","","CMT","0152611","201314"
"Black or African American ","",".",". ","","CMT","0152611","201314"
"Hispanic or Latino ","",".",". ","","CMT","0152611","201314"
"English Language Learners ","",".",". ","","CMT","0152611","201314"
"","","","","","CMT","0152611","201314"
"Eligible for Free or Reduced-Price Meals ","",".",". ","","CMT","0152611","201314"
"Students with Disabilities ","",".",". ","","CMT","0152611","201314"
"","","","","","CMT","0153011","201314"
"Black or African American ","",".",". ","","CMT","0153011","201314"
"Hispanic or Latino ","",".",". ","","CMT","0153011","201314"
"English Language Learners ","",".",". ","","CMT","0153011","201314"
"","","","","","CMT","0153011","201314"
"Eligible for Free or Reduced-Price Meals ","",".",". ","","CMT","0153011","201314"
"Students with Disabilities ","",".",". ","","CMT","0153011","201314"
"","","","","","CMT","0153211","201314"
"Black or African American ","",".",". ","","CMT","0153211","201314"
"Hispanic or Latino ","",".",". ","","CMT","0153211","201314"
"English Language Learners ","",".",". ","","CMT","0153211","201314"
"","","","","","CMT","0153211","201314"
"Eligible for Free or Reduced-Price Meals ","",".",". ","","CMT","0153211","201314"
"Students with Disabilities ","",".",". ","","CMT","0153211","201314"
"","","","","","CMT","0153611","201314"
"Black or African American ","",".",". ","","CMT","0153611","201314"
"Hispanic or Latino ","",".",". ","","CMT","0153611","201314"
"English Language Learners ","",".",". ","","CMT","0153611","201314"
"","","","","","CMT","0153611","201314"
"Eligible for Free or Reduced-Price Meals ","",".",". ","","CMT","0153611","201314"
"Students with Disabilities ","",".",". ","","CMT","0153611","201314"
"","","","","","CMT","0153711","201314"
"Black or African American ","",".",". ","","CMT","0153711","201314"
"Hispanic or Latino ","",".",". ","","CMT","0153711","201314"
"English Language Learners ","",".",". ","","CMT","0153711","201314"
"","","","","","CMT","0153711","201314"
"Eligible for Free or Reduced-Price Meals ","",".",". ","","CMT","0153711","201314"
"Students with Disabilities ","",".",". ","","CMT","0153711","201314"
"","","","","","CMT","0153911","201314"
"Black or African American ","",".",". ","","CMT","0153911","201314"
"Hispanic or Latino ","",".",". ","","CMT","0153911","201314"
"English Language Learners ","",".",". ","","CMT","0153911","201314"
"","","","","","CMT","0153911","201314"
"Eligible for Free or Reduced-Price Meals ","",".",". ","","CMT","0153911","201314"
"Students with Disabilities ","",".",". ","","CMT","0153911","201314"
"","","","","","CMT","0154011","201314"
"Black or African American ","",".",". ","","CMT","0154011","201314"
"Hispanic or Latino ","",".",". ","","CMT","0154011","201314"
"English Language Learners ","",".",". ","","CMT","0154011","201314"
"","","","","","CMT","0154011","201314"
"Eligible for Free or Reduced-Price Meals ","",".",". ","","CMT","0154011","201314"
"Students with Disabilities ","",".",". ","","CMT","0154011","201314"
"","","","","","CMT","0154111","201314"
"Black or African American ","",".",". ","","CMT","0154111","201314"
"Hispanic or Latino ","",".",". ","","CMT","0154111","201314"
"English Language Learners ","",".",". ","","CMT","0154111","201314"
"","","","","","CMT","0154111","201314"
"Eligible for Free or Reduced-Price Meals ","",".",". ","","CMT","0154111","201314"
"Students with Disabilities ","",".",". ","","CMT","0154111","201314"
"","","","","","CMT","0154211","201314"
"Black or African American ","",".",". ","","CMT","0154211","201314"
"Hispanic or Latino ","",".",". ","","CMT","0154211","201314"
"English Language Learners ","",".",". ","","CMT","0154211","201314"
"","","","","","CMT","0154211","201314"
