"District","District Code","School","School Code","Special Education Status","Count","%"
"Hartford School District","=""0640011""","Burr School","=""0642311""","Students with Disabilities",30,20.8
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""","Students with Disabilities",9,13.6
"Hartford School District","=""0640011""","Clark School","=""0642411""","Students with Disabilities","*","*"
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""","Students with Disabilities",16,30.8
"Hartford School District","=""0640011""","Culinary Arts Academy","=""0646011""","Students with Disabilities",28,38.9
"Hartford School District","=""0640011""","Dr. James H Naylor/CCSU Leadership Academy","=""0641411""","Students with Disabilities",10,11.4
"Hartford School District","=""0640011""","Dr. Joseph Bellizzi Middle School","=""0645311""","Students with Disabilities",6,"*"
"Hartford School District","=""0640011""","Dr. Ramon E. Betances Early Reading Lab","=""0642811""","Students with Disabilities","*","*"
"Hartford School District","=""0640011""","Environmental Sciences Magnet School at Mary M Hooker","=""0640911""","Students with Disabilities",13,21.0
"Hartford School District","=""0640011""","Expeditionary Learning Academy at Moylan School","=""0643211""","Students with Disabilities",12,10.1
"Hartford School District","=""0640011""","Fred D. Wish Museum School","=""0642211""","Students with Disabilities","N/A","N/A"
"Hartford School District","=""0640011""","Global Communications Academy","=""0643611""","Students with Disabilities","N/A","N/A"
"Hartford School District","=""0640011""","Great Path Academy High School at MCC","=""0647911""","Students with Disabilities",13,48.1
"Hartford School District","=""0640011""","HPHS Academy of Engineering and Green Technology","=""0647211""","Students with Disabilities",40,43.0
"Hartford School District","=""0640011""","HPHS Academy of Nursing and Health Science","=""0647511""","Students with Disabilities",44,50.0
"Hartford School District","=""0640011""","HPHS Law and Government Academy","=""0647411""","Students with Disabilities",24,26.1
"Hartford School District","=""0640011""","Hartford Magnet Trinity College Academy","=""0645411""","Students with Disabilities",19,20.0
"Hartford School District","=""0640011""","Hartford Transitional Learning Academy (Elementary)","=""0649011""","Students with Disabilities",13,35.1
"Hartford School District","=""0640011""","High School Inc.","=""0647611""","Students with Disabilities",13,21.3
"Hartford School District","=""0640011""","Journalism and Media Academy Magnet School","=""0647711""","Students with Disabilities",17,50.0
"Hartford School District","=""0640011""","Kennelly School","=""0641011""","Students with Disabilities",28,26.7
"Hartford School District","=""0640011""","M. D. Fox Elementary School","=""0640811""","Students with Disabilities",30,35.7
"Hartford School District","=""0640011""","M. L. King School","=""0641611""","Students with Disabilities",21,26.3
"Hartford School District","=""0640011""","McDonough Expeditionary Learning School","=""0641211""","Students with Disabilities",34,40.5
"Hartford School District","=""0640011""","Milner Elementary School","=""0641911""","Students with Disabilities",32,52.5
"Hartford School District","=""0640011""","Montessori Magnet School at Annie Fisher","=""0643711""","Students with Disabilities","*","*"
"Hartford School District","=""0640011""","Noah Webster Micro Society School","=""0642011""","Students with Disabilities",11,16.4
"Hartford School District","=""0640011""","OPPortunity High School","=""0647811""","Students with Disabilities","N/A","*"
"Hartford School District","=""0640011""","Parkville Community School","=""0641511""","Students with Disabilities",15,11.7
"Hartford School District","=""0640011""","Pathways Academy of Technology and Design","=""0646611""","Students with Disabilities",9,17.0
"Hartford School District","=""0640011""","R.J. Kinsella Magnet School of Performing Arts","=""0641111""","Students with Disabilities",15,17.9
"Hartford School District","=""0640011""","Renzulli Gifted and Talented Academy","=""0644011""","Students with Disabilities","N/A","*"
"Hartford School District","=""0640011""","SAND School","=""0640111""","Students with Disabilities",23,26.4
"Hartford School District","=""0640011""","STEM Magnet School at Annie Fisher","=""0642511""","Students with Disabilities",16,31.4
"Hartford School District","=""0640011""","STEM Magnet School at Dwight","=""0643811""","Students with Disabilities","*","*"
"Hartford School District","=""0640011""","Sanchez School","=""0643011""","Students with Disabilities",19,24.7
"Hartford School District","=""0640011""","Sarah J. Rawson Elementary School","=""0641711""","Students with Disabilities",14,16.5
"Hartford School District","=""0640011""","Simpson-Waverly School","=""0642611""","Students with Disabilities",10,9.9
"Hartford School District","=""0640011""","Sports and Medical Sciences Academy","=""0646511""","Students with Disabilities",29,55.8
"Hartford School District","=""0640011""","University High of Science and Engineering","=""0646711""","Students with Disabilities",8,21.1
"Hartford School District","=""0640011""","West Middle School","=""0642111""","Students with Disabilities",14,14.4
"Meriden School District","=""0800011""","Benjamin Franklin School","=""0800111""","Students with Disabilities","*","*"
"Meriden School District","=""0800011""","Casimir Pulaski School","=""0801111""","Students with Disabilities",9,11.0
"Meriden School District","=""0800011""","Francis T. Maloney High School","=""0806111""","Students with Disabilities",83,42.6
"Meriden School District","=""0800011""","Hanover School","=""0800311""","Students with Disabilities","*","*"
"Meriden School District","=""0800011""","Israel Putnam School","=""0800411""","Students with Disabilities","*","*"
"Meriden School District","=""0800011""","John Barry School","=""0800511""","Students with Disabilities",6,7.7
"Meriden School District","=""0800011""","Lincoln Middle School","=""0805211""","Students with Disabilities",41,32.3
"Meriden School District","=""0800011""","Nathan Hale School","=""0800711""","Students with Disabilities",6,8.2
"Meriden School District","=""0800011""","Orville H. Platt High School","=""0806211""","Students with Disabilities",94,42.3
"Meriden School District","=""0800011""","Roger Sherman School","=""0800811""","Students with Disabilities",6,5.6
"Meriden School District","=""0800011""","Thomas Hooker School","=""0801011""","Students with Disabilities","*","*"
"Meriden School District","=""0800011""","Washington Middle School","=""0805411""","Students with Disabilities",60,42.0
"Middletown School District","=""0830011""","Bielefield School","=""0830211""","Students with Disabilities","N/A","N/A"
"Middletown School District","=""0830011""","Farm Hill School","=""0830511""","Students with Disabilities","*","*"
"Middletown School District","=""0830011""","Keigwin Middle School","=""0831511""","Students with Disabilities",14,35.9
"Middletown School District","=""0830011""","Lawrence School","=""0831311""","Students with Disabilities","*","*"
"Middletown School District","=""0830011""","MacDonough School","=""0830911""","Students with Disabilities","*","*"
"Middletown School District","=""0830011""","Middletown High School","=""0836211""","Students with Disabilities",40,24.0
"Middletown School District","=""0830011""","Moody School","=""0831211""","Students with Disabilities","*","*"
"Middletown School District","=""0830011""","Snow School","=""0831111""","Students with Disabilities","N/A","N/A"
"Middletown School District","=""0830011""","Spencer School","=""0830111""","Students with Disabilities","*","*"
"Middletown School District","=""0830011""","Transition to Life Center","=""0839111""","Students with Disabilities","N/A","*"
"Middletown School District","=""0830011""","Wesley School","=""0831411""","Students with Disabilities","*","*"
"Middletown School District","=""0830011""","Woodrow Wilson Middle School","=""0835411""","Students with Disabilities",24,30.4
"New Haven School District","=""0930011""","Augusta Lewis Troup School","=""0931511""","Students with Disabilities",6,9.0
"New Haven School District","=""0930011""","Barnard Environmental Magnet School","=""0930211""","Students with Disabilities","*","*"
"New Haven School District","=""0930011""","Beecher School","=""0930311""","Students with Disabilities","*","*"
"New Haven School District","=""0930011""","Benjamin Jepson Magnet School","=""0931811""","Students with Disabilities","*","*"
"New Haven School District","=""0930011""","Betsy Ross Arts Magnet School","=""0935511""","Students with Disabilities","N/A","N/A"
"New Haven School District","=""0930011""","Bishop Woods School","=""0934311""","Students with Disabilities",17,19.5
"New Haven School District","=""0930011""","Celentano BioTech, Health and Medical Magnet School","=""0934811""","Students with Disabilities",12,12.9
"New Haven School District","=""0930011""","Christopher Columbus Academy","=""0934111""","Students with Disabilities","N/A","N/A"
"New Haven School District","=""0930011""","Clemente Leadership Academy","=""0934211""","Students with Disabilities",13,18.1
"New Haven School District","=""0930011""","Clinton Avenue School","=""0930611""","Students with Disabilities",12,14.5
"New Haven School District","=""0930011""","Conte/West Hills Magnet School","=""0933111""","Students with Disabilities",6,9.5
"New Haven School District","=""0930011""","Cooperative High School","=""0936411""","Students with Disabilities",7,14.3
"New Haven School District","=""0930011""","Davis 21st Century Magnet Elementary School","=""0930911""","Students with Disabilities","*","*"
"New Haven School District","=""0930011""","Domus Academy","=""0935611""","Students with Disabilities","*","*"
"New Haven School District","=""0930011""","Dwight Early Childhood Program","=""0938211""","Students with Disabilities","N/A","*"
"New Haven School District","=""0930011""","Early Learning Center","=""0938111""","Students with Disabilities","N/A","*"
"New Haven School District","=""0930011""","East Rock Community Magnet School","=""0934611""","Students with Disabilities",14,15.6
"New Haven School District","=""0930011""","Edgewood School","=""0931211""","Students with Disabilities","*","*"
"New Haven School District","=""0930011""","Engineering - Science University Magnet School","=""0931711""","Students with Disabilities",8,26.7
"New Haven School District","=""0930011""","Fair Haven School","=""0931611""","Students with Disabilities",8,7.4
"New Haven School District","=""0930011""","Headstart","=""0938011""","Students with Disabilities","N/A","*"
"New Haven School District","=""0930011""","Helene Grant HeadStart","=""0938311""","Students with Disabilities","N/A","N/A"
"New Haven School District","=""0930011""","High School In The Community","=""0936611""","Students with Disabilities",9,17.6
"New Haven School District","=""0930011""","Hill Central Music Academy","=""0930711""","Students with Disabilities","*","*"
"New Haven School District","=""0930011""","Hill Regional Career High School","=""0936311""","Students with Disabilities",10,27.8
"New Haven School District","=""0930011""","Hyde School of Health, Science and Sports Medicine","=""0936811""","Students with Disabilities",16,47.1
"New Haven School District","=""0930011""","James Hillhouse High School","=""0936211""","Students with Disabilities",19,12.0
"New Haven School District","=""0930011""","John C. Daniels","=""0931311""","Students with Disabilities",8,12.5
"New Haven School District","=""0930011""","John S. Martinez School","=""0930811""","Students with Disabilities","*","*"
"New Haven School District","=""0930011""","Katherine Brennan/Clarence Rogers School","=""0932111""","Students with Disabilities","*","*"
"New Haven School District","=""0930011""","King/Robinson Magnet School","=""0933011""","Students with Disabilities",10,15.4
"New Haven School District","=""0930011""","Lincoln-Bassett School","=""0932011""","Students with Disabilities","*","*"
"New Haven School District","=""0930011""","Mauro-Sheridan Magnet School","=""0931911""","Students with Disabilities",10,20.8
"New Haven School District","=""0930011""","Metropolitan Business Academy","=""0936011""","Students with Disabilities","*","*"
"New Haven School District","=""0930011""","Nathan Hale School","=""0931411""","Students with Disabilities","*","*"
"New Haven School District","=""0930011""","New Haven Academy","=""0937011""","Students with Disabilities","*","*"
"New Haven School District","=""0930011""","Polly T. McCabe Center","=""0939211""","Students with Disabilities","N/A","*"
"New Haven School District","=""0930011""","Quinnipiac Real World Math STEM School","=""0933511""","Students with Disabilities","N/A","*"
"New Haven School District","=""0930011""","Riverside Education Academy","=""0939111""","Students with Disabilities",9,29.0
"New Haven School District","=""0930011""","Ross/Woodward School","=""0931011""","Students with Disabilities",8,13.8
"New Haven School District","=""0930011""","Sound School","=""0936711""","Students with Disabilities","*","*"
"New Haven School District","=""0930011""","Strong 21st Century Communications Magnet and SCSU Lab School","=""0932811""","Students with Disabilities","*","*"
"New Haven School District","=""0930011""","Truman School","=""0932911""","Students with Disabilities",7,10.3
"New Haven School District","=""0930011""","West Rock Authors Academy","=""0934911""","Students with Disabilities","*","*"
"New Haven School District","=""0930011""","Wexler/Grant Community School","=""0933211""","Students with Disabilities",6,10.7
"New Haven School District","=""0930011""","Wilbur Cross High School","=""0936111""","Students with Disabilities",49,25.4
"New Haven School District","=""0930011""","Worthington Hooker School","=""0933811""","Students with Disabilities","*","*"
"Newington School District","=""0940011""","Anna Reynolds School","=""0940611""","Students with Disabilities","*","*"
"Newington School District","=""0940011""","Elizabeth Green School","=""0940211""","Students with Disabilities","*","*"
"Newington School District","=""0940011""","John Paterson School","=""0940811""","Students with Disabilities","*","*"
"Newington School District","=""0940011""","John Wallace Middle School","=""0945311""","Students with Disabilities",9,10.2
"Newington School District","=""0940011""","Martin Kellogg Middle School","=""0945111""","Students with Disabilities",9,13.2
"Newington School District","=""0940011""","Newington High School","=""0946111""","Students with Disabilities",37,22.7
"Newington School District","=""0940011""","Ruth Chaffee School","=""0940711""","Students with Disabilities","*","*"
"Pomfret School District","=""1120011""","Pomfret Community School","=""1120111""","Students with Disabilities","*","*"
"Portland School District","=""1130011""","Brownstone Intermediate School","=""1130511""","Students with Disabilities","*","*"
"Portland School District","=""1130011""","Gildersleeve School","=""1130411""","Students with Disabilities","*","*"
"Portland School District","=""1130011""","Portland High School","=""1136111""","Students with Disabilities",8,26.7
"Portland School District","=""1130011""","Portland Middle School","=""1135111""","Students with Disabilities","*","*"
"Portland School District","=""1130011""","Valley View School","=""1130211""","Students with Disabilities","N/A","N/A"
"Preston School District","=""1140011""","Preston Plains School","=""1145111""","Students with Disabilities","*","*"
"Preston School District","=""1140011""","Preston Veterans' Memorial School","=""1140411""","Students with Disabilities","*","*"
"Putnam School District","=""1160011""","Helping Hands","=""1169011""","Students with Disabilities","N/A","*"
"Putnam School District","=""1160011""","Putnam Elementary School","=""1160311""","Students with Disabilities","N/A","N/A"
"Putnam School District","=""1160011""","Putnam High School","=""1166111""","Students with Disabilities",13,27.7
"Putnam School District","=""1160011""","Putnam Middle School","=""1165111""","Students with Disabilities",16,28.1
"Stratford School District","=""1380011""","Bunnell High School","=""1386211""","Students with Disabilities",23,25.0
"Stratford School District","=""1380011""","Chapel School","=""1380311""","Students with Disabilities","*","*"
"Stratford School District","=""1380011""","David Wooster Middle School","=""1385211""","Students with Disabilities",19,30.2
"Stratford School District","=""1380011""","Eli Whitney School","=""1381311""","Students with Disabilities","*","*"
"Stratford School District","=""1380011""","Franklin School","=""1380411""","Students with Disabilities","*","*"
"Stratford School District","=""1380011""","Harry B. Flood Middle School","=""1385311""","Students with Disabilities",11,18.6
"Stratford School District","=""1380011""","Honeyspot School","=""1381611""","Students with Disabilities","*","*"
"Stratford School District","=""1380011""","Lordship School","=""1380811""","Students with Disabilities","*","*"
"Stratford School District","=""1380011""","Nichols School","=""1380911""","Students with Disabilities","*","*"
"Stratford School District","=""1380011""","Second Hill Lane School","=""1381011""","Students with Disabilities","*","*"
"Stratford School District","=""1380011""","Secondary STEPS Program","=""1389111""","Students with Disabilities",13,"*"
"Stratford School District","=""1380011""","Stratford Academy - Johnson House","=""1381511""","Students with Disabilities",6,15.4
"Stratford School District","=""1380011""","Stratford High School","=""1386111""","Students with Disabilities",30,28.8
"Stratford School District","=""1380011""","Strive-Stratford","=""1389011""","Students with Disabilities","N/A","*"
"Stratford School District","=""1380011""","Wilcoxson School","=""1381411""","Students with Disabilities","*","*"
"Suffield School District","=""1390011""","A. Ward Spaulding School","=""1390411""","Students with Disabilities","N/A","N/A"
"Suffield School District","=""1390011""","McAlister Intermediate School","=""1390311""","Students with Disabilities","N/A","N/A"
"Suffield School District","=""1390011""","Suffield High School","=""1396111""","Students with Disabilities",10,12.3
"Suffield School District","=""1390011""","Suffield Middle School","=""1395111""","Students with Disabilities","*","*"
"Thomaston School District","=""1400011""","Black Rock School","=""1400111""","Students with Disabilities","*","*"
"Thomaston School District","=""1400011""","Thomaston Center School","=""1400211""","Students with Disabilities","*","*"
"Thomaston School District","=""1400011""","Thomaston High School","=""1406211""","Students with Disabilities",15,24.6
"Thompson School District","=""1410011""","Mary R. Fisher Elementary School","=""1410111""","Students with Disabilities","*","*"
"Thompson School District","=""1410011""","Thompson Middle School","=""1415111""","Students with Disabilities",9,23.1
"Thompson School District","=""1410011""","Tourtellotte Memorial High School","=""1416111""","Students with Disabilities",7,29.2
"Westbrook School District","=""1540011""","Daisy Ingraham School","=""1540211""","Students with Disabilities","N/A","N/A"
"Westbrook School District","=""1540011""","Westbrook High School","=""1546111""","Students with Disabilities","*","*"
"Westbrook School District","=""1540011""","Westbrook Middle School","=""1545111""","Students with Disabilities","*","*"
"West Hartford School District","=""1550011""","Achieve","=""1559111""","Students with Disabilities","N/A","*"
"West Hartford School District","=""1550011""","Aiken School","=""1551611""","Students with Disabilities","N/A","N/A"
"West Hartford School District","=""1550011""","Braeburn School","=""1550211""","Students with Disabilities","*","*"
"West Hartford School District","=""1550011""","Bristow Middle School","=""1555311""","Students with Disabilities","*","*"
"West Hartford School District","=""1550011""","Bugbee School","=""1550411""","Students with Disabilities","N/A","N/A"
"West Hartford School District","=""1550011""","Charter Oak International Academy","=""1550511""","Students with Disabilities","*","*"
"West Hartford School District","=""1550011""","Conard High School","=""1556111""","Students with Disabilities",15,10.0
"West Hartford School District","=""1550011""","Duffy School","=""1550611""","Students with Disabilities","N/A","*"
"West Hartford School District","=""1550011""","Hall High School","=""1556211""","Students with Disabilities",31,17.5
"West Hartford School District","=""1550011""","King Philip Middle School","=""1555111""","Students with Disabilities",11,8.5
"West Hartford School District","=""1550011""","Morley School","=""1550911""","Students with Disabilities","N/A","N/A"
"West Hartford School District","=""1550011""","Norfeldt School","=""1551011""","Students with Disabilities","N/A","N/A"
"West Hartford School District","=""1550011""","STRIVE-West Hartford","=""1559211""","Students with Disabilities","*","*"
"West Hartford School District","=""1550011""","Sedgwick Middle School","=""1555211""","Students with Disabilities",15,14.6
"West Hartford School District","=""1550011""","Smith School","=""1551711""","Students with Disabilities","N/A","N/A"
"West Hartford School District","=""1550011""","WAAVE (W Hartford Applied Academic/Voc'l Experience)","=""1559011""","Students with Disabilities","N/A","*"
"West Hartford School District","=""1550011""","Webster Hill School","=""1551211""","Students with Disabilities","*","*"
"West Hartford School District","=""1550011""","Whiting Lane School","=""1551311""","Students with Disabilities","N/A","N/A"
"West Hartford School District","=""1550011""","Wolcott School","=""1551511""","Students with Disabilities","*","*"
"Regional School District 12","=""2120012""","Booth Free School","=""2120212""","Students with Disabilities","*","*"
"Regional School District 12","=""2120012""","Early Childhood Education Center","=""2128012""","Students with Disabilities","N/A","*"
"Regional School District 12","=""2120012""","Shepaug Valley High School","=""2126112""","Students with Disabilities",10,18.9
"Regional School District 12","=""2120012""","Shepaug Valley Middle School","=""2125112""","Students with Disabilities","*","*"
"Regional School District 12","=""2120012""","The Burnham School","=""2120112""","Students with Disabilities","*","*"
"Regional School District 12","=""2120012""","Washington Primary School","=""2120412""","Students with Disabilities","N/A","*"
"Regional School District 11","=""2110012""","Parish Hill High School","=""2116112""","Students with Disabilities",13,22.8
"Regional School District 13","=""2130012""","Coginchaug Regional High School","=""2136112""","Students with Disabilities",8,9.1
"Regional School District 13","=""2130012""","Francis E. Korn School","=""2130212""","Students with Disabilities","N/A","N/A"
"Regional School District 13","=""2130012""","Frank Ward Strong School","=""2135112""","Students with Disabilities","*","*"
"Regional School District 13","=""2130012""","Frederick Brewster School","=""2130112""","Students with Disabilities","N/A","N/A"
"Regional School District 13","=""2130012""","John Lyman School","=""2130512""","Students with Disabilities","N/A","N/A"
"Regional School District 13","=""2130012""","Middlefield Memorial School","=""2130412""","Students with Disabilities","*","*"
"Regional School District 14","=""2140012""","Bethlehem Elementary School","=""2140112""","Students with Disabilities","N/A","N/A"
"Regional School District 14","=""2140012""","Integrated Star Preschool Program","=""2148012""","Students with Disabilities","N/A","*"
"Regional School District 14","=""2140012""","Mitchell Elementary School","=""2140212""","Students with Disabilities","*","*"
"Regional School District 14","=""2140012""","Nonnewaug High School","=""2146112""","Students with Disabilities",14,18.4
"Regional School District 14","=""2140012""","Woodbury Middle School","=""2145112""","Students with Disabilities","*","*"
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","Students with Disabilities",23,18.7
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Students with Disabilities",61,32.3
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","Students with Disabilities",8,18.2
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""","Students with Disabilities","*","*"
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""","Students with Disabilities",19,15.6
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","Students with Disabilities",11,18.0
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""","Students with Disabilities","*","*"
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Students with Disabilities",106,45.5
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""","Students with Disabilities",16,11.8
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""","Students with Disabilities","*","*"
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""","Students with Disabilities",34,35.1
"Bridgeport School District","=""0150011""","Cross School","=""0153911""","Students with Disabilities",30,41.7
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""","Students with Disabilities",32,36.4
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""","Students with Disabilities",18,46.2
"Bridgeport School District","=""0150011""","Edison School","=""0150711""","Students with Disabilities",12,28.6
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""","Students with Disabilities",11,10.0
"Bridgeport School District","=""0150011""","Hall School","=""0151111""","Students with Disabilities","*","*"
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""","Students with Disabilities","*","*"
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Students with Disabilities",93,50.5
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""","Students with Disabilities","N/A","N/A"
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""","Students with Disabilities",14,28.0
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""","Students with Disabilities","*","*"
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""","Students with Disabilities",38,26.0
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""","Students with Disabilities",31,24.8
"Bridgeport School District","=""0150011""","Madison School","=""0152011""","Students with Disabilities","*","*"
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""","Students with Disabilities","N/A","N/A"
"Bridgeport School District","=""0150011""","Park City Academy","=""0159211""","Students with Disabilities",10,"*"
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""","Students with Disabilities","N/A","N/A"
"Bridgeport School District","=""0150011""","Read School","=""0152511""","Students with Disabilities",28,31.8
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""","Students with Disabilities",31,42.5
"Bridgeport School District","=""0150011""","Skane Center","=""0154411""","Students with Disabilities","N/A","N/A"
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""","Students with Disabilities",17,19.5
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""","Students with Disabilities",7,14.9
"East Hampton School District","=""0420011""","Center School","=""0420311""","Students with Disabilities","*","*"
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""","Students with Disabilities","*","*"
"East Hampton School District","=""0420011""","East Hampton Middle School","=""0425111""","Students with Disabilities","*","*"
"East Hampton School District","=""0420011""","Memorial School","=""0420111""","Students with Disabilities","*","*"
"East Hampton School District","=""0420011""","The Learning Center at East Hampton","=""0429011""","Students with Disabilities","*","*"
"East Hartford School District","=""0430011""","Anna E. Norris School","=""0430911""","Students with Disabilities","*","*"
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""","Students with Disabilities","N/A","*"
"East Hartford School District","=""0430011""","Dr. Franklin H. Mayberry School","=""0430611""","Students with Disabilities",7,12.1
"East Hartford School District","=""0430011""","Dr. John A. Langford School","=""0432211""","Students with Disabilities",10,17.2
"East Hartford School District","=""0430011""","Dr. Thomas S. O'Connell School","=""0431011""","Students with Disabilities",8,12.3
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""","Students with Disabilities",98,42.1
"East Hartford School District","=""0430011""","East Hartford Middle School","=""0435111""","Students with Disabilities",76,37.3
