"District","District Code","School","School Code","Free/Reduced Price Meal Eligibility","Count","%"
"Enfield School District","=""0490011""","Nathan Hale School","=""0491111""","Eligible for Free or Reduced-Price Meals","*","*"
"Enfield School District","=""0490011""","Prudence Crandall School","=""0491511""","Eligible for Free or Reduced-Price Meals","*","*"
"Enfield School District","=""0490011""","Thomas G. Alcorn School","=""0491711""","Eligible for Free or Reduced-Price Meals",24,10.0
"Fairfield School District","=""0510011""","Burr Elementary School","=""0510211""","Eligible for Free or Reduced-Price Meals","N/A","*"
"Fairfield School District","=""0510011""","Dwight Elementary School","=""0510111""","Eligible for Free or Reduced-Price Meals","N/A","*"
"Fairfield School District","=""0510011""","Early Childhood Center","=""0518011""","Eligible for Free or Reduced-Price Meals","N/A","*"
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""","Eligible for Free or Reduced-Price Meals",17,13.0
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""","Eligible for Free or Reduced-Price Meals",15,8.1
"Fairfield School District","=""0510011""","Fairfield Woods Middle School","=""0515211""","Eligible for Free or Reduced-Price Meals",7,19.4
"Fairfield School District","=""0510011""","Holland Hill School","=""0510411""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Fairfield School District","=""0510011""","Jennings School","=""0511711""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Fairfield School District","=""0510011""","McKinley School","=""0510611""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Fairfield School District","=""0510011""","Mill Hill School","=""0510711""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Fairfield School District","=""0510011""","North Stratfield School","=""0511611""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Fairfield School District","=""0510011""","Osborn Hill School","=""0511811""","Eligible for Free or Reduced-Price Meals","N/A","*"
"Fairfield School District","=""0510011""","Riverfield School","=""0511211""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Fairfield School District","=""0510011""","Roger Ludlowe Middle School","=""0515311""","Eligible for Free or Reduced-Price Meals",33,22.8
"Fairfield School District","=""0510011""","Sherman School","=""0511311""","Eligible for Free or Reduced-Price Meals","N/A","*"
"Fairfield School District","=""0510011""","Stratfield School","=""0511411""","Eligible for Free or Reduced-Price Meals","N/A","*"
"Fairfield School District","=""0510011""","Tomlinson Middle School","=""0515111""","Eligible for Free or Reduced-Price Meals","*","*"
"Hartford School District","=""0640011""","Asian Studies Academy","=""0640711""","Eligible for Free or Reduced-Price Meals",52,13.2
"Hartford School District","=""0640011""","Batchelder School","=""0640411""","Eligible for Free or Reduced-Price Meals",45,7.8
"Hartford School District","=""0640011""","Breakthrough II Elementary School","=""0643511""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Hartford School District","=""0640011""","Breakthrough Magnet School","=""0643311""","Eligible for Free or Reduced-Price Meals",6,2.8
"Hartford School District","=""0640011""","Bulkeley High School Lower School","=""0646111""","Eligible for Free or Reduced-Price Meals",106,17.2
"Hartford School District","=""0640011""","Bulkeley High School Upper School","=""0647111""","Eligible for Free or Reduced-Price Meals",206,41.8
"Hartford School District","=""0640011""","Burns Latino Studies Academy","=""0640611""","Eligible for Free or Reduced-Price Meals",149,22.6
"Hartford School District","=""0640011""","Burr School","=""0642311""","Eligible for Free or Reduced-Price Meals",122,18.3
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""","Eligible for Free or Reduced-Price Meals",26,11.8
"Hartford School District","=""0640011""","Clark School","=""0642411""","Eligible for Free or Reduced-Price Meals",35,8.4
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""","Eligible for Free or Reduced-Price Meals",99,25.4
"Hartford School District","=""0640011""","Culinary Arts Academy","=""0646011""","Eligible for Free or Reduced-Price Meals",73,26.4
"Hartford School District","=""0640011""","Dr. James H Naylor/CCSU Leadership Academy","=""0641411""","Eligible for Free or Reduced-Price Meals",14,2.0
"Hartford School District","=""0640011""","Dr. Joseph Bellizzi Middle School","=""0645311""","Eligible for Free or Reduced-Price Meals",161,47.9
"Hartford School District","=""0640011""","Dr. Ramon E. Betances Early Reading Lab","=""0642811""","Eligible for Free or Reduced-Price Meals",16,4.9
"Hartford School District","=""0640011""","Environmental Sciences Magnet School at Mary M Hooker","=""0640911""","Eligible for Free or Reduced-Price Meals",11,4.1
"Hartford School District","=""0640011""","Expeditionary Learning Academy at Moylan School","=""0643211""","Eligible for Free or Reduced-Price Meals",67,10.0
"Hartford School District","=""0640011""","Fred D. Wish Museum School","=""0642211""","Eligible for Free or Reduced-Price Meals",69,15.7
"Hartford School District","=""0640011""","HPHS Academy of Engineering and Green Technology","=""0647211""","Eligible for Free or Reduced-Price Meals",219,55.7
"Hartford School District","=""0640011""","HPHS Academy of Nursing and Health Science","=""0647511""","Eligible for Free or Reduced-Price Meals",103,27.9
"Hartford School District","=""0640011""","HPHS Freshmen Academy","=""0647311""","Eligible for Free or Reduced-Price Meals",68,17.9
"Hartford School District","=""0640011""","HPHS Law and Government Academy","=""0647411""","Eligible for Free or Reduced-Price Meals",77,20.6
"Hartford School District","=""0640011""","Hartford Magnet Trinity College Academy","=""0645411""","Eligible for Free or Reduced-Price Meals",65,18.0
"Hartford School District","=""0640011""","Hartford Transitional Learning Academy (Elementary)","=""0649011""","Eligible for Free or Reduced-Price Meals",8,25.8
"Hartford School District","=""0640011""","High School Inc.","=""0647611""","Eligible for Free or Reduced-Price Meals",52,30.2
"Hartford School District","=""0640011""","IB Global Communications Academy","=""0643611""","Eligible for Free or Reduced-Price Meals",46,12.8
"Hartford School District","=""0640011""","Journalism and Media Academy Magnet School","=""0647711""","Eligible for Free or Reduced-Price Meals",153,58.2
"Hartford School District","=""0640011""","Kennelly School","=""0641011""","Eligible for Free or Reduced-Price Meals",94,12.0
"Hartford School District","=""0640011""","M. D. Fox Elementary School","=""0640811""","Eligible for Free or Reduced-Price Meals",81,9.6
"Hartford School District","=""0640011""","M. L. King School","=""0641611""","Eligible for Free or Reduced-Price Meals",173,33.3
"Hartford School District","=""0640011""","McDonough Expeditionary Learning School","=""0641211""","Eligible for Free or Reduced-Price Meals",67,15.7
"Hartford School District","=""0640011""","Milner Elementary School","=""0641911""","Eligible for Free or Reduced-Price Meals",116,27.9
"Hartford School District","=""0640011""","Montessori Magnet School at Annie Fisher","=""0643711""","Eligible for Free or Reduced-Price Meals","*","*"
"Hartford School District","=""0640011""","Noah Webster Micro Society School","=""0642011""","Eligible for Free or Reduced-Price Meals",51,14.4
"Hartford School District","=""0640011""","OPPortunity High School","=""0647811""","Eligible for Free or Reduced-Price Meals",11,13.8
"Hartford School District","=""0640011""","Parkville Community School","=""0641511""","Eligible for Free or Reduced-Price Meals",36,6.7
"Hartford School District","=""0640011""","Pathways Academy of Technology and Design","=""0646611""","Eligible for Free or Reduced-Price Meals",59,27.1
"Hartford School District","=""0640011""","R.J. Kinsella Magnet School of Performing Arts","=""0641111""","Eligible for Free or Reduced-Price Meals",79,12.1
"Hartford School District","=""0640011""","Renzulli Academy","=""0644011""","Eligible for Free or Reduced-Price Meals","*","*"
"Hartford School District","=""0640011""","SAND School","=""0640111""","Eligible for Free or Reduced-Price Meals",52,12.0
"Hartford School District","=""0640011""","STEM Magnet School at Annie Fisher","=""0642511""","Eligible for Free or Reduced-Price Meals",32,16.8
"Hartford School District","=""0640011""","Sanchez School","=""0643011""","Eligible for Free or Reduced-Price Meals",88,16.5
"Hartford School District","=""0640011""","Sarah J Rawson Middle Grades Academy","=""0645611""","Eligible for Free or Reduced-Price Meals",45,21.8
"Hartford School District","=""0640011""","Sarah J. Rawson Elementary School","=""0641711""","Eligible for Free or Reduced-Price Meals",67,13.6
"Hartford School District","=""0640011""","Simpson-Waverly School","=""0642611""","Eligible for Free or Reduced-Price Meals",68,18.0
"Hartford School District","=""0640011""","Sports and Medical Sciences Academy","=""0646511""","Eligible for Free or Reduced-Price Meals",242,36.4
"Hartford School District","=""0640011""","University High of Science and Engineering","=""0646711""","Eligible for Free or Reduced-Price Meals",34,20.7
"Hartford School District","=""0640011""","Weaver High School","=""0646311""","Eligible for Free or Reduced-Price Meals","*","*"
"Hartford School District","=""0640011""","West Middle School","=""0642111""","Eligible for Free or Reduced-Price Meals",97,14.9
"Milford School District","=""0840011""","Calf Pen Meadow School","=""0840111""","Eligible for Free or Reduced-Price Meals","*","*"
"Milford School District","=""0840011""","East Shore Middle School","=""0845111""","Eligible for Free or Reduced-Price Meals","*","*"
"Milford School District","=""0840011""","Harborside Middle School","=""0845211""","Eligible for Free or Reduced-Price Meals",8,8.0
"Milford School District","=""0840011""","J. F. Kennedy School","=""0841911""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Milford School District","=""0840011""","Jonathan Law High School","=""0846211""","Eligible for Free or Reduced-Price Meals",48,17.8
"Milford School District","=""0840011""","Joseph A. Foran High School","=""0846311""","Eligible for Free or Reduced-Price Meals",14,8.8
"Milford School District","=""0840011""","Live Oaks School","=""0841611""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Milford School District","=""0840011""","Mathewson School","=""0841711""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Milford School District","=""0840011""","Meadowside School","=""0840711""","Eligible for Free or Reduced-Price Meals","*","*"
"Milford School District","=""0840011""","Orange Avenue School","=""0840811""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Milford School District","=""0840011""","Orchard Hills School","=""0841811""","Eligible for Free or Reduced-Price Meals","*","*"
"Milford School District","=""0840011""","Pumpkin Delight School","=""0841011""","Eligible for Free or Reduced-Price Meals","*","*"
"Milford School District","=""0840011""","West Shore Middle School","=""0845311""","Eligible for Free or Reduced-Price Meals",13,7.2
"Monroe School District","=""0850011""","Chalk Hill School","=""0850611""","Eligible for Free or Reduced-Price Meals","*","*"
"Monroe School District","=""0850011""","Fawn Hollow Elementary School","=""0850511""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Monroe School District","=""0850011""","Jockey Hollow School","=""0855211""","Eligible for Free or Reduced-Price Meals","*","*"
"Monroe School District","=""0850011""","Masuk High School","=""0856111""","Eligible for Free or Reduced-Price Meals",9,7.6
"Monroe School District","=""0850011""","Monroe Elementary School","=""0850111""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Monroe School District","=""0850011""","Stepney Elementary School","=""0850311""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Montville School District","=""0860011""","Dr. Charles E. Murphy School","=""0860711""","Eligible for Free or Reduced-Price Meals","*","*"
"Montville School District","=""0860011""","Leonard J. Tyl Middle School","=""0865111""","Eligible for Free or Reduced-Price Meals",34,16.7
"Montville School District","=""0860011""","Mohegan School","=""0860111""","Eligible for Free or Reduced-Price Meals","*","*"
"Montville School District","=""0860011""","Montville High School","=""0866111""","Eligible for Free or Reduced-Price Meals",62,28.2
"Montville School District","=""0860011""","Oakdale School","=""0860511""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Montville School District","=""0860011""","Palmer Academy","=""0869011""","Eligible for Free or Reduced-Price Meals",10,"*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Brooklyn School District","=""0190011""","Brooklyn Elementary School","=""0190111""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""","Eligible for Free or Reduced-Price Meals",21,19.3
"Canaan School District","=""0210011""","Lee H. Kellogg School","=""0210111""","Eligible for Free or Reduced-Price Meals","N/A","*"
"Canterbury School District","=""0220011""","Canterbury Elementary School","=""0220211""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Canterbury School District","=""0220011""","Dr. Helen Baldwin Middle School","=""0225111""","Eligible for Free or Reduced-Price Meals",9,18.8
"Canton School District","=""0230011""","Canton High School","=""0236111""","Eligible for Free or Reduced-Price Meals","*","*"
"Canton School District","=""0230011""","Canton Intermediate School","=""0230311""","Eligible for Free or Reduced-Price Meals","*","*"
"Canton School District","=""0230011""","Canton Middle School","=""0235111""","Eligible for Free or Reduced-Price Meals","*","*"
"Canton School District","=""0230011""","Cherry Brook Primary School","=""0230211""","Eligible for Free or Reduced-Price Meals","*","*"
"Cheshire School District","=""0250011""","Chapman School","=""0250111""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","Eligible for Free or Reduced-Price Meals",16,15.0
"Cheshire School District","=""0250011""","Dodd Middle School","=""0255111""","Eligible for Free or Reduced-Price Meals","*","*"
"Cheshire School District","=""0250011""","Doolittle School","=""0250611""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Cheshire School District","=""0250011""","Highland School","=""0250411""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Cheshire School District","=""0250011""","Humiston School","=""0259011""","Eligible for Free or Reduced-Price Meals","*","*"
"Cheshire School District","=""0250011""","Norton School","=""0250511""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Chaplin School District","=""0240011""","Chaplin Elementary School","=""0240211""","Eligible for Free or Reduced-Price Meals","*","*"
"Ellington School District","=""0480011""","Center School","=""0480111""","Eligible for Free or Reduced-Price Meals","*","*"
"Ellington School District","=""0480011""","Crystal Lake School","=""0480211""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Ellington School District","=""0480011""","Ellington High School","=""0486111""","Eligible for Free or Reduced-Price Meals",19,34.5
"Ellington School District","=""0480011""","Ellington Middle School","=""0485111""","Eligible for Free or Reduced-Price Meals","*","*"
"Ellington School District","=""0480011""","Windermere Intermediate School","=""0480711""","Eligible for Free or Reduced-Price Meals",9,21.4
"Ellington School District","=""0480011""","Windermere School","=""0480611""","Eligible for Free or Reduced-Price Meals","*","*"
"Essex School District","=""0500011""","Essex Elementary School","=""0500111""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""","Eligible for Free or Reduced-Price Meals","*","*"
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Eligible for Free or Reduced-Price Meals",148,27.8
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Eligible for Free or Reduced-Price Meals",106,26.4
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""","Eligible for Free or Reduced-Price Meals",110,26.0
"Bristol School District","=""0170011""","Clara T. O'Connell School","=""0170711""","Eligible for Free or Reduced-Price Meals",20,7.3
"Bristol School District","=""0170011""","Community/Vocational Program","=""0179211""","Eligible for Free or Reduced-Price Meals","N/A","*"
"Bristol School District","=""0170011""","Edgewood School","=""0170311""","Eligible for Free or Reduced-Price Meals",13,8.1
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""","Eligible for Free or Reduced-Price Meals",12,4.4
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""","Eligible for Free or Reduced-Price Meals","*","*"
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""","Eligible for Free or Reduced-Price Meals",9,6.3
"Bristol School District","=""0170011""","John J. Jennings School","=""0170611""","Eligible for Free or Reduced-Price Meals",8,8.7
"Bristol School District","=""0170011""","Memorial Boulevard Middle School","=""0175311""","Eligible for Free or Reduced-Price Meals",41,17.2
"Bristol School District","=""0170011""","Mountain View School","=""0171711""","Eligible for Free or Reduced-Price Meals",14,10.7
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""","Eligible for Free or Reduced-Price Meals",22,11.4
"Bristol School District","=""0170011""","South Side School","=""0171111""","Eligible for Free or Reduced-Price Meals",6,2.3
"Bristol School District","=""0170011""","Stafford School","=""0171211""","Eligible for Free or Reduced-Price Meals",7,2.9
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","Eligible for Free or Reduced-Price Meals",7,16.3
"Brookfield School District","=""0180011""","Center Elementary School","=""0180311""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Brookfield School District","=""0180011""","Huckleberry Hill Elementary School","=""0180411""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""","Eligible for Free or Reduced-Price Meals","*","*"
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""","Eligible for Free or Reduced-Price Meals",8,8.0
"East Lyme School District","=""0450011""","East Lyme Middle School","=""0455111""","Eligible for Free or Reduced-Price Meals",9,8.5
"East Lyme School District","=""0450011""","Flanders School","=""0450111""","Eligible for Free or Reduced-Price Meals","*","*"
"East Lyme School District","=""0450011""","Integrated Preschool","=""0458011""","Eligible for Free or Reduced-Price Meals","N/A","*"
"East Lyme School District","=""0450011""","Lillie B. Haynes School","=""0450411""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"East Lyme School District","=""0450011""","Niantic Center School","=""0450211""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Easton School District","=""0460011""","Helen Keller Middle School","=""0465111""","Eligible for Free or Reduced-Price Meals","N/A","*"
"Easton School District","=""0460011""","Samuel Staples Elementary School","=""0460111""","Eligible for Free or Reduced-Price Meals","N/A","*"
"East Windsor School District","=""0470011""","Broad Brook Elementary School","=""0470111""","Eligible for Free or Reduced-Price Meals",11,5.7
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""","Eligible for Free or Reduced-Price Meals",43,33.1
"East Windsor School District","=""0470011""","East Windsor Middle School","=""0475411""","Eligible for Free or Reduced-Price Meals",42,27.6
"Hampton School District","=""0630011""","Hampton Elementary School","=""0630111""","Eligible for Free or Reduced-Price Meals","*","*"
"East Hartford School District","=""0430011""","Anna E. Norris School","=""0430911""","Eligible for Free or Reduced-Price Meals",32,13.1
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""","Eligible for Free or Reduced-Price Meals",6,14.6
"East Hartford School District","=""0430011""","Dr. Franklin H. Mayberry School","=""0430611""","Eligible for Free or Reduced-Price Meals",23,6.1
"East Hartford School District","=""0430011""","Dr. John A. Langford School","=""0432211""","Eligible for Free or Reduced-Price Meals",21,7.3
"East Hartford School District","=""0430011""","Dr. Thomas S. O'Connell School","=""0431011""","Eligible for Free or Reduced-Price Meals",10,6.1
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""","Eligible for Free or Reduced-Price Meals",497,43.8
"East Hartford School District","=""0430011""","East Hartford Middle School","=""0435111""","Eligible for Free or Reduced-Price Meals",331,42.4
"East Hartford School District","=""0430011""","Governor William Pitkin School","=""0432011""","Eligible for Free or Reduced-Price Meals",12,6.2
"East Hartford School District","=""0430011""","Hockanum School","=""0430511""","Eligible for Free or Reduced-Price Meals",18,7.3
"East Hartford School District","=""0430011""","Joseph O. Goodwin School","=""0430411""","Eligible for Free or Reduced-Price Meals",24,10.1
"East Hartford School District","=""0430011""","Robert J. O'Brien School","=""0431811""","Eligible for Free or Reduced-Price Meals",45,13.8
"East Hartford School District","=""0430011""","Silver Lane School","=""0431211""","Eligible for Free or Reduced-Price Meals",32,11.8
"East Hartford School District","=""0430011""","Stevens Alternate High school","=""0436411""","Eligible for Free or Reduced-Price Meals",73,47.4
"East Hartford School District","=""0430011""","Sunset Ridge School Elementary Academy for Arts and World Languages","=""0432411""","Eligible for Free or Reduced-Price Meals",62,28.1
"East Hartford School District","=""0430011""","Willowbrook Early Childhood","=""0438011""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"East Hartford School District","=""0430011""","Woodland School","=""0439011""","Eligible for Free or Reduced-Price Meals","*","*"
"East Haven School District","=""0440011""","Carbone School/East Haven Academy","=""0441711""","Eligible for Free or Reduced-Price Meals","*","*"
"East Haven School District","=""0440011""","D. C. Moore School","=""0441411""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"East Haven School District","=""0440011""","Deer Run School","=""0440111""","Eligible for Free or Reduced-Price Meals","*","*"
"East Haven School District","=""0440011""","Dominick H. Ferrara School","=""0441311""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"East Haven School District","=""0440011""","East Haven High School","=""0446111""","Eligible for Free or Reduced-Price Meals",137,36.1
"East Haven School District","=""0440011""","Grove J. Tuttle School","=""0441011""","Eligible for Free or Reduced-Price Meals","*","*"
"East Haven School District","=""0440011""","Joseph Melillo Middle School","=""0445111""","Eligible for Free or Reduced-Price Meals",106,31.5
"East Haven School District","=""0440011""","Momauguin School","=""0440711""","Eligible for Free or Reduced-Price Meals","*","*"
"East Haven School District","=""0440011""","Overbrook Elementary School","=""0441811""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"East Haven School District","=""0440011""","Pathways","=""0449011""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Guilford School District","=""0600011""","A. Baldwin Middle School","=""0600711""","Eligible for Free or Reduced-Price Meals","*","*"
"Guilford School District","=""0600011""","A. W. Cox School","=""0600611""","Eligible for Free or Reduced-Price Meals","N/A","*"
"Guilford School District","=""0600011""","Calvin Leete School","=""0600411""","Eligible for Free or Reduced-Price Meals","N/A","*"
"Guilford School District","=""0600011""","E. C. Adams Middle School","=""0605111""","Eligible for Free or Reduced-Price Meals","*","*"
"Guilford School District","=""0600011""","Guilford High School","=""0606111""","Eligible for Free or Reduced-Price Meals",10,12.2
"Guilford School District","=""0600011""","Guilford Lakes School","=""0600211""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Guilford School District","=""0600011""","Melissa Jones School","=""0600311""","Eligible for Free or Reduced-Price Meals","*","*"
"Hamden School District","=""0620011""","Bear Path School","=""0621211""","Eligible for Free or Reduced-Price Meals","*","*"
"Hamden School District","=""0620011""","Church Street School","=""0620211""","Eligible for Free or Reduced-Price Meals",11,3.5
"Hamden School District","=""0620011""","Dunbar Hill School","=""0620311""","Eligible for Free or Reduced-Price Meals",11,8.9
"Hamden School District","=""0620011""","Hamden High School","=""0626111""","Eligible for Free or Reduced-Price Meals",249,35.9
"Hamden School District","=""0620011""","Hamden Middle School","=""0625211""","Eligible for Free or Reduced-Price Meals",128,34.2
"Hamden School District","=""0620011""","Helen Street School","=""0620411""","Eligible for Free or Reduced-Price Meals","*","*"
"Hamden School District","=""0620011""","Ridge Hill School","=""0621111""","Eligible for Free or Reduced-Price Meals",13,6.1
"Hamden School District","=""0620011""","Shepherd Glen School","=""0620111""","Eligible for Free or Reduced-Price Meals",27,11.6
"Hamden School District","=""0620011""","Spring Glen School","=""0621011""","Eligible for Free or Reduced-Price Meals",9,11.7
"Hamden School District","=""0620011""","West Woods School","=""0621411""","Eligible for Free or Reduced-Price Meals","*","*"
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","Eligible for Free or Reduced-Price Meals",128,19.5
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Eligible for Free or Reduced-Price Meals",430,36.1
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","Eligible for Free or Reduced-Price Meals",51,13.1
