district,school,free_reduced_price_meal_eligibility,2011_12,2012_13,2013_14,2014_15,2015_16,school_code,check_sch_col,check_dist_col
East Windsor School District,East Windsor High School,Eligible For Reduced Lunch,*,*,*,*,*,0476111,East Windsor High School,East Windsor School District
East Windsor School District,East Windsor High School,Not Eligible For Lunch,91.1,87.7,92.1,*,87.8,0476111,East Windsor High School,East Windsor School District
Eastern Connecticut Regional Educational Service Center (EASTCONN),Arts at the Capitol Theater Magnet School (ACT),Eligible For Free Lunch,*,*,*,*,*,2536014,Arts at the Capitol Theater Magnet School (ACT),Eastern Connecticut Regional Educational Service Center (EASTCONN)
Eastern Connecticut Regional Educational Service Center (EASTCONN),Arts at the Capitol Theater Magnet School (ACT),Eligible For Reduced Lunch,*,*,*,*,*,2536014,Arts at the Capitol Theater Magnet School (ACT),Eastern Connecticut Regional Educational Service Center (EASTCONN)
Eastern Connecticut Regional Educational Service Center (EASTCONN),Arts at the Capitol Theater Magnet School (ACT),Not Eligible For Lunch,86.2,*,*,*,85.7,2536014,Arts at the Capitol Theater Magnet School (ACT),Eastern Connecticut Regional Educational Service Center (EASTCONN)
Eastern Connecticut Regional Educational Service Center (EASTCONN),Quinebaug Middle College,Eligible For Free Lunch,*,*,55.0,69.6,*,2536114,Quinebaug Middle College,Eastern Connecticut Regional Educational Service Center (EASTCONN)
Eastern Connecticut Regional Educational Service Center (EASTCONN),Quinebaug Middle College,Eligible For Reduced Lunch,*,*,*,*,*,2536114,Quinebaug Middle College,Eastern Connecticut Regional Educational Service Center (EASTCONN)
Eastern Connecticut Regional Educational Service Center (EASTCONN),Quinebaug Middle College,Not Eligible For Lunch,81.0,61.9,*,*,*,2536114,Quinebaug Middle College,Eastern Connecticut Regional Educational Service Center (EASTCONN)
Ellington School District,Ellington High School,Eligible For Free Lunch,*,*,*,*,*,0486111,Ellington High School,Ellington School District
Ellington School District,Ellington High School,Eligible For Reduced Lunch,*,*,*,*,*,0486111,Ellington High School,Ellington School District
Ellington School District,Ellington High School,Not Eligible For Lunch,93.4,93.8,95.9,97.2,97.0,0486111,Ellington High School,Ellington School District
Elm City College Preparatory School District,Elm City College Preparatory School,Eligible For Free Lunch,*,*,*,*,*,2890113,Elm City College Preparatory School,Elm City College Preparatory School District
Elm City College Preparatory School District,Elm City College Preparatory School,Eligible For Reduced Lunch,*,*,*,*,*,2890113,Elm City College Preparatory School,Elm City College Preparatory School District
Elm City College Preparatory School District,Elm City College Preparatory School,Not Eligible For Lunch,*,*,*,*,*,2890113,Elm City College Preparatory School,Elm City College Preparatory School District
Enfield School District,Enfield High School,Eligible For Free Lunch,70.5,63.0,63.6,75.6,*,0496111,Enfield High School,Enfield School District
Enfield School District,Enfield High School,Eligible For Reduced Lunch,*,81.8,75.0,82.6,*,0496111,Enfield High School,Enfield School District
Enfield School District,Enfield High School,Not Eligible For Lunch,94.1,89.6,93.0,92.4,91.3,0496111,Enfield High School,Enfield School District
Enfield School District,Enrico Fermi High School,Eligible For Free Lunch,71.9,74.2,77.8,77.6,,0496211,Enrico Fermi High School,Enfield School District
Enfield School District,Enrico Fermi High School,Eligible For Reduced Lunch,84.0,96.9,*,92.0,,0496211,Enrico Fermi High School,Enfield School District
Enfield School District,Enrico Fermi High School,Not Eligible For Lunch,92.3,95.3,92.9,91.5,,0496211,Enrico Fermi High School,Enfield School District
Explorations District,Explorations,Eligible For Free Lunch,*,*,*,*,*,2726113,Explorations,Explorations District
Explorations District,Explorations,Eligible For Reduced Lunch,*,*,*,*,*,2726113,Explorations,Explorations District
Explorations District,Explorations,Not Eligible For Lunch,*,71.4,*,*,*,2726113,Explorations,Explorations District
Fairfield School District,Fairfield Ludlowe High School,Eligible For Free Lunch,86.4,80.0,67.9,90.6,95.8,0516011,Fairfield Ludlowe High School,Fairfield School District
Fairfield School District,Fairfield Ludlowe High School,Eligible For Reduced Lunch,*,*,*,*,*,0516011,Fairfield Ludlowe High School,Fairfield School District
Fairfield School District,Fairfield Ludlowe High School,Not Eligible For Lunch,96.9,96.7,96.4,97.9,98.2,0516011,Fairfield Ludlowe High School,Fairfield School District
Fairfield School District,Fairfield Warde High School,Eligible For Free Lunch,71.4,79.5,85.7,92.9,88.2,0516211,Fairfield Warde High School,Fairfield School District
Fairfield School District,Fairfield Warde High School,Eligible For Reduced Lunch,*,87.0,*,*,*,0516211,Fairfield Warde High School,Fairfield School District
Fairfield School District,Fairfield Warde High School,Not Eligible For Lunch,96.2,93.7,96.2,98.4,98.7,0516211,Fairfield Warde High School,Fairfield School District
Farmington School District,Farmington High School,Eligible For Free Lunch,*,*,*,86.1,*,0526111,Farmington High School,Farmington School District
Farmington School District,Farmington High School,Eligible For Reduced Lunch,*,*,*,*,*,0526111,Farmington High School,Farmington School District
Farmington School District,Farmington High School,Not Eligible For Lunch,96.6,98.6,97.4,100.0,97.5,0526111,Farmington High School,Farmington School District
Glastonbury School District,Glastonbury High School,Eligible For Free Lunch,76.7,*,*,*,93.6,0546111,Glastonbury High School,Glastonbury School District
Glastonbury School District,Glastonbury High School,Eligible For Reduced Lunch,*,*,*,*,*,0546111,Glastonbury High School,Glastonbury School District
Glastonbury School District,Glastonbury High School,Not Eligible For Lunch,97.4,97.7,99.4,98.9,100.0,0546111,Glastonbury High School,Glastonbury School District
Granby School District,Granby Memorial High School,Eligible For Free Lunch,*,*,*,*,*,0566111,Granby Memorial High School,Granby School District
Granby School District,Granby Memorial High School,Eligible For Reduced Lunch,*,*,*,*,*,0566111,Granby Memorial High School,Granby School District
Granby School District,Granby Memorial High School,Not Eligible For Lunch,*,98.3,98.4,98.6,*,0566111,Granby Memorial High School,Granby School District
Greenwich School District,Greenwich High School,Eligible For Free Lunch,*,80.0,*,90.1,*,0576111,Greenwich High School,Greenwich School District
Greenwich School District,Greenwich High School,Eligible For Reduced Lunch,*,85.7,*,82.9,*,0576111,Greenwich High School,Greenwich School District
Greenwich School District,Greenwich High School,Not Eligible For Lunch,94.0,97.1,98.3,99.2,98.6,0576111,Greenwich High School,Greenwich School District
Griswold School District,Griswold High School,Eligible For Free Lunch,77.5,73.7,74.5,75.6,86.7,0586211,Griswold High School,Griswold School District
Griswold School District,Griswold High School,Eligible For Reduced Lunch,77.3,85.0,*,*,*,0586211,Griswold High School,Griswold School District
Griswold School District,Griswold High School,Not Eligible For Lunch,92.6,93.6,93.6,96.5,96.4,0586211,Griswold High School,Griswold School District
Groton School District,Robert E. Fitch High School,Eligible For Free Lunch,75.5,71.1,76.2,*,84.9,0596111,Robert E. Fitch High School,Groton School District
Groton School District,Robert E. Fitch High School,Eligible For Reduced Lunch,78.6,80.6,82.2,*,81.3,0596111,Robert E. Fitch High School,Groton School District
Groton School District,Robert E. Fitch High School,Not Eligible For Lunch,88.1,88.8,92.1,92.8,94.6,0596111,Robert E. Fitch High School,Groton School District
Guilford School District,Guilford High School,Eligible For Free Lunch,*,*,*,*,*,0606111,Guilford High School,Guilford School District
Guilford School District,Guilford High School,Eligible For Reduced Lunch,*,*,*,*,*,0606111,Guilford High School,Guilford School District
Guilford School District,Guilford High School,Not Eligible For Lunch,98.0,94.2,95.0,97.8,96.2,0606111,Guilford High School,Guilford School District
Hamden School District,Hamden High School,Eligible For Free Lunch,76.3,78.0,80.2,82.9,87.0,0626111,Hamden High School,Hamden School District
Hamden School District,Hamden High School,Eligible For Reduced Lunch,82.8,86.0,91.7,89.8,91.4,0626111,Hamden High School,Hamden School District
Hamden School District,Hamden High School,Not Eligible For Lunch,91.7,91.4,97.3,98.2,96.5,0626111,Hamden High School,Hamden School District
Hartford School District,Bulkeley High School Upper School,Eligible For Free Lunch,63.1,70.8,73.4,72.2,71.4,,,
Hartford School District,Bulkeley High School Upper School,Eligible For Reduced Lunch,*,*,*,*,*,,,
Hartford School District,Bulkeley High School Upper School,Not Eligible For Lunch,*,*,*,,*,,,
Hartford School District,Capital Community College Magnet Academy,Eligible For Free Lunch,,,,*,*,0643911,Capital Community College Magnet Academy,Hartford School District
Hartford School District,Capital Community College Magnet Academy,Eligible For Reduced Lunch,,,,,*,0643911,Capital Community College Magnet Academy,Hartford School District
Hartford School District,Capital Community College Magnet Academy,Not Eligible For Lunch,,,,*,*,0643911,Capital Community College Magnet Academy,Hartford School District
Hartford School District,Capital Preparatory Magnet School,Eligible For Free Lunch,*,*,100.0,100.0,*,0646911,Capital Preparatory Magnet School,Hartford School District
Hartford School District,Capital Preparatory Magnet School,Eligible For Reduced Lunch,*,*,*,*,*,0646911,Capital Preparatory Magnet School,Hartford School District
Hartford School District,Capital Preparatory Magnet School,Not Eligible For Lunch,*,*,*,*,*,0646911,Capital Preparatory Magnet School,Hartford School District
Hartford School District,Classical Magnet School,Eligible For Free Lunch,96.9,90.7,93.8,90.9,91.7,0646411,Classical Magnet School,Hartford School District
Hartford School District,Classical Magnet School,Eligible For Reduced Lunch,*,*,*,82.6,*,0646411,Classical Magnet School,Hartford School District
Hartford School District,Classical Magnet School,Not Eligible For Lunch,100.0,97.1,97.3,96.4,100.0,0646411,Classical Magnet School,Hartford School District
Hartford School District,Culinary Arts Academy,Eligible For Free Lunch,62.8,56.2,60.4,68.4,53.2,,,
Hartford School District,Culinary Arts Academy,Eligible For Reduced Lunch,*,,,*,,,,
Hartford School District,Culinary Arts Academy,Not Eligible For Lunch,*,,*,,*,,,
Hartford School District,Global Communications Academy,Eligible For Free Lunch,,,,,92.9,0643611,Global Communications Academy,Hartford School District
Hartford School District,Great Path Academy High School at MCC,Eligible For Free Lunch,,85.2,93.3,,,,,
Hartford School District,Great Path Academy High School at MCC,Eligible For Reduced Lunch,,*,*,,,,,
Hartford School District,Great Path Academy High School at MCC,Not Eligible For Lunch,,100.0,*,,,,,
Hartford School District,Great Path Academy at MCC,Eligible For Free Lunch,,,,84.2,88.2,0647911,Great Path Academy at MCC,Hartford School District
Hartford School District,Great Path Academy at MCC,Eligible For Reduced Lunch,,,,*,*,0647911,Great Path Academy at MCC,Hartford School District
Hartford School District,Great Path Academy at MCC,Not Eligible For Lunch,,,,*,95.5,0647911,Great Path Academy at MCC,Hartford School District
Hartford School District,HPHS Academy of Engineering and Green Technology,Eligible For Free Lunch,61.7,64.2,61.2,69.6,55.6,,,
Hartford School District,HPHS Academy of Engineering and Green Technology,Eligible For Reduced Lunch,*,,,*,*,,,
Hartford School District,HPHS Academy of Engineering and Green Technology,Not Eligible For Lunch,,*,*,*,*,,,
Hartford School District,HPHS Academy of Nursing and Health Science,Eligible For Free Lunch,68.6,68.1,66.7,71.6,62.9,,,
Hartford School District,HPHS Academy of Nursing and Health Science,Eligible For Reduced Lunch,*,*,*,*,*,,,
Hartford School District,HPHS Academy of Nursing and Health Science,Not Eligible For Lunch,,*,*,,*,,,
Hartford School District,HPHS Law and Government Academy,Eligible For Free Lunch,47.4,72.6,72.3,61.8,64.0,0647411,HPHS Law and Government Academy,Hartford School District
Hartford School District,HPHS Law and Government Academy,Eligible For Reduced Lunch,,*,*,,*,0647411,HPHS Law and Government Academy,Hartford School District
Hartford School District,HPHS Law and Government Academy,Not Eligible For Lunch,,*,,*,*,0647411,HPHS Law and Government Academy,Hartford School District
Hartford School District,Hartford Magnet Trinity College Academy,Eligible For Free Lunch,,,,96.6,87.8,0645411,Hartford Magnet Trinity College Academy,Hartford School District
Hartford School District,Hartford Magnet Trinity College Academy,Eligible For Reduced Lunch,,,,*,*,0645411,Hartford Magnet Trinity College Academy,Hartford School District
Hartford School District,Hartford Magnet Trinity College Academy,Not Eligible For Lunch,,,,96.9,96.0,0645411,Hartford Magnet Trinity College Academy,Hartford School District
Hartford School District,High School Inc.,Eligible For Free Lunch,,64.9,64.5,76.9,,,,
Hartford School District,High School Inc.,Eligible For Reduced Lunch,,*,*,*,,,,
Hartford School District,High School Inc.,Not Eligible For Lunch,,81.8,*,*,,,,
Hartford School District,"High School, Inc.",Eligible For Free Lunch,,,,,79.5,0647611,"High School, Inc.",Hartford School District
Hartford School District,"High School, Inc.",Eligible For Reduced Lunch,,,,,*,0647611,"High School, Inc.",Hartford School District
Hartford School District,"High School, Inc.",Not Eligible For Lunch,,,,,*,0647611,"High School, Inc.",Hartford School District
Hartford School District,Journalism and Media Academy Magnet School,Eligible For Free Lunch,,65.4,74.6,71.7,*,0647711,Journalism and Media Academy Magnet School,Hartford School District
Hartford School District,Journalism and Media Academy Magnet School,Eligible For Reduced Lunch,,*,*,,,0647711,Journalism and Media Academy Magnet School,Hartford School District
Hartford School District,Journalism and Media Academy Magnet School,Not Eligible For Lunch,,,*,,*,0647711,Journalism and Media Academy Magnet School,Hartford School District
Hartford School District,Kinsella Magnet School of Performing Arts,Eligible For Free Lunch,,,,,93.8,0641111,Kinsella Magnet School of Performing Arts,Hartford School District
Hartford School District,Kinsella Magnet School of Performing Arts,Eligible For Reduced Lunch,,,,,*,0641111,Kinsella Magnet School of Performing Arts,Hartford School District
Hartford School District,OPPortunity High School,Eligible For Free Lunch,46.2,55.9,33.8,,,0647811,OPPortunity High School,Hartford School District
Hartford School District,OPPortunity High School,Eligible For Reduced Lunch,*,*,,,,0647811,OPPortunity High School,Hartford School District
Hartford School District,OPPortunity High School,Not Eligible For Lunch,*,*,*,,,0647811,OPPortunity High School,Hartford School District
Hartford School District,Pathways Academy of Technology and Design,Eligible For Free Lunch,85.0,88.1,93.9,82.1,95.7,0646611,Pathways Academy of Technology and Design,Hartford School District
Hartford School District,Pathways Academy of Technology and Design,Eligible For Reduced Lunch,*,*,*,*,*,0646611,Pathways Academy of Technology and Design,Hartford School District
Hartford School District,Pathways Academy of Technology and Design,Not Eligible For Lunch,100.0,*,90.0,93.1,96.8,0646611,Pathways Academy of Technology and Design,Hartford School District
Hartford School District,Sports and Medical Sciences Academy,Eligible For Free Lunch,90.4,93.2,91.3,91.7,97.7,0646511,Sports and Medical Sciences Academy,Hartford School District
Hartford School District,Sports and Medical Sciences Academy,Eligible For Reduced Lunch,*,,,*,*,0646511,Sports and Medical Sciences Academy,Hartford School District
Hartford School District,Sports and Medical Sciences Academy,Not Eligible For Lunch,,,,,*,0646511,Sports and Medical Sciences Academy,Hartford School District
Hartford School District,University High School of Science and Engineering,Eligible For Free Lunch,,,,92.1,89.3,0646711,University High School of Science and Engineering,Hartford School District
Hartford School District,University High School of Science and Engineering,Eligible For Reduced Lunch,,,,*,*,0646711,University High School of Science and Engineering,Hartford School District
Hartford School District,University High School of Science and Engineering,Not Eligible For Lunch,,,,100.0,96.6,0646711,University High School of Science and Engineering,Hartford School District
Hartford School District,University High of Science and Engineering,Eligible For Free Lunch,80.0,96.0,87.5,,,,,
Hartford School District,University High of Science and Engineering,Eligible For Reduced Lunch,*,100.0,*,,,,,
Hartford School District,University High of Science and Engineering,Not Eligible For Lunch,96.9,95.9,94.3,,,,,
Jumoke Academy District,Jumoke Academy,Eligible For Free Lunch,,,,,*,2610113,Jumoke Academy,Jumoke Academy District
Killingly School District,Killingly High School,Eligible For Free Lunch,59.0,68.5,70.3,*,68.1,0696111,Killingly High School,Killingly School District
Killingly School District,Killingly High School,Eligible For Reduced Lunch,80.8,75.8,86.4,*,90.0,0696111,Killingly High School,Killingly School District
Killingly School District,Killingly High School,Not Eligible For Lunch,89.1,82.4,90.7,95.1,96.0,0696111,Killingly High School,Killingly School District
Learn,Connecticut River Academy,Eligible For Free Lunch,,*,87.2,93.2,85.4,2456014,Connecticut River Academy,Learn
Learn,Connecticut River Academy,Eligible For Reduced Lunch,,*,95.5,*,*,2456014,Connecticut River Academy,Learn
Learn,Connecticut River Academy,Not Eligible For Lunch,,*,97.2,93.1,97.0,2456014,Connecticut River Academy,Learn
Learn,Marine Science Magnet High School of Southeastern Connecticut,Eligible For Free Lunch,,,*,*,*,2456114,Marine Science Magnet High School of Southeastern Connecticut,Learn
Learn,Marine Science Magnet High School of Southeastern Connecticut,Eligible For Reduced Lunch,,,*,*,*,2456114,Marine Science Magnet High School of Southeastern Connecticut,Learn
Learn,Marine Science Magnet High School of Southeastern Connecticut,Not Eligible For Lunch,,*,*,86.1,100.0,2456114,Marine Science Magnet High School of Southeastern Connecticut,Learn
Learn,Three Rivers Middle College Magnet School,Eligible For Free Lunch,,*,*,*,*,2456214,Three Rivers Middle College Magnet School,Learn
Learn,Three Rivers Middle College Magnet School,Eligible For Reduced Lunch,,*,*,*,*,2456214,Three Rivers Middle College Magnet School,Learn
Learn,Three Rivers Middle College Magnet School,Not Eligible For Lunch,,*,*,*,*,2456214,Three Rivers Middle College Magnet School,Learn
Lebanon School District,Lyman Memorial High School,Eligible For Free Lunch,*,*,*,*,*,0716211,Lyman Memorial High School,Lebanon School District
Lebanon School District,Lyman Memorial High School,Eligible For Reduced Lunch,*,*,*,*,*,0716211,Lyman Memorial High School,Lebanon School District
Lebanon School District,Lyman Memorial High School,Not Eligible For Lunch,90.2,94.6,95.2,97.4,*,0716211,Lyman Memorial High School,Lebanon School District
Ledyard School District,Ledyard High School,Eligible For Free Lunch,*,*,*,90.6,83.7,0726111,Ledyard High School,Ledyard School District
Ledyard School District,Ledyard High School,Eligible For Reduced Lunch,*,*,*,*,*,0726111,Ledyard High School,Ledyard School District
Ledyard School District,Ledyard High School,Not Eligible For Lunch,94.9,97.1,97.2,96.3,96.0,0726111,Ledyard High School,Ledyard School District
Lisbon School District,Community Connection - The Big Picture High School,Eligible For Free Lunch,*,*,,,,0736011,Community Connection - The Big Picture High School,Lisbon School District
Lisbon School District,Community Connection - The Big Picture High School,Eligible For Reduced Lunch,,*,,,,0736011,Community Connection - The Big Picture High School,Lisbon School District
Lisbon School District,Community Connection - The Big Picture High School,Not Eligible For Lunch,*,*,,,,0736011,Community Connection - The Big Picture High School,Lisbon School District
Litchfield School District,Litchfield High School,Eligible For Free Lunch,*,*,*,*,*,0746111,Litchfield High School,Litchfield School District
Litchfield School District,Litchfield High School,Eligible For Reduced Lunch,*,*,*,*,*,0746111,Litchfield High School,Litchfield School District
Litchfield School District,Litchfield High School,Not Eligible For Lunch,*,100.0,95.0,100.0,*,0746111,Litchfield High School,Litchfield School District
Madison School District,Daniel Hand High School,Eligible For Free Lunch,*,*,*,*,*,0766111,Daniel Hand High School,Madison School District
Madison School District,Daniel Hand High School,Eligible For Reduced Lunch,*,*,*,*,*,0766111,Daniel Hand High School,Madison School District
Madison School District,Daniel Hand High School,Not Eligible For Lunch,98.7,*,97.3,99.0,98.5,0766111,Daniel Hand High School,Madison School District
Manchester School District,Manchester High School,Eligible For Free Lunch,64.9,65.7,76.6,78.1,86.4,0776111,Manchester High School,Manchester School District
Manchester School District,Manchester High School,Eligible For Reduced Lunch,78.3,72.2,94.2,90.6,87.9,0776111,Manchester High School,Manchester School District
Manchester School District,Manchester High School,Not Eligible For Lunch,87.0,90.7,95.2,95.5,96.4,0776111,Manchester High School,Manchester School District
Meriden School District,Francis T. Maloney High School,Eligible For Free Lunch,57.4,64.2,62.9,68.2,67.1,0806111,Francis T. Maloney High School,Meriden School District
Meriden School District,Francis T. Maloney High School,Eligible For Reduced Lunch,72.7,73.3,83.7,81.6,*,0806111,Francis T. Maloney High School,Meriden School District
Meriden School District,Francis T. Maloney High School,Not Eligible For Lunch,87.6,86.9,84.7,88.6,89.0,0806111,Francis T. Maloney High School,Meriden School District
Meriden School District,Orville H. Platt High School,Eligible For Free Lunch,61.4,60.3,73.8,68.3,66.3,0806211,Orville H. Platt High School,Meriden School District
Meriden School District,Orville H. Platt High School,Eligible For Reduced Lunch,80.0,71.2,90.6,93.9,70.8,0806211,Orville H. Platt High School,Meriden School District
Meriden School District,Orville H. Platt High School,Not Eligible For Lunch,84.7,84.7,89.8,91.0,90.4,0806211,Orville H. Platt High School,Meriden School District
Middletown School District,Middletown High School,Eligible For Free Lunch,66.9,72.7,78.4,90.6,*,0836211,Middletown High School,Middletown School District
Middletown School District,Middletown High School,Eligible For Reduced Lunch,78.1,85.7,90.0,100.0,*,0836211,Middletown High School,Middletown School District
Middletown School District,Middletown High School,Not Eligible For Lunch,86.6,90.4,96.6,97.1,97.8,0836211,Middletown High School,Middletown School District
Milford School District,Jonathan Law High School,Eligible For Free Lunch,66.7,55.9,75.0,87.0,90.0,0846211,Jonathan Law High School,Milford School District
Milford School District,Jonathan Law High School,Eligible For Reduced Lunch,73.3,85.2,80.8,*,100.0,0846211,Jonathan Law High School,Milford School District
Milford School District,Jonathan Law High School,Not Eligible For Lunch,87.2,88.2,94.6,93.8,98.0,0846211,Jonathan Law High School,Milford School District
Milford School District,Joseph A. Foran High School,Eligible For Free Lunch,71.9,61.3,89.2,85.7,93.8,0846311,Joseph A. Foran High School,Milford School District
Milford School District,Joseph A. Foran High School,Eligible For Reduced Lunch,76.9,89.3,*,*,*,0846311,Joseph A. Foran High School,Milford School District
Milford School District,Joseph A. Foran High School,Not Eligible For Lunch,96.3,95.1,97.4,98.4,100.0,0846311,Joseph A. Foran High School,Milford School District
Monroe School District,Masuk High School,Eligible For Free Lunch,*,90.9,100.0,*,*,0856111,Masuk High School,Monroe School District
Monroe School District,Masuk High School,Eligible For Reduced Lunch,*,100.0,*,*,*,0856111,Masuk High School,Monroe School District
Monroe School District,Masuk High School,Not Eligible For Lunch,*,98.1,97.7,100.0,99.2,0856111,Masuk High School,Monroe School District
Montville School District,Montville High School,Eligible For Free Lunch,72.2,75.0,*,*,85.0,0866111,Montville High School,Montville School District
Montville School District,Montville High School,Eligible For Reduced Lunch,80.0,*,*,*,*,0866111,Montville High School,Montville School District
Montville School District,Montville High School,Not Eligible For Lunch,94.6,94.7,94.3,96.5,*,0866111,Montville High School,Montville School District
Naugatuck School District,Naugatuck High School,Eligible For Free Lunch,70.1,67.6,73.7,80.0,74.8,0886111,Naugatuck High School,Naugatuck School District
Naugatuck School District,Naugatuck High School,Eligible For Reduced Lunch,77.8,76.1,83.0,89.6,85.4,0886111,Naugatuck High School,Naugatuck School District
Naugatuck School District,Naugatuck High School,Not Eligible For Lunch,93.5,85.8,87.3,90.4,93.7,0886111,Naugatuck High School,Naugatuck School District
New Britain School District,New Britain High School,Eligible For Free Lunch,53.1,56.1,58.5,65.2,71.3,0896111,New Britain High School,New Britain School District
New Britain School District,New Britain High School,Eligible For Reduced Lunch,72.7,75.0,80.2,78.3,87.5,0896111,New Britain High School,New Britain School District
New Britain School District,New Britain High School,Not Eligible For Lunch,85.1,82.5,79.4,88.2,86.8,0896111,New Britain High School,New Britain School District
New Canaan School District,New Canaan High School,Eligible For Free Lunch,,*,,,,0906111,New Canaan High School,New Canaan School District
New Canaan School District,New Canaan High School,Eligible For Reduced Lunch,*,*,*,,,0906111,New Canaan High School,New Canaan School District
New Canaan School District,New Canaan High School,Not Eligible For Lunch,*,97.6,*,*,*,0906111,New Canaan High School,New Canaan School District
New Fairfield School District,New Fairfield High School,Eligible For Free Lunch,*,*,*,*,*,0916111,New Fairfield High School,New Fairfield School District
New Fairfield School District,New Fairfield High School,Eligible For Reduced Lunch,*,*,*,*,*,0916111,New Fairfield High School,New Fairfield School District
New Fairfield School District,New Fairfield High School,Not Eligible For Lunch,98.5,97.8,*,*,*,0916111,New Fairfield High School,New Fairfield School District
New Haven School District,Cooperative High School,Eligible For Free Lunch,90.6,88.2,93.0,91.6,92.0,0936411,Cooperative High School,New Haven School District
New Haven School District,Cooperative High School,Eligible For Reduced Lunch,96.2,96.2,100.0,*,100.0,0936411,Cooperative High School,New Haven School District
New Haven School District,Cooperative High School,Not Eligible For Lunch,84.0,89.2,90.3,100.0,97.6,0936411,Cooperative High School,New Haven School District
New Haven School District,Engineering - Science University Magnet School,Eligible For Free Lunch,,,,94.4,90.6,0931711,Engineering - Science University Magnet School,New Haven School District
New Haven School District,Engineering - Science University Magnet School,Eligible For Reduced Lunch,,,,*,*,0931711,Engineering - Science University Magnet School,New Haven School District
New Haven School District,Engineering - Science University Magnet School,Not Eligible For Lunch,,,,*,*,0931711,Engineering - Science University Magnet School,New Haven School District
New Haven School District,High School In The Community,Eligible For Free Lunch,49.1,55.6,46.8,40.4,44.8,0936611,High School In The Community,New Haven School District
New Haven School District,High School In The Community,Eligible For Reduced Lunch,*,*,*,*,*,0936611,High School In The Community,New Haven School District
New Haven School District,High School In The Community,Not Eligible For Lunch,*,*,*,*,*,0936611,High School In The Community,New Haven School District
New Haven School District,Hill Regional Career High School,Eligible For Free Lunch,83.0,88.9,86.6,90.0,85.7,0936311,Hill Regional Career High School,New Haven School District
New Haven School District,Hill Regional Career High School,Eligible For Reduced Lunch,97.6,100.0,92.0,95.7,91.3,0936311,Hill Regional Career High School,New Haven School District
New Haven School District,Hill Regional Career High School,Not Eligible For Lunch,95.2,95.7,90.9,*,84.6,0936311,Hill Regional Career High School,New Haven School District
New Haven School District,"Hyde School of Health, Science and Sports Medicine",Eligible For Free Lunch,69.6,83.3,88.5,88.9,93.1,,,
New Haven School District,"Hyde School of Health, Science and Sports Medicine",Eligible For Reduced Lunch,*,*,*,*,*,,,
New Haven School District,"Hyde School of Health, Science and Sports Medicine",Not Eligible For Lunch,*,*,*,*,*,,,
New Haven School District,James Hillhouse High School,Eligible For Free Lunch,56.1,57.9,71.2,69.4,82.8,0936211,James Hillhouse High School,New Haven School District
New Haven School District,James Hillhouse High School,Eligible For Reduced Lunch,64.3,61.5,71.4,90.9,*,0936211,James Hillhouse High School,New Haven School District
New Haven School District,James Hillhouse High School,Not Eligible For Lunch,38.7,53.1,61.2,66.7,67.9,0936211,James Hillhouse High School,New Haven School District
New Haven School District,Metropolitan Business Academy,Eligible For Free Lunch,78.1,78.5,85.2,82.8,93.0,0936011,Metropolitan Business Academy,New Haven School District
New Haven School District,Metropolitan Business Academy,Eligible For Reduced Lunch,*,*,95.8,*,*,0936011,Metropolitan Business Academy,New Haven School District
New Haven School District,Metropolitan Business Academy,Not Eligible For Lunch,*,*,*,*,91.3,0936011,Metropolitan Business Academy,New Haven School District
New Haven School District,New Haven Academy,Eligible For Free Lunch,57.7,61.7,82.9,65.0,64.3,0937011,New Haven Academy,New Haven School District
New Haven School District,New Haven Academy,Eligible For Reduced Lunch,*,*,*,*,*,0937011,New Haven Academy,New Haven School District
New Haven School District,New Haven Academy,Not Eligible For Lunch,*,*,*,*,*,0937011,New Haven Academy,New Haven School District
New Haven School District,Sound School,Eligible For Free Lunch,87.5,90.9,93.8,83.3,96.0,0936711,Sound School,New Haven School District
New Haven School District,Sound School,Eligible For Reduced Lunch,*,*,*,*,*,0936711,Sound School,New Haven School District
New Haven School District,Sound School,Not Eligible For Lunch,96.4,96.7,92.1,96.0,97.2,0936711,Sound School,New Haven School District
New Haven School District,Wilbur Cross High School,Eligible For Free Lunch,66.9,60.7,61.1,65.4,76.0,0936111,Wilbur Cross High School,New Haven School District
New Haven School District,Wilbur Cross High School,Eligible For Reduced Lunch,79.6,78.1,85.7,82.6,91.7,0936111,Wilbur Cross High School,New Haven School District
New Haven School District,Wilbur Cross High School,Not Eligible For Lunch,70.6,72.7,75.0,64.3,75.9,0936111,Wilbur Cross High School,New Haven School District
New London School District,New London High School,Eligible For Free Lunch,66.8,66.0,72.0,77.8,*,0956111,New London High School,New London School District
New London School District,New London High School,Eligible For Reduced Lunch,62.5,*,85.0,*,85.2,0956111,New London High School,New London School District
New London School District,New London High School,Not Eligible For Lunch,*,*,*,*,*,0956111,New London High School,New London School District
New London School District,Science and Technology Magnet School of Southeastern Connecticut,Eligible For Free Lunch,,,,,*,0951311,Science and Technology Magnet School of Southeastern Connecticut,New London School District
New London School District,Science and Technology Magnet School of Southeastern Connecticut,Not Eligible For Lunch,,,,,*,0951311,Science and Technology Magnet School of Southeastern Connecticut,New London School District
New Milford School District,New Milford High School,Eligible For Free Lunch,*,76.3,*,*,73.8,0966111,New Milford High School,New Milford School District
