district,school,high_needs_status,2011_12,2012_13,2013_14,2014_15,2015_16,school_code,check_sch_col,check_dist_col
Lisbon School District,Community Connection - The Big Picture High School,Non-High Needs,*,*,,,,0736011,Community Connection - The Big Picture High School,Lisbon School District
Litchfield School District,Litchfield High School,High Needs,*,*,*,100.0,*,0746111,Litchfield High School,Litchfield School District
Litchfield School District,Litchfield High School,Non-High Needs,*,*,*,100.0,*,0746111,Litchfield High School,Litchfield School District
Madison School District,Daniel Hand High School,High Needs,92.3,*,92.9,*,92.5,0766111,Daniel Hand High School,Madison School District
Madison School District,Daniel Hand High School,Non-High Needs,99.3,*,98.5,*,99.2,0766111,Daniel Hand High School,Madison School District
Manchester School District,Manchester High School,High Needs,69.4,68.6,80.2,80.5,86.5,0776111,Manchester High School,Manchester School District
Manchester School District,Manchester High School,Non-High Needs,88.3,92.1,97.1,97.2,97.0,0776111,Manchester High School,Manchester School District
Meriden School District,Francis T. Maloney High School,High Needs,60.5,65.0,65.9,70.6,67.3,0806111,Francis T. Maloney High School,Meriden School District
Meriden School District,Francis T. Maloney High School,Non-High Needs,89.8,92.5,91.4,90.3,94.6,0806111,Francis T. Maloney High School,Meriden School District
Meriden School District,Orville H. Platt High School,High Needs,63.0,61.6,75.7,72.7,67.1,0806211,Orville H. Platt High School,Meriden School District
Meriden School District,Orville H. Platt High School,Non-High Needs,90.3,94.2,94.6,90.1,92.3,0806211,Orville H. Platt High School,Meriden School District
Middletown School District,Middletown High School,High Needs,68.2,77.3,81.8,93.7,*,0836211,Middletown High School,Middletown School District
Middletown School District,Middletown High School,Non-High Needs,89.9,90.9,96.8,96.9,*,0836211,Middletown High School,Middletown School District
Milford School District,Jonathan Law High School,High Needs,68.5,64.7,76.2,84.1,91.1,0846211,Jonathan Law High School,Milford School District
Milford School District,Jonathan Law High School,Non-High Needs,92.3,93.6,97.5,*,*,0846211,Jonathan Law High School,Milford School District
Milford School District,Joseph A. Foran High School,High Needs,75.9,74.5,92.0,*,*,0846311,Joseph A. Foran High School,Milford School District
Milford School District,Joseph A. Foran High School,Non-High Needs,98.8,99.4,98.2,100.0,100.0,0846311,Joseph A. Foran High School,Milford School District
Monroe School District,Masuk High School,High Needs,*,*,*,100.0,*,0856111,Masuk High School,Monroe School District
Monroe School District,Masuk High School,Non-High Needs,*,*,*,100.0,*,0856111,Masuk High School,Monroe School District
Montville School District,Montville High School,High Needs,*,76.4,81.1,88.9,*,0866111,Montville High School,Montville School District
Montville School District,Montville High School,Non-High Needs,*,96.2,94.5,100.0,*,0866111,Montville High School,Montville School District
Naugatuck School District,Naugatuck High School,High Needs,74.7,69.1,75.3,81.6,79.9,0886111,Naugatuck High School,Naugatuck School District
Naugatuck School District,Naugatuck High School,Non-High Needs,94.1,89.0,91.2,93.1,94.0,0886111,Naugatuck High School,Naugatuck School District
New Britain School District,New Britain High School,High Needs,57.2,60.2,61.8,67.0,73.6,0896111,New Britain High School,New Britain School District
New Britain School District,New Britain High School,Non-High Needs,88.1,83.0,85.0,90.1,88.2,0896111,New Britain High School,New Britain School District
New Canaan School District,New Canaan High School,High Needs,*,91.5,*,*,*,0906111,New Canaan High School,New Canaan School District
New Canaan School District,New Canaan High School,Non-High Needs,*,98.6,*,*,*,0906111,New Canaan High School,New Canaan School District
New Fairfield School District,New Fairfield High School,High Needs,90.7,89.3,*,*,*,0916111,New Fairfield High School,New Fairfield School District
New Fairfield School District,New Fairfield High School,Non-High Needs,100.0,98.0,*,*,*,0916111,New Fairfield High School,New Fairfield School District
New Haven School District,Cooperative High School,High Needs,92.2,89.4,93.5,93.2,94.2,0936411,Cooperative High School,New Haven School District
New Haven School District,Cooperative High School,Non-High Needs,80.0,90.3,96.0,100.0,97.4,0936411,Cooperative High School,New Haven School District
New Haven School District,Engineering - Science University Magnet School,High Needs,,,,95.7,92.3,0931711,Engineering - Science University Magnet School,New Haven School District
New Haven School District,Engineering - Science University Magnet School,Non-High Needs,,,,*,*,0931711,Engineering - Science University Magnet School,New Haven School District
New Haven School District,High School In The Community,High Needs,52.1,56.9,47.4,43.6,50.0,0936611,High School In The Community,New Haven School District
New Haven School District,High School In The Community,Non-High Needs,*,*,*,*,*,0936611,High School In The Community,New Haven School District
New Haven School District,Hill Regional Career High School,High Needs,87.5,91.2,87.3,90.9,86.8,0936311,Hill Regional Career High School,New Haven School District
New Haven School District,Hill Regional Career High School,Non-High Needs,95.0,*,*,*,84.6,0936311,Hill Regional Career High School,New Haven School District
New Haven School District,"Hyde School of Health, Science and Sports Medicine",High Needs,77.8,80.0,88.2,91.1,94.7,,,
New Haven School District,"Hyde School of Health, Science and Sports Medicine",Non-High Needs,*,*,*,*,*,,,
New Haven School District,James Hillhouse High School,High Needs,55.0,58.2,68.9,71.5,81.1,0936211,James Hillhouse High School,New Haven School District
New Haven School District,James Hillhouse High School,Non-High Needs,*,*,74.1,64.9,75.0,0936211,James Hillhouse High School,New Haven School District
New Haven School District,Metropolitan Business Academy,High Needs,81.0,83.5,88.8,83.1,92.2,0936011,Metropolitan Business Academy,New Haven School District
New Haven School District,Metropolitan Business Academy,Non-High Needs,*,*,*,*,90.9,0936011,Metropolitan Business Academy,New Haven School District
New Haven School District,New Haven Academy,High Needs,65.8,65.7,84.6,67.3,67.5,0937011,New Haven Academy,New Haven School District
New Haven School District,New Haven Academy,Non-High Needs,*,*,*,*,*,0937011,New Haven Academy,New Haven School District
New Haven School District,Sound School,High Needs,92.3,91.5,92.9,86.3,97.8,0936711,Sound School,New Haven School District
New Haven School District,Sound School,Non-High Needs,*,95.2,93.1,95.2,96.6,0936711,Sound School,New Haven School District
New Haven School District,Wilbur Cross High School,High Needs,69.0,63.7,63.3,65.9,75.9,0936111,Wilbur Cross High School,New Haven School District
New Haven School District,Wilbur Cross High School,Non-High Needs,69.2,71.4,90.0,69.0,81.0,0936111,Wilbur Cross High School,New Haven School District
New London School District,New London High School,High Needs,*,*,*,*,*,0956111,New London High School,New London School District
New London School District,New London High School,Non-High Needs,*,*,*,*,*,0956111,New London High School,New London School District
New London School District,Science and Technology Magnet School of Southeastern Connecticut,High Needs,,,,,*,0951311,Science and Technology Magnet School of Southeastern Connecticut,New London School District
New London School District,Science and Technology Magnet School of Southeastern Connecticut,Non-High Needs,,,,,*,0951311,Science and Technology Magnet School of Southeastern Connecticut,New London School District
New Milford School District,New Milford High School,High Needs,83.8,75.0,75.3,*,84.1,0966111,New Milford High School,New Milford School District
New Milford School District,New Milford High School,Non-High Needs,95.0,94.3,96.4,*,96.7,0966111,New Milford High School,New Milford School District
Newington School District,Newington High School,High Needs,78.2,79.2,80.7,85.6,83.9,0946111,Newington High School,Newington School District
Newington School District,Newington High School,Non-High Needs,95.7,96.4,98.8,96.9,98.4,0946111,Newington High School,Newington School District
Newtown School District,Newtown High School,High Needs,84.7,79.2,*,82.1,81.8,0976111,Newtown High School,Newtown School District
Newtown School District,Newtown High School,Non-High Needs,96.8,97.2,*,99.2,98.9,0976111,Newtown High School,Newtown School District
North Branford School District,North Branford High School,High Needs,*,86.0,*,*,*,0996111,North Branford High School,North Branford School District
North Branford School District,North Branford High School,Non-High Needs,*,100.0,*,*,*,0996111,North Branford High School,North Branford School District
North Haven School District,North Haven High School,High Needs,*,71.6,79.7,86.3,*,1016111,North Haven High School,North Haven School District
North Haven School District,North Haven High School,Non-High Needs,*,95.8,95.3,97.6,*,1016111,North Haven High School,North Haven School District
North Stonington School District,Wheeler High School,High Needs,*,*,*,*,66.7,1026111,Wheeler High School,North Stonington School District
North Stonington School District,Wheeler High School,Non-High Needs,94.9,*,*,*,100.0,1026111,Wheeler High School,North Stonington School District
Norwalk School District,Brien McMahon High School,High Needs,84.7,84.6,81.0,92.3,94.0,1036211,Brien McMahon High School,Norwalk School District
Norwalk School District,Brien McMahon High School,Non-High Needs,92.9,*,*,*,*,1036211,Brien McMahon High School,Norwalk School District
Norwalk School District,Norwalk High School,High Needs,74.7,*,87.2,85.8,83.1,1036111,Norwalk High School,Norwalk School District
Norwalk School District,Norwalk High School,Non-High Needs,*,95.4,96.3,95.6,97.3,1036111,Norwalk High School,Norwalk School District
Norwalk School District,Norwalk Pathways Academy at Briggs,High Needs,31.0,*,0.0,38.9,59.4,1036311,Norwalk Pathways Academy at Briggs,Norwalk School District
Norwalk School District,Norwalk Pathways Academy at Briggs,Non-High Needs,*,*,*,*,*,1036311,Norwalk Pathways Academy at Briggs,Norwalk School District
Norwich Free Academy District,Norwich Free Academy,High Needs,75.4,75.0,77.4,80.1,78.1,9016122,Norwich Free Academy,Norwich Free Academy District
Norwich Free Academy District,Norwich Free Academy,Non-High Needs,93.1,94.8,96.9,97.8,95.2,9016122,Norwich Free Academy,Norwich Free Academy District
Norwich School District,Thames River Academy,High Needs,*,,,,,1046111,Thames River Academy,Norwich School District
Norwich School District,Thames River Academy,Non-High Needs,*,,,,,1046111,Thames River Academy,Norwich School District
Old Saybrook School District,Old Saybrook Senior High School,High Needs,*,*,86.5,*,83.8,1066111,Old Saybrook Senior High School,Old Saybrook School District
Old Saybrook School District,Old Saybrook Senior High School,Non-High Needs,*,*,96.9,*,96.8,1066111,Old Saybrook Senior High School,Old Saybrook School District
Oxford School District,Oxford High School,High Needs,*,*,*,*,*,1086011,Oxford High School,Oxford School District
Oxford School District,Oxford High School,Non-High Needs,*,*,*,*,*,1086011,Oxford High School,Oxford School District
Path Academy District,Path Academy,High Needs,,,,,*,2930113,Path Academy,Path Academy District
Path Academy District,Path Academy,Non-High Needs,,,,,*,2930113,Path Academy,Path Academy District
Plainfield School District,Plainfield High School,High Needs,79.1,72.7,75.6,*,72.6,1096111,Plainfield High School,Plainfield School District
Plainfield School District,Plainfield High School,Non-High Needs,94.3,96.1,94.1,*,96.6,1096111,Plainfield High School,Plainfield School District
Plainville School District,Plainville High School,High Needs,*,82.9,83.8,*,81.7,1106111,Plainville High School,Plainville School District
Plainville School District,Plainville High School,Non-High Needs,*,94.4,97.8,*,100.0,1106111,Plainville High School,Plainville School District
Plymouth School District,Terryville High School,High Needs,66.7,79.5,*,80.0,82.7,1116111,Terryville High School,Plymouth School District
Plymouth School District,Terryville High School,Non-High Needs,96.3,92.4,*,97.0,94.3,1116111,Terryville High School,Plymouth School District
Portland School District,Portland High School,High Needs,*,*,70.4,*,*,1136111,Portland High School,Portland School District
Portland School District,Portland High School,Non-High Needs,*,*,100.0,*,*,1136111,Portland High School,Portland School District
Putnam School District,Putnam High School,High Needs,*,75.4,*,*,95.8,1166111,Putnam High School,Putnam School District
Putnam School District,Putnam High School,Non-High Needs,*,88.6,*,*,*,1166111,Putnam High School,Putnam School District
Regional School District 01,Housatonic Valley Regional High School,High Needs,*,85.0,82.4,90.6,*,2016112,Housatonic Valley Regional High School,Regional School District 01
Regional School District 01,Housatonic Valley Regional High School,Non-High Needs,*,94.1,91.9,96.3,*,2016112,Housatonic Valley Regional High School,Regional School District 01
Regional School District 04,Valley Regional High School,High Needs,85.7,*,*,*,95.1,2046112,Valley Regional High School,Regional School District 04
Regional School District 04,Valley Regional High School,Non-High Needs,93.6,*,*,*,100.0,2046112,Valley Regional High School,Regional School District 04
Regional School District 05,Amity Regional High School,High Needs,89.6,89.7,90.5,91.9,*,2056112,Amity Regional High School,Regional School District 05
Regional School District 05,Amity Regional High School,Non-High Needs,98.1,97.6,98.8,98.0,*,2056112,Amity Regional High School,Regional School District 05
Regional School District 06,Wamogo Regional High School,High Needs,*,*,*,*,*,2066112,Wamogo Regional High School,Regional School District 06
Regional School District 06,Wamogo Regional High School,Non-High Needs,*,*,*,*,*,2066112,Wamogo Regional High School,Regional School District 06
Regional School District 07,Northwestern Regional High School,High Needs,*,*,*,*,*,2076112,Northwestern Regional High School,Regional School District 07
Regional School District 07,Northwestern Regional High School,Non-High Needs,*,*,*,*,*,2076112,Northwestern Regional High School,Regional School District 07
Regional School District 08,RHAM High School,High Needs,73.1,*,84.3,74.5,83.0,2086112,RHAM High School,Regional School District 08
Regional School District 08,RHAM High School,Non-High Needs,95.0,*,97.3,97.6,96.5,2086112,RHAM High School,Regional School District 08
Regional School District 08,Region Alternative High School,High Needs,,*,,,,2086212,Region Alternative High School,Regional School District 08
Regional School District 08,Region Alternative High School,Non-High Needs,,*,,,,2086212,Region Alternative High School,Regional School District 08
Regional School District 09,Joel Barlow High School,High Needs,*,85.7,*,*,*,2096112,Joel Barlow High School,Regional School District 09
Regional School District 09,Joel Barlow High School,Non-High Needs,*,97.5,*,*,*,2096112,Joel Barlow High School,Regional School District 09
Regional School District 10,Lewis S. Mills High School,High Needs,90.9,73.2,81.6,*,*,2106112,Lewis S. Mills High School,Regional School District 10
Regional School District 10,Lewis S. Mills High School,Non-High Needs,97.4,97.5,97.7,*,*,2106112,Lewis S. Mills High School,Regional School District 10
Regional School District 11,Parish Hill High School,High Needs,*,*,85.0,100.0,*,2116112,Parish Hill High School,Regional School District 11
Regional School District 11,Parish Hill High School,Non-High Needs,*,*,*,100.0,*,2116112,Parish Hill High School,Regional School District 11
Regional School District 12,Shepaug Valley High School,High Needs,*,*,,,,2126112,Shepaug Valley High School,Regional School District 12
Regional School District 12,Shepaug Valley High School,Non-High Needs,87.0,*,,,,2126112,Shepaug Valley High School,Regional School District 12
Regional School District 12,Shepaug Valley School,High Needs,,,*,*,*,2120312,Shepaug Valley School,Regional School District 12
Regional School District 12,Shepaug Valley School,Non-High Needs,,,*,100.0,100.0,2120312,Shepaug Valley School,Regional School District 12
Regional School District 13,Coginchaug Regional High School,High Needs,*,*,*,100.0,87.2,2136112,Coginchaug Regional High School,Regional School District 13
Regional School District 13,Coginchaug Regional High School,Non-High Needs,*,*,*,100.0,100.0,2136112,Coginchaug Regional High School,Regional School District 13
Regional School District 14,Nonnewaug High School,High Needs,*,88.1,*,*,*,2146112,Nonnewaug High School,Regional School District 14
Regional School District 14,Nonnewaug High School,Non-High Needs,*,95.5,*,*,*,2146112,Nonnewaug High School,Regional School District 14
Regional School District 15,Pomperaug Regional High School,High Needs,79.7,86.9,89.1,81.3,*,2156212,Pomperaug Regional High School,Regional School District 15
Regional School District 15,Pomperaug Regional High School,Non-High Needs,97.0,96.9,98.9,98.3,*,2156212,Pomperaug Regional High School,Regional School District 15
Regional School District 16,Woodland Regional High School,High Needs,83.0,71.4,*,*,92.6,2166012,Woodland Regional High School,Regional School District 16
Regional School District 16,Woodland Regional High School,Non-High Needs,95.7,97.0,*,*,100.0,2166012,Woodland Regional High School,Regional School District 16
Regional School District 17,Haddam-Killingworth High School,High Needs,*,*,*,84.8,*,2176112,Haddam-Killingworth High School,Regional School District 17
Regional School District 17,Haddam-Killingworth High School,Non-High Needs,*,*,*,100.0,*,2176112,Haddam-Killingworth High School,Regional School District 17
Regional School District 18,Lyme-Old Lyme High School,High Needs,*,78.3,*,*,*,2186112,Lyme-Old Lyme High School,Regional School District 18
Regional School District 18,Lyme-Old Lyme High School,Non-High Needs,*,100.0,*,*,100.0,2186112,Lyme-Old Lyme High School,Regional School District 18
Regional School District 19,E. O. Smith High School,High Needs,70.2,69.7,88.3,93.8,*,2196112,E. O. Smith High School,Regional School District 19
Regional School District 19,E. O. Smith High School,Non-High Needs,94.3,95.8,98.1,96.5,*,2196112,E. O. Smith High School,Regional School District 19
Ridgefield School District,Ridgefield High School,High Needs,*,86.8,92.3,*,93.1,1186111,Ridgefield High School,Ridgefield School District
Ridgefield School District,Ridgefield High School,Non-High Needs,*,98.9,98.7,*,98.6,1186111,Ridgefield High School,Ridgefield School District
Rocky Hill School District,Rocky Hill High School,High Needs,76.7,70.5,*,91.5,89.1,1196111,Rocky Hill High School,Rocky Hill School District
Rocky Hill School District,Rocky Hill High School,Non-High Needs,96.3,96.2,*,96.4,100.0,1196111,Rocky Hill High School,Rocky Hill School District
Seymour School District,Seymour High School,High Needs,*,70.6,76.0,80.7,*,1246111,Seymour High School,Seymour School District
Seymour School District,Seymour High School,Non-High Needs,*,97.2,95.3,97.7,*,1246111,Seymour High School,Seymour School District
Shelton School District,Shelton High School,High Needs,76.0,74.6,78.3,*,86.0,1266111,Shelton High School,Shelton School District
Shelton School District,Shelton High School,Non-High Needs,96.9,98.2,97.7,*,97.8,1266111,Shelton High School,Shelton School District
Simsbury School District,Simsbury High School,High Needs,90.9,91.8,87.0,94.9,*,1286111,Simsbury High School,Simsbury School District
Simsbury School District,Simsbury High School,Non-High Needs,98.2,99.4,99.1,98.3,*,1286111,Simsbury High School,Simsbury School District
Somers School District,Somers High School,High Needs,*,*,*,*,76.7,1296111,Somers High School,Somers School District
Somers School District,Somers High School,Non-High Needs,*,*,*,98.1,100.0,1296111,Somers High School,Somers School District
South Windsor School District,South Windsor High School,High Needs,84.0,84.9,92.1,87.7,*,1326211,South Windsor High School,South Windsor School District
South Windsor School District,South Windsor High School,Non-High Needs,98.0,98.0,98.1,97.7,*,1326211,South Windsor High School,South Windsor School District
Southington School District,Southington High School,High Needs,78.8,75.2,80.6,*,*,1316211,Southington High School,Southington School District
Southington School District,Southington High School,Non-High Needs,97.7,96.2,98.7,*,*,1316211,Southington High School,Southington School District
Stafford School District,Stafford High School,High Needs,83.3,*,*,90.0,87.2,1346111,Stafford High School,Stafford School District
Stafford School District,Stafford High School,Non-High Needs,90.8,*,*,96.6,95.8,1346111,Stafford High School,Stafford School District
Stamford Academy District,Stamford Academy,High Needs,*,*,24.6,33.3,28.3,2826013,Stamford Academy,Stamford Academy District
Stamford Academy District,Stamford Academy,Non-High Needs,*,*,,,,2826013,Stamford Academy,Stamford Academy District
Stamford School District,Stamford High School,High Needs,78.4,84.3,87.6,86.2,86.5,1356111,Stamford High School,Stamford School District
Stamford School District,Stamford High School,Non-High Needs,93.4,97.3,97.6,94.8,95.9,1356111,Stamford High School,Stamford School District
Stamford School District,The Academy of Information Technology,High Needs,97.4,100.0,98.6,97.0,96.0,1356411,The Academy of Information Technology,Stamford School District
Stamford School District,The Academy of Information Technology,Non-High Needs,98.9,99.1,98.9,100.0,100.0,1356411,The Academy of Information Technology,Stamford School District
Stamford School District,Westhill High School,High Needs,75.3,78.3,83.7,82.1,83.9,1356311,Westhill High School,Stamford School District
Stamford School District,Westhill High School,Non-High Needs,95.4,98.1,95.6,97.2,97.3,1356311,Westhill High School,Stamford School District
Stonington School District,Stonington High School,High Needs,88.1,*,82.4,*,*,1376111,Stonington High School,Stonington School District
Stonington School District,Stonington High School,Non-High Needs,96.3,*,100.0,*,*,1376111,Stonington High School,Stonington School District
Stratford School District,Bunnell High School,High Needs,74.2,89.8,96.0,92.9,92.9,1386211,Bunnell High School,Stratford School District
Stratford School District,Bunnell High School,Non-High Needs,96.5,97.5,99.5,98.5,99.3,1386211,Bunnell High School,Stratford School District
Stratford School District,Stratford High School,High Needs,86.4,85.8,89.4,88.7,90.1,1386111,Stratford High School,Stratford School District
Stratford School District,Stratford High School,Non-High Needs,94.6,96.7,96.1,98.9,95.0,1386111,Stratford High School,Stratford School District
Suffield School District,Suffield High School,High Needs,76.9,78.4,*,*,*,1396111,Suffield High School,Suffield School District
Suffield School District,Suffield High School,Non-High Needs,95.7,98.2,*,*,*,1396111,Suffield High School,Suffield School District
The Bridge Academy District,The Bridge Academy,High Needs,76.2,*,*,*,*,2696113,The Bridge Academy,The Bridge Academy District
The Bridge Academy District,The Bridge Academy,Non-High Needs,,*,*,*,*,2696113,The Bridge Academy,The Bridge Academy District
The Gilbert School District,The Gilbert School,High Needs,*,75.0,90.0,*,*,9026122,The Gilbert School,The Gilbert School District
The Gilbert School District,The Gilbert School,Non-High Needs,*,87.5,93.0,*,*,9026122,The Gilbert School,The Gilbert School District
Thomaston School District,Thomaston High School,High Needs,*,*,*,*,100.0,1406211,Thomaston High School,Thomaston School District
Thomaston School District,Thomaston High School,Non-High Needs,*,*,*,*,100.0,1406211,Thomaston High School,Thomaston School District
Thompson School District,Tourtellotte Memorial High School,High Needs,*,*,*,*,*,1416111,Tourtellotte Memorial High School,Thompson School District
Thompson School District,Tourtellotte Memorial High School,Non-High Needs,*,*,*,*,*,1416111,Tourtellotte Memorial High School,Thompson School District
Tolland School District,Tolland High School,High Needs,93.1,78.4,79.4,*,*,1426111,Tolland High School,Tolland School District
Tolland School District,Tolland High School,Non-High Needs,98.0,97.1,94.3,*,*,1426111,Tolland High School,Tolland School District
Torrington School District,Torrington High School,High Needs,65.2,80.0,81.1,78.9,72.7,1436111,Torrington High School,Torrington School District
Torrington School District,Torrington High School,Non-High Needs,92.9,93.8,95.6,96.2,97.5,1436111,Torrington High School,Torrington School District
Trumbull School District,Trumbull High School,High Needs,93.6,95.3,88.6,93.1,*,1446111,Trumbull High School,Trumbull School District
Trumbull School District,Trumbull High School,Non-High Needs,99.1,99.1,99.5,100.0,*,1446111,Trumbull High School,Trumbull School District
Vernon School District,Rockville High School,High Needs,70.9,71.8,67.7,79.4,64.2,1466111,Rockville High School,Vernon School District
Vernon School District,Rockville High School,Non-High Needs,90.8,92.8,96.3,93.6,96.0,1466111,Rockville High School,Vernon School District
Wallingford School District,Lyman Hall High School,High Needs,81.0,85.1,80.5,86.0,88.3,1486111,Lyman Hall High School,Wallingford School District
Wallingford School District,Lyman Hall High School,Non-High Needs,99.0,94.8,95.9,97.7,98.4,1486111,Lyman Hall High School,Wallingford School District
Wallingford School District,Mark T. Sheehan High School,High Needs,82.4,86.7,88.5,84.5,80.6,1486211,Mark T. Sheehan High School,Wallingford School District
Wallingford School District,Mark T. Sheehan High School,Non-High Needs,97.9,95.3,98.3,99.4,98.3,1486211,Mark T. Sheehan High School,Wallingford School District
Waterbury School District,Crosby High School,High Needs,60.1,64.2,70.9,68.0,72.0,1516211,Crosby High School,Waterbury School District
Waterbury School District,Crosby High School,Non-High Needs,61.1,79.2,81.0,95.8,89.4,1516211,Crosby High School,Waterbury School District
Waterbury School District,John F. Kennedy High School,High Needs,64.2,66.1,64.3,67.8,73.1,1516411,John F. Kennedy High School,Waterbury School District
Waterbury School District,John F. Kennedy High School,Non-High Needs,69.2,86.7,87.5,84.6,87.0,1516411,John F. Kennedy High School,Waterbury School District
Waterbury School District,Waterbury Arts Magnet School (High),High Needs,96.6,84.9,94.0,89.4,94.0,1516011,Waterbury Arts Magnet School (High),Waterbury School District
Waterbury School District,Waterbury Arts Magnet School (High),Non-High Needs,93.8,90.9,100.0,98.1,93.8,1516011,Waterbury Arts Magnet School (High),Waterbury School District
Waterbury School District,Wilby High School,High Needs,61.6,70.6,65.7,70.6,77.0,1516311,Wilby High School,Waterbury School District
Waterbury School District,Wilby High School,Non-High Needs,76.3,90.0,66.7,79.2,86.8,1516311,Wilby High School,Waterbury School District
Waterford School District,Waterford High School,High Needs,78.5,*,*,*,*,1526111,Waterford High School,Waterford School District
Waterford School District,Waterford High School,Non-High Needs,97.1,*,*,*,*,1526111,Waterford High School,Waterford School District
Watertown School District,Watertown High School,High Needs,81.1,66.7,79.7,*,*,1536111,Watertown High School,Watertown School District
Watertown School District,Watertown High School,Non-High Needs,96.8,96.7,98.0,*,*,1536111,Watertown High School,Watertown School District
West Hartford School District,Conard High School,High Needs,83.8,87.6,93.0,89.4,90.1,1556111,Conard High School,West Hartford School District
West Hartford School District,Conard High School,Non-High Needs,97.4,98.5,98.2,99.0,98.1,1556111,Conard High School,West Hartford School District
West Hartford School District,Hall High School,High Needs,86.6,87.8,93.3,92.1,98.2,1556211,Hall High School,West Hartford School District
West Hartford School District,Hall High School,Non-High Needs,98.6,98.5,99.2,99.2,100.0,1556211,Hall High School,West Hartford School District
West Hartford School District,REACH,High Needs,,,,*,,1557311,REACH,West Hartford School District
West Hartford School District,REACH,Non-High Needs,,,,,,1557311,REACH,West Hartford School District
West Haven School District,West Haven High School,High Needs,68.4,64.3,73.4,75.0,78.4,1566111,West Haven High School,West Haven School District
West Haven School District,West Haven High School,Non-High Needs,83.7,89.9,82.7,89.7,91.5,1566111,West Haven High School,West Haven School District
Westbrook School District,Westbrook High School,High Needs,*,*,*,*,*,1546111,Westbrook High School,Westbrook School District
Westbrook School District,Westbrook High School,Non-High Needs,95.3,*,*,*,*,1546111,Westbrook High School,Westbrook School District
Weston School District,Weston High School,High Needs,100.0,*,*,*,*,1576111,Weston High School,Weston School District
Weston School District,Weston High School,Non-High Needs,100.0,*,*,*,*,1576111,Weston High School,Weston School District
Westport School District,Staples High School,High Needs,94.8,*,*,*,*,1586111,Staples High School,Westport School District
Westport School District,Staples High School,Non-High Needs,99.1,*,*,*,*,1586111,Staples High School,Westport School District
Wethersfield School District,Wethersfield High School,High Needs,79.7,*,78.7,81.2,85.2,1596111,Wethersfield High School,Wethersfield School District
Wethersfield School District,Wethersfield High School,Non-High Needs,95.7,*,98.6,97.8,100.0,1596111,Wethersfield High School,Wethersfield School District
Wilton School District,Wilton High School,High Needs,*,*,*,*,*,1616111,Wilton High School,Wilton School District
Wilton School District,Wilton High School,Non-High Needs,*,*,*,*,*,1616111,Wilton High School,Wilton School District
Windham School District,Windham High School,High Needs,66.4,69.3,*,*,84.4,1636111,Windham High School,Windham School District
Windham School District,Windham High School,Non-High Needs,91.3,92.9,*,*,100.0,1636111,Windham High School,Windham School District
Windsor Locks School District,Windsor Locks High School,High Needs,*,*,94.2,*,92.7,1656111,Windsor Locks High School,Windsor Locks School District
Windsor Locks School District,Windsor Locks High School,Non-High Needs,*,*,100.0,*,95.2,1656111,Windsor Locks High School,Windsor Locks School District
Windsor School District,Windsor High School,High Needs,74.6,69.5,83.7,87.3,88.4,1646111,Windsor High School,Windsor School District
Windsor School District,Windsor High School,Non-High Needs,93.1,93.0,96.8,96.4,97.0,1646111,Windsor High School,Windsor School District
Wolcott School District,Wolcott High School,High Needs,88.6,82.3,*,*,86.0,1666111,Wolcott High School,Wolcott School District
Wolcott School District,Wolcott High School,Non-High Needs,96.4,98.7,*,*,98.5,1666111,Wolcott High School,Wolcott School District
Woodstock Academy District,Woodstock Academy,High Needs,82.7,*,*,*,*,9036122,Woodstock Academy,Woodstock Academy District
Woodstock Academy District,Woodstock Academy,Non-High Needs,98.3,*,*,*,*,9036122,Woodstock Academy,Woodstock Academy District
