school_code,district_code,school,type,district,street,city,state,zip,phone,fax,website,education_program,program_type,inter_district_magnet,pre_kindergarten,kindergarten,grade_1,grade_2,grade_3,grade_4,grade_5,grade_6,grade_7,grade_8,grade_9,grade_10,grade_11,grade_12
1480182,None,"Acord, Inc.- Wallingford",Nonpublic Elementary and Secondary Schools,,950 Yale Avenue,Wallingford,CT,06492,203-269-3599,203-269-1980,,TVSP,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
830721,None,Adelbrook Transition Academy 2,Nonpublic Elementary and Secondary Schools,,"100 Riverview Center, Suite 102",Middletown,CT,06457,860-740-2550,860-788-7629,,TVSP,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
836321,None,Adelbrook Transitional Academy 1,Nonpublic Elementary and Secondary Schools,,"100 Riverview Center, Suite 125",Middletown,CT,06547,860-635-6010,860-635-3708,,TVSP,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
330161,None,Adelbrook-The Learning Center of Cromwell,Nonpublic Elementary and Secondary Schools,,60 Hicksville Road,Cromwell,CT,06416,860-635-6010,860-635-3708,,APSEP,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
430121,None,Adelbrook-The Learning Center of East Hartford,Nonpublic Elementary and Secondary Schools,,21 Church Street,East Hartford,CT,06108,860-540-4300,,adelbrook.org,APSEP,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
770221,None,Adelbrook-The Learning Center of Manchester,Nonpublic Elementary and Secondary Schools,,42 Prospect Street,Manchester,CT,06040,860-645-1255,,www.adelbrook.org/our-programs/69-learning-,APSEP,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8250621,None,Aditus Inc.,Nonpublic Elementary and Secondary Schools,,11 Glendale Road,East Longmeadow,MA,01028,x-,,,Standard Non-Public,,,,,,,,,,,,,,,,
1512021,None,Al Yaqueen Academy,Nonpublic Elementary and Secondary Schools,,106 Grove Street,Waterbury,CT,06710,203-591-8504,203-681-5918,https://,Standard Non-Public,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8010261,None,Alabama Clinical Schools,Nonpublic Elementary and Secondary Schools,,"1221 Alton Drive, P.O. Box 100968",Birmingham,AL,35210,205-836-9923,,,APSEP,,,,,,,,,,,,,,,,
1340321,None,"Alden Brook School, Incorporated",Nonpublic Elementary and Secondary Schools,,165 Leonard Road,Stafford Springs,CT,06076,860-684-3398,,,Standard Non-Public,,,,,,,,,,,,,,,,
8251611,None,Alfred M. Chaffee School,Public Schools,,9 Clover Street,Oxford,MA,01540,508-987-6057,,,,,,,,,,,,,,,,,,,
930221,None,All Nations Christian Academy,Nonpublic Elementary and Secondary Schools,,358 Lenox Street,New Haven,CT,06513,203-467-6083,,www.allnationschristianacademy.org,Standard Non-Public,,,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1036121,None,All Saints Catholic School,Nonpublic Elementary and Secondary Schools,,139 West Rocks Road,Norwalk,CT,06851,203-847-3881,203-847-8055,,Standard Non-Public,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
620321,None,Alliance Career Institute,Nonpublic Elementary and Secondary Schools,,1946 State Street,Hamden,CT,06514,203-624-0492,203-306-3277,,Standard Non-Public,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
1511621,None,Alpha & Omega Christian Academy,Nonpublic Elementary and Secondary Schools,,50 Linden Street,Waterbury,CT,06702,203-754-2557,203-573-1244,,Standard Non-Public,,,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
280321,None,"Alternative Services - CT, Inc.: Mobile Vocational Services",Nonpublic Elementary and Secondary Schools,,84 Linwood Avenue,Colchester,CT,06266,860-942-8270 x23,860-942-8274,,TVSP,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
280182,None,"Alternative Services-CT, Inc. (Vocational Program)",Nonpublic Elementary and Secondary Schools,,661 Windham Road,Windham,CT,06266,860-942-8270 x23,860-942-8274,,TVSP,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1550361,None,American School for the Deaf,Nonpublic Elementary and Secondary Schools,,139 North Main Street,West Hartford,CT,06107,860-570-2300,860-570-2201,,APSEP,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1030121,None,Anchor Academy,Nonpublic Elementary and Secondary Schools,,P.O. Box 774,Norwalk,CT,06852,203-807-5340,,,Standard Non-Public,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100161,None,Arch Bridge School,Nonpublic Elementary and Secondary Schools,,21 Arch Bridge Road,Bethlehem,CT,06751,203-266-8031,203-266-8035,,APSEP,,,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8360521,None,Arms Acres,Nonpublic Elementary and Secondary Schools,,75 Seminary Hill Road,Carmel,NY,10512,845-225-3400,,,Standard Non-Public,,,,,,,,,,,,,,,,
510221,None,Assumption Catholic School,Nonpublic Elementary and Secondary Schools,,605 Stratfield Road,Fairfield,CT,06825,203-334-6271,203-382-0399,www,Standard Non-Public,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
775121,None,Assumption Early Learning Center,Nonpublic Elementary and Secondary Schools,,27 South Adams Street,Manchester,CT,06040,860-649-0889,860-643-0559,,Standard Non-Public,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20121,None,Assumption-Ansonia,Nonpublic Elementary and Secondary Schools,,51 North Cliff Street,Ansonia,CT,06401,203-734-0855,203-734-5521,www.assumptions.homestead.com/assumptions.html,Standard Non-Public,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
8500561,None,Austine School for the Deaf,Nonpublic Elementary and Secondary Schools,,60 Austine Drive,Brattleboro,VT,05301,802-258-9500,,,APSEP,,,,,,,,,,,,,,,,
46121,None,Avon Old Farms School,Nonpublic Elementary and Secondary Schools,,500 Old Farms Road,Avon,CT,06001,860-404-4271,860-404-4135,www.avonoldfarms.com,Standard Non-Public,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
20382,None,BHcare,Nonpublic Elementary and Secondary Schools,,435 Main Street/Box 658,Ansonia,CT,06401,203-736-2601 x1308,203-736-2641,,TVSP,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1510321,None,Bais Yaakov of Waterbury,Nonpublic Elementary and Secondary Schools,,66 Buckingham Street,Waterbury,CT,06710,203-805-8401,,,Standard Non-Public,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
8340161,None,Bancroft NeuroHealth,Nonpublic Elementary and Secondary Schools,,Hopkins Lane,Haddonfield,NJ,08033,856-429-5637,,,APSEP,,,,,,,,,,,,,,,,
1520221,None,Baptist Bible Academy,Nonpublic Elementary and Secondary Schools,,1144 Hartford Turnpike,Waterford,CT,06385,860-442-0277,860-442-9150,,Standard Non-Public,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
570821,None,Beacon School-Greenwich,Nonpublic Elementary and Secondary Schools,,44 Commerce Road,Greenwich,CT,06902,203-661-1609,,,Standard Non-Public,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1351121,None,Beacon School-Stamford,Nonpublic Elementary and Secondary Schools,,111 W. North Street,Stamford,CT,06902,203-200-7244,,,Standard Non-Public,,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8230121,None,Becket Family of Services - Androscoggin Learning & Transition,Nonpublic Elementary and Secondary Schools,,PO Box 1779,Lewiston,ME,04240,207-344-6226,,,APSEP,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
8330221,None,Becket Family of Services-East Haverhill Academy,Nonpublic Elementary and Secondary Schools,,2056 Mount Moosilauke Hwy,Pike,NH,03780,603-536-1102,,,Standard Non-Public,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
700182,None,"Behavior Management, LLC",Nonpublic Elementary and Secondary Schools,,33 Bernhard Road,North Haven,CT,06473,203-785-9110,203-785-9338,,TVSP,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8250721,None,Bellingham Employment Program,Nonpublic Elementary and Secondary Schools,,,,,,x-,,,Standard Non-Public,,,,,,,,,,,,,,,,
1550561,None,Ben Bronz Academy,Nonpublic Elementary and Secondary Schools,,141 North Main Street,West Hartford,CT,06107,860-236-5807,860-233-9945,,APSEP,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1480461,None,Benhaven Academy,Nonpublic Elementary and Secondary Schools,,50 North Plains Highway,Wallingford,CT,06492,203-774-0008,203-774-0031,,APSEP,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1010221,None,Benhaven Individualized Bridge Program,Nonpublic Elementary and Secondary Schools,,187 Half Mile Rd.,North Haven,CT,06473,203-793-1905,203-793-1909,,TVSP,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1480321,None,Benhaven Individualized Transition Services,Nonpublic Elementary and Secondary Schools,,50 North Plains Highway,Wallingford,CT,06492,203-774-0008,203-774-0031,n/a,TVSP,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1480161,None,Benhaven School,Nonpublic Elementary and Secondary Schools,,125 North Plains Industrial Road,Wallingford,CT,06492,203-793-1905,203-793-1909,,APSEP,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8500161,None,Bennington School,Nonpublic Elementary and Secondary Schools,,192 Fairview Street,Bennington,VT,05201,802-447-1557,,,APSEP,,,,,,,,,,,,,,,,
110121,None,Bess & Paul Sigel Hebrew Academy,Nonpublic Elementary and Secondary Schools,,53 Gabb Road,Bloomfield,CT,06002,860-243-8333,860-243-3986,,Standard Non-Public,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
140421,None,Bhcare - Branford,Nonpublic Elementary and Secondary Schools,,13 Sycamore Way,Branford,CT,06405,860-736-2601 x1308,203-736-2641,,TVSP,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1351421,None,Bi-Cultural Day School,Nonpublic Elementary and Secondary Schools,,2186 High Ridge Road,Stamford,CT,06903,203-329-2186,203-329-0464,,Standard Non-Public,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1510121,None,Blessed Sacrament School,Nonpublic Elementary and Secondary Schools,,386 Robinwood Road,Waterbury,CT,06708,203-756-5313,203-756-5313,,Standard Non-Public,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
8250261,None,"Boston Higashi School, Inc.",Nonpublic Elementary and Secondary Schools,,800 North Main Street,Randolph,MA,02368,781-961-0800,,,APSEP,,,,,,,,,,,,,,,,
8440461,None,Bradley  School-East Providence,Nonpublic Elementary and Secondary Schools,,1011 Veterans Memorial Parkway,East Providence,RI,02915,401-432-1411,,,APSEP,,,,,,,,,,,,,,,,
8440861,None,Bradley School - Westerly,Nonpublic Elementary and Secondary Schools,,93 Tower Street,Westerly,RI,02891,401-637-4205,,,APSEP,,,,,,,,,,,,,,,,
860221,None,Bradley School-New London Regional,Nonpublic Elementary and Secondary Schools,,26 Maple Avenue,Uncasville,CT,06382,860-367-0851,860-367-0889,www.bradleyschool.org/Bradley-school-new-london-regional.html,Standard Non-Public,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8255061,None,Brandon School and Residential Treatment Center,Nonpublic Elementary and Secondary Schools,,27 Winter Street,Natick,MA,025xx,508-655-6400,,,APSEP,,,,,,,,,,,,,,,,
8500861,None,Brattleboro Retreat (Retreat Healthcare) Meadows Educational Center,Nonpublic Elementary and Secondary Schools,,1 Anna Marsh Lane Box 803,Brattleboro,VT,05301,802-258-4315,,,APSEP,,,,,,,,,,,,,,,,
151921,None,Bridgeport Hope School,Nonpublic Elementary and Secondary Schools,,283 Lafayette Street,Bridgeport,CT,06604,203-333-6336,203-333-6336,,Standard Non-Public,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
156421,None,Bridgeport International Academy,Nonpublic Elementary and Secondary Schools,,285 Lafayette Street,Bridgeport,CT,06604,203-334-3434,203-334-8651,www,Standard Non-Public,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
8250361,None,Brightside School,Nonpublic Elementary and Secondary Schools,,2112 Riverdale Street,West Springfield,MA,01089,413-788-7366,,,APSEP,,,,,,,,,,,,,,,,
170282,None,Bristol ARC,Nonpublic Elementary and Secondary Schools,,621 Jerome Avenue /Box 726,Bristol,CT,06011,860-582-9102 x125,860-582-8280,,TVSP,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
576121,None,Brunswick School,Nonpublic Elementary and Secondary Schools,,100 Maher Avenue,Greenwich,CT,06830,203-625-5842,203-625-5816,,Standard Non-Public,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
950382,None,Buckingham Community Services,Nonpublic Elementary and Secondary Schools,,516 Vauxhall St. Suite 102,New London,CT,06320,860-447-9911,860-444-7036,,TVSP,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8420211,None,Bucks County Schools Intermediate Unit # 22,Public Schools,,705 N Shady Retreat Road,Doylestown,PA,18901,215-348-2940,,,,,,,,,,,,,,,,,,,
150417,None,Bullard Havens,Adult Education Providers,,500 Palisade Avenue,Bridgeport,CT,06610,203-579-6333,203-382-8466,,,,,,,,,,,,,,,,,,
8130111,None,Butler High School,Public Schools,,2011 Lumkin Road,Augusta,GA,30906,706-826-1132,,,,,,,,,,,,,,,,,,,
640421,None,CARE of Connecticut Transitional Services,Nonpublic Elementary and Secondary Schools,,606 Farmington Avenue,Hartford,CT,06105,860-523-5318,860-232-3597,www.,TVSP,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
840461,None,CCCD-Orange,Nonpublic Elementary and Secondary Schools,,339 Boston Post Road,Orange,CT,06477,203-799-4110,203-799-4129,,APSEP,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
840561,None,CCCD-Wolf Harbor Rd.,Nonpublic Elementary and Secondary Schools,,95 Wolf Harbor Rd,Milford,CT,06461,203-882-8810,203-882-9468,,APSEP,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
620521,None,CCCP: Odali,Nonpublic Elementary and Secondary Schools,,995 Sherman Avenue,Hamden,CT,06514,203-786-6403,,,Standard Non-Public,,,,,,,,,,,,,,,,
156521,None,CCCP: Stars,Nonpublic Elementary and Secondary Schools,,"350 Fairfield Ave., 3rd Floor",Bridgeport,CT,06604,203-334-6002,203-468-3514,,Standard Non-Public,,,,,,,,,,,,,,,,
890461,None,CCMC School,Nonpublic Elementary and Secondary Schools,,300 John Downey Drive,New Britain,CT,06051,860-837-6412,860-224-6951,,APSEP,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
800521,None,CT Christian Academy,Nonpublic Elementary and Secondary Schools,,601 Paddock Avenue,Meriden,CT,06457,860-347-6757,,www.Ctchristianacademy.net,Standard Non-Public,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
640617,None,CT Puerto Rican Forum,Adult Education Providers,,95 Park Street,Hartford,CT,06106,860-247-3227,860-249-5769,,,,,,,,,,,,,,,,,,
890182,None,"CW Resources, Inc. School to Work Transition Services - New Britain",Nonpublic Elementary and Secondary Schools,,200 Myrtle Street,New Britain,CT,06053,860-229-7700,860-229-6847,,TVSP,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
170621,None,"CW Resources, Inc. School to Work Transition Services-Bristol",Nonpublic Elementary and Secondary Schools,,530 Birch Street,Bristol,CT,06010,860-583-0401,860-585-8071,,TVSP,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
720121,None,"CW Resources, Inc. School to Work Transition Services-Gales Ferry",Nonpublic Elementary and Secondary Schools,,39 Kings Highway,Ledyard,CT,06335,203-464-2437,860-464-2465,,TVSP,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
880421,None,"CW Resources, Inc. School to Work Transition Services-Naugatuck",Nonpublic Elementary and Secondary Schools,,259 Great Hill Rd,Naugatuck,CT,06770,203-723-4465,203-723-4280,,TVSP,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1550121,None,"CW Resources, Inc. School to Work Transition Services-West Hartford",Nonpublic Elementary and Secondary Schools,,17A Andover Drive,West Hartford,CT,06110,860-953-0747,860-953-1121,,TVSP,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1650221,None,Calvary Christain School,Nonpublic Elementary and Secondary Schools,,470 Elm Street,Windsor Locks,CT,06096,860-623-0319,,,Standard Non-Public,,,,,,,,,,,,,,,,
8420161,None,"Camphill Special Schools, Inc",Nonpublic Elementary and Secondary Schools,,1784 Fairview Road,Glenmore,PA,19343,610-469-9236,,,APSEP,,,,,,,,,,,,,,,,
966121,None,Canterbury School,Nonpublic Elementary and Secondary Schools,,101 Aspetuck Avenue,New Milford,CT,06776,860-210-3857,860-350-4425,,Standard Non-Public,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
640517,None,Capital Community College,Adult Education Providers,,950 Main Street,Hartford,CT,06103,860-906-5132,860-906-5110,www.ccc.commnet.edu,,,,,,,,,,,,,,,,,
8256061,None,Cardinal Cushing School at Hanover,Nonpublic Elementary and Secondary Schools,,405 Washington Street,Hanover,MA,02339,781-829-1209,,,APSEP,,,,,,,,,,,,,,,,
150517,None,Career Resources,Adult Education Providers,,350 Fairfield Avenue,Bridgeport,CT,06604,203-953-3256,203-382-8466,,,,,,,,,,,,,,,,,,
571421,None,Carmel Academy,Nonpublic Elementary and Secondary Schools,,270 Lake Avenue,Greenwich,CT,06830,203-863-9663,203-863-2076,,Standard Non-Public,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
801221,None,Carver Academy School,Nonpublic Elementary and Secondary Schools,,262 Bee Street,Meriden,CT,06450,203-630-6509,,carverpreschool@innewlife.com,Standard Non-Public,,,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151721,None,Catholic Academy of Bridgeport St. Raphael Academy,Nonpublic Elementary and Secondary Schools,,324 Frank Street,Bridgeport,CT,06604,203-333-6818,203-336-9205,,Standard Non-Public,,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
620261,None,Cedarhurst School,Nonpublic Elementary and Secondary Schools,,871 Prospect Street,Hamden,CT,06517,203-764-9314,203-764-9321,,APSEP,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
620382,None,Cedarhurst School Passage Program,Nonpublic Elementary and Secondary Schools,,871 Prospect Street,Hamden,CT,06517,203-764-9314,,,TVSP,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8363361,None,Center for Discovery (Sullivan Diagnostic Treatment Center),Nonpublic Elementary and Secondary Schools,,PO Box 840 Benmosche Road,Harris,NY,12742,845-794-1400,,,APSEP,,,,,,,,,,,,,,,,
8250282,None,Center of Hope Day Habilitation,Nonpublic Elementary and Secondary Schools,,1 North Street,Southbridge,MA,01550,508-764-4085,508-765-0255,,TVSP,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1310421,None,Central Christian Academy,Nonpublic Elementary and Secondary Schools,,1505 West Street,Southington,CT,06489,860-621-6701,860-276-9584,,Standard Non-Public,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8290121,None,Change Academy Lake of the Ozarks (CALO),Nonpublic Elementary and Secondary Schools,,130 CALO Lane,Lake Ozark,MO,65049,877-879-2256,,caloteens.com,APSEP,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
930661,None,Chapel Haven,Nonpublic Elementary and Secondary Schools,,1040 Whalley Avenue,New Haven,CT,06515,203-397-1714,203-392-3698,,APSEP,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
930782,None,Chapel Haven - Vocational Transition Program,Nonpublic Elementary and Secondary Schools,,1040 Whitney Avenue,New Haven,CT,06515,203-397-1714,,,TVSP,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
840161,None,Charles F. Hayden School at Boys & Girls Village,Nonpublic Elementary and Secondary Schools,,528 Wheelers Farms Road,Milford,CT,06461,203-877-0300,203-876-0076,,APSEP,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1326021,None,Charter Oak Education Inc.,Nonpublic Elementary and Secondary Schools,,"1294 Blue Hills Road, Suite C",Bloomfield,CT,06002,860-643-1100,860-643-5665,www,Standard Non-Public,,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1516321,None,Chase Collegiate,Nonpublic Elementary and Secondary Schools,,565 Chase Parkway,Waterbury,CT,06708,203-236-9501,203-236-9503,,Standard Non-Public,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
256121,None,Cheshire Academy,Nonpublic Elementary and Secondary Schools,,10 Main Street,Cheshire,CT,06410,203-272-5396,203-250-7209,,Standard Non-Public,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
1511221,None,Children's Community School,Nonpublic Elementary and Secondary Schools,,31 Wolcott Street,Waterbury,CT,06702,203-575-0659,,,Standard Non-Public,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1486121,None,Choate Rosemary Hall,Nonpublic Elementary and Secondary Schools,,333 Christian Street,Wallingford,CT,06492,203-697-2385,203-697-2512,,Standard Non-Public,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
670121,None,Christ Lutheran School,Nonpublic Elementary and Secondary Schools,,330 Church Street,Amston,CT,06231,860-228-5134,860-228-1062,,Standard Non-Public,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
