"","school_id","year","category","year_score","type","count"
"79","0020811","2013-14","Black or African American ","2012-13 ","CMT","53.7 "
"80","0020811","2013-14","Hispanic or Latino ","2012-13 ","CMT","60.2 "
"81","0020811","2013-14","English Language Learners ","2012-13 ","CMT",". "
"82","0020811","2013-14","","2012-13 ","CMT",""
"83","0020811","2013-14","Eligible for Free or Reduced-Price Meals ","2012-13 ","CMT","59.7 "
"84","0020811","2013-14","Students with Disabilities ","2012-13 ","CMT","32.2 "
"85","0025111","2013-14","","2009-10 ","CMT",""
"86","0025111","2013-14","Black or African American ","2009-10 ","CMT","59.8 "
"87","0025111","2013-14","Hispanic or Latino ","2009-10 ","CMT","64.1 "
"88","0025111","2013-14","English Language Learners ","2009-10 ","CMT","58.5 "
"89","0025111","2013-14","","2009-10 ","CMT",""
"90","0025111","2013-14","Eligible for Free or Reduced-Price Meals ","2009-10 ","CMT","69.2 "
"91","0025111","2013-14","Students with Disabilities ","2009-10 ","CMT","40.2 "
"92","0025111","2013-14","","2010-11","CMT",""
"93","0025111","2013-14","Black or African American ","2010-11","CMT","64.2"
"94","0025111","2013-14","Hispanic or Latino ","2010-11","CMT","65.2"
"95","0025111","2013-14","English Language Learners ","2010-11","CMT","."
"96","0025111","2013-14","","2010-11","CMT",""
"97","0025111","2013-14","Eligible for Free or Reduced-Price Meals ","2010-11","CMT","66.6"
"98","0025111","2013-14","Students with Disabilities ","2010-11","CMT","33.1"
"99","0025111","2013-14","","2011-12 ","CMT",""
"100","0025111","2013-14","Black or African American ","2011-12 ","CMT","54.3 "
"101","0025111","2013-14","Hispanic or Latino ","2011-12 ","CMT","64.5 "
"102","0025111","2013-14","English Language Learners ","2011-12 ","CMT",". "
"103","0025111","2013-14","","2011-12 ","CMT",""
"104","0025111","2013-14","Eligible for Free or Reduced-Price Meals ","2011-12 ","CMT","62.4 "
"105","0025111","2013-14","Students with Disabilities ","2011-12 ","CMT","33.1 "
"106","0025111","2013-14","","2012-13 ","CMT",""
"107","0025111","2013-14","Black or African American ","2012-13 ","CMT","60.8 "
"108","0025111","2013-14","Hispanic or Latino ","2012-13 ","CMT","63.0 "
"109","0025111","2013-14","English Language Learners ","2012-13 ","CMT",". "
"110","0025111","2013-14","","2012-13 ","CMT",""
"111","0025111","2013-14","Eligible for Free or Reduced-Price Meals ","2012-13 ","CMT","63.7 "
"112","0025111","2013-14","Students with Disabilities ","2012-13 ","CMT","31.1 "
"113","0026111","201314","Black or African American ","2009-10 ","CMT",". "
"114","0026111","201314","Hispanic or Latino ","2009-10 ","CMT",". "
"115","0026111","201314","English Language Learners ","2009-10 ","CMT",". "
"116","0026111","201314","","2009-10 ","CMT",""
"117","0026111","201314","Eligible for Free or Reduced-Price Meals ","2009-10 ","CMT",". "
"118","0026111","201314","Students with Disabilities ","2009-10 ","CMT",". "
"119","0026111","201314","High Needs ","2009-10 ","CMT",". "
"120","0026111","201314","Black or African American ","2010-11","CMT","."
"121","0026111","201314","Hispanic or Latino ","2010-11","CMT","."
"122","0026111","201314","English Language Learners ","2010-11","CMT","."
"123","0026111","201314","","2010-11","CMT",""
"124","0026111","201314","Eligible for Free or Reduced-Price Meals ","2010-11","CMT","."
"125","0026111","201314","Students with Disabilities ","2010-11","CMT","."
"126","0026111","201314","High Needs ","2010-11","CMT","."
"127","0026111","201314","Black or African American ","2011-12 ","CMT",". "
"128","0026111","201314","Hispanic or Latino ","2011-12 ","CMT",". "
"129","0026111","201314","English Language Learners ","2011-12 ","CMT",". "
"130","0026111","201314","","2011-12 ","CMT",""
"131","0026111","201314","Eligible for Free or Reduced-Price Meals ","2011-12 ","CMT",". "
"132","0026111","201314","Students with Disabilities ","2011-12 ","CMT",". "
"133","0026111","201314","High Needs ","2011-12 ","CMT",". "
"134","0026111","201314","Black or African American ","2012-13 ","CMT",". "
"135","0026111","201314","Hispanic or Latino ","2012-13 ","CMT",". "
"136","0026111","201314","English Language Learners ","2012-13 ","CMT",". "
"137","0026111","201314","","2012-13 ","CMT",""
"138","0026111","201314","Eligible for Free or Reduced-Price Meals ","2012-13 ","CMT",". "
"139","0026111","201314","Students with Disabilities ","2012-13 ","CMT",". "
"140","0026111","201314","High Needs ","2012-13 ","CMT",". "
"141","0026111","201314","","2009-10 ","CAPT",""
"142","0026111","201314","Black or African American ","2009-10 ","CAPT","39.7 "
"143","0026111","201314","Hispanic or Latino ","2009-10 ","CAPT","58.2 "
"144","0026111","201314","English Language Learners ","2009-10 ","CAPT",". "
"145","0026111","201314","","2009-10 ","CAPT",""
"146","0026111","201314","Eligible for Free or Reduced-Price Meals ","2009-10 ","CAPT","52.5 "
"147","0026111","201314","Students with Disabilities ","2009-10 ","CAPT",". "
"148","0026111","201314","","2010-11","CAPT",""
"149","0026111","201314","Black or African American ","2010-11","CAPT","45.5"
"150","0026111","201314","Hispanic or Latino ","2010-11","CAPT","49.2"
"151","0026111","201314","English Language Learners ","2010-11","CAPT","."
"152","0026111","201314","","2010-11","CAPT",""
"153","0026111","201314","Eligible for Free or Reduced-Price Meals ","2010-11","CAPT","48.1"
"154","0026111","201314","Students with Disabilities ","2010-11","CAPT","."
"155","0026111","201314","","2011-12 ","CAPT",""
"156","0026111","201314","Black or African American ","2011-12 ","CAPT","46.6 "
"157","0026111","201314","Hispanic or Latino ","2011-12 ","CAPT","46.5 "
"158","0026111","201314","English Language Learners ","2011-12 ","CAPT",". "
"159","0026111","201314","","2011-12 ","CAPT",""
"160","0026111","201314","Eligible for Free or Reduced-Price Meals ","2011-12 ","CAPT","52.2 "
"161","0026111","201314","Students with Disabilities ","2011-12 ","CAPT",". "
"162","0026111","201314","","2012-13 ","CAPT",""
"163","0026111","201314","Black or African American ","2012-13 ","CAPT","52.3 "
"164","0026111","201314","Hispanic or Latino ","2012-13 ","CAPT","61.0 "
"165","0026111","201314","English Language Learners ","2012-13 ","CAPT",". "
"166","0026111","201314","","2012-13 ","CAPT",""
"167","0026111","201314","Eligible for Free or Reduced-Price Meals ","2012-13 ","CAPT","55.9 "
"168","0026111","201314","Students with Disabilities ","2012-13 ","CAPT",". "
"169","0030111","2013-14","Black or African American ","2009-10 ","CMT",". "
"170","0030111","2013-14","Hispanic or Latino ","2009-10 ","CMT",". "
"171","0030111","2013-14","English Language Learners ","2009-10 ","CMT",". "
"172","0030111","2013-14","Eligible for Free or Reduced-Price Meals ","2009-10 ","CMT","67.6 "
"173","0030111","2013-14","Students with Disabilities ","2009-10 ","CMT","52.1 "
"174","0030111","2013-14","High Needs ","2009-10 ","CMT","63.5 "
"175","0030111","2013-14","School ","2009-10 ","CMT","79.7 "
"176","0030111","2013-14","Black or African American ","2010-11","CMT","."
"177","0030111","2013-14","Hispanic or Latino ","2010-11","CMT","."
"178","0030111","2013-14","English Language Learners ","2010-11","CMT","."
"179","0030111","2013-14","Eligible for Free or Reduced-Price Meals ","2010-11","CMT","68.4"
"180","0030111","2013-14","Students with Disabilities ","2010-11","CMT","50.5"
"181","0030111","2013-14","High Needs ","2010-11","CMT","65.5"
"182","0030111","2013-14","School ","2010-11","CMT","79.5"
"183","0030111","2013-14","Black or African American ","2011-12 ","CMT",". "
"184","0030111","2013-14","Hispanic or Latino ","2011-12 ","CMT","70.5 "
"185","0030111","2013-14","English Language Learners ","2011-12 ","CMT",". "
"186","0030111","2013-14","Eligible for Free or Reduced-Price Meals ","2011-12 ","CMT","72.5 "
"187","0030111","2013-14","Students with Disabilities ","2011-12 ","CMT","51.9 "
"188","0030111","2013-14","High Needs ","2011-12 ","CMT","68.1 "
"189","0030111","2013-14","School ","2011-12 ","CMT","81.3 "
"190","0030111","2013-14","Black or African American ","2012-13 ","CMT",". "
"191","0030111","2013-14","Hispanic or Latino ","2012-13 ","CMT",". "
"192","0030111","2013-14","English Language Learners ","2012-13 ","CMT",". "
"193","0030111","2013-14","Eligible for Free or Reduced-Price Meals ","2012-13 ","CMT","71.8 "
"194","0030111","2013-14","Students with Disabilities ","2012-13 ","CMT","57.6 "
"195","0030111","2013-14","High Needs ","2012-13 ","CMT","67.5 "
"196","0030111","2013-14","School ","2012-13 ","CMT","80.7 "
"197","0040311","2013-14","","2009-10 ","CMT",""
"198","0040311","2013-14","Black or African American ","2009-10 ","CMT",". "
"199","0040311","2013-14","Hispanic or Latino ","2009-10 ","CMT",". "
"200","0040311","2013-14","English Language Learners ","2009-10 ","CMT",". "
"201","0040311","2013-14","","2009-10 ","CMT",""
"202","0040311","2013-14","Eligible for Free or Reduced-Price Meals ","2009-10 ","CMT",". "
"203","0040311","2013-14","Students with Disabilities ","2009-10 ","CMT","72.6 "
"204","0040311","2013-14","","2010-11","CMT",""
"205","0040311","2013-14","Black or African American ","2010-11","CMT","."
"206","0040311","2013-14","Hispanic or Latino ","2010-11","CMT","."
"207","0040311","2013-14","English Language Learners ","2010-11","CMT","."
"208","0040311","2013-14","","2010-11","CMT",""
"209","0040311","2013-14","Eligible for Free or Reduced-Price Meals ","2010-11","CMT","."
"210","0040311","2013-14","Students with Disabilities ","2010-11","CMT","66.5"
"211","0040311","2013-14","","2011-12 ","CMT",""
"212","0040311","2013-14","Black or African American ","2011-12 ","CMT",". "
"213","0040311","2013-14","Hispanic or Latino ","2011-12 ","CMT",". "
"214","0040311","2013-14","English Language Learners ","2011-12 ","CMT",". "
"215","0040311","2013-14","","2011-12 ","CMT",""
"216","0040311","2013-14","Eligible for Free or Reduced-Price Meals ","2011-12 ","CMT",". "
"217","0040311","2013-14","Students with Disabilities ","2011-12 ","CMT","72.0 "
"218","0040311","2013-14","","2012-13 ","CMT",""
"219","0040311","2013-14","Black or African American ","2012-13 ","CMT",". "
"220","0040311","2013-14","Hispanic or Latino ","2012-13 ","CMT",". "
"221","0040311","2013-14","English Language Learners ","2012-13 ","CMT",". "
"222","0040311","2013-14","","2012-13 ","CMT",""
"223","0040311","2013-14","Eligible for Free or Reduced-Price Meals ","2012-13 ","CMT",". "
"224","0040311","2013-14","Students with Disabilities ","2012-13 ","CMT","65.6 "
"225","0040411","2013-14","","2009-10 ","CMT",""
"226","0040411","2013-14","Black or African American ","2009-10 ","CMT",". "
"227","0040411","2013-14","Hispanic or Latino ","2009-10 ","CMT",". "
"228","0040411","2013-14","English Language Learners ","2009-10 ","CMT",". "
"229","0040411","2013-14","","2009-10 ","CMT",""
"230","0040411","2013-14","Eligible for Free or Reduced-Price Meals ","2009-10 ","CMT",". "
"231","0040411","2013-14","Students with Disabilities ","2009-10 ","CMT","71.2 "
"232","0040411","2013-14","","2010-11","CMT",""
"233","0040411","2013-14","Black or African American ","2010-11","CMT","."
"234","0040411","2013-14","Hispanic or Latino ","2010-11","CMT","."
"235","0040411","2013-14","English Language Learners ","2010-11","CMT","."
"236","0040411","2013-14","","2010-11","CMT",""
"237","0040411","2013-14","Eligible for Free or Reduced-Price Meals ","2010-11","CMT","71.3"
"238","0040411","2013-14","Students with Disabilities ","2010-11","CMT","63.0"
"239","0040411","2013-14","","2011-12 ","CMT",""
"240","0040411","2013-14","Black or African American ","2011-12 ","CMT",". "
"241","0040411","2013-14","Hispanic or Latino ","2011-12 ","CMT",". "
"242","0040411","2013-14","English Language Learners ","2011-12 ","CMT",". "
"243","0040411","2013-14","","2011-12 ","CMT",""
"244","0040411","2013-14","Eligible for Free or Reduced-Price Meals ","2011-12 ","CMT","65.6 "
"245","0040411","2013-14","Students with Disabilities ","2011-12 ","CMT","64.3 "
"246","0040411","2013-14","","2012-13 ","CMT",""
"247","0040411","2013-14","Black or African American ","2012-13 ","CMT",". "
"248","0040411","2013-14","Hispanic or Latino ","2012-13 ","CMT",". "
"249","0040411","2013-14","English Language Learners ","2012-13 ","CMT",". "
"250","0040411","2013-14","","2012-13 ","CMT",""
"251","0040411","2013-14","Eligible for Free or Reduced-Price Meals ","2012-13 ","CMT",". "
"252","0040411","2013-14","Students with Disabilities ","2012-13 ","CMT","74.8 "
"253","0040511","2013-14","","2009-10 ","CMT",""
"254","0040511","2013-14","Black or African American ","2009-10 ","CMT",". "
"255","0040511","2013-14","Hispanic or Latino ","2009-10 ","CMT","94.3 "
"256","0040511","2013-14","English Language Learners ","2009-10 ","CMT",". "
"257","0040511","2013-14","","2009-10 ","CMT",""
"258","0040511","2013-14","Eligible for Free or Reduced-Price Meals ","2009-10 ","CMT","83.7 "
"259","0040511","2013-14","Students with Disabilities ","2009-10 ","CMT","80.5 "
"260","0040511","2013-14","","2010-11","CMT",""
"261","0040511","2013-14","Black or African American ","2010-11","CMT","."
"262","0040511","2013-14","Hispanic or Latino ","2010-11","CMT","92.2"
"263","0040511","2013-14","English Language Learners ","2010-11","CMT","."
"264","0040511","2013-14","","2010-11","CMT",""
"265","0040511","2013-14","Eligible for Free or Reduced-Price Meals ","2010-11","CMT","86.2"
"266","0040511","2013-14","Students with Disabilities ","2010-11","CMT","79.8"
"267","0040511","2013-14","","2011-12 ","CMT",""
"268","0040511","2013-14","Black or African American ","2011-12 ","CMT",". "
"269","0040511","2013-14","Hispanic or Latino ","2011-12 ","CMT","85.9 "
"270","0040511","2013-14","English Language Learners ","2011-12 ","CMT",". "
"271","0040511","2013-14","","2011-12 ","CMT",""
"272","0040511","2013-14","Eligible for Free or Reduced-Price Meals ","2011-12 ","CMT","88.8 "
"273","0040511","2013-14","Students with Disabilities ","2011-12 ","CMT","77.1 "
"274","0040511","2013-14","","2012-13 ","CMT",""
"275","0040511","2013-14","Black or African American ","2012-13 ","CMT",". "
"276","0040511","2013-14","Hispanic or Latino ","2012-13 ","CMT","87.8 "
"277","0040511","2013-14","English Language Learners ","2012-13 ","CMT","84.2 "
"278","0040511","2013-14","","2012-13 ","CMT",""
"279","0040511","2013-14","Eligible for Free or Reduced-Price Meals ","2012-13 ","CMT","81.2 "
"280","0040511","2013-14","Students with Disabilities ","2012-13 ","CMT","69.9 "
"281","0045111","2013-14","","2009-10 ","CMT",""
"282","0045111","2013-14","Black or African American ","2009-10 ","CMT",". "
"283","0045111","2013-14","Hispanic or Latino ","2009-10 ","CMT","96.8 "
"284","0045111","2013-14","English Language Learners ","2009-10 ","CMT",". "
"285","0045111","2013-14","","2009-10 ","CMT",""
"286","0045111","2013-14","Eligible for Free or Reduced-Price Meals ","2009-10 ","CMT","90.1 "
"287","0045111","2013-14","Students with Disabilities ","2009-10 ","CMT","77.4 "
"288","0045111","2013-14","","2010-11","CMT",""
"289","0045111","2013-14","Black or African American ","2010-11","CMT","."
"290","0045111","2013-14","Hispanic or Latino ","2010-11","CMT","91.8"
"291","0045111","2013-14","English Language Learners ","2010-11","CMT","."
"292","0045111","2013-14","","2010-11","CMT",""
"293","0045111","2013-14","Eligible for Free or Reduced-Price Meals ","2010-11","CMT","82.8"
"294","0045111","2013-14","Students with Disabilities ","2010-11","CMT","81.4"
"295","0045111","2013-14","","2011-12 ","CMT",""
"296","0045111","2013-14","Black or African American ","2011-12 ","CMT",". "
"297","0045111","2013-14","Hispanic or Latino ","2011-12 ","CMT","93.2 "
"298","0045111","2013-14","English Language Learners ","2011-12 ","CMT",". "
"299","0045111","2013-14","","2011-12 ","CMT",""
"300","0045111","2013-14","Eligible for Free or Reduced-Price Meals ","2011-12 ","CMT","80.5 "
"301","0045111","2013-14","Students with Disabilities ","2011-12 ","CMT","77.8 "
"302","0045111","2013-14","","2012-13 ","CMT",""
"303","0045111","2013-14","Black or African American ","2012-13 ","CMT",". "
"304","0045111","2013-14","Hispanic or Latino ","2012-13 ","CMT","91.0 "
"305","0045111","2013-14","English Language Learners ","2012-13 ","CMT",". "
"306","0045111","2013-14","","2012-13 ","CMT",""
"307","0045111","2013-14","Eligible for Free or Reduced-Price Meals ","2012-13 ","CMT","81.8 "
"308","0045111","2013-14","Students with Disabilities ","2012-13 ","CMT","79.2 "
"309","0046111","201314","Black or African American ","2009-10 ","CMT",". "
"310","0046111","201314","Hispanic or Latino ","2009-10 ","CMT",". "
"311","0046111","201314","English Language Learners ","2009-10 ","CMT",". "
"312","0046111","201314","","2009-10 ","CMT",""
"313","0046111","201314","Eligible for Free or Reduced-Price Meals ","2009-10 ","CMT",". "
"314","0046111","201314","Students with Disabilities ","2009-10 ","CMT",". "
"315","0046111","201314","High Needs ","2009-10 ","CMT",". "
"316","0046111","201314","Black or African American ","2010-11","CMT","."
"317","0046111","201314","Hispanic or Latino ","2010-11","CMT","."
"318","0046111","201314","English Language Learners ","2010-11","CMT","."
"319","0046111","201314","","2010-11","CMT",""
"320","0046111","201314","Eligible for Free or Reduced-Price Meals ","2010-11","CMT","."
"321","0046111","201314","Students with Disabilities ","2010-11","CMT","."
"322","0046111","201314","High Needs ","2010-11","CMT","."
"323","0046111","201314","Black or African American ","2011-12 ","CMT",". "
"324","0046111","201314","Hispanic or Latino ","2011-12 ","CMT",". "
"325","0046111","201314","English Language Learners ","2011-12 ","CMT",". "
"326","0046111","201314","","2011-12 ","CMT",""
"327","0046111","201314","Eligible for Free or Reduced-Price Meals ","2011-12 ","CMT",". "
"328","0046111","201314","Students with Disabilities ","2011-12 ","CMT",". "
"329","0046111","201314","High Needs ","2011-12 ","CMT",". "
"330","0046111","201314","Black or African American ","2012-13 ","CMT",". "
"331","0046111","201314","Hispanic or Latino ","2012-13 ","CMT",". "
"332","0046111","201314","English Language Learners ","2012-13 ","CMT",". "
"333","0046111","201314","","2012-13 ","CMT",""
"334","0046111","201314","Eligible for Free or Reduced-Price Meals ","2012-13 ","CMT",". "
"335","0046111","201314","Students with Disabilities ","2012-13 ","CMT",". "
"336","0046111","201314","High Needs ","2012-13 ","CMT",". "
"337","0046111","201314","","2009-10 ","CAPT",""
"338","0046111","201314","Black or African American ","2009-10 ","CAPT",". "
"339","0046111","201314","Hispanic or Latino ","2009-10 ","CAPT",". "
"340","0046111","201314","English Language Learners ","2009-10 ","CAPT",". "
"341","0046111","201314","","2009-10 ","CAPT",""
"342","0046111","201314","Eligible for Free or Reduced-Price Meals ","2009-10 ","CAPT",". "
"343","0046111","201314","Students with Disabilities ","2009-10 ","CAPT","63.7 "
"344","0046111","201314","","2010-11","CAPT",""
"345","0046111","201314","Black or African American ","2010-11","CAPT","."
"346","0046111","201314","Hispanic or Latino ","2010-11","CAPT","."
"347","0046111","201314","English Language Learners ","2010-11","CAPT","."
"348","0046111","201314","","2010-11","CAPT",""
"349","0046111","201314","Eligible for Free or Reduced-Price Meals ","2010-11","CAPT","."
"350","0046111","201314","Students with Disabilities ","2010-11","CAPT","66.1"
"351","0046111","201314","","2011-12 ","CAPT",""
"352","0046111","201314","Black or African American ","2011-12 ","CAPT",". "
"353","0046111","201314","Hispanic or Latino ","2011-12 ","CAPT",". "
"354","0046111","201314","English Language Learners ","2011-12 ","CAPT",". "
"355","0046111","201314","","2011-12 ","CAPT",""
"356","0046111","201314","Eligible for Free or Reduced-Price Meals ","2011-12 ","CAPT",". "
"357","0046111","201314","Students with Disabilities ","2011-12 ","CAPT","58.8 "
"358","0046111","201314","","2012-13 ","CAPT",""
"359","0046111","201314","Black or African American ","2012-13 ","CAPT",". "
"360","0046111","201314","Hispanic or Latino ","2012-13 ","CAPT",". "
"361","0046111","201314","English Language Learners ","2012-13 ","CAPT",". "
"362","0046111","201314","","2012-13 ","CAPT",""
"363","0046111","201314","Eligible for Free or Reduced-Price Meals ","2012-13 ","CAPT",". "
"364","0046111","201314","Students with Disabilities ","2012-13 ","CAPT","63.8 "
"365","0050111","2013-14","","2009-10 ","CMT",""
"366","0050111","2013-14","Black or African American ","2009-10 ","CMT",". "
"367","0050111","2013-14","Hispanic or Latino ","2009-10 ","CMT",". "
"368","0050111","2013-14","English Language Learners ","2009-10 ","CMT",". "
"369","0050111","2013-14","","2009-10 ","CMT",""
"370","0050111","2013-14","Eligible for Free or Reduced-Price Meals ","2009-10 ","CMT",". "
"371","0050111","2013-14","Students with Disabilities ","2009-10 ","CMT","70.3 "
"372","0050111","2013-14","","2010-11","CMT",""
"373","0050111","2013-14","Black or African American ","2010-11","CMT","."
"374","0050111","2013-14","Hispanic or Latino ","2010-11","CMT","."
"375","0050111","2013-14","English Language Learners ","2010-11","CMT","."
"376","0050111","2013-14","","2010-11","CMT",""
"377","0050111","2013-14","Eligible for Free or Reduced-Price Meals ","2010-11","CMT","."
"378","0050111","2013-14","Students with Disabilities ","2010-11","CMT","81.3"
"379","0050111","2013-14","","2011-12 ","CMT",""
"380","0050111","2013-14","Black or African American ","2011-12 ","CMT",". "
"381","0050111","2013-14","Hispanic or Latino ","2011-12 ","CMT",". "
"382","0050111","2013-14","English Language Learners ","2011-12 ","CMT",". "
"383","0050111","2013-14","","2011-12 ","CMT",""
"384","0050111","2013-14","Eligible for Free or Reduced-Price Meals ","2011-12 ","CMT",". "
"385","0050111","2013-14","Students with Disabilities ","2011-12 ","CMT","76.3 "
"386","0050111","2013-14","","2012-13 ","CMT",""
"387","0050111","2013-14","Black or African American ","2012-13 ","CMT",". "
"388","0050111","2013-14","Hispanic or Latino ","2012-13 ","CMT",". "
"389","0050111","2013-14","English Language Learners ","2012-13 ","CMT",". "
"390","0050111","2013-14","","2012-13 ","CMT",""
"391","0050111","2013-14","Eligible for Free or Reduced-Price Meals ","2012-13 ","CMT",". "
"392","0050111","2013-14","Students with Disabilities ","2012-13 ","CMT","69.9 "
"393","0070111","2013-14","","2009-10 ","CMT",""
"394","0070111","2013-14","Black or African American ","2009-10 ","CMT",". "
"395","0070111","2013-14","Hispanic or Latino ","2009-10 ","CMT",". "
"396","0070111","2013-14","English Language Learners ","2009-10 ","CMT",". "
"397","0070111","2013-14","","2009-10 ","CMT",""
"398","0070111","2013-14","Eligible for Free or Reduced-Price Meals ","2009-10 ","CMT",". "
"399","0070111","2013-14","Students with Disabilities ","2009-10 ","CMT","57.6 "
"400","0070111","2013-14","","2010-11","CMT",""
"401","0070111","2013-14","Black or African American ","2010-11","CMT","."
"402","0070111","2013-14","Hispanic or Latino ","2010-11","CMT","."
"403","0070111","2013-14","English Language Learners ","2010-11","CMT","."
"404","0070111","2013-14","","2010-11","CMT",""
"405","0070111","2013-14","Eligible for Free or Reduced-Price Meals ","2010-11","CMT","."
"406","0070111","2013-14","Students with Disabilities ","2010-11","CMT","."
"407","0070111","2013-14","","2011-12 ","CMT",""
"408","0070111","2013-14","Black or African American ","2011-12 ","CMT",". "
"409","0070111","2013-14","Hispanic or Latino ","2011-12 ","CMT",". "
"410","0070111","2013-14","English Language Learners ","2011-12 ","CMT",". "
"411","0070111","2013-14","","2011-12 ","CMT",""
