"category","ela.count","ela.spi","math.count","math.spi","sci.count","sci.spi","school_id","year"
"Not Eligible for Free or Reduced-Price Meals ","134 ","81.1 ","134 ","76.6 ","* ","*","0010111","201516"
"Students with Disabilities ","14 ","* ","14 ","* ","0 ","N/A","0010111","201516"
"Students without Disabilities ","144 ","82.1 ","144 ","77.6 ","43 ","71.8","0010111","201516"
"High Needs ","38 ","67.9 ","38 ","66.4 ","* ","*","0010111","201516"
"Non-High Needs ","120 ","83.5 ","120 ","78.7 ","* ","*","0010111","201516"
"School ","158 ","79.8 ","158 ","75.7 ","43 ","71.8","0010111","201516"
"American Indian or Alaska Native ","* ","* ","* ","* ","0 ","*","0020311","201415"
"Asian ","* ","* ","* ","* ","* ","*","0020311","201415"
"Black or African American ","69 ","56.4 ","69 ","46.2 ","23 ","48.3","0020311","201415"
"Hispanic or Latino ","101 ","60.2 ","101 ","53.1 ","26 ","48.3","0020311","201415"
"Native Hawaiian or Other Pacific Islander ","* ","* ","* ","* ","* ","*","0020311","201415"
"Two or More Races ","10 ","* ","10 ","* ","* ","*","0020311","201415"
"White ","151 ","63.2 ","151 ","55.5 ","32 ","52.3","0020311","201415"
"English Language Learners ","9 ","* ","9 ","* ","* ","*","0020311","201415"
"Non-English Language Learners ","330 ","61.5 ","330 ","53.4 ","* ","*","0020311","201415"
"Eligible for Free or Reduced-Price Meals ","236 ","58.9 ","236 ","51.3 ","61 ","47.4","0020311","201415"
"Not Eligible for Free or Reduced-Price Meals ","103 ","66.9 ","103 ","57.8 ","27 ","57.4","0020311","201415"
"Students with Disabilities ","57 ","43.1 ","57 ","38.3 ","15 ","*","0020311","201415"
"Students without Disabilities ","282 ","65.0 ","282 ","56.3 ","73 ","53.8","0020311","201415"
"High Needs ","252 ","58.5 ","252 ","50.8 ","63 ","47.4","0020311","201415"
"Non-High Needs ","87 ","69.6 ","87 ","60.5 ","25 ","58.3","0020311","201415"
"School ","339 ","61.3 ","339 ","53.3 ","88 ","50.5","0020311","201415"
"Asian ","* ","* ","* ","* ","0 ","N/A","0020311","201516"
"Black or African American ","73 ","59.0 ","73 ","51.1 ","11 ","*","0020311","201516"
"Hispanic or Latino ","121 ","58.6 ","121 ","51.9 ","31 ","45.2","0020311","201516"
"Native Hawaiian or Other Pacific Islander ","* ","* ","* ","* ","* ","*","0020311","201516"
"Two or More Races ","13 ","* ","13 ","* ","0 ","N/A","0020311","201516"
"White ","114 ","61.2 ","114 ","56.9 ","38 ","48.6","0020311","201516"
"English Language Learners ","16 ","* ","16 ","* ","* ","*","0020311","201516"
"Non-English Language Learners ","311 ","60.7 ","311 ","54.1 ","* ","*","0020311","201516"
"Eligible for Free or Reduced-Price Meals ","235 ","57.7 ","235 ","51.6 ","64 ","44.0","0020311","201516"
"Not Eligible for Free or Reduced-Price Meals ","92 ","67.8 ","92 ","60.8 ","17 ","*","0020311","201516"
"Students with Disabilities ","61 ","44.0 ","61 ","38.9 ","9 ","*","0020311","201516"
"Students without Disabilities ","266 ","64.3 ","266 ","57.7 ","72 ","46.8","0020311","201516"
"High Needs ","250 ","57.6 ","250 ","51.3 ","66 ","43.5","0020311","201516"
"Non-High Needs ","77 ","70.0 ","77 ","63.5 ","15 ","*","0020311","201516"
"School ","327 ","60.5 ","327 ","54.2 ","81 ","45.4","0020311","201516"
"American Indian or Alaska Native ","* ","* ","* ","* ","0 ","*","0020811","201415"
"Asian ","* ","* ","* ","* ","0 ","*","0020811","201415"
"Black or African American ","58 ","52.5 ","58 ","46.3 ","13 ","*","0020811","201415"
"Hispanic or Latino ","85 ","64.1 ","85 ","55.7 ","20 ","45.6","0020811","201415"
"Native Hawaiian or Other Pacific Islander ","* ","* ","* ","* ","* ","*","0020811","201415"
"Two or More Races ","15 ","* ","15 ","* ","6 ","*","0020811","201415"
"White ","163 ","65.1 ","163 ","57.9 ","46 ","48.1","0020811","201415"
"English Language Learners ","15 ","* ","15 ","* ","6 ","*","0020811","201415"
"Non-English Language Learners ","314 ","63.0 ","314 ","55.8 ","80 ","47.3","0020811","201415"
"Eligible for Free or Reduced-Price Meals ","225 ","59.9 ","225 ","52.9 ","64 ","44.4","0020811","201415"
"Not Eligible for Free or Reduced-Price Meals ","104 ","68.9 ","104 ","60.7 ","22 ","52.6","0020811","201415"
"Students with Disabilities ","67 ","46.0 ","67 ","41.4 ","19 ","*","0020811","201415"
"Students without Disabilities ","262 ","67.1 ","262 ","59.0 ","67 ","50.3","0020811","201415"
"High Needs ","237 ","59.5 ","237 ","52.6 ","66 ","43.8","0020811","201415"
"Non-High Needs ","92 ","71.1 ","92 ","62.7 ","20 ","55.3","0020811","201415"
"School ","329 ","62.8 ","329 ","55.4 ","86 ","46.5","0020811","201415"
"Asian ","* ","* ","* ","* ","* ","*","0020811","201516"
"Black or African American ","47 ","55.2 ","47 ","50.9 ","14 ","*","0020811","201516"
"Hispanic or Latino ","97 ","62.7 ","97 ","56.3 ","22 ","46.4","0020811","201516"
"Native Hawaiian or Other Pacific Islander ","* ","* ","* ","* ","0 ","N/A","0020811","201516"
"Two or More Races ","13 ","* ","13 ","* ","* ","*","0020811","201516"
"White ","166 ","66.1 ","165 ","60.0 ","55 ","50.3","0020811","201516"
"English Language Learners ","22 ","65.0 ","22 ","55.3 ","* ","*","0020811","201516"
"Non-English Language Learners ","311 ","63.7 ","310 ","58.1 ","* ","*","0020811","201516"
"Eligible for Free or Reduced-Price Meals ","231 ","61.0 ","230 ","55.6 ","58 ","44.6","0020811","201516"
"Not Eligible for Free or Reduced-Price Meals ","102 ","70.2 ","102 ","63.0 ","37 ","52.4","0020811","201516"
"Students with Disabilities ","59 ","50.3 ","59 ","44.7 ","15 ","*","0020811","201516"
"Students without Disabilities ","274 ","66.7 ","273 ","60.8 ","80 ","49.6","0020811","201516"
"High Needs ","246 ","60.8 ","245 ","55.2 ","65 ","43.5","0020811","201516"
"Non-High Needs ","87 ","72.3 ","87 ","65.5 ","30 ","56.6","0020811","201516"
"School ","333 ","63.8 ","332 ","57.9 ","95 ","47.6","0020811","201516"
"American Indian or Alaska Native ","* ","* ","* ","* ","* ","*","0025111","201415"
"Asian ","8 ","* ","8 ","* ","6 ","*","0025111","201415"
"Black or African American ","72 ","48.1 ","72 ","37.0 ","53 ","40.6","0025111","201415"
"Hispanic or Latino ","108 ","52.0 ","107 ","43.2 ","58 ","44.9","0025111","201415"
"Native Hawaiian or Other Pacific Islander ","7 ","* ","7 ","* ","* ","*","0025111","201415"
"Two or More Races ","* ","* ","* ","* ","* ","*","0025111","201415"
"White ","171 ","61.3 ","173 ","52.2 ","89 ","49.8","0025111","201415"
"English Language Learners ","9 ","* ","9 ","* ","7 ","*","0025111","201415"
"Non-English Language Learners ","362 ","57.0 ","363 ","47.2 ","204 ","46.3","0025111","201415"
"Eligible for Free or Reduced-Price Meals ","272 ","53.8 ","273 ","44.6 ","152 ","44.4","0025111","201415"
"Not Eligible for Free or Reduced-Price Meals ","99 ","63.9 ","99 ","54.4 ","59 ","49.8","0025111","201415"
"Students with Disabilities ","65 ","33.7 ","65 ","29.2 ","33 ","27.0","0025111","201415"
"Students without Disabilities ","306 ","61.3 ","307 ","51.0 ","178 ","49.5","0025111","201415"
"High Needs ","284 ","53.0 ","285 ","44.1 ","158 ","43.7","0025111","201415"
"Non-High Needs ","87 ","68.0 ","87 ","57.4 ","53 ","52.7","0025111","201415"
"School ","371 ","56.5 ","372 ","47.2 ","211 ","46.0","0025111","201415"
"Asian ","* ","* ","* ","* ","* ","*","0025111","201516"
"Black or African American ","57 ","42.6 ","58 ","37.9 ","31 ","38.2","0025111","201516"
"Hispanic or Latino ","95 ","50.6 ","94 ","48.4 ","58 ","42.0","0025111","201516"
"Native Hawaiian or Other Pacific Islander ","7 ","* ","7 ","* ","* ","*","0025111","201516"
"Two or More Races ","6 ","* ","6 ","* ","* ","*","0025111","201516"
"White ","161 ","56.4 ","161 ","54.0 ","84 ","48.6","0025111","201516"
"English Language Learners ","* ","* ","* ","* ","* ","*","0025111","201516"
"Non-English Language Learners ","* ","* ","* ","* ","* ","*","0025111","201516"
"Eligible for Free or Reduced-Price Meals ","241 ","50.6 ","241 ","48.2 ","141 ","43.3","0025111","201516"
"Not Eligible for Free or Reduced-Price Meals ","89 ","59.0 ","89 ","55.5 ","42 ","50.8","0025111","201516"
"Students with Disabilities ","65 ","39.3 ","65 ","38.4 ","31 ","36.2","0025111","201516"
"Students without Disabilities ","265 ","56.2 ","265 ","53.0 ","152 ","46.9","0025111","201516"
"High Needs ","255 ","50.0 ","255 ","48.0 ","147 ","42.9","0025111","201516"
"Non-High Needs ","75 ","62.5 ","75 ","57.3 ","36 ","53.8","0025111","201516"
"School ","330 ","52.9 ","330 ","50.2 ","183 ","45.0","0025111","201516"
"American Indian or Alaska Native ","0 ","* ","0 ","* ","* ","*","0026111","201415"
"Asian ","* ","* ","* ","* ","0 ","*","0026111","201415"
"Black or African American ","20 ","59.0 ","21 ","37.3 ","27 ","40.4","0026111","201415"
"Hispanic or Latino ","16 ","* ","14 ","* ","41 ","41.7","0026111","201415"
"Native Hawaiian or Other Pacific Islander ","0 ","* ","0 ","* ","* ","*","0026111","201415"
"Two or More Races ","0 ","* ","0 ","* ","* ","*","0026111","201415"
"White ","63 ","74.1 ","63 ","58.9 ","77 ","55.0","0026111","201415"
"English Language Learners ","* ","* ","0 ","* ","* ","*","0026111","201415"
"Non-English Language Learners ","* ","* ","100 ","53.8 ","* ","*","0026111","201415"
"Eligible for Free or Reduced-Price Meals ","60 ","66.0 ","56 ","48.3 ","85 ","42.9","0026111","201415"
"Not Eligible for Free or Reduced-Price Meals ","42 ","76.0 ","44 ","60.9 ","64 ","55.2","0026111","201415"
"Students with Disabilities ","8 ","* ","8 ","* ","22 ","33.8","0026111","201415"
"Students without Disabilities ","94 ","72.2 ","92 ","55.3 ","127 ","50.7","0026111","201415"
"High Needs ","60 ","66.0 ","56 ","48.3 ","91 ","42.9","0026111","201415"
"Non-High Needs ","42 ","76.0 ","44 ","60.9 ","58 ","56.5","0026111","201415"
"School ","102 ","70.1 ","100 ","53.8 ","149 ","48.2","0026111","201415"
"Asian ","0 ","N/A ","0 ","N/A ","6 ","*","0026111","201516"
"Black or African American ","28 ","46.7 ","28 ","44.6 ","36 ","41.6","0026111","201516"
"Hispanic or Latino ","33 ","44.4 ","33 ","37.7 ","40 ","43.6","0026111","201516"
"Native Hawaiian or Other Pacific Islander ","* ","* ","* ","* ","* ","*","0026111","201516"
"Two or More Races ","* ","* ","* ","* ","* ","*","0026111","201516"
"White ","70 ","56.7 ","70 ","50.4 ","54 ","46.8","0026111","201516"
"English Language Learners ","* ","* ","* ","* ","6 ","*","0026111","201516"
"Non-English Language Learners ","* ","* ","* ","* ","134 ","44.7","0026111","201516"
"Eligible for Free or Reduced-Price Meals ","73 ","47.2 ","73 ","41.6 ","98 ","40.9","0026111","201516"
"Not Eligible for Free or Reduced-Price Meals ","61 ","56.5 ","61 ","51.4 ","42 ","52.9","0026111","201516"
"Students with Disabilities ","16 ","* ","16 ","* ","33 ","27.7","0026111","201516"
"Students without Disabilities ","118 ","53.0 ","118 ","47.3 ","107 ","49.6","0026111","201516"
"High Needs ","79 ","47.2 ","79 ","41.8 ","107 ","40.3","0026111","201516"
"Non-High Needs ","55 ","57.4 ","55 ","52.1 ","33 ","58.0","0026111","201516"
"School ","134 ","51.4 ","134 ","46.0 ","140 ","44.5","0026111","201516"
"American Indian or Alaska Native ","0 ","N/A ","0 ","N/A ","0 ","N/A","0030111","201415"
"Asian ","* ","* ","* ","* ","* ","*","0030111","201415"
"Black or African American ","0 ","N/A ","0 ","N/A ","0 ","N/A","0030111","201415"
"Hispanic or Latino ","15 ","* ","15 ","* ","7 ","*","0030111","201415"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","0030111","201415"
"Two or More Races ","* ","* ","* ","* ","0 ","*","0030111","201415"
"White ","226 ","72.8 ","226 ","62.1 ","77 ","55.3","0030111","201415"
"English Language Learners ","* ","* ","* ","* ","* ","*","0030111","201415"
"Non-English Language Learners ","* ","* ","* ","* ","* ","*","0030111","201415"
"Eligible for Free or Reduced-Price Meals ","82 ","64.1 ","82 ","53.8 ","32 ","49.2","0030111","201415"
"Not Eligible for Free or Reduced-Price Meals ","166 ","76.8 ","166 ","65.6 ","53 ","57.9","0030111","201415"
"Students with Disabilities ","36 ","54.3 ","36 ","43.3 ","13 ","*","0030111","201415"
"Students without Disabilities ","212 ","75.7 ","212 ","64.8 ","72 ","57.8","0030111","201415"
"High Needs ","101 ","63.9 ","101 ","53.9 ","38 ","47.9","0030111","201415"
"Non-High Needs ","147 ","78.5 ","147 ","67.1 ","47 ","60.1","0030111","201415"
"School ","248 ","72.6 ","248 ","61.7 ","85 ","54.6","0030111","201415"
"Asian ","* ","* ","* ","* ","0 ","N/A","0030111","201516"
"Black or African American ","8 ","* ","8 ","* ","* ","*","0030111","201516"
"Hispanic or Latino ","13 ","* ","13 ","* ","* ","*","0030111","201516"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","0030111","201516"
"Two or More Races ","* ","* ","* ","* ","0 ","N/A","0030111","201516"
"White ","203 ","72.5 ","203 ","65.1 ","68 ","64.5","0030111","201516"
"English Language Learners ","* ","* ","* ","* ","* ","*","0030111","201516"
"Non-English Language Learners ","* ","* ","* ","* ","* ","*","0030111","201516"
"Eligible for Free or Reduced-Price Meals ","78 ","63.7 ","78 ","59.0 ","27 ","60.3","0030111","201516"
"Not Eligible for Free or Reduced-Price Meals ","152 ","76.5 ","152 ","68.3 ","46 ","66.8","0030111","201516"
"Students with Disabilities ","29 ","49.8 ","29 ","48.7 ","* ","*","0030111","201516"
"Students without Disabilities ","201 ","75.4 ","201 ","67.5 ","* ","*","0030111","201516"
"High Needs ","93 ","62.4 ","93 ","57.9 ","30 ","60.9","0030111","201516"
"Non-High Needs ","137 ","78.8 ","137 ","70.0 ","43 ","66.8","0030111","201516"
"School ","230 ","72.2 ","230 ","65.1 ","73 ","64.4","0030111","201516"
"American Indian or Alaska Native ","* ","* ","* ","* ","0","*","0040311","201415"
"Asian ","29 ","95.8 ","29 ","94.9 ","0","*","0040311","201415"
"Black or African American ","* ","* ","* ","* ","0","*","0040311","201415"
"Hispanic or Latino ","13 ","* ","13 ","* ","0","*","0040311","201415"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0","N/A","0040311","201415"
"Two or More Races ","12 ","* ","12 ","* ","0","*","0040311","201415"
"White ","167 ","85.4 ","167 ","79.8 ","0","*","0040311","201415"
"English Language Learners ","* ","* ","* ","* ","0","*","0040311","201415"
"Non-English Language Learners ","* ","* ","* ","* ","0","*","0040311","201415"
"Eligible for Free or Reduced-Price Meals ","11 ","* ","11 ","* ","0","*","0040311","201415"
"Not Eligible for Free or Reduced-Price Meals ","223 ","85.9 ","223 ","81.0 ","0","*","0040311","201415"
"Students with Disabilities ","16 ","* ","16 ","* ","0","*","0040311","201415"
"Students without Disabilities ","218 ","86.4 ","218 ","81.4 ","0","*","0040311","201415"
"High Needs ","25 ","68.6 ","25 ","62.4 ","0","*","0040311","201415"
"Non-High Needs ","209 ","87.0 ","209 ","82.1 ","0","*","0040311","201415"
"School ","234 ","85.1 ","234 ","80.0 ","0","*","0040311","201415"
"Asian ","41 ","89.8 ","41 ","91.5 ","0","N/A","0040311","201516"
"Black or African American ","9 ","* ","9 ","* ","0","N/A","0040311","201516"
"Hispanic or Latino ","14 ","* ","14 ","* ","0","N/A","0040311","201516"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0","N/A","0040311","201516"
"Two or More Races ","7 ","* ","7 ","* ","0","N/A","0040311","201516"
"White ","134 ","86.1 ","133 ","79.1 ","0","N/A","0040311","201516"
"English Language Learners ","* ","* ","* ","* ","0","N/A","0040311","201516"
"Non-English Language Learners ","* ","* ","* ","* ","0","N/A","0040311","201516"
"Eligible for Free or Reduced-Price Meals ","10 ","* ","10 ","* ","0","N/A","0040311","201516"
"Not Eligible for Free or Reduced-Price Meals ","195 ","85.7 ","194 ","80.6 ","0","N/A","0040311","201516"
"Students with Disabilities ","14 ","* ","13 ","* ","0","N/A","0040311","201516"
"Students without Disabilities ","191 ","87.0 ","191 ","81.2 ","0","N/A","0040311","201516"
"High Needs ","27 ","68.6 ","26 ","66.0 ","0","N/A","0040311","201516"
"Non-High Needs ","178 ","87.5 ","178 ","81.8 ","0","N/A","0040311","201516"
"School ","205 ","85.0 ","204 ","79.8 ","0","N/A","0040311","201516"
"American Indian or Alaska Native ","0","N/A ","0","N/A ","0","N/A","0040411","201415"
"Asian ","36","88.4 ","36","85.6 ","0","*","0040411","201415"
"Black or African American ","12","* ","12","* ","0","*","0040411","201415"
"Hispanic or Latino ","19","* ","19","* ","0","*","0040411","201415"
"Native Hawaiian or Other Pacific Islander ","0","N/A ","0","N/A ","0","N/A","0040411","201415"
"Two or More Races ","7","* ","7","* ","0","*","0040411","201415"
"White ","171","82.9 ","171","76.8 ","0","*","0040411","201415"
"English Language Learners ","16","* ","16","* ","0","*","0040411","201415"
"Non-English Language Learners ","229","83.5 ","229","77.3 ","0","*","0040411","201415"
"Eligible for Free or Reduced-Price Meals ","16","* ","16","* ","0","*","0040411","201415"
"Not Eligible for Free or Reduced-Price Meals ","229","83.7 ","229","77.6 ","0","*","0040411","201415"
"Students with Disabilities ","18","* ","18","* ","0","*","0040411","201415"
"Students without Disabilities ","227","84.5 ","227","78.4 ","0","*","0040411","201415"
"High Needs ","43","68.6 ","43","61.8 ","0","*","0040411","201415"
"Non-High Needs ","202","85.8 ","202","79.8 ","0","*","0040411","201415"
"School ","245","82.8 ","245","76.6 ","0","*","0040411","201415"
"Asian ","43 ","85.8 ","43 ","85.7 ","0","N/A","0040411","201516"
"Black or African American ","11 ","* ","11 ","* ","0","N/A","0040411","201516"
"Hispanic or Latino ","11 ","* ","11 ","* ","0","N/A","0040411","201516"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0","N/A","0040411","201516"
"Two or More Races ","* ","* ","* ","* ","0","N/A","0040411","201516"
"White ","151 ","83.0 ","151 ","76.2 ","0","N/A","0040411","201516"
"English Language Learners ","20 ","74.4 ","20 ","71.3 ","0","N/A","0040411","201516"
"Non-English Language Learners ","204 ","83.7 ","204 ","77.8 ","0","N/A","0040411","201516"
"Eligible for Free or Reduced-Price Meals ","12 ","* ","12 ","* ","0","N/A","0040411","201516"
"Not Eligible for Free or Reduced-Price Meals ","212 ","83.7 ","212 ","78.2 ","0","N/A","0040411","201516"
"Students with Disabilities ","20 ","63.5 ","20 ","55.5 ","0","N/A","0040411","201516"
"Students without Disabilities ","204 ","84.8 ","204 ","79.3 ","0","N/A","0040411","201516"
"High Needs ","43 ","70.2 ","43 ","63.6 ","0","N/A","0040411","201516"
"Non-High Needs ","181 ","85.9 ","181 ","80.4 ","0","N/A","0040411","201516"
"School ","224 ","82.9 ","224 ","77.2 ","0","N/A","0040411","201516"
"American Indian or Alaska Native ","* ","* ","* ","* ","* ","*","0040511","201415"
"Asian ","70 ","84.0 ","70 ","82.4 ","33 ","59.5","0040511","201415"
"Black or African American ","23 ","69.4 ","23 ","58.5 ","12 ","*","0040511","201415"
"Hispanic or Latino ","23 ","78.3 ","23 ","66.3 ","8 ","*","0040511","201415"
"Native Hawaiian or Other Pacific Islander ","* ","* ","* ","* ","* ","*","0040511","201415"
"Two or More Races ","22 ","88.2 ","22 ","83.4 ","15 ","*","0040511","201415"
"White ","403 ","82.6 ","403 ","75.6 ","205 ","65.2","0040511","201415"
"English Language Learners ","13 ","* ","13 ","* ","6 ","*","0040511","201415"
"Non-English Language Learners ","530 ","82.8 ","530 ","76.2 ","269 ","64.4","0040511","201415"
"Eligible for Free or Reduced-Price Meals ","24 ","61.7 ","24 ","55.1 ","14 ","*","0040511","201415"
"Not Eligible for Free or Reduced-Price Meals ","519 ","83.1 ","519 ","76.6 ","261 ","64.4","0040511","201415"
"Students with Disabilities ","67 ","63.7 ","67 ","55.8 ","34 ","51.9","0040511","201415"
"Students without Disabilities ","476 ","84.8 ","476 ","78.5 ","241 ","65.4","0040511","201415"
"High Needs ","91 ","63.7 ","91 ","56.5 ","50 ","49.9","0040511","201415"
"Non-High Needs ","452 ","85.9 ","452 ","79.5 ","225 ","66.8","0040511","201415"
"School ","543 ","82.2 ","543 ","75.7 ","275 ","63.7","0040511","201415"
"Asian ","65 ","84.4 ","65 ","86.2 ","32 ","70.7","0040511","201516"
"Black or African American ","* ","* ","* ","* ","* ","*","0040511","201516"
"Hispanic or Latino ","35 ","73.3 ","35 ","64.8 ","27 ","58.0","0040511","201516"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","0040511","201516"
"Two or More Races ","23 ","85.5 ","23 ","80.3 ","10 ","*","0040511","201516"
"White ","384 ","84.5 ","383 ","76.9 ","187 ","67.8","0040511","201516"
"English Language Learners ","15 ","* ","15 ","* ","10 ","*","0040511","201516"
"Non-English Language Learners ","516 ","83.5 ","515 ","76.9 ","257 ","67.1","0040511","201516"
"Eligible for Free or Reduced-Price Meals ","23 ","60.0 ","23 ","51.4 ","17 ","*","0040511","201516"
"Not Eligible for Free or Reduced-Price Meals ","508 ","83.9 ","507 ","77.6 ","250 ","67.5","0040511","201516"
"Students with Disabilities ","54 ","62.4 ","54 ","54.9 ","25 ","44.5","0040511","201516"
"Students without Disabilities ","477 ","85.2 ","476 ","78.9 ","242 ","68.7","0040511","201516"
"High Needs ","81 ","63.8 ","81 ","57.7 ","44 ","49.6","0040511","201516"
"Non-High Needs ","450 ","86.3 ","449 ","79.8 ","223 ","69.8","0040511","201516"
"School ","531 ","82.9 ","530 ","76.5 ","267 ","66.5","0040511","201516"
"American Indian or Alaska Native ","0","N/A ","0","N/A ","0 ","N/A","0045111","201415"
"Asian ","63","86.9 ","63","89.4 ","31 ","69.2","0045111","201415"
"Black or African American ","17","* ","17","* ","6 ","*","0045111","201415"
"Hispanic or Latino ","28","74.8 ","28","70.5 ","16 ","*","0045111","201415"
"Native Hawaiian or Other Pacific Islander ","0","N/A ","0","N/A ","0 ","N/A","0045111","201415"
"Two or More Races ","15","* ","15","* ","7 ","*","0045111","201415"
"White ","418","81.7 ","418","76.2 ","211 ","67.9","0045111","201415"
"English Language Learners ","14","* ","14","* ","* ","*","0045111","201415"
"Non-English Language Learners ","527","81.9 ","527","77.2 ","* ","*","0045111","201415"
"Eligible for Free or Reduced-Price Meals ","24","68.7 ","24","59.3 ","9 ","*","0045111","201415"
"Not Eligible for Free or Reduced-Price Meals ","517","82.1 ","517","77.9 ","262 ","68.1","0045111","201415"
"Students with Disabilities ","69","60.7 ","69","53.4 ","28 ","52.1","0045111","201415"
"Students without Disabilities ","472","84.6 ","472","80.6 ","243 ","69.6","0045111","201415"
"High Needs ","92","64.5 ","92","57.7 ","39 ","52.7","0045111","201415"
"Non-High Needs ","449","85.0 ","449","81.1 ","232 ","70.4","0045111","201415"
"School ","541","81.5 ","541","77.1 ","271 ","67.8","0045111","201415"
"Asian ","80","89.4 ","80","91.8 ","36 ","72.8","0045111","201516"
"Black or African American ","20","65.9 ","20","60.5 ","10 ","*","0045111","201516"
"Hispanic or Latino ","28","75.1 ","28","71.8 ","12 ","*","0045111","201516"
"Native Hawaiian or Other Pacific Islander ","0","N/A ","0","N/A ","0 ","N/A","0045111","201516"
"Two or More Races ","15","* ","15","* ","9 ","*","0045111","201516"
"White ","392","81.4 ","391","79.0 ","202 ","64.9","0045111","201516"
"English Language Learners ","9","* ","9","* ","* ","*","0045111","201516"
"Non-English Language Learners ","526","82.5 ","525","80.6 ","* ","*","0045111","201516"
"Eligible for Free or Reduced-Price Meals ","27","67.1 ","27","63.2 ","14 ","*","0045111","201516"
"Not Eligible for Free or Reduced-Price Meals ","508","82.8 ","507","81.2 ","255 ","65.4","0045111","201516"
"Students with Disabilities ","75","59.5 ","75","56.0 ","41 ","46.4","0045111","201516"
"Students without Disabilities ","460","85.7 ","459","84.2 ","228 ","68.6","0045111","201516"
"High Needs ","99","62.1 ","99","59.2 ","54 ","50.9","0045111","201516"
"Non-High Needs ","436","86.5 ","435","85.0 ","215 ","68.8","0045111","201516"
"School ","535","82.0 ","534","80.2 ","269 ","65.2","0045111","201516"
"American Indian or Alaska Native ","0","N/A ","0","N/A ","0 ","N/A","0046111","201415"
"Asian ","28","90.9 ","28","89.6 ","24 ","84.7","0046111","201415"
"Black or African American ","8","* ","8","* ","* ","*","0046111","201415"
"Hispanic or Latino ","18","* ","18","* ","16 ","*","0046111","201415"
"Native Hawaiian or Other Pacific Islander ","0","N/A ","0","N/A ","0 ","N/A","0046111","201415"
"Two or More Races ","7","* ","7","* ","* ","*","0046111","201415"
"White ","170","74.5 ","168","69.3 ","199 ","73.7","0046111","201415"
"English Language Learners ","0","* ","0","* ","* ","*","0046111","201415"
"Non-English Language Learners ","231","75.1 ","229","69.9 ","* ","*","0046111","201415"
"Eligible for Free or Reduced-Price Meals ","11","* ","11","* ","11 ","*","0046111","201415"
"Not Eligible for Free or Reduced-Price Meals ","220","76.4 ","218","71.4 ","243 ","74.0","0046111","201415"
"Students with Disabilities ","29","46.1 ","29","44.6 ","32 ","53.9","0046111","201415"
"Students without Disabilities ","202","79.3 ","200","73.6 ","222 ","76.3","0046111","201415"
"High Needs ","37","48.2 ","37","44.7 ","42 ","55.4","0046111","201415"
"Non-High Needs ","194","80.3 ","192","74.8 ","212 ","77.0","0046111","201415"
