"District","District Code","School","School Code","Special Education Status","Count","%"
"New Haven School District","=""0930011""","Augusta Lewis Troup School","=""0931511""","Students with Disabilities",10,14.7
"New Haven School District","=""0930011""","Barnard Environmental Magnet School","=""0930211""","Students with Disabilities",13,21.3
"New Haven School District","=""0930011""","Beecher School","=""0930311""","Students with Disabilities","*","*"
"New Haven School District","=""0930011""","Benjamin Jepson Magnet School","=""0931811""","Students with Disabilities",9,11.4
"New Haven School District","=""0930011""","Betsy Ross Arts Magnet School","=""0935511""","Students with Disabilities","*","*"
"New Haven School District","=""0930011""","Bishop Woods School","=""0934311""","Students with Disabilities",27,30.0
"New Haven School District","=""0930011""","Blake Street Leadership Academy (STEP)","=""0932411""","Students with Disabilities","N/A","N/A"
"New Haven School District","=""0930011""","Celentano BioTech, Health and Medical Magnet School","=""0934811""","Students with Disabilities",10,11.8
"New Haven School District","=""0930011""","Clemente Leadership Academy","=""0934211""","Students with Disabilities",19,23.8
"New Haven School District","=""0930011""","Clinton Avenue School","=""0930611""","Students with Disabilities",8,9.6
"New Haven School District","=""0930011""","Columbus Family Academy","=""0934111""","Students with Disabilities","*","*"
"New Haven School District","=""0930011""","Conte/West Hills Magnet School","=""0933111""","Students with Disabilities","*","*"
"New Haven School District","=""0930011""","Cooperative High School","=""0936411""","Students with Disabilities",7,10.4
"New Haven School District","=""0930011""","Davis 21st Century Magnet Elementary School","=""0930911""","Students with Disabilities","*","*"
"New Haven School District","=""0930011""","Domus Academy","=""0935611""","Students with Disabilities",20,74.1
"New Haven School District","=""0930011""","Early Learning Center","=""0938111""","Students with Disabilities","N/A","*"
"New Haven School District","=""0930011""","East Rock Community Magnet School","=""0934611""","Students with Disabilities",9,9.9
"New Haven School District","=""0930011""","Edgewood School","=""0931211""","Students with Disabilities",14,32.6
"New Haven School District","=""0930011""","Engineering - Science University Magnet School","=""0931711""","Students with Disabilities",7,16.7
"New Haven School District","=""0930011""","Fair Haven School","=""0931611""","Students with Disabilities",20,20.6
"New Haven School District","=""0930011""","Headstart","=""0938011""","Students with Disabilities","N/A","N/A"
"New Haven School District","=""0930011""","Helene Grant HeadStart","=""0938311""","Students with Disabilities","N/A","N/A"
"New Haven School District","=""0930011""","High School In The Community","=""0936611""","Students with Disabilities",6,10.9
"New Haven School District","=""0930011""","Hill Central Music Academy","=""0930711""","Students with Disabilities",12,21.8
"New Haven School District","=""0930011""","Hill Regional Career High School","=""0936311""","Students with Disabilities","*","*"
"New Haven School District","=""0930011""","Hyde School of Health, Science and Sports Medicine","=""0936811""","Students with Disabilities",12,37.5
"New Haven School District","=""0930011""","James Hillhouse High School","=""0936211""","Students with Disabilities",21,12.2
"New Haven School District","=""0930011""","John C. Daniels","=""0931311""","Students with Disabilities",10,17.5
"New Haven School District","=""0930011""","John S. Martinez School","=""0930811""","Students with Disabilities","N/A","N/A"
"New Haven School District","=""0930011""","Katherine Brennan/Clarence Rogers School","=""0932111""","Students with Disabilities",7,7.1
"New Haven School District","=""0930011""","King/Robinson Magnet School","=""0933011""","Students with Disabilities",18,24.7
"New Haven School District","=""0930011""","Lincoln-Bassett School","=""0932011""","Students with Disabilities",11,17.7
"New Haven School District","=""0930011""","Mauro-Sheridan Magnet School","=""0931911""","Students with Disabilities",11,21.2
"New Haven School District","=""0930011""","Metropolitan Business Academy","=""0936011""","Students with Disabilities","*","*"
"New Haven School District","=""0930011""","Nathan Hale School","=""0931411""","Students with Disabilities",9,11.8
"New Haven School District","=""0930011""","New Haven Academy","=""0937011""","Students with Disabilities","*","*"
"New Haven School District","=""0930011""","New Horizons High School","=""0932211""","Students with Disabilities",19,57.6
"New Haven School District","=""0930011""","New Light High School","=""0932611""","Students with Disabilities","*","*"
"New Haven School District","=""0930011""","Polly T. McCabe Center","=""0939211""","Students with Disabilities","N/A","*"
"New Haven School District","=""0930011""","Quinnipiac Real World Math STEM School","=""0933511""","Students with Disabilities","*","*"
"New Haven School District","=""0930011""","Riverside Education Academy","=""0939111""","Students with Disabilities",11,28.9
"New Haven School District","=""0930011""","Ross/Woodward School","=""0931011""","Students with Disabilities",20,40.0
"New Haven School District","=""0930011""","Sound School","=""0936711""","Students with Disabilities","*","*"
"New Haven School District","=""0930011""","Strong 21st Century Communications Magnet and SCSU Lab School","=""0932811""","Students with Disabilities","*","*"
"New Haven School District","=""0930011""","Truman School","=""0932911""","Students with Disabilities","*","*"
"New Haven School District","=""0930011""","West Rock Authors Academy","=""0934911""","Students with Disabilities","*","*"
"New Haven School District","=""0930011""","Wexler/Grant Community School","=""0933211""","Students with Disabilities",26,41.9
"New Haven School District","=""0930011""","Wilbur Cross High School","=""0936111""","Students with Disabilities",21,10.2
"New Haven School District","=""0930011""","Worthington Hooker School","=""0933811""","Students with Disabilities","*","*"
"Norwich School District","=""1040011""","Bishop School Early Learning Center","=""1040111""","Students with Disabilities","N/A","N/A"
"Norwich School District","=""1040011""","Case Street Early Learning Center at DTZ","=""1040211""","Students with Disabilities","N/A","*"
"Norwich School District","=""1040011""","Hickory Street School","=""1049011""","Students with Disabilities","*","*"
"Norwich School District","=""1040011""","John B. Stanton Network School","=""1041411""","Students with Disabilities","*","*"
"Norwich School District","=""1040011""","Kelly Middle School","=""1045111""","Students with Disabilities",17,16.2
"Norwich School District","=""1040011""","Moriarty Magnet School","=""1042011""","Students with Disabilities","*","*"
"Norwich School District","=""1040011""","Samuel Huntington School","=""1040811""","Students with Disabilities","*","*"
"Norwich School District","=""1040011""","Teachers' Memorial Middle School","=""1045211""","Students with Disabilities",14,17.7
"Norwich School District","=""1040011""","Thomas W. Mahan School","=""1041711""","Students with Disabilities","*","*"
"Norwich School District","=""1040011""","Uncas Network School","=""1041911""","Students with Disabilities","*","*"
"Norwich School District","=""1040011""","Veterans' Memorial School","=""1041811""","Students with Disabilities","*","*"
"Norwich School District","=""1040011""","Virtual Learning Academy","=""1049211""","Students with Disabilities","N/A","*"
"Norwich School District","=""1040011""","Wequonnoc Magnet School","=""1041511""","Students with Disabilities",7,17.5
"Derby School District","=""0370011""","Bradley School","=""0370611""","Students with Disabilities","*","*"
"Derby School District","=""0370011""","Derby High School","=""0376111""","Students with Disabilities",11,16.9
"Derby School District","=""0370011""","Derby Middle School","=""0375011""","Students with Disabilities",24,46.2
"Derby School District","=""0370011""","Irving School","=""0370411""","Students with Disabilities","*","*"
"East Granby School District","=""0400011""","Allgrove School","=""0400111""","Students with Disabilities","N/A","N/A"
"East Granby School District","=""0400011""","East Granby High School","=""0406111""","Students with Disabilities","*","*"
"East Granby School District","=""0400011""","East Granby Middle School","=""0405111""","Students with Disabilities","*","*"
"East Granby School District","=""0400011""","R. Dudley Seymour School","=""0400211""","Students with Disabilities","N/A","N/A"
"Eastford School District","=""0390011""","Eastford Elementary School","=""0390111""","Students with Disabilities","*","*"
"East Haddam School District","=""0410011""","East Haddam Elementary School","=""0410111""","Students with Disabilities","N/A","N/A"
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""","Students with Disabilities","*","*"
"East Haddam School District","=""0410011""","Nathan Hale-Ray Middle School","=""0415111""","Students with Disabilities","*","*"
"East Hampton School District","=""0420011""","Center School","=""0420311""","Students with Disabilities","N/A","N/A"
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""","Students with Disabilities",6,18.8
"East Hampton School District","=""0420011""","East Hampton Middle School","=""0425111""","Students with Disabilities",6,16.2
"East Hampton School District","=""0420011""","Memorial School","=""0420111""","Students with Disabilities","N/A","N/A"
"East Hampton School District","=""0420011""","The Learning Center at East Hampton","=""0429011""","Students with Disabilities","*","*"
"Greenwich School District","=""0570011""","Alternative High School Programs","=""0571411""","Students with Disabilities",7,23.3
"Greenwich School District","=""0570011""","Central Middle School","=""0575111""","Students with Disabilities","*","*"
"Greenwich School District","=""0570011""","Community Connections","=""0571211""","Students with Disabilities","N/A","*"
"Greenwich School District","=""0570011""","Cos Cob School","=""0570211""","Students with Disabilities","N/A","N/A"
"Greenwich School District","=""0570011""","Eastern Middle School","=""0575211""","Students with Disabilities","*","*"
"Greenwich School District","=""0570011""","Glenville School","=""0570411""","Students with Disabilities","*","*"
"Greenwich School District","=""0570011""","Greenwich High School","=""0576111""","Students with Disabilities",16,5.1
"Greenwich School District","=""0570011""","Hamilton Avenue School","=""0570511""","Students with Disabilities","*","*"
"Greenwich School District","=""0570011""","International School At Dundee","=""0571311""","Students with Disabilities","N/A","N/A"
"Greenwich School District","=""0570011""","Julian Curtiss School","=""0570311""","Students with Disabilities","N/A","N/A"
"Greenwich School District","=""0570011""","New Lebanon School","=""0570611""","Students with Disabilities","*","*"
"Greenwich School District","=""0570011""","North Mianus School","=""0570711""","Students with Disabilities","*","*"
"Greenwich School District","=""0570011""","North Street School","=""0570811""","Students with Disabilities","N/A","N/A"
"Greenwich School District","=""0570011""","Old Greenwich School","=""0570911""","Students with Disabilities","N/A","N/A"
"Greenwich School District","=""0570011""","Parkway School","=""0571111""","Students with Disabilities","N/A","N/A"
"Greenwich School District","=""0570011""","Riverside School","=""0571011""","Students with Disabilities","N/A","N/A"
"Greenwich School District","=""0570011""","Western Middle School","=""0575311""","Students with Disabilities",13,14.6
"Griswold School District","=""0580011""","Griswold Alternative School","=""0580111""","Students with Disabilities","*","*"
"Griswold School District","=""0580011""","Griswold Elementary School","=""0580311""","Students with Disabilities","*","*"
"Griswold School District","=""0580011""","Griswold High School","=""0586211""","Students with Disabilities",29,35.8
"Griswold School District","=""0580011""","Griswold Middle School","=""0585111""","Students with Disabilities",17,20.5
"Groton School District","=""0590011""","Carl C. Cutler Middle School","=""0595311""","Students with Disabilities",14,21.5
"Groton School District","=""0590011""","Catherine Kolnaski Magnet School","=""0592011""","Students with Disabilities",9,11.7
"Groton School District","=""0590011""","Charles Barnum School","=""0591811""","Students with Disabilities","*","*"
"Groton School District","=""0590011""","Claude Chester School","=""0590311""","Students with Disabilities",10,18.9
"Groton School District","=""0590011""","Mary Morrisson School","=""0591711""","Students with Disabilities","*","*"
"Groton School District","=""0590011""","New Beginnings Alternative Program","=""0590211""","Students with Disabilities",14,60.9
"Groton School District","=""0590011""","Northeast Academy Elementary School","=""0591911""","Students with Disabilities","*","*"
"Groton School District","=""0590011""","Pleasant Valley School","=""0591211""","Students with Disabilities","N/A","N/A"
"Groton School District","=""0590011""","Robert E. Fitch High School","=""0596111""","Students with Disabilities",45,33.6
"Groton School District","=""0590011""","S. B. Butler School","=""0590111""","Students with Disabilities","*","*"
"Groton School District","=""0590011""","Virtual Learning Academy","=""0590611""","Students with Disabilities","N/A","*"
"Groton School District","=""0590011""","West Side Middle School","=""0595211""","Students with Disabilities",33,32.4
"Ledyard School District","=""0720011""","Gales Ferry School","=""0720211""","Students with Disabilities","N/A","N/A"
"Ledyard School District","=""0720011""","Gallup Hill School","=""0720411""","Students with Disabilities","*","*"
"Ledyard School District","=""0720011""","Juliet W. Long School","=""0720311""","Students with Disabilities","*","*"
"Ledyard School District","=""0720011""","Ledyard Center School","=""0720111""","Students with Disabilities","N/A","N/A"
"Ledyard School District","=""0720011""","Ledyard High School","=""0726111""","Students with Disabilities",17,12.5
"Ledyard School District","=""0720011""","Ledyard Middle School","=""0725111""","Students with Disabilities",11,21.6
"Lisbon School District","=""0730011""","Lisbon Central School","=""0730111""","Students with Disabilities","*","*"
"Litchfield School District","=""0740011""","Center School","=""0740211""","Students with Disabilities","N/A","N/A"
"Litchfield School District","=""0740011""","Litchfield High School","=""0746111""","Students with Disabilities",13,28.3
"Litchfield School District","=""0740011""","Litchfield Intermediate School","=""0740311""","Students with Disabilities","*","*"
"New Britain School District","=""0890011""","Alternative Center School","=""0899111""","Students with Disabilities",7,23.3
"New Britain School District","=""0890011""","CLIMB","=""0899411""","Students with Disabilities","N/A","N/A"
"New Britain School District","=""0890011""","Chamberlain  Elementary School","=""0890311""","Students with Disabilities",9,6.7
"New Britain School District","=""0890011""","Frank J. DiLoreto School","=""0891111""","Students with Disabilities",9,13.0
"New Britain School District","=""0890011""","Gaffney School","=""0890511""","Students with Disabilities",6,3.3
"New Britain School District","=""0890011""","Holmes School","=""0890611""","Students with Disabilities","*","*"
"New Britain School District","=""0890011""","Jefferson School","=""0890711""","Students with Disabilities","N/A","N/A"
"New Britain School District","=""0890011""","Lincoln School","=""0890811""","Students with Disabilities",6,4.1
"New Britain School District","=""0890011""","New Britain High School","=""0896111""","Students with Disabilities",145,42.3
"New Britain School District","=""0890011""","New Britain Transition Center","=""0899011""","Students with Disabilities","N/A","N/A"
"New Britain School District","=""0890011""","Northend School","=""0890911""","Students with Disabilities","N/A","N/A"
"New Britain School District","=""0890011""","Pulaski Middle School","=""0895311""","Students with Disabilities",53,31.9
"New Britain School District","=""0890011""","Slade Middle School","=""0895211""","Students with Disabilities",56,33.1
"New Britain School District","=""0890011""","Smalley Academy","=""0891211""","Students with Disabilities",15,12.5
"New Britain School District","=""0890011""","Smith School","=""0891311""","Students with Disabilities",6,4.6
"New Britain School District","=""0890011""","Vance School","=""0891511""","Students with Disabilities","*","*"
"New Canaan School District","=""0900011""","East School","=""0900411""","Students with Disabilities","N/A","N/A"
"New Canaan School District","=""0900011""","New Canaan High School","=""0906111""","Students with Disabilities",7,4.8
"New Canaan School District","=""0900011""","Saxe Middle School","=""0905111""","Students with Disabilities","*","*"
"New Canaan School District","=""0900011""","South School","=""0900211""","Students with Disabilities","N/A","N/A"
"New Canaan School District","=""0900011""","West School","=""0900311""","Students with Disabilities","N/A","N/A"
"Branford School District","=""0140011""","Branford High School","=""0146111""","Students with Disabilities",26,20.2
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""","Students with Disabilities",9,"*"
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","Students with Disabilities",22,15.8
"Branford School District","=""0140011""","Indian Neck School","=""0148011""","Students with Disabilities","N/A","N/A"
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""","Students with Disabilities","N/A","N/A"
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""","Students with Disabilities","N/A","N/A"
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""","Students with Disabilities","N/A","N/A"
