"",,,,,"2011-12",,"2012-13",,"2013-14",,"2014-15",,"2015-16",
"Avon School District","=""0040011""","Avon Public Schools Pre-K","=""0040111""","Female","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Avon School District","=""0040011""","Avon Public Schools Pre-K","=""0040111""","Male","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Female","N/A","N/A","N/A","N/A","*","*","*","*","*","*"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Male","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","Female","N/A","N/A","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","Male","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","Female",6,2.0,"*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","Male",8,2.7,"*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","Female","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","Male","N/A","N/A","*","*","*","*","*","*","N/A","N/A"
"Barkhamsted School District","=""0050011""","Bridges at Barkhamsted Elementary School","=""0050211""","Female","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*"
"Barkhamsted School District","=""0050011""","Bridges at Barkhamsted Elementary School","=""0050211""","Male","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*"
"Barkhamsted School District","=""0050011""","Shared Services Integrated Preschool","=""0058011""","Female","N/A","*","N/A","*","N/A","*","N/A","*","N/A","*"
"Barkhamsted School District","=""0050011""","Shared Services Integrated Preschool","=""0058011""","Male","N/A","*","N/A","*","N/A","*","N/A","*","N/A","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Female",33,6.7,23,5.0,21,4.7,17,3.9,10,2.3
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Male",68,14.1,50,10.1,37,7.6,20,4.1,30,6.0
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","Female",12,3.4,8,2.4,7,2.4,11,3.6,"*","*"
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","Male",47,12.3,22,5.7,31,7.8,45,11.5,"*","*"
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","Female","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","Male","*","*","*","*","*","*","N/A","N/A","N/A","N/A"
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","Female","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","Male","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","Female","N/A","N/A","N/A","N/A","N/A","N/A","*","*","N/A","N/A"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","Male","N/A","N/A","N/A","N/A","*","*","*","*","*","*"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","Female","*","*","N/A","N/A","N/A","N/A","N/A","N/A","*","*"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","Male","*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""","Female","N/A","N/A","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""","Male","N/A","N/A","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Female",54,11.3,62,13.5,49,10.7,38,8.8,36,8.5
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Male",73,15.3,78,15.5,88,18.4,76,16.4,82,17.2
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""","Female",17,5.2,11,3.5,14,4.5,21,6.4,8,2.5
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""","Male",50,13.6,59,16.3,45,12.5,68,18.1,44,12.8
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""","Female","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""","Male","*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""","Female","N/A","N/A","N/A","N/A","N/A","N/A","*","*","*","*"
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""","Male","N/A","N/A","N/A","N/A","N/A","N/A","*","*","*","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Female",42,14.6,29,11.3,31,11.5,40,16.7,39,16.9
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Male",67,20.9,67,23.6,68,23.9,71,24.7,87,29.4
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""","Female",6,4.9,15,14.3,9,8.7,"*","*","*","*"
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""","Male",32,23.2,19,16.8,38,32.8,"*","*","*","*"
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""","Female",27,19.7,22,16.5,17,18.5,12,13.2,14,14.9
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""","Male",52,34.2,38,27.0,43,34.1,23,18.7,37,33.6
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Female","N/A","N/A",15,15.3,25,19.2,21,16.0,17,14.0
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Male","N/A","N/A",20,27.4,34,41.0,24,29.6,28,32.6
"Bloomfield School District","=""0110011""","J. P. Vincent School","=""0110311""","Female","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Bloomfield School District","=""0110011""","J. P. Vincent School","=""0110311""","Male","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""","Female","N/A","N/A","*","*","*","*","N/A","N/A","*","*"
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""","Male","N/A","N/A","*","*","*","*",11,6.4,"*","*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","Female","N/A","N/A","N/A","*","N/A","*","N/A","*","*","*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","Male","N/A","N/A","N/A","*","N/A","*","N/A","*","*","*"
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""","Female","*","*","*","*","*","*","N/A","N/A","*","*"
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""","Male","*","*","*","*","*","*",6,4.5,"*","*"
"Bloomfield School District","=""0110011""","SAGE","=""3480415""","Male","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*"
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""","Female","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""","Male","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Bloomfield School District","=""0110011""","Wintonbury Early Childhood Magnet School","=""0110811""","Female","N/A","N/A","N/A","N/A","N/A","N/A","*","*","N/A","N/A"
"Bloomfield School District","=""0110011""","Wintonbury Early Childhood Magnet School","=""0110811""","Male","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","*"
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""","Female","*","*","*","*","N/A","N/A","N/A","N/A","*","*"
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""","Male","*","*","*","*",7,2.6,11,4.2,"*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Female","*","*",7,4.0,6,3.5,11,7.0,10,6.1
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Male","*","*",12,6.7,13,7.9,18,11.0,11,7.9
"Booker T. Washington Academy District","=""2950013""","Booker T. Washington Academy","=""2950113""","Female","N/A","N/A","N/A","N/A","N/A","N/A","*","*","*","*"
"Booker T. Washington Academy District","=""2950013""","Booker T. Washington Academy","=""2950113""","Male","N/A","N/A","N/A","N/A","N/A","N/A","*","*","*","*"
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","Female","*","*","N/A","N/A","N/A","N/A","*","*","*","*"
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","Male","*","*",6,5.0,6,4.8,"*","*","*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","Female",43,7.7,39,7.1,44,8.6,18,3.9,27,6.1
"Branford School District","=""0140011""","Branford High School","=""0146111""","Male",91,18.2,74,14.6,110,20.2,61,13.1,69,14.9
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""","Female","N/A","N/A","*","*","N/A","N/A",10,50.0,7,33.3
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""","Male","N/A","N/A","N/A","N/A","N/A","N/A",20,64.5,20,60.6
"Branford School District","=""0140011""","Bridgeport Detention Center","=""3480115""","Female","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*"
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","Female",15,3.1,9,1.9,6,1.3,11,2.4,14,3.0
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","Male",51,9.5,34,6.5,36,7.8,40,8.8,45,10.0
"Branford School District","=""0140011""","Indian Neck School","=""0148011""","Female","N/A","N/A","N/A","*","N/A","*","N/A","*","N/A","N/A"
"Branford School District","=""0140011""","Indian Neck School","=""0148011""","Male","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""","Female","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""","Male","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","*"
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""","Female","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""","Male","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""","Female","N/A","N/A","N/A","N/A","N/A","N/A","*","*","N/A","N/A"
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""","Male","*","*","N/A","N/A","*","*","N/A","N/A","N/A","N/A"
"Brass City Charter School District","=""2900013""","Brass City Charter School","=""2900113""","Female","N/A","N/A","N/A","N/A","N/A","N/A","*","*","*","*"
"Brass City Charter School District","=""2900013""","Brass City Charter School","=""2900113""","Male","N/A","N/A","N/A","N/A","N/A","N/A","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","Female",65,26.3,56,16.5,95,23.2,114,23.7,92,17.8
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","Male",104,36.9,72,20.9,148,36.0,187,38.6,143,29.7
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""","Female","N/A","N/A","N/A","N/A",12,13.8,41,34.5,42,26.6
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""","Male","N/A","N/A","N/A","N/A",29,20.0,76,33.2,77,24.0
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","Female",42,13.5,42,13.8,34,11.0,26,8.8,17,5.7
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","Male",104,28.5,80,23.7,74,21.1,68,18.1,52,14.7
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Female",90,17.7,184,34.1,142,27.8,167,36.2,171,36.7
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Male",135,23.6,242,35.6,232,37.4,219,39.2,213,39.1
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","Female",15,7.8,13,6.4,16,8.1,14,8.1,12,6.7
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","Male",29,14.4,31,16.4,33,17.4,25,13.0,26,13.3
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""","Female","N/A","N/A","N/A","N/A",11,6.9,"*","*",68,20.0
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""","Male","N/A","N/A","N/A","N/A",7,12.1,"*","*",42,31.1
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""","Female","*","*","*","*","*","*","N/A","N/A","*","*"
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""","Male","*","*","*","*","*","*",7,3.2,"*","*"
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""","Female",42,7.8,24,4.6,22,4.2,18,3.5,20,3.9
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""","Male",84,14.8,58,9.7,63,10.2,39,6.4,76,11.4
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","Female","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","Male","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Bridgeport Military Academy","=""0151611""","Female","N/A","N/A","N/A","N/A","N/A","N/A",29,35.4,54,48.2
"Bridgeport School District","=""0150011""","Bridgeport Military Academy","=""0151611""","Male","N/A","N/A","N/A","N/A","*","*",57,42.5,69,44.2
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""","Female","*","*","*","*",11,5.9,7,4.0,11,5.8
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""","Male","*","*","*","*",29,13.0,27,12.6,15,7.2
"Bridgeport School District","=""0150011""","Career and Craftsmanship","=""0152711""","Female","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*"
"Bridgeport School District","=""0150011""","Career and Craftsmanship","=""0152711""","Male","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Female",370,33.3,274,24.8,239,25.6,175,20.3,164,21.2
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Male",466,42.6,363,35.1,383,41.3,312,37.3,272,34.3
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""","Female",30,5.4,29,5.1,15,2.8,30,5.4,38,6.7
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""","Male",76,12.3,70,11.2,72,11.0,90,13.2,106,16.0
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""","Female","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""","Male","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""","Female",22,8.1,61,14.3,45,10.3,33,7.4,31,6.9
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""","Male",44,15.9,139,28.5,114,23.9,55,12.0,43,9.1
"Bridgeport School District","=""0150011""","Cross School","=""0153911""","Female",55,25.8,44,22.6,31,17.3,43,24.6,36,19.8
"Bridgeport School District","=""0150011""","Cross School","=""0153911""","Male",102,47.0,105,44.9,84,41.0,79,36.9,75,33.5
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""","Female",34,12.0,48,15.2,24,7.0,28,8.5,29,8.6
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""","Male",91,24.5,96,24.3,79,18.3,90,21.8,89,24.1
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""","Female",56,32.6,42,24.6,37,23.0,23,12.7,34,16.4
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""","Male",98,55.1,74,42.0,68,41.5,63,33.5,33,15.8
"Bridgeport School District","=""0150011""","Edison School","=""0150711""","Female",6,5.0,6,5.0,9,7.8,"*","*","N/A","N/A"
"Bridgeport School District","=""0150011""","Edison School","=""0150711""","Male",12,9.5,28,21.1,34,23.3,"*","*","*","*"
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""","Female",38,9.0,24,6.0,31,8.0,42,11.1,20,5.3
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""","Male",85,20.3,39,9.0,62,14.9,79,18.8,41,9.7
"Bridgeport School District","=""0150011""","Hall School","=""0151111""","Female","*","*","*","*","*","*","N/A","N/A","*","*"
"Bridgeport School District","=""0150011""","Hall School","=""0151111""","Male","*","*","*","*","*","*","N/A","N/A","*","*"
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""","Female","*","*",6,3.6,7,4.4,8,5.4,"*","*"
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""","Male","*","*",25,14.5,17,9.4,20,11.7,"*","*"
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Female",212,32.8,228,35.5,154,26.5,143,26.3,121,23.4
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Male",301,46.8,341,52.0,251,43.7,208,33.3,215,38.3
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""","Female","*","*","*","*",8,3.6,8,3.6,13,5.7
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""","Male","*","*","*","*",11,5.5,21,10.9,19,10.3
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""","Female",21,11.1,15,8.0,28,14.4,23,12.4,18,11.1
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""","Male",41,18.0,42,19.2,42,19.1,40,19.1,41,22.4
"Bridgeport School District","=""0150011""","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""","Female","N/A","N/A","N/A","N/A",9,11.3,56,45.5,49,28.0
"Bridgeport School District","=""0150011""","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""","Male","N/A","N/A","N/A","N/A",27,18.9,101,44.3,94,30.3
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""","Female","N/A","N/A","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""","Male","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""","Female",134,39.9,72,21.6,91,26.7,57,17.8,40,14.2
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""","Male",161,44.6,95,28.0,115,30.9,108,29.3,118,30.9
"Bridgeport School District","=""0150011""","Longfellow School","=""0151911""","Female",31,14.6,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Bridgeport School District","=""0150011""","Longfellow School","=""0151911""","Male",63,24.7,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""","Female",49,11.1,28,6.7,30,6.7,52,11.8,24,5.2
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""","Male",86,17.6,83,17.7,64,13.0,93,20.4,94,20.8
"Bridgeport School District","=""0150011""","Madison School","=""0152011""","Female",8,3.6,"*","*","*","*",9,3.9,"*","*"
"Bridgeport School District","=""0150011""","Madison School","=""0152011""","Male",32,11.3,"*","*","*","*",25,8.8,"*","*"
"Bridgeport School District","=""0150011""","Make The Grade","=""0159511""","Female",9,"*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Bridgeport School District","=""0150011""","Make The Grade","=""0159511""","Male",26,72.2,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""","Female","*","*","N/A","N/A","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""","Male","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Opportunities for Self-Discovery Community Partnership","=""0152811""","Female","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*"
"Bridgeport School District","=""0150011""","Opportunities for Self-Discovery Community Partnership","=""0152811""","Male","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*"
"Bridgeport School District","=""0150011""","Park City Academy","=""0159211""","Female","*","*",21,80.8,"N/A","N/A","N/A","N/A","N/A","N/A"
"Bridgeport School District","=""0150011""","Park City Academy","=""0159211""","Male","*","*",28,65.1,"N/A","N/A","N/A","N/A","N/A","N/A"
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""","Female","N/A","N/A","N/A","N/A","*","*",11,4.3,"*","*"
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""","Male","N/A","N/A","*","*","*","*",20,9.1,"*","*"
"Bridgeport School District","=""0150011""","Pride Academy","=""0151811""","Female","N/A","N/A","N/A","N/A",20,47.6,"N/A","N/A","N/A","N/A"
"Bridgeport School District","=""0150011""","Pride Academy","=""0151811""","Male","N/A","N/A","N/A","N/A",28,40.0,"N/A","N/A","N/A","N/A"
"Bridgeport School District","=""0150011""","Read School","=""0152511""","Female",53,12.5,48,12.1,39,9.7,37,8.6,35,8.3
"Bridgeport School District","=""0150011""","Read School","=""0152511""","Male",122,26.5,126,26.5,145,32.2,88,18.7,104,20.9
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""","Female",62,23.7,54,18.5,44,15.6,49,16.4,45,14.9
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""","Male",95,33.5,85,27.9,95,29.6,73,24.2,106,32.5
"Bridgeport School District","=""0150011""","Skane Center","=""0154411""","Female","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Bridgeport School District","=""0150011""","Skane Center","=""0154411""","Male","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
