"FTE Staffing Report for Trend"

"",,,,"Year",,,,
,,="Instructional Specialists Who Support Teachers",="Certified",.,.,.,0.5,0.5
,,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
,="Village School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0,2.0,2.0,2.0,2.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",3.0,3.0,2.0,2.0,2.0
,,="General Education - Teachers and Instructors",="Certified",3.0,3.0,3.0,3.0,3.0
,,="Special Education - Teachers and Instructors",="Certified",19.0,19.0,19.0,19.0,19.0
,,="Instructional Specialists Who Support Teachers",="Certified",4.0,3.0,4.0,5.0,5.6
,="Whitney High School East",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.0,1.0,1.0,1.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",4.0,4.0,4.0,4.0,3.0
,,="General Education - Teachers and Instructors",="Certified",1.5,0.5,1.5,1.5,1.5
,,="Special Education - Teachers and Instructors",="Certified",16.0,15.0,16.0,15.0,14.0
,,="Instructional Specialists Who Support Teachers",="Certified",3.1,3.1,2.2,2.2,2.2
,="Whitney High School North",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.0,1.0,1.0,1.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",3.0,3.0,3.0,3.0,3.0
,,="General Education - Teachers and Instructors",="Certified",4.0,4.0,4.0,4.0,5.0
,,="Special Education - Teachers and Instructors",="Certified",10.0,10.0,10.0,10.0,9.0
,,="Instructional Specialists Who Support Teachers",="Certified",0.4,0.4,0.4,0.4,0.4
,="Whitney High School West",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.0,1.0,1.0,1.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",1.0,1.0,1.0,1.0,1.0
,,="General Education - Teachers and Instructors",="Certified",1.5,1.5,1.5,1.5,0.5
,,="Special Education - Teachers and Instructors",="Certified",7.0,7.0,6.0,5.0,6.0
,,="Instructional Specialists Who Support Teachers",="Certified",0.5,0.5,0.8,0.8,0.8
,="Wintergreen Interdistrict Magnet School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0,1.0,2.0,2.0,1.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",3.0,3.0,3.0,3.0,4.0
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",6.9,6.3,6.0,7.0,5.5
,,="General Education - Teachers and Instructors",="Certified",38.3,38.3,38.0,39.0,38.2
,,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",7.0,8.5,7.1,7.8,8.1
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",1.5,1.5,3.5,5.2,6.2
,,="Special Education - Teachers and Instructors",="Certified",4.0,4.0,4.0,4.0,5.0
,,="Instructional Specialists Who Support Teachers",="Certified",2.3,2.3,2.6,2.6,2.8
,,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
,="A.C.E.S. Educational Center for the Arts - Part Time",="Administrators  Coordinators and Department Chairs - School Level",="Certified",.,.,.,.,1.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",.,.,.,.,1.0
,,="General Education - Teachers and Instructors",="Certified",.,.,.,.,3.8
="Ashford School District",="Ashford School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.5,2.5,2.5,3.0,1.6
,,="Counselors  Social Workers  and School Psychologists",="Certified",2.0,2.0,2.0,2.0,2.0
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",8.0,6.5,9.0,6.5,7.0
,,="General Education - Teachers and Instructors",="Certified",39.5,39.5,38.6,38.0,39.0
,,="Library/Media - Support Staff",="Non-Certified",0.8,0.8,0.5,1.0,1.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",24.3,24.9,21.8,19.0,21.7
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",11.0,12.5,11.0,11.0,11.5
,,="Special Education - Teachers and Instructors",="Certified",6.0,6.0,5.0,4.0,4.0
,,="Instructional Specialists Who Support Teachers",="Certified",1.1,1.1,1.0,1.0,1.0
="Avon School District",="Avon High School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",3.2,3.4,3.4,3.3,5.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",9.2,10.0,10.2,10.4,9.9
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",5.5,4.9,3.7,4.0,7.0
,,="General Education - Teachers and Instructors",="Certified",69.6,69.0,70.5,72.4,72.5
,,="Library/Media - Support Staff",="Non-Certified",1.2,1.2,1.0,1.0,1.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",26.5,30.0,26.4,24.1,26.3
,,="School Nurses",="Non-Certified",1.0,1.2,1.2,2.2,2.2
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",11.5,10.5,13.5,13.5,13.0
,,="Special Education - Teachers and Instructors",="Certified",8.2,8.4,8.3,8.4,10.0
,,="Instructional Specialists Who Support Teachers",="Certified",1.4,1.7,1.9,1.7,1.3
,,="Library/Media - Specialists (Certified)",="Certified",1.0,1.1,1.0,1.0,1.0
,="Avon Middle School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0,2.2,2.2,2.2,2.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",3.0,3.0,3.0,3.5,3.0
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",1.0,2.2,1.1,2.0,2.0
,,="General Education - Teachers and Instructors",="Certified",39.5,40.5,39.9,39.7,38.5
,,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",12.0,13.1,14.1,11.6,11.5
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",12.0,14.0,11.0,10.0,12.0
,,="Special Education - Teachers and Instructors",="Certified",4.0,6.0,6.0,5.0,4.0
,,="Instructional Specialists Who Support Teachers",="Certified",2.0,2.3,2.7,2.5,1.2
,,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
,="Pine Grove School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.2,2.2,2.2,2.3,1.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",1.5,1.5,1.5,1.3,1.0
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",2.0,4.2,2.0,4.3,5.8
,,="General Education - Teachers and Instructors",="Certified",30.0,30.9,30.5,32.7,35.0
,,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",10.8,11.3,12.3,10.8,8.9
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",18.6,20.6,20.6,17.0,13.0
,,="Special Education - Teachers and Instructors",="Certified",6.3,7.4,7.8,6.4,4.0
,,="Instructional Specialists Who Support Teachers",="Certified",3.9,2.7,3.6,4.1,2.3
,,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
,="Roaring Brook School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.2,2.2,2.2,2.1,2.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",2.0,1.6,1.6,1.3,1.0
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",1.0,3.7,3.7,3.3,5.3
,,="General Education - Teachers and Instructors",="Certified",33.1,31.7,30.4,32.0,33.8
,,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",12.0,11.5,11.5,10.7,9.4
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",21.4,19.2,19.2,16.4,14.0
,,="Special Education - Teachers and Instructors",="Certified",4.6,3.6,3.6,3.6,3.6
,,="Instructional Specialists Who Support Teachers",="Certified",3.6,3.7,3.5,2.6,2.1
,,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
,="Thompson Brook School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.1,2.2,2.2,2.3,2.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",1.5,2.5,2.5,2.0,2.0
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",1.0,1.0,1.0,1.0,2.0
,,="General Education - Teachers and Instructors",="Certified",32.3,34.8,36.3,35.8,30.5
,,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",13.0,11.8,12.8,11.9,11.0
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",15.0,15.0,15.0,14.6,13.0
,,="Special Education - Teachers and Instructors",="Certified",6.0,5.0,5.0,5.4,6.0
,,="Instructional Specialists Who Support Teachers",="Certified",2.1,1.7,1.6,1.7,1.6
,,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
,="Avon Public Schools Pre-K",="Special Education - Teachers and Instructors",="Certified",.,.,.,.,4.0
="Barkhamsted School District",="Barkhamsted Elementary School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.0,1.0,1.0,1.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",1.1,1.2,1.1,1.4,.
,,"General Education - Paraprofessional Instructional Assistants","Non-Certified",3.6,3.8,2.8,2.8,2.8
,,="General Education - Teachers and Instructors",="Certified",21.2,20.7,20.5,20.5,21.7
,,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",13.6,13.3,13.3,13.6,13.8
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",11.2,8.7,8.6,7.6,9.1
,,="Special Education - Teachers and Instructors",="Certified",2.0,2.0,2.0,2.0,1.0
,,="Instructional Specialists Who Support Teachers",="Certified",0.9,0.9,0.9,1.2,0.5
,,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
,="Shared Services Integrated Preschool",="Special Education - Teachers and Instructors",="Certified",1.0,1.0,1.0,1.0,.
,,"Instructional Specialists Who Support Teachers","Certified",.,.,.,0.3,.
"Berlin School District","Berlin High School","Administrators  Coordinators and Department Chairs - School Level","Certified",5.2,3.4,4.0,5.6,6.4
,,="Counselors  Social Workers  and School Psychologists",="Certified",8.3,8.3,8.0,8.0,8.2
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",2.0,4.0,3.8,2.9,2.9
,,="General Education - Teachers and Instructors",="Certified",65.5,68.2,71.7,70.9,71.7
,,="Library/Media - Support Staff",="Non-Certified",1.0,0.0,1.0,1.0,1.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",26.8,33.6,31.9,25.8,25.4
,,="School Nurses",="Non-Certified",2.0,2.0,2.0,2.0,2.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",12.1,11.5,11.7,11.0,10.1
,,="Special Education - Teachers and Instructors",="Certified",12.5,13.3,11.8,10.8,10.8
,,="Instructional Specialists Who Support Teachers",="Certified",2.5,2.0,1.7,2.0,2.0
,,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
,="Catherine M. McGee Middle School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",3.0,2.0,3.0,3.0,2.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",4.0,5.0,5.0,5.0,5.0
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0,1.9,1.8,1.9,0.9
,,="General Education - Teachers and Instructors",="Certified",54.0,54.0,55.0,52.2,53.0
,,="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",14.6,20.6,19.0,14.6,15.8
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",10.0,10.0,8.8,6.9,10.6
,,="Special Education - Teachers and Instructors",="Certified",9.0,9.0,9.0,9.0,9.0
,,="Instructional Specialists Who Support Teachers",="Certified",1.6,2.1,1.2,1.2,1.0
,,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
,="Emma Hart Willard School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,2.0,2.0,2.0,3.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",1.8,1.4,1.4,1.4,1.4
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",1.0,2.6,4.2,4.2,6.3
,,="General Education - Teachers and Instructors",="Certified",29.9,28.8,27.7,30.3,30.9
,,="Library/Media - Support Staff",="Non-Certified",0.9,0.9,0.9,0.9,0.9
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",12.3,16.6,13.6,11.3,10.6
,,="School Nurses",="Non-Certified",0.4,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",14.6,12.6,12.3,17.4,19.8
,,="Special Education - Teachers and Instructors",="Certified",7.0,8.0,7.0,8.0,9.0
,,="Instructional Specialists Who Support Teachers",="Certified",3.7,3.7,3.8,3.8,3.0
,,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
,="Mary E. Griswold School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0,2.0,2.0,2.0,2.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",1.8,1.4,1.4,1.4,1.4
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",1.0,1.8,5.4,4.5,5.7
,,="General Education - Teachers and Instructors",="Certified",34.4,34.7,34.8,37.3,37.3
,,="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",12.8,11.7,11.6,8.7,8.2
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",5.5,5.8,6.6,5.8,6.8
,,="Special Education - Teachers and Instructors",="Certified",4.0,4.0,4.0,5.0,3.0
,,="Instructional Specialists Who Support Teachers",="Certified",2.7,2.7,2.5,1.5,2.0
,,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
,="Richard D. Hubbard School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.2,1.2,1.4,1.4,1.4
,,="Counselors  Social Workers  and School Psychologists",="Certified",0.9,0.7,1.0,1.0,1.0
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",2.7,4.9,5.2,5.2,5.9
,,="General Education - Teachers and Instructors",="Certified",15.8,15.4,15.7,17.9,16.9
,,="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",7.0,7.4,7.4,5.5,5.5
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",3.8,4.8,5.2,2.4,2.4
,,="Special Education - Teachers and Instructors",="Certified",1.8,1.8,2.3,2.3,2.5
,,="Instructional Specialists Who Support Teachers",="Certified",1.6,1.6,1.7,1.7,2.2
,,="Library/Media - Specialists (Certified)",="Certified",0.8,.,0.8,0.6,0.6
="Bethany School District",="Bethany Community School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0,2.0,2.0,2.0,2.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",1.8,2.0,2.4,2.4,2.4
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",1.8,1.8,1.8,2.1,1.5
,,="General Education - Teachers and Instructors",="Certified",37.9,36.9,36.9,36.0,33.6
,,="Library/Media - Support Staff",="Non-Certified",0.4,0.4,0.4,0.4,0.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",12.3,12.5,12.5,11.7,9.9
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",14.6,15.2,15.2,15.3,11.7
,,="Special Education - Teachers and Instructors",="Certified",7.0,5.0,7.0,6.0,6.0
,,="Instructional Specialists Who Support Teachers",="Certified",3.0,3.0,2.8,2.8,1.6
,,="Library/Media - Specialists (Certified)",="Certified",.,.,.,.,1.0
="Bethel School District",="Anna H. Rockwell School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.0,1.0,1.0,1.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",1.9,1.9,1.9,1.9,1.9
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",4.0,5.0,5.0,5.0,5.0
,,="General Education - Teachers and Instructors",="Certified",26.4,26.4,26.4,26.4,26.4
,,="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",7.6,7.6,7.0,7.0,7.0
,,="School Nurses",="Non-Certified",1.2,1.2,1.2,1.2,1.2
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",6.0,4.0,1.0,4.0,5.0
,,="Special Education - Teachers and Instructors",="Certified",3.0,3.0,3.0,3.0,3.0
,,="Instructional Specialists Who Support Teachers",="Certified",1.5,2.0,2.0,2.0,2.0
,,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
,="Bethel High School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",3.7,4.0,3.8,3.6,2.8
,,="Counselors  Social Workers  and School Psychologists",="Certified",6.0,6.6,6.5,7.9,7.9
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",3.0,2.0,2.0,2.0,2.0
,,="General Education - Teachers and Instructors",="Certified",63.8,64.2,64.5,65.2,64.3
,,="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",22.6,22.6,22.6,22.6,22.6
,,="School Nurses",="Non-Certified",1.2,1.2,1.2,1.2,1.2
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",5.0,6.0,6.0,5.0,5.0
,,="Special Education - Teachers and Instructors",="Certified",5.8,6.8,6.8,6.8,6.8
,,="Instructional Specialists Who Support Teachers",="Certified",0.4,0.4,.,.,.
,,"Library/Media - Specialists (Certified)","Certified",1.0,1.0,1.0,1.0,1.0
