"",,,,,"2011-12",,"2012-13",,"2013-14",,"2014-15",,"2015-16",
"Area Cooperative Educational Services","=""2440014""","Whitney High School East","=""2449214""","Students with Disabilities",6,5.2,22,18.6,9,7.8,9,7.6,10,8.8
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","Students with Disabilities",23,22.3,47,46.5,59,54.6,48,44.0,54,48.2
"Area Cooperative Educational Services","=""2440014""","Whitney High School West","=""2449314""","Students with Disabilities","N/A","N/A","N/A","N/A","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Wintergreen Interdistrict  Magnet School","=""2440314""","Students with Disabilities","*","*","*","*",12,15.0,12,15.0,8,9.9
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Students with Disabilities","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Students with Disabilities","*","*",11,9.1,16,13.9,6,5.7,8,7.6
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Students with Disabilities",10,13.5,11,17.2,"*","*","*","*","*","*"
"Avon School District","=""0040011""","Avon Public Schools Pre-K","=""0040111""","Students with Disabilities","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Students with Disabilities","N/A","N/A","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","Students with Disabilities","N/A","N/A","N/A","N/A","N/A","N/A","*","*","*","*"
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","Students with Disabilities","*","*","*","*","N/A","N/A","*","*","N/A","N/A"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","Students with Disabilities","N/A","N/A","*","*","*","*","*","*","N/A","N/A"
"Barkhamsted School District","=""0050011""","Bridges at Barkhamsted Elementary School","=""0050211""","Students with Disabilities","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*"
"Barkhamsted School District","=""0050011""","Shared Services Integrated Preschool","=""0058011""","Students with Disabilities","N/A","*","N/A","*","N/A","*","N/A","N/A","N/A","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Students with Disabilities",30,28.3,22,21.4,20,19.4,17,14.4,18,16.4
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","Students with Disabilities",17,23.9,9,12.9,7,8.6,10,13.3,13,16.5
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","Students with Disabilities","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","Students with Disabilities","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","Students with Disabilities","N/A","N/A","N/A","N/A","*","*","*","*","*","*"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","Students with Disabilities","N/A","N/A","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""","Students with Disabilities","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Students with Disabilities",20,18.2,34,30.1,32,29.1,29,24.8,34,29.1
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""","Students with Disabilities",13,18.6,17,19.8,10,12.3,23,25.8,15,17.2
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""","Students with Disabilities","N/A","N/A","N/A","N/A","*","*","N/A","N/A","N/A","N/A"
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""","Students with Disabilities","N/A","N/A","N/A","N/A","N/A","N/A","*","*","*","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Students with Disabilities",23,27.1,21,29.2,20,26.3,29,33.3,26,30.6
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""","Students with Disabilities",10,31.3,7,23.3,10,31.3,7,17.1,7,16.3
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""","Students with Disabilities",11,34.4,10,25.0,12,34.3,8,25.0,11,34.4
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Students with Disabilities","N/A","N/A","*","*",8,"*",6,30.0,8,36.4
"Bloomfield School District","=""0110011""","J. P. Vincent School","=""0110311""","Students with Disabilities","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""","Students with Disabilities","N/A","N/A","*","*","*","*","N/A","N/A","*","*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","Students with Disabilities","N/A","N/A","N/A","*","N/A","*","N/A","*","*","*"
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""","Students with Disabilities","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","SAGE","=""3480415""","Students with Disabilities","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*"
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""","Students with Disabilities","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Bloomfield School District","=""0110011""","Wintonbury Early Childhood Magnet School","=""0110811""","Students with Disabilities","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","*"
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""","Students with Disabilities","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Students with Disabilities",8,20.5,"*","*",6,22.2,9,25.7,6,21.4
"Booker T. Washington Academy District","=""2950013""","Booker T. Washington Academy","=""2950113""","Students with Disabilities","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","*","*"
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","Students with Disabilities","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"Branford School District","=""0140011""","Branford High School","=""0146111""","Students with Disabilities",22,18.2,31,24.4,28,21.2,26,20.2,28,20.0
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""","Students with Disabilities","N/A","N/A","N/A","N/A","N/A","N/A",9,"*",8,"*"
"Branford School District","=""0140011""","Bridgeport Detention Center","=""3480115""","Students with Disabilities","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*"
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","Students with Disabilities",23,13.9,19,12.1,9,6.1,22,15.8,24,18.3
"Branford School District","=""0140011""","Indian Neck School","=""0148011""","Students with Disabilities","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""","Students with Disabilities","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","*"
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""","Students with Disabilities","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""","Students with Disabilities","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Brass City Charter School District","=""2900013""","Brass City Charter School","=""2900113""","Students with Disabilities","N/A","N/A","N/A","N/A","N/A","*","N/A","*","*","*"
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","Students with Disabilities",23,43.4,18,28.6,24,34.8,43,44.8,31,33.3
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""","Students with Disabilities","N/A","N/A","N/A","N/A",7,"*",14,43.8,13,32.5
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","Students with Disabilities",27,22.5,23,18.7,29,19.1,32,18.6,26,14.4
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Students with Disabilities",36,23.1,61,32.3,78,39.2,94,41.8,95,38.8
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","Students with Disabilities",11,21.6,8,18.2,11,23.9,8,17.0,9,16.7
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""","Students with Disabilities","N/A","N/A","N/A","N/A","N/A","*","N/A","N/A",12,37.5
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""","Students with Disabilities","N/A","N/A","*","*","N/A","N/A",6,9.0,8,9.8
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""","Students with Disabilities",32,24.6,19,15.6,17,14.7,16,11.9,30,17.8
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","Students with Disabilities",9,14.5,11,18.0,10,14.5,"*","*",9,12.5
"Bridgeport School District","=""0150011""","Bridgeport Military Academy","=""0151611""","Students with Disabilities","N/A","N/A","N/A","N/A","*","*",20,45.5,28,57.1
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""","Students with Disabilities","*","*","*","*",9,17.6,11,18.0,7,10.4
"Bridgeport School District","=""0150011""","Career and Craftsmanship","=""0152711""","Students with Disabilities","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*"
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Students with Disabilities",92,40.2,106,45.5,108,44.8,112,44.1,105,42.5
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""","Students with Disabilities",21,13.3,16,11.8,10,6.7,29,16.4,24,13.0
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""","Students with Disabilities","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""","Students with Disabilities",9,15.0,34,35.1,19,20.2,15,17.4,9,10.3
"Bridgeport School District","=""0150011""","Cross School","=""0153911""","Students with Disabilities",26,38.2,30,41.7,36,56.3,36,46.2,40,46.0
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""","Students with Disabilities",20,29.0,32,36.4,23,23.5,25,24.8,30,31.3
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""","Students with Disabilities",21,43.8,18,46.2,18,46.2,18,35.3,11,23.4
"Bridgeport School District","=""0150011""","Edison School","=""0150711""","Students with Disabilities","*","*",12,28.6,17,37.0,15,31.9,"*","*"
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""","Students with Disabilities",24,19.2,11,10.0,18,15.4,31,23.0,19,13.0
"Bridgeport School District","=""0150011""","Hall School","=""0151111""","Students with Disabilities","*","*","*","*","N/A","*","N/A","N/A","*","*"
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""","Students with Disabilities","*","*","*","*","*","*",7,12.7,6,8.0
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Students with Disabilities",88,46.8,93,50.5,76,40.0,83,38.6,84,42.2
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""","Students with Disabilities","*","*","N/A","N/A","N/A","N/A","*","*","*","*"
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""","Students with Disabilities",16,27.1,14,28.0,18,28.6,18,29.0,16,29.6
"Bridgeport School District","=""0150011""","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""","Students with Disabilities","N/A","N/A","N/A","N/A","*","*",8,34.8,9,32.1
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""","Students with Disabilities","N/A","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""","Students with Disabilities",40,28.2,38,26.0,44,28.6,34,22.2,36,22.5
"Bridgeport School District","=""0150011""","Longfellow School","=""0151911""","Students with Disabilities",26,35.6,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""","Students with Disabilities",32,24.1,31,24.8,23,17.0,32,24.6,36,25.7
"Bridgeport School District","=""0150011""","Madison School","=""0152011""","Students with Disabilities",8,11.1,"*","*","*","*",8,11.9,11,13.9
"Bridgeport School District","=""0150011""","Make The Grade","=""0159511""","Students with Disabilities","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""","Students with Disabilities","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","*"
"Bridgeport School District","=""0150011""","Opportunities for Self-Discovery Community Partnership","=""0152811""","Students with Disabilities","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*"
"Bridgeport School District","=""0150011""","Park City Academy","=""0159211""","Students with Disabilities",6,"*",10,"*","N/A","N/A","N/A","N/A","N/A","N/A"
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""","Students with Disabilities","N/A","N/A","N/A","N/A","N/A","N/A",6,9.7,"*","*"
"Bridgeport School District","=""0150011""","Pride Academy","=""0151811""","Students with Disabilities","N/A","N/A","N/A","N/A",8,"*","N/A","N/A","N/A","N/A"
"Bridgeport School District","=""0150011""","Read School","=""0152511""","Students with Disabilities",35,35.7,28,31.8,25,32.9,22,22.7,45,32.4
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""","Students with Disabilities",40,42.6,31,42.5,23,37.7,23,28.0,35,34.0
"Bridgeport School District","=""0150011""","Skane Center","=""0154411""","Students with Disabilities","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""","Students with Disabilities",13,13.0,17,19.5,27,29.3,28,32.9,20,21.5
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""","Students with Disabilities",8,15.4,7,14.9,"*","*","*","*",6,7.4
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""","Students with Disabilities","*","*","*","*","N/A","N/A","N/A","N/A","*","*"
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Students with Disabilities",51,26.4,45,23.9,65,31.7,59,27.2,48,21.3
"Bristol School District","=""0170011""","Bristol Early Childhood Center-BECC","=""0170411""","Students with Disabilities","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Students with Disabilities",72,34.1,75,33.5,67,30.9,50,24.3,48,21.8
"Bristol School District","=""0170011""","Bristol Preparatory Academy","=""0173311""","Students with Disabilities","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*"
"Bristol School District","=""0170011""","CHMS GOAL","=""0173411""","Students with Disabilities","N/A","N/A","N/A","N/A","N/A","N/A","*","*","N/A","N/A"
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""","Students with Disabilities",39,28.1,26,20.3,39,28.3,33,23.4,46,35.4
"Bristol School District","=""0170011""","Chippens Hill Middle School Functional Program","=""0171011""","Students with Disabilities","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","N/A","*"
"Bristol School District","=""0170011""","Chms Goal","=""0173411""","Students with Disabilities","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",7,"*"
"Bristol School District","=""0170011""","Clara T. O'Connell School","=""0170711""","Students with Disabilities",10,16.7,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Bristol School District","=""0170011""","Community/Vocational Program","=""0179211""","Students with Disabilities","N/A","*","N/A","*","N/A","*","N/A","*","N/A","*"
"Bristol School District","=""0170011""","Edgewood School","=""0170311""","Students with Disabilities",7,17.5,"*","*",7,12.1,12,22.6,9,19.6
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""","Students with Disabilities","*","*",7,7.8,"*","*",8,10.0,"*","*"
"Bristol School District","=""0170011""","Extended Resource Self-Contained","=""0173611""","Students with Disabilities","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","*"
"Bristol School District","=""0170011""","Greene-Hills GOAL","=""0170911""","Students with Disabilities","N/A","N/A","N/A","N/A","N/A","N/A","*","*","N/A","*"
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""","Students with Disabilities","*","*",15,12.1,17,13.1,18,13.2,13,9.4
"Bristol School District","=""0170011""","Hubbell/Extended Resource","=""0172111""","Students with Disabilities","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","N/A","*"
"Bristol School District","=""0170011""","Ivy Drive GOAL","=""0172611""","Students with Disabilities","N/A","N/A","N/A","N/A","N/A","N/A","*","*","*","*"
"Bristol School District","=""0170011""","Ivy Drive Medically Fragile","=""0172311""","Students with Disabilities","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","N/A","*"
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""","Students with Disabilities","*","*","*","*","*","*",6,9.5,10,14.5
"Bristol School District","=""0170011""","John J. Jennings School","=""0170611""","Students with Disabilities",10,19.2,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Bristol School District","=""0170011""","Memorial Boulevard Middle School","=""0175311""","Students with Disabilities",17,21.5,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Bristol School District","=""0170011""","Mountain View School","=""0171711""","Students with Disabilities",11,18.0,14,18.2,17,19.1,"*","*","*","*"
"Bristol School District","=""0170011""","Mt. View GOAL","=""0172511""","Students with Disabilities","N/A","N/A","N/A","N/A","N/A","N/A","*","*","*","*"
"Bristol School District","=""0170011""","Northeast MS/Extended Resource","=""0172711""","Students with Disabilities","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","N/A","*"
"Bristol School District","=""0170011""","Northeast MS/GOAL","=""0172811""","Students with Disabilities","N/A","N/A","N/A","N/A","N/A","N/A","*","*",6,"*"
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""","Students with Disabilities",10,11.6,11,12.6,12,15.2,11,15.7,12,18.5
"Bristol School District","=""0170011""","PreK Autism","=""0172911""","Students with Disabilities","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","N/A","*"
"Bristol School District","=""0170011""","South Side Extended Resource","=""0173011""","Students with Disabilities","N/A","N/A","N/A","N/A","N/A","N/A","*","*","*","*"
"Bristol School District","=""0170011""","South Side GOAL","=""0173111""","Students with Disabilities","N/A","N/A","N/A","N/A","N/A","N/A","*","*","*","*"
"Bristol School District","=""0170011""","South Side School","=""0171111""","Students with Disabilities","*","*",9,10.8,14,14.0,"*","*","*","*"
"Bristol School District","=""0170011""","Stafford Autism","=""0173211""","Students with Disabilities","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","N/A","N/A"
"Bristol School District","=""0170011""","Stafford School","=""0171211""","Students with Disabilities","*","*","*","*",6,5.0,"*","*",6,8.7
"Bristol School District","=""0170011""","West Bristol School","=""0172011""","Students with Disabilities","N/A","N/A",20,15.5,21,15.6,31,22.1,30,18.5
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","Students with Disabilities",10,13.9,10,11.0,8,8.2,6,6.6,7,7.4
"Brookfield School District","=""0180011""","Center Elementary School","=""0180311""","Students with Disabilities","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Brookfield School District","=""0180011""","Huckleberry Hill Elementary School","=""0180411""","Students with Disabilities","N/A","N/A","N/A","N/A","*","*","N/A","N/A","N/A","N/A"
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""","Students with Disabilities",6,6.1,15,15.3,8,7.3,9,7.3,17,13.6
"Brooklyn School District","=""0190011""","Brooklyn Elementary School","=""0190111""","Students with Disabilities","*","*","N/A","N/A","N/A","N/A","N/A","N/A","*","*"
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""","Students with Disabilities",15,24.2,9,16.1,10,25.0,7,19.4,"*","*"
"Canaan School District","=""0210011""","Lee H. Kellogg School","=""0210111""","Students with Disabilities","N/A","*","N/A","*","N/A","*","N/A","*","N/A","*"
"Canterbury School District","=""0220011""","Canterbury Elementary School","=""0220211""","Students with Disabilities","*","*","N/A","N/A","*","*","N/A","N/A","N/A","N/A"
"Canterbury School District","=""0220011""","Dr. Helen Baldwin Middle School","=""0225111""","Students with Disabilities","*","*","*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""","Canton Academy","=""0230411""","Students with Disabilities","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","*","*"
"Canton School District","=""0230011""","Canton High School","=""0236111""","Students with Disabilities","*","*",10,18.5,"*","*","*","*","*","*"
"Canton School District","=""0230011""","Canton Intermediate School","=""0230311""","Students with Disabilities","*","*","*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""","Canton Middle School","=""0235111""","Students with Disabilities",6,20.0,"N/A","N/A","N/A","N/A","*","*","*","*"
"Canton School District","=""0230011""","Cherry Brook Primary School","=""0230211""","Students with Disabilities","*","*","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"Capital Preparatory Harbor School Inc. District","=""2970013""","Capital Preparatory Harbor School Inc.","=""2970113""","Students with Disabilities","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",10,"*"
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""","Students with Disabilities","*","*",21,36.2,27,40.9,29,34.9,31,31.6
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering Elementary","=""2410714""","Students with Disabilities","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Capitol Region Education Council","=""2410014""","Academy of Science and Innovation","=""2416514""","Students with Disabilities","N/A","N/A","N/A","N/A","N/A","N/A",7,17.1,18,40.0
"Capitol Region Education Council","=""2410014""","Ana Grace Academy of the Arts Elementary School","=""2410614""","Students with Disabilities","N/A","N/A","N/A","*","*","*","N/A","N/A","N/A","N/A"
"Capitol Region Education Council","=""2410014""","CREC Discovery Academy","=""2418114""","Students with Disabilities","N/A","*","N/A","*","N/A","N/A","N/A","N/A","N/A","N/A"
"Capitol Region Education Council","=""2410014""","Discovery Academy","=""2418114""","Students with Disabilities","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","*"
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""","Students with Disabilities","*","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""","Students with Disabilities","N/A","*","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Capitol Region Education Council","=""2410014""","Great Path Academy at MCC","=""2416314""","Students with Disabilities",8,32.0,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Students with Disabilities","*","*",15,42.9,17,40.5,15,30.0,13,26.5
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of the Arts Magnet Middle","=""2415314""","Students with Disabilities","N/A","N/A","*","*",6,10.9,7,13.5,8,13.3
"Capitol Region Education Council","=""2410014""","Integrated Program Models","=""2419414""","Students with Disabilities","N/A","*","N/A","*","N/A","*","N/A","*","N/A","*"
"Capitol Region Education Council","=""2410014""","International Magnet School for Global Citizenship","=""2410414""","Students with Disabilities","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""","Students with Disabilities",22,33.3,20,32.3,26,43.3,37,60.7,"N/A","N/A"
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""","Students with Disabilities","*","*","*","*","N/A","*",7,"*","N/A","*"
"Capitol Region Education Council","=""2410014""","Medical Professions and Teacher Preparation Academy","=""2416514""","Students with Disabilities","N/A","*","*","*","*","*","N/A","N/A","N/A","N/A"
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","Students with Disabilities",9,16.1,8,13.6,17,26.2,10,12.0,36,39.1
"Capitol Region Education Council","=""2410014""","Montessori Magnet School","=""2413114""","Students with Disabilities","N/A","N/A","N/A","N/A","*","*","N/A","N/A","*","*"
"Capitol Region Education Council","=""2410014""","Museum Academy","=""2410514""","Students with Disabilities","N/A","N/A","*","*","*","*","N/A","N/A","*","*"
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""","Students with Disabilities","*","*",17,27.4,31,41.9,23,21.7,39,39.0
"Capitol Region Education Council","=""2410014""","Reggio Magnet School of the Arts","=""2410314""","Students with Disabilities","N/A","N/A","N/A","N/A","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","River Street Early Learning Center (Site 2)","=""2419514""","Students with Disabilities","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Capitol Region Education Council","=""2410014""","River Street School","=""2419314""","Students with Disabilities","*","*","N/A","N/A","*","*","N/A","N/A","N/A","N/A"
"Capitol Region Education Council","=""2410014""","STRIVE (Southern Transition Real-World and Independent Vocational Education Program","=""2419714""","Students with Disabilities","N/A","N/A","N/A","N/A","N/A","*","N/A","N/A","N/A","N/A"
"Capitol Region Education Council","=""2410014""","Soundbridge","=""2419114""","Students with Disabilities","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","N/A","*"
"Capitol Region Education Council","=""2410014""","Soundbridge @ Academy of Aerospace & Engineering Elementary","=""2411114""","Students with Disabilities","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","N/A","*"
"Capitol Region Education Council","=""2410014""","Soundbridge @ Museum Academy","=""2411214""","Students with Disabilities","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","N/A","*"
"Capitol Region Education Council","=""2410014""","Soundbridge @ Silas Deane Middle School","=""2410914""","Students with Disabilities","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","N/A","N/A"
