"District","District Code","School","School Code","Free/Reduced Price Meal Eligibility","Count","%"
"Farmington School District","=""0520011""","Farmington High School","=""0526111""","Eligible for Free or Reduced-Price Meals",12,7.7
"Farmington School District","=""0520011""","Irving A. Robbins Middle School","=""0525111""","Eligible for Free or Reduced-Price Meals",7,12.1
"Farmington School District","=""0520011""","Noah Wallace School","=""0520211""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Farmington School District","=""0520011""","Union School","=""0520111""","Eligible for Free or Reduced-Price Meals","*","*"
"Farmington School District","=""0520011""","West District School","=""0520311""","Eligible for Free or Reduced-Price Meals","*","*"
"Farmington School District","=""0520011""","West Woods Upper Elementary School","=""0520511""","Eligible for Free or Reduced-Price Meals",6,8.6
"Franklin School District","=""0530011""","Franklin Elementary School","=""0530111""","Eligible for Free or Reduced-Price Meals","*","*"
"Glastonbury School District","=""0540011""","Buttonball Lane School","=""0540211""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Glastonbury School District","=""0540011""","Eastbury School","=""0540311""","Eligible for Free or Reduced-Price Meals","N/A","*"
"Glastonbury School District","=""0540011""","Gideon Welles School","=""0540811""","Eligible for Free or Reduced-Price Meals","*","*"
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""","Eligible for Free or Reduced-Price Meals",35,15.0
"Glastonbury School District","=""0540011""","Hebron Avenue School","=""0540411""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Glastonbury School District","=""0540011""","Hopewell School","=""0540611""","Eligible for Free or Reduced-Price Meals","*","*"
"Glastonbury School District","=""0540011""","LINKS Academy","=""0540111""","Eligible for Free or Reduced-Price Meals","N/A","*"
"Glastonbury School District","=""0540011""","Naubuc School","=""0540711""","Eligible for Free or Reduced-Price Meals","*","*"
"Glastonbury School District","=""0540011""","Nayaug Elementary School","=""0540911""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Glastonbury School District","=""0540011""","Smith Middle School","=""0545211""","Eligible for Free or Reduced-Price Meals","*","*"
"Hartland School District","=""0650011""","Hartland School","=""0650111""","Eligible for Free or Reduced-Price Meals","N/A","*"
"Hebron School District","=""0670011""","Gilead Hill School","=""0670211""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Hebron School District","=""0670011""","Hebron Elementary School","=""0670111""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Kent School District","=""0680011""","Kent Center School","=""0680111""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Killingly School District","=""0690011""","Goodyear Early Childhood Center","=""0698011""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Killingly School District","=""0690011""","Killingly Central School","=""0690111""","Eligible for Free or Reduced-Price Meals","*","*"
"Killingly School District","=""0690011""","Killingly High School","=""0696111""","Eligible for Free or Reduced-Price Meals",89,27.3
"Killingly School District","=""0690011""","Killingly Intermediate School","=""0695211""","Eligible for Free or Reduced-Price Meals",52,14.3
"Killingly School District","=""0690011""","Killingly Memorial School","=""0690311""","Eligible for Free or Reduced-Price Meals",6,2.5
"New Britain School District","=""0890011""","Alternative Center School","=""0899111""","Eligible for Free or Reduced-Price Meals",32,56.1
"New Britain School District","=""0890011""","CLIMB","=""0899411""","Eligible for Free or Reduced-Price Meals","N/A","*"
"New Britain School District","=""0890011""","Chamberlain  Elementary School","=""0890311""","Eligible for Free or Reduced-Price Meals",30,6.5
"New Britain School District","=""0890011""","Frank J. DiLoreto School","=""0891111""","Eligible for Free or Reduced-Price Meals",170,25.3
"New Britain School District","=""0890011""","Gaffney School","=""0890511""","Eligible for Free or Reduced-Price Meals",51,11.6
"New Britain School District","=""0890011""","Holmes School","=""0890611""","Eligible for Free or Reduced-Price Meals",16,4.7
"New Britain School District","=""0890011""","House of Arts Letters and Science (HALS)  Academy","=""0895411""","Eligible for Free or Reduced-Price Meals","*","*"
"New Britain School District","=""0890011""","Jefferson School","=""0890711""","Eligible for Free or Reduced-Price Meals","*","*"
"New Britain School District","=""0890011""","Lincoln School","=""0890811""","Eligible for Free or Reduced-Price Meals",31,5.3
"New Britain School District","=""0890011""","New Britain High School","=""0896111""","Eligible for Free or Reduced-Price Meals",829,43.7
"New Britain School District","=""0890011""","New Britain Transition Center","=""0899011""","Eligible for Free or Reduced-Price Meals",13,24.1
"New Britain School District","=""0890011""","Northend School","=""0890911""","Eligible for Free or Reduced-Price Meals",20,7.5
"New Britain School District","=""0890011""","Pulaski Middle School","=""0895311""","Eligible for Free or Reduced-Price Meals",128,22.3
"New Britain School District","=""0890011""","Roosevelt Middle School","=""0895111""","Eligible for Free or Reduced-Price Meals",191,50.1
"New Britain School District","=""0890011""","Slade Middle School","=""0895211""","Eligible for Free or Reduced-Price Meals",113,20.2
"New Britain School District","=""0890011""","Smalley Academy","=""0891211""","Eligible for Free or Reduced-Price Meals",79,12.7
"New Britain School District","=""0890011""","Smith School","=""0891311""","Eligible for Free or Reduced-Price Meals",42,6.8
"New Britain School District","=""0890011""","Vance School","=""0891511""","Eligible for Free or Reduced-Price Meals",51,11.5
"North Stonington School District","=""1020011""","North Stonington Elementary School","=""1020111""","Eligible for Free or Reduced-Price Meals","*","*"
"North Stonington School District","=""1020011""","Wheeler High School","=""1026111""","Eligible for Free or Reduced-Price Meals",7,17.5
"North Stonington School District","=""1020011""","Wheeler Middle School","=""1025111""","Eligible for Free or Reduced-Price Meals","*","*"
"Norwalk School District","=""1030011""","Brien McMahon High School","=""1036211""","Eligible for Free or Reduced-Price Meals",126,15.8
"Norwalk School District","=""1030011""","Brookside Elementary School","=""1030211""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Norwalk School District","=""1030011""","Columbus Magnet School","=""1030311""","Eligible for Free or Reduced-Price Meals","*","*"
"Norwalk School District","=""1030011""","Cranbury Elementary School","=""1030411""","Eligible for Free or Reduced-Price Meals",9,4.5
"Norwalk School District","=""1030011""","Fox Run Elementary School","=""1032011""","Eligible for Free or Reduced-Price Meals","*","*"
"Norwalk School District","=""1030011""","Jefferson Magnet School","=""1030711""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Norwalk School District","=""1030011""","Kendall Elementary School","=""1030811""","Eligible for Free or Reduced-Price Meals","*","*"
"Norwalk School District","=""1030011""","Marvin Elementary School","=""1032211""","Eligible for Free or Reduced-Price Meals","*","*"
"Norwalk School District","=""1030011""","Naramake Elementary School","=""1032111""","Eligible for Free or Reduced-Price Meals","*","*"
"Norwalk School District","=""1030011""","Nathan Hale Middle School","=""1035211""","Eligible for Free or Reduced-Price Meals",32,12.3
"Norwalk School District","=""1030011""","Norwalk High School","=""1036111""","Eligible for Free or Reduced-Price Meals",126,19.9
"Norwalk School District","=""1030011""","Norwalk Pathways Academy at Briggs","=""1036311""","Eligible for Free or Reduced-Price Meals",19,33.9
"Norwalk School District","=""1030011""","Ponus Ridge Middle School","=""1035311""","Eligible for Free or Reduced-Price Meals",47,11.6
"Norwalk School District","=""1030011""","Roton Middle School","=""1035511""","Eligible for Free or Reduced-Price Meals",36,15.7
"Norwalk School District","=""1030011""","Rowayton School","=""1031311""","Eligible for Free or Reduced-Price Meals","*","*"
"Norwalk School District","=""1030011""","Silvermine Elementary School","=""1032311""","Eligible for Free or Reduced-Price Meals","*","*"
"Norwalk School District","=""1030011""","Tracey School","=""1031411""","Eligible for Free or Reduced-Price Meals","*","*"
"Norwalk School District","=""1030011""","West Rocks Middle School","=""1035411""","Eligible for Free or Reduced-Price Meals",98,27.3
"Norwalk School District","=""1030011""","Wolfpit School","=""1032411""","Eligible for Free or Reduced-Price Meals","*","*"
"Southington School District","=""1310011""","Derynoski Elementary School","=""1311511""","Eligible for Free or Reduced-Price Meals","*","*"
"Southington School District","=""1310011""","Flanders Elementary School","=""1311311""","Eligible for Free or Reduced-Price Meals","*","*"
"Southington School District","=""1310011""","Hatton Elementary School","=""1310211""","Eligible for Free or Reduced-Price Meals","*","*"
"Southington School District","=""1310011""","John F. Kennedy Middle School","=""1315311""","Eligible for Free or Reduced-Price Meals",15,11.7
"Southington School District","=""1310011""","Joseph A. Depaolo Middle School","=""1315111""","Eligible for Free or Reduced-Price Meals",15,13.4
"Southington School District","=""1310011""","Plantsville Elementary School","=""1310611""","Eligible for Free or Reduced-Price Meals","*","*"
"Southington School District","=""1310011""","South End Elementary School","=""1310711""","Eligible for Free or Reduced-Price Meals","*","*"
"Southington School District","=""1310011""","Southington High School","=""1316211""","Eligible for Free or Reduced-Price Meals",44,13.9
"Southington School District","=""1310011""","Strong Elementary School","=""1310811""","Eligible for Free or Reduced-Price Meals","*","*"
"Southington School District","=""1310011""","Thalberg Elementary School","=""1310911""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Southington School District","=""1310011""","Urbin T. Kelley School","=""1311411""","Eligible for Free or Reduced-Price Meals","*","*"
"South Windsor School District","=""1320011""","Eli Terry School","=""1320711""","Eligible for Free or Reduced-Price Meals","*","*"
"South Windsor School District","=""1320011""","Orchard Hill School","=""1320611""","Eligible for Free or Reduced-Price Meals","*","*"
"South Windsor School District","=""1320011""","Philip R. Smith School","=""1320111""","Eligible for Free or Reduced-Price Meals","N/A","*"
"South Windsor School District","=""1320011""","Pleasant Valley School","=""1320211""","Eligible for Free or Reduced-Price Meals","*","*"
"South Windsor School District","=""1320011""","South Windsor High School","=""1326211""","Eligible for Free or Reduced-Price Meals",30,20.3
"South Windsor School District","=""1320011""","Timothy Edwards School","=""1325111""","Eligible for Free or Reduced-Price Meals",14,10.6
"South Windsor School District","=""1320011""","Wapping Elementary School","=""1320411""","Eligible for Free or Reduced-Price Meals","*","*"
"Wallingford School District","=""1480011""","A.R.T.S. Academy","=""1489011""","Eligible for Free or Reduced-Price Meals","*","*"
"Wallingford School District","=""1480011""","Cook Hill School","=""1481011""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Wallingford School District","=""1480011""","Dag  Hammarskjold Middle School","=""1485211""","Eligible for Free or Reduced-Price Meals",24,14.8
"Wallingford School District","=""1480011""","Evarts C. Stevens School","=""1480911""","Eligible for Free or Reduced-Price Meals","*","*"
"Wallingford School District","=""1480011""","Harvest Park","=""1489211""","Eligible for Free or Reduced-Price Meals","N/A","*"
"Wallingford School District","=""1480011""","Highland School","=""1480211""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Wallingford School District","=""1480011""","James H. Moran Middle School","=""1485311""","Eligible for Free or Reduced-Price Meals",17,13.6
"Wallingford School District","=""1480011""","Lyman Hall High School","=""1486111""","Eligible for Free or Reduced-Price Meals",46,20.4
"Wallingford School District","=""1480011""","Mark T. Sheehan High School","=""1486211""","Eligible for Free or Reduced-Price Meals",16,12.8
"Wallingford School District","=""1480011""","Moses Y. Beach School","=""1480111""","Eligible for Free or Reduced-Price Meals","*","*"
"Wallingford School District","=""1480011""","Multi-Vocational Life Skills Program","=""1489111""","Eligible for Free or Reduced-Price Meals","N/A","*"
"Wallingford School District","=""1480011""","Parker Farms School","=""1480311""","Eligible for Free or Reduced-Price Meals","*","*"
"Wallingford School District","=""1480011""","Pond Hill School","=""1481211""","Eligible for Free or Reduced-Price Meals","*","*"
"Wallingford School District","=""1480011""","Rock Hill School","=""1480411""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Wallingford School District","=""1480011""","Yalesville School","=""1480811""","Eligible for Free or Reduced-Price Meals","*","*"
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Eligible for Free or Reduced-Price Meals","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Eligible for Free or Reduced-Price Meals",44,12.4
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Eligible for Free or Reduced-Price Meals",84,23.0
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Eligible for Free or Reduced-Price Meals",9,2.1
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Eligible for Free or Reduced-Price Meals",7,1.5
"Avon School District","=""0040011""","Avon High School","=""0046111""","Eligible for Free or Reduced-Price Meals",16,22.5
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Eligible for Free or Reduced-Price Meals",6,20.7
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Eligible for Free or Reduced-Price Meals","*","*"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Eligible for Free or Reduced-Price Meals","*","*"
"Cheshire School District","=""0250011""","Chapman School","=""0250111""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","Eligible for Free or Reduced-Price Meals",23,18.9
"Cheshire School District","=""0250011""","Dodd Middle School","=""0255111""","Eligible for Free or Reduced-Price Meals",7,9.3
"Cheshire School District","=""0250011""","Doolittle School","=""0250611""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Cheshire School District","=""0250011""","Highland School","=""0250411""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Cheshire School District","=""0250011""","Humiston School","=""0259011""","Eligible for Free or Reduced-Price Meals","*","*"
"Cheshire School District","=""0250011""","Norton School","=""0250511""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Chester School District","=""0260011""","Chester Elementary School","=""0260111""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Clinton School District","=""0270011""","Abraham Pierson School","=""0270111""","Eligible for Free or Reduced-Price Meals","*","*"
"Clinton School District","=""0270011""","Jared Eliot School","=""0275111""","Eligible for Free or Reduced-Price Meals",6,5.9
"Clinton School District","=""0270011""","Lewin G. Joel Jr. School","=""0270311""","Eligible for Free or Reduced-Price Meals","*","*"
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","Eligible for Free or Reduced-Price Meals",31,28.2
"Colebrook School District","=""0290011""","Colebrook Consolidated School","=""0290111""","Eligible for Free or Reduced-Price Meals","*","*"
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""","Eligible for Free or Reduced-Price Meals","*","*"
"Fairfield School District","=""0510011""","Burr Elementary School","=""0510211""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Fairfield School District","=""0510011""","Dwight Elementary School","=""0510111""","Eligible for Free or Reduced-Price Meals","N/A","*"
"Fairfield School District","=""0510011""","Early Childhood Center","=""0518011""","Eligible for Free or Reduced-Price Meals","N/A","*"
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""","Eligible for Free or Reduced-Price Meals",15,13.8
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""","Eligible for Free or Reduced-Price Meals",21,9.6
"Fairfield School District","=""0510011""","Fairfield Woods Middle School","=""0515211""","Eligible for Free or Reduced-Price Meals",8,8.3
"Fairfield School District","=""0510011""","Holland Hill School","=""0510411""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Fairfield School District","=""0510011""","Jennings School","=""0511711""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Fairfield School District","=""0510011""","McKinley School","=""0510611""","Eligible for Free or Reduced-Price Meals","*","*"
"Fairfield School District","=""0510011""","Mill Hill School","=""0510711""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Fairfield School District","=""0510011""","North Stratfield School","=""0511611""","Eligible for Free or Reduced-Price Meals","*","*"
"Fairfield School District","=""0510011""","Osborn Hill School","=""0511811""","Eligible for Free or Reduced-Price Meals","N/A","*"
"Fairfield School District","=""0510011""","Riverfield School","=""0511211""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Fairfield School District","=""0510011""","Roger Ludlowe Middle School","=""0515311""","Eligible for Free or Reduced-Price Meals","*","*"
"Fairfield School District","=""0510011""","Sherman School","=""0511311""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Fairfield School District","=""0510011""","Stratfield School","=""0511411""","Eligible for Free or Reduced-Price Meals","N/A","*"
"Fairfield School District","=""0510011""","Tomlinson Middle School","=""0515111""","Eligible for Free or Reduced-Price Meals",8,6.1
"Hartford School District","=""0640011""","Asian Studies Academy","=""0640711""","Eligible for Free or Reduced-Price Meals",121,18.4
"Hartford School District","=""0640011""","Batchelder School","=""0640411""","Eligible for Free or Reduced-Price Meals",122,22.6
"Hartford School District","=""0640011""","Breakthrough II Elementary School","=""0643511""","Eligible for Free or Reduced-Price Meals",6,4.0
"Hartford School District","=""0640011""","Breakthrough Magnet School","=""0643311""","Eligible for Free or Reduced-Price Meals","*","*"
"Hartford School District","=""0640011""","Bulkeley High School Lower School","=""0646111""","Eligible for Free or Reduced-Price Meals",41,7.8
"Hartford School District","=""0640011""","Bulkeley High School Upper School","=""0647111""","Eligible for Free or Reduced-Price Meals",75,19.8
"Hartford School District","=""0640011""","Burns Latino Studies Academy","=""0640611""","Eligible for Free or Reduced-Price Meals",201,35.2
"Hartford School District","=""0640011""","Burr School","=""0642311""","Eligible for Free or Reduced-Price Meals",78,11.1
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""","Eligible for Free or Reduced-Price Meals",68,17.0
"Hartford School District","=""0640011""","Clark School","=""0642411""","Eligible for Free or Reduced-Price Meals",119,31.0
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""","Eligible for Free or Reduced-Price Meals",80,25.6
"Hartford School District","=""0640011""","Culinary Arts Academy","=""0646011""","Eligible for Free or Reduced-Price Meals",57,20.7
"Hartford School District","=""0640011""","Dr. James H Naylor/CCSU Leadership Academy","=""0641411""","Eligible for Free or Reduced-Price Meals",41,5.9
"Hartford School District","=""0640011""","Dr. Ramon E. Betances Early Reading Lab","=""0642811""","Eligible for Free or Reduced-Price Meals",12,6.3
"Hartford School District","=""0640011""","Environmental Sciences Magnet School at Mary M Hooker","=""0640911""","Eligible for Free or Reduced-Price Meals",47,8.0
"Hartford School District","=""0640011""","Expeditionary Learning Academy at Moylan School","=""0643211""","Eligible for Free or Reduced-Price Meals",22,3.6
"Hartford School District","=""0640011""","Fred D. Wish Museum School","=""0642211""","Eligible for Free or Reduced-Price Meals",82,23.8
"Hartford School District","=""0640011""","Global Communications Academy","=""0643611""","Eligible for Free or Reduced-Price Meals",59,12.1
"Hartford School District","=""0640011""","Great Path Academy High School at MCC","=""0647911""","Eligible for Free or Reduced-Price Meals",60,42.6
"Hartford School District","=""0640011""","HPHS Academy of Engineering and Green Technology","=""0647211""","Eligible for Free or Reduced-Price Meals",196,48.3
"Hartford School District","=""0640011""","HPHS Academy of Nursing and Health Science","=""0647511""","Eligible for Free or Reduced-Price Meals",155,36.2
"Hartford School District","=""0640011""","HPHS Law and Government Academy","=""0647411""","Eligible for Free or Reduced-Price Meals",99,21.2
"Hartford School District","=""0640011""","Hartford Magnet Trinity College Academy","=""0645411""","Eligible for Free or Reduced-Price Meals",100,20.0
"Hartford School District","=""0640011""","Hartford PreKindergarten Magnet School","=""0641311""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Hartford School District","=""0640011""","Hartford Transitional Learning Academy (Elementary)","=""0649011""","Eligible for Free or Reduced-Price Meals",19,43.2
"Hartford School District","=""0640011""","High School Inc.","=""0647611""","Eligible for Free or Reduced-Price Meals",100,39.5
"Hartford School District","=""0640011""","Journalism and Media Academy Magnet School","=""0647711""","Eligible for Free or Reduced-Price Meals",87,60.8
"Hartford School District","=""0640011""","Kennelly School","=""0641011""","Eligible for Free or Reduced-Price Meals",123,18.4
"Hartford School District","=""0640011""","M. D. Fox Elementary School","=""0640811""","Eligible for Free or Reduced-Price Meals",133,23.3
"Hartford School District","=""0640011""","M. L. King School","=""0641611""","Eligible for Free or Reduced-Price Meals",88,24.2
"Hartford School District","=""0640011""","McDonough Expeditionary Learning School","=""0641211""","Eligible for Free or Reduced-Price Meals",118,38.8
"Hartford School District","=""0640011""","Milner Elementary School","=""0641911""","Eligible for Free or Reduced-Price Meals",129,32.8
"Hartford School District","=""0640011""","Montessori Magnet School at Annie Fisher","=""0643711""","Eligible for Free or Reduced-Price Meals","*","*"
"Hartford School District","=""0640011""","Montessori Magnet at Moylan School","=""0640511""","Eligible for Free or Reduced-Price Meals","*","*"
"Hartford School District","=""0640011""","Noah Webster Micro Society School","=""0642011""","Eligible for Free or Reduced-Price Meals",51,14.7
"Hartford School District","=""0640011""","OPPortunity High School","=""0647811""","Eligible for Free or Reduced-Price Meals","N/A","N/A"
"Hartford School District","=""0640011""","Parkville Community School","=""0641511""","Eligible for Free or Reduced-Price Meals",62,11.2
"Hartford School District","=""0640011""","Pathways Academy of Technology and Design","=""0646611""","Eligible for Free or Reduced-Price Meals",45,25.1
"Hartford School District","=""0640011""","R.J. Kinsella Magnet School of Performing Arts","=""0641111""","Eligible for Free or Reduced-Price Meals",48,6.1
"Hartford School District","=""0640011""","Renzulli Academy","=""0644011""","Eligible for Free or Reduced-Price Meals","*","*"
"Hartford School District","=""0640011""","SAND School","=""0640111""","Eligible for Free or Reduced-Price Meals",141,30.4
"Hartford School District","=""0640011""","STEM Magnet School at Annie Fisher","=""0642511""","Eligible for Free or Reduced-Price Meals",54,29.7
"Hartford School District","=""0640011""","STEM Magnet School at Dwight","=""0643811""","Eligible for Free or Reduced-Price Meals",17,18.1
"Hartford School District","=""0640011""","Sanchez School","=""0643011""","Eligible for Free or Reduced-Price Meals",43,8.8
