"Overall Expenditures, Trend"
"All Districts"

"",,"Year",,,,
,="Plant Operation and Maintenance",N/A,N/A,N/A,N/A,289187
,="Transportation",N/A,N/A,N/A,N/A,9562
,="Students Tuitioned Out",N/A,N/A,N/A,N/A,N/A
,"Other",N/A,N/A,N/A,N/A,3599
,="Total Expenditures",N/A,N/A,N/A,N/A,1588924
="Bozrah School District",="Instructional Staff and Services",2230586,2250419,2337093,2518670,2402764
,="Instructional Supplies and Equipment",118791,73084,93374,161374,84254
,="Instruction and Educational Media Services",34521,37554,37979,36126,43464
,="Student Support Services",190830,195513,209194,209614,220633
,="Administration and Support Services",433450,427895,434214,437135,430251
,="Plant Operation and Maintenance",308470,341611,360277,407083,428716
,="Transportation",362284,339127,351321,340958,344579
,="Students Tuitioned Out",506575,401979,381861,334454,410486
,="Other",0,17290,10177,0,13808
,="Total Expenditures",4185507,4084472,4215490,4445414,4378955
="Branford School District",="Instructional Staff and Services",29515869,30299249,30541069,29900579,30307538
,="Instructional Supplies and Equipment",1335321,933157,951286,1182496,1008278
,="Instruction and Educational Media Services",1900733,1904008,2143713,2326136,2459872
,="Student Support Services",3058755,3094510,3183317,3366533,3580773
,="Administration and Support Services",4148696,4460558,4535282,5088951,5552487
,="Plant Operation and Maintenance",4022559,4119775,4274172,4854542,4423188
,="Transportation",2939568,2856959,2967960,2995782,2883326
,="Students Tuitioned Out",3015027,2982421,3121786,3119879,2788469
,="Other",977531,1010824,1106061,1145750,1159209
,="Total Expenditures",50914059,51661461,52824646,53980648,54163140
="Brass City Charter School District",="Instructional Staff and Services",N/A,N/A,N/A,541267,1021407
,="Instructional Supplies and Equipment",N/A,N/A,N/A,121923,173053
,="Instruction and Educational Media Services",N/A,N/A,N/A,23508,20301
,="Student Support Services",N/A,N/A,N/A,14700,15575
,="Administration and Support Services",N/A,N/A,N/A,327378,499695
,="Plant Operation and Maintenance",N/A,N/A,N/A,156639,217096
,="Transportation",N/A,N/A,N/A,930,2260
,="Students Tuitioned Out",N/A,N/A,N/A,N/A,N/A
,"Other",N/A,N/A,N/A,114490,127140
,="Total Expenditures",N/A,N/A,N/A,1300835,2076527
="Bridgeport Achievement First District",="Instructional Staff and Services",2184618,3641630,4296591,5654792,6341480
,="Instructional Supplies and Equipment",472954,213038,314280,493589,452178
,="Instruction and Educational Media Services",907078,154918,260310,279019,415007
,="Student Support Services",407166,592504,833000,958828,700097
,="Administration and Support Services",1120287,2178687,2373137,2622743,2707177
,="Plant Operation and Maintenance",141262,296653,349622,401299,501297
,="Transportation",33517,64047,105261,140326,250828
,="Students Tuitioned Out",N/A,N/A,N/A,N/A,N/A
,"Other",282917,377949,439266,558214,628968
,="Total Expenditures",5549799,7519426,8971467,11108810,11997032
="Bridgeport School District",="Instructional Staff and Services",177852907,163125030,169092617,176667378,162144284
,="Instructional Supplies and Equipment",4052950,3861148,6753796,11700133,8967320
,="Instruction and Educational Media Services",5080338,4768779,4697396,4021582,7058028
,="Student Support Services",17805632,19538104,18587192,18452380,19397789
,="Administration and Support Services",22877169,25072815,26857775,27424935,37009609
,="Plant Operation and Maintenance",24759300,26211979,27629861,25293527,26323634
,="Transportation",15116507,15237854,15105275,17488407,18936887
,="Students Tuitioned Out",21051962,20890354,18234133,18681764,22500905
,="Other",978365,925569,928953,1043995,902815
,="Total Expenditures",289575130,279631632,287886998,300774101,303241271
="Bristol School District",="Instructional Staff and Services",65291611,65902039,62649926,65587827,68362491
,="Instructional Supplies and Equipment",1461476,1040266,984061,1357724,1183532
,="Instruction and Educational Media Services",5595849,4339203,4485590,4036685,4405968
,="Student Support Services",5334371,7171895,6844007,7375529,7777416
,="Administration and Support Services",9497162,7943229,8126011,8161594,8166191
,="Plant Operation and Maintenance",10311565,9690444,8912388,9903795,10264291
,="Transportation",5740427,6048724,6739248,7188103,7576708
,="Students Tuitioned Out",5818940,6698388,6882031,7759348,8171193
,="Other",2066621,2807173,3010647,2937399,2834104
,="Total Expenditures",111118022,111641361,108633909,114308004,118741894
="Brookfield School District",="Instructional Staff and Services",23070966,22562496,23549530,24302352,22456681
,="Instructional Supplies and Equipment",431179,351933,435284,593402,366561
,="Instruction and Educational Media Services",1789926,1917901,1961517,2064501,1765400
,="Student Support Services",2492350,2634509,2704143,2681944,2782338
,="Administration and Support Services",4025664,4085851,3957106,4495614,5111627
,="Plant Operation and Maintenance",3274445,2652716,3695974,2869625,2953124
,="Transportation",1974339,2062056,2048270,2280216,2741352
,="Students Tuitioned Out",112310,808354,870962,621580,1532862
,="Other",661053,976603,843764,704182,893089
,="Total Expenditures",37832232,38052419,40066550,40613416,40603034
="Brooklyn School District",="Instructional Staff and Services",7453096,7227060,7314294,7333678,7167793
,="Instructional Supplies and Equipment",165252,131144,100785,157896,208280
,="Instruction and Educational Media Services",174573,170018,192091,226417,273871
,="Student Support Services",706329,726940,727181,828345,968217
,="Administration and Support Services",924513,910252,962002,958303,1006758
,="Plant Operation and Maintenance",1070153,1221526,1227313,1208156,1327075
,="Transportation",1072432,1131119,1125384,1156918,1092625
,="Students Tuitioned Out",685657,787921,936307,1087695,827458
,="Other",73829,823,150,0,38575
,="Total Expenditures",12325834,12306803,12585507,12957408,12910652
="Canaan School District",="Instructional Staff and Services",1339639,1270203,1308566,1280526,1304305
,="Instructional Supplies and Equipment",46300,32502,40037,43514,32325
,="Instruction and Educational Media Services",55834,28834,41879,38969,74068
,="Student Support Services",116723,108103,110600,104947,108025
,="Administration and Support Services",271351,264683,290473,281735,301203
,="Plant Operation and Maintenance",179613,192408,191927,259451,230401
,="Transportation",132304,130229,135068,133412,147334
,="Students Tuitioned Out",0,0,0,0,213
,="Other",14655,17807,12618,12470,12044
,="Total Expenditures",2156419,2044769,2131168,2155024,2209918
="Canterbury School District",="Instructional Staff and Services",4599938,4760369,4937043,4918129,5105965
,="Instructional Supplies and Equipment",221308,115287,109406,127908,89658
,="Instruction and Educational Media Services",73089,73878,79127,74424,111329
,="Student Support Services",440465,469071,478886,499530,475097
,="Administration and Support Services",851829,762578,827529,848716,860861
,="Plant Operation and Maintenance",1346320,1148546,2021986,1109296,1205970
,="Transportation",910777,957664,1004155,881614,693789
,="Students Tuitioned Out",548772,652895,772301,932481,934437
,="Other",26174,28603,39685,33628,32720
,="Total Expenditures",9018672,8968891,10270118,9425726,9509826
="Canton School District",="Instructional Staff and Services",11856616,12612888,12985708,12900895,13031307
,="Instructional Supplies and Equipment",436675,364901,368451,745548,673720
,="Instruction and Educational Media Services",535914,546546,599577,583553,556324
,="Student Support Services",2966119,2938539,3183209,3230116,3371545
,="Administration and Support Services",2359452,2573705,2852881,2775050,2745072
,="Plant Operation and Maintenance",2573468,2425951,2346425,2253655,2423143
,="Transportation",1334819,1456008,1601097,1593443,1538154
,="Students Tuitioned Out",1116201,1191832,955721,970634,1078069
,="Other",619061,460235,457714,917995,1130792
,="Total Expenditures",23798325,24570605,25350783,25970889,26548126
="Chaplin School District",="Instructional Staff and Services",1967652,1899105,2009934,2136076,2200277
,="Instructional Supplies and Equipment",80779,87028,63544,99932,43362
,="Instruction and Educational Media Services",192700,151683,138895,144126,119975
,="Student Support Services",260199,258725,258692,300573,309321
,="Administration and Support Services",354233,345301,356291,338661,372477
,="Plant Operation and Maintenance",311304,334662,288462,286283,330222
,="Transportation",208555,217131,222129,222557,234851
,="Students Tuitioned Out",0,1672,9281,53404,109764
,="Other",5382,33476,12037,13950,11411
,="Total Expenditures",3380804,3328783,3359265,3595562,3731660
="Charter School for Young Children on Asylum Hill District",="Instructional Staff and Services",1781595,N/A,N/A,N/A,N/A
,"Instructional Supplies and Equipment",156690,N/A,N/A,N/A,N/A
,"Instruction and Educational Media Services",8643,N/A,N/A,N/A,N/A
,"Student Support Services",162580,N/A,N/A,N/A,N/A
,"Administration and Support Services",467743,N/A,N/A,N/A,N/A
,"Plant Operation and Maintenance",587606,N/A,N/A,N/A,N/A
,"Transportation",0,N/A,N/A,N/A,N/A
,"Students Tuitioned Out",N/A,N/A,N/A,N/A,N/A
,"Other",60327,N/A,N/A,N/A,N/A
,"Total Expenditures",3225184,N/A,N/A,N/A,N/A
"Cheshire School District","Instructional Staff and Services",36182060,36310503,36820704,37531994,39852145
,="Instructional Supplies and Equipment",1183900,1029410,1105899,1560098,1066157
,="Instruction and Educational Media Services",2184323,2330901,2525279,2595062,2675819
,="Student Support Services",3983831,3924799,3965440,3973568,4010271
,="Administration and Support Services",6007045,6099621,6132097,6212393,6433172
,="Plant Operation and Maintenance",6287500,5956584,6192191,6321792,6257467
,="Transportation",3849769,4065193,3956037,4011422,3842473
,="Students Tuitioned Out",2099818,2089126,2251887,2206890,2572438
,="Other",875784,959916,973328,978440,996664
,="Total Expenditures",62654030,62766053,63922862,65391659,67706606
="Chester School District",="Instructional Staff and Services",2415990,2342683,2309394,2250518,2198570
,="Instructional Supplies and Equipment",63948,95692,63684,128058,92984
,="Instruction and Educational Media Services",36856,30214,28081,38305,43755
,="Student Support Services",646830,600136,581094,607721,630994
,="Administration and Support Services",670708,629980,623474,632018,594894
,="Plant Operation and Maintenance",383343,390638,460119,482286,450277
,="Transportation",142865,152475,152403,137236,135625
,="Students Tuitioned Out",16455,31143,68442,9638,18562
,="Other",0,0,33808,42252,63651
,="Total Expenditures",4376995,4272961,4320499,4328032,4229312
="Clinton School District",="Instructional Staff and Services",19165924,18789624,19387815,19305103,20567558
,="Instructional Supplies and Equipment",1232185,1420617,908056,1123223,383589
,="Instruction and Educational Media Services",653718,582321,452789,655042,658692
,="Student Support Services",2124954,1963955,2112561,1996232,1969879
,="Administration and Support Services",2633644,2554101,2615727,2955956,2973562
,="Plant Operation and Maintenance",2124557,2398823,2266303,2398036,2700041
,="Transportation",1533252,1488627,1673621,1583925,1631019
,="Students Tuitioned Out",1511659,1468858,1201432,1167803,1167803
,="Other",154817,152660,111351,158542,135755
,="Total Expenditures",31134710,30819586,30729655,31343862,32187898
="Colchester School District",="Instructional Staff and Services",22105615,22111498,22258338,22649592,22337829
,="Instructional Supplies and Equipment",538580,510529,465101,1053227,712307
,="Instruction and Educational Media Services",533593,753087,683839,854751,824879
,="Student Support Services",2690388,2945053,3110785,3247524,3108239
,="Administration and Support Services",3711645,3670247,3864126,4254650,4512440
,="Plant Operation and Maintenance",3334850,3696997,3697155,3729473,4215815
,="Transportation",2591082,2691963,2672377,2596093,2685566
,="Students Tuitioned Out",2039292,1904199,2206891,2116885,2377942
,="Other",366204,453388,448608,480605,459684
,="Total Expenditures",37911249,38736961,39407220,40982800,41234701
="Colebrook School District",="Instructional Staff and Services",1113986,1140258,1070715,1090568,1167919
,="Instructional Supplies and Equipment",10263,18635,27281,19166,20834
,="Instruction and Educational Media Services",30357,39365,15482,16266,21184
,="Student Support Services",36557,37400,40468,39215,39646
,="Administration and Support Services",260659,261658,326678,301065,298222
,="Plant Operation and Maintenance",169996,158312,179824,203833,209951
,="Transportation",95273,93410,96647,104103,120039
,="Students Tuitioned Out",162952,101640,49724,73676,73993
,="Other",11877,15180,15379,14198,9522
,="Total Expenditures",1891920,1865858,1822198,1862090,1961310
="Columbia School District",="Instructional Staff and Services",4022799,3814526,3610373,3899036,3865952
,="Instructional Supplies and Equipment",254014,76130,144910,162980,138362
,="Instruction and Educational Media Services",148759,171481,101519,103487,105628
,="Student Support Services",1734195,1636881,1625691,1709755,1755124
,="Administration and Support Services",899381,937632,973863,785318,745332
,="Plant Operation and Maintenance",421790,563339,592578,1306369,1298982
,="Transportation",740546,793985,681630,709958,721634
,="Students Tuitioned Out",434684,590402,696780,760285,780351
,="Other",408294,413542,409675,377509,364239
,="Total Expenditures",9064462,8997918,8837019,9814697,9775604
="Common Ground High School District",="Instructional Staff and Services",1017957,1113969,1015744,1042985,1196809
,="Instructional Supplies and Equipment",152009,58406,66949,52095,43311
,="Instruction and Educational Media Services",196210,254428,270258,384981,520669
,="Student Support Services",86015,114335,194816,264650,177205
,="Administration and Support Services",490370,400752,554029,558692,575090
,="Plant Operation and Maintenance",163877,203808,118150,141142,162405
,="Transportation",9235,9666,11845,6391,7064
,="Students Tuitioned Out",N/A,N/A,N/A,N/A,N/A
,"Other",187431,223386,227030,248654,261001
,="Total Expenditures",2303104,2378750,2458821,2699590,2943554
="Cornwall School District",="Instructional Staff and Services",1598146,1675882,1663487,1743544,1874316
,="Instructional Supplies and Equipment",84674,70332,66196,58829,46740
,="Instruction and Educational Media Services",110188,114646,84142,73219,90553
,="Student Support Services",161482,165653,160575,134017,115846
,="Administration and Support Services",352603,359821,407880,384278,388651
,="Plant Operation and Maintenance",318176,326982,314232,315144,330758
,="Transportation",277929,281872,279958,278999,302468
,="Students Tuitioned Out",57522,61773,76315,0,0
,="Other",0,0,739,631,864
,="Total Expenditures",2960720,3056961,3053524,2988661,3150196
="Coventry School District",="Instructional Staff and Services",15363830,16557296,15998216,16033783,16545638
,="Instructional Supplies and Equipment",409210,426730,615443,843173,524040
,="Instruction and Educational Media Services",146939,180106,194699,409529,354123
,="Student Support Services",1423463,1360118,1444077,1616537,1564300
,="Administration and Support Services",2299988,2393169,2404548,2646636,2781800
,="Plant Operation and Maintenance",2598766,2930459,2291265,2605090,2611111
,="Transportation",1709148,1959136,1923504,1833924,1800855
,="Students Tuitioned Out",1748139,2272954,1993171,1895442,1595360
,="Other",415312,302239,60687,30670,22414
,="Total Expenditures",26114795,28382207,26925610,27914784,27799641
="Cromwell School District",="Instructional Staff and Services",16783007,16969843,17106246,17708835,17456090
,="Instructional Supplies and Equipment",501466,748834,579732,509826,511914
,="Instruction and Educational Media Services",331642,304695,362889,305815,328605
,="Student Support Services",1338149,1376242,1312460,1432342,1430333
,="Administration and Support Services",2895801,2706889,2770877,2796893,3031807
,="Plant Operation and Maintenance",4006765,2879312,2779402,2758228,2744404
,="Transportation",1097210,1137976,1207485,1283452,1267251
,="Students Tuitioned Out",705970,787025,889837,1166777,1956330
,="Other",325659,338324,369624,388311,412617
,="Total Expenditures",27985669,27249140,27378552,28350479,29139351
="Danbury School District",="Instructional Staff and Services",85003933,84920568,86413862,89557803,91588394
,="Instructional Supplies and Equipment",3447232,2276318,2925438,3548092,3824445
,="Instruction and Educational Media Services",3661493,2270743,1822156,1999964,2197302
,="Student Support Services",6629347,6672697,6598044,6931540,6358806
,="Administration and Support Services",10597124,12453109,12653182,13096581,13564212
,="Plant Operation and Maintenance",9037601,10037293,7574464,11017169,11242822
,="Transportation",6828648,7203895,11114200,9132280,8184167
,="Students Tuitioned Out",2899823,2854456,2621474,2635389,3211984
,="Other",855264,712655,900920,973908,930842
,="Total Expenditures",128960465,129401734,132623740,138892726,141102974
="Darien School District",="Instructional Staff and Services",50062528,51611885,53710588,54074579,57451592
,="Instructional Supplies and Equipment",1198704,1257913,1284438,1633149,1978876
,="Instruction and Educational Media Services",3198399,3358585,3929425,4436186,4394289
,="Student Support Services",2782132,2889520,2590292,2768100,2703413
,="Administration and Support Services",6443188,6513834,6546613,7908795,7753042
,="Plant Operation and Maintenance",7095229,7050391,7671099,8499653,8641749
,="Transportation",2915273,3235029,3227693,3422126,3611913
,="Students Tuitioned Out",2523206,3191330,3308444,4422887,5345658
,="Other",1435776,1246643,1246503,1332952,1347101
,="Total Expenditures",77654435,80355130,83515095,88498427,93227633
="Deep River School District",="Instructional Staff and Services",2820864,2855394,3068925,3080383,2958721
,="Instructional Supplies and Equipment",56903,69659,87969,119988,66302
,="Instruction and Educational Media Services",54950,55632,61890,75345,82283
,="Student Support Services",665620,779878,789400,816381,792802
,="Administration and Support Services",666894,700497,694169,708894,678091
,="Plant Operation and Maintenance",514360,481879,492118,510778,546632
,="Transportation",287188,334681,278094,277323,248049
,="Students Tuitioned Out",401321,343236,191944,301163,330718
,="Other",0,0,19913,21960,84663
,="Total Expenditures",5468100,5620856,5684422,5912215,5788261
="Derby School District",="Instructional Staff and Services",10833399,10858642,11070216,11805695,12325703
,="Instructional Supplies and Equipment",238189,283731,331533,529869,996048
,="Instruction and Educational Media Services",179831,118206,180490,88946,13015
,="Student Support Services",1312695,1490858,1491478,1883730,1898971
,="Administration and Support Services",2531250,2275453,2527277,2481459,2618673
,="Plant Operation and Maintenance",2086224,2308741,2054654,2133786,6163751
,="Transportation",894591,942242,918841,957798,937630
,="Students Tuitioned Out",1716554,1832549,1644929,1601203,1731040
,="Other",233526,236821,185470,245571,214156
,="Total Expenditures",20026259,20347243,20404888,21728057,26898987
="East Granby School District",="Instructional Staff and Services",7987281,8246030,8441059,8196034,8583773
,="Instructional Supplies and Equipment",452397,595544,514514,568585,586829
,="Instruction and Educational Media Services",751447,686763,640427,910033,903314
,="Student Support Services",771282,726784,838200,842316,851489
,="Administration and Support Services",1694171,1698588,1872780,1878144,1870662
,="Plant Operation and Maintenance",1401397,1354166,1452538,1579102,1670948
,="Transportation",534982,541323,564281,637775,801507
,="Students Tuitioned Out",374334,429888,487678,665852,1147267
,="Other",199380,195081,252915,261769,200248
,="Total Expenditures",14166671,14474167,15064392,15539610,16616037
="East Haddam School District",="Instructional Staff and Services",10767957,10768175,10761376,11028326,11106304
,="Instructional Supplies and Equipment",587396,348592,458858,297486,597609
,="Instruction and Educational Media Services",395995,392655,330772,398205,418489
,="Student Support Services",1001281,1043597,1073712,1142671,1132936
,="Administration and Support Services",1982770,2062011,2010643,2255550,2222262
,="Plant Operation and Maintenance",2325156,2448061,2323045,2483880,2687139
,="Transportation",1258419,1223486,1220637,1314415,1317535
,="Students Tuitioned Out",1187466,1337209,1325395,1239255,1433103
,="Other",25000,50000,1310,8863,5634
,="Total Expenditures",19531440,19673786,19505748,20168651,20921011
="East Hampton School District",="Instructional Staff and Services",16523615,16598407,16711393,16898928,17699379
,="Instructional Supplies and Equipment",535669,411358,380581,424568,376705
,="Instruction and Educational Media Services",808697,798910,749617,892504,883460
,="Student Support Services",1828244,1772268,1740044,1846030,1797623
,="Administration and Support Services",2922423,3194702,3471407,3397490,3562201
,="Plant Operation and Maintenance",2915320,2649191,2808713,2678600,2474290
,="Transportation",1544315,1450399,1426314,1561493,1370868
,="Students Tuitioned Out",917445,847056,820385,1212881,1028873
,="Other",17888,609199,1787564,19300,13877
,="Total Expenditures",28013616,28331490,29896018,28931794,29207276
="East Hartford School District",="Instructional Staff and Services",64195671,64762941,65578001,66724188,63674064
,="Instructional Supplies and Equipment",1959812,1836576,1397266,2757991,1820920
,="Instruction and Educational Media Services",1558222,1304608,2117661,1030725,2596984
,="Student Support Services",3104429,3781878,3927500,6764058,9459086
,="Administration and Support Services",10909250,11835419,11970208,11850547,13751718
,="Plant Operation and Maintenance",9680051,8747126,9604323,11962005,12356008
,="Transportation",5476743,5302467,5659957,5649050,5380501
,="Students Tuitioned Out",4981257,5093241,5783436,6295689,7083838
,="Other",682810,697752,709521,99606,80975
,="Total Expenditures",102548245,103362008,106747873,113133859,116204094
="East Haven School District",="Instructional Staff and Services",25482918,25818619,25518579,25804592,27927427
,="Instructional Supplies and Equipment",397526,337983,391301,1146370,1060741
,="Instruction and Educational Media Services",269557,309796,132282,259256,741007
,="Student Support Services",4185115,4099789,4193142,4604718,4283497
,="Administration and Support Services",6958484,7257058,6394633,6156429,6143785
,="Plant Operation and Maintenance",4850887,3834814,3656148,3830487,3938789
,="Transportation",2698037,3201216,2844805,2775217,2921473
,="Students Tuitioned Out",4886565,5730085,5980509,6530767,4646307
,="Other",1014163,827133,893843,968588,1019165
,="Total Expenditures",50743252,51416493,50005242,52076424,52682191
="East Lyme School District",="Instructional Staff and Services",24823894,24878082,24902776,25703720,26315189
,="Instructional Supplies and Equipment",389036,478525,480898,502764,269419
,="Instruction and Educational Media Services",1682434,1719138,1835762,1895312,1749190
,="Student Support Services",1767693,2401504,2430727,2452273,2517067
,="Administration and Support Services",3501491,3777663,4047976,3967785,4152577
,="Plant Operation and Maintenance",4922608,5219003,5143782,5964305,5612363
,="Transportation",1866570,1628736,2002472,1747124,1778900
,="Students Tuitioned Out",1815991,1208092,1327753,1121078,915388
,="Other",735380,782559,815536,875344,1140401
,="Total Expenditures",41505097,42093302,42987682,44229705,44450494
="East Windsor School District",="Instructional Staff and Services",12022003,11986203,11654152,12183394,11824109
,="Instructional Supplies and Equipment",500467,533725,310760,176000,281555
