School Name,Organization Type,Organization Code,Location 1,Zipcode,Phone,PreKindergarten,Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Student Open Date,Interdistrict Magnet
Osborn Correctional Institution,State Agency Facilities,3361215,"P.O. Box 100
Somers, CT 06071
",06071,860-814-4783,0,0,0,0,0,0,0,0,0,0,1,1,1,1,01Jul2000 0:00:00.000,0
Robinson Correctional Institution,State Agency Facilities,3361315,"P.O. Box 1400
Enfield, CT 06083-1400
",06083-1400,860-253-8392,0,0,0,0,0,0,0,0,0,0,1,1,1,1,01Jul2000 0:00:00.000,0
River Valley Services,State Agency Facilities,3370815,"P.O. Box 351, Leak Hall
Middletown, CT 06457
",06457,860-262-7009,0,0,0,0,0,0,0,0,0,0,1,1,1,1,01Jul2007 0:00:00.000,0
Ansonia High School,Public Schools,0026111,"20 Pulaski Hwy.
Ansonia, CT 06401-2561
(41.329886, -73.064323)",06401-2561,203-736-5060,0,0,0,0,0,0,0,0,0,0,1,1,1,1,01Jul1984 0:00:00.000,0
Parkville Community School,Public Schools,0641511,"47 New Park Avenue
Hartford, CT 06106-2160
(41.755667, -72.706943)",06106-2160,860-695-4721,1,1,1,1,1,1,1,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Orville H. Platt High School,Public Schools,0806211,"220 Coe Ave.
Meriden, CT 06450-3812
(41.535027, -72.825752)",06450-3812,203-235-7963,0,0,0,0,0,0,0,0,0,0,1,1,1,1,01Jul1984 0:00:00.000,0
Smith Middle School,Public Schools,0545211,"216 Addison Rd.
Glastonbury, CT 06033
(41.722628, -72.58011)",06033,860-652-7040,0,0,0,0,0,0,0,0,1,1,0,0,0,0,01Jul1984 0:00:00.000,0
Jennings School,Public Schools,0950311,"50 Mercer Street
New London, CT 06320
(41.356847, -72.104394)",06320,860-447-6050,0,1,1,1,1,1,1,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Gideon Welles School,Public Schools,0540811,"1029 Neipsic Rd.
Glastonbury, CT 06033-2571
(41.700176, -72.546924)",06033-2571,860-652-7800,0,0,0,0,0,0,0,1,0,0,0,0,0,0,01Jul1997 0:00:00.000,0
Old Saybrook School District,Public School Districts,1060011,"50 Sheffield Street
Old Saybrook, CT 06475
(41.290462, -72.373106)",06475,860-395-3157,1,1,1,1,1,1,1,1,1,1,1,1,1,1,01Jul1996 0:00:00.000,0
Masuk High School,Public Schools,0856111,"1014 Monroe Tpke.
Monroe, CT 06468
(41.348325, -73.198254)",06468,203-452-5823,0,0,0,0,0,0,0,0,0,0,1,1,1,1,01Jul1984 0:00:00.000,0
Middletown High School,Public Schools,0836211,"200 LaRosa Lane
Middletown, CT 06457
(41.577654, -72.677039)",06457,860-704-4500,0,0,0,0,0,0,0,0,0,0,1,1,1,1,01Jul1984 0:00:00.000,0
East Hartford High School,Public Schools,0436211,"869 Forbes St.
East Hartford, CT 06118-1921
(41.752205, -72.605383)",06118-1921,860-622-5200,0,0,0,0,0,0,0,0,0,0,1,1,1,1,01Jul1984 0:00:00.000,0
Tolland Intermediate School,Public Schools,1420211,"96 Old Post RD
Tolland, CT 06084-3325
(41.869062, -72.375485)",06084-3325,860-870-6885,0,0,0,0,1,1,1,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
New Milford School District,Public School Districts,0960011,"50 East Street
New Milford, CT 06776
(41.580153, -73.408736)",06776,860-355-8406,1,1,1,1,1,1,1,1,1,1,1,1,1,1,01Jul1996 0:00:00.000,0
Lincoln-Bassett School,Public Schools,0932011,"130 Bassett St.
New Haven, CT 06511
(41.331629, -72.930943)",06511,475-220-8500,1,1,1,1,1,1,1,1,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Governor William Pitkin School,Public Schools,0432011,"330 Hills St.
East Hartford, CT 06118-2910
(41.742084, -72.590162)",06118-2910,860-622-5480,0,1,1,1,1,1,1,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Hallen School,Public Schools,0151211,"68 Omega Ave.
Bridgeport, CT 06606-3099
(41.21736, -73.191398)",06606-3099,203-576-8216,1,1,1,1,1,1,1,1,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Eli Terry Jr. Middle School,Public Schools,1115111,"21 North Main Street
Terryville, CT 06786-5328
(41.679296, -73.009293)",06786-5328,860-314-2790,0,0,0,0,0,0,0,1,1,1,0,0,0,0,01Jul1984 0:00:00.000,0
Rogers International School,Public Schools,1350811,"202 Blachley Road
Stamford, CT 06902
(41.053809, -73.514806)",06902,203-977-4560,0,1,1,1,1,1,1,1,1,1,0,0,0,0,01Jul1984 0:00:00.000,1
New Milford High School,Public Schools,0966111,"388 Danbury Rd.
New Milford, CT 06776
(41.527206, -73.423475)",06776,860-350-6647,0,0,0,0,0,0,0,0,0,0,1,1,1,1,01Jul1984 0:00:00.000,0
Northeast School,Public Schools,1460311,"69 East St.
Rockville, CT 06066-3837
(41.861552, -72.431697)",06066-3837,860-870-6080,1,1,1,1,1,1,1,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Westport School District,Public School Districts,1580011,"110 Myrtle Avenue
Westport, CT 06880
(41.145321, -73.360773)",06880,203-341-1025,1,1,1,1,1,1,1,1,1,1,1,1,1,1,01Jul1996 0:00:00.000,0
West Side Middle School,Public Schools,0595211,"250 Brandegee Avenue
Groton, CT 06340-5108
(41.338736, -72.06782)",06340-5108,860-449-5630,0,0,0,0,0,0,0,1,1,1,0,0,0,0,01Jul1984 0:00:00.000,0
Cornwall School District,Public School Districts,0310011,"246 WARREN No 1 TURNPIKE
Falls Village, CT 06031
(41.936234, -73.361111)",06031,860-672-6617,0,1,1,1,1,1,1,1,1,1,0,0,0,0,01Jul1996 0:00:00.000,0
J. F. Kennedy School,Public Schools,0841911,"404 West Ave.
Milford, CT 06460-3091
(41.215228, -73.089758)",06460-3091,203-783-3568,1,1,1,1,1,1,1,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
New Lebanon School,Public Schools,0570611,"25 Mead Ave.
Greenwich, CT 06830-6812
(41.001349, -73.656039)",06830-6812,203-531-9139,0,1,1,1,1,1,1,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Melissa Jones School,Public Schools,0600311,"181 Ledge Hill Rd.
Guilford, CT 06437-1024
(41.368368, -72.727377)",06437-1024,203-457-0773,0,1,1,1,1,1,0,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
The Morgan School,Public Schools,0276111,"71 Killingworth Tpke.
Clinton, CT 06413-1399
(41.300465, -72.533233)",06413-1399,860-664-6504,0,0,0,0,0,0,0,0,0,0,1,1,1,1,01Jul1984 0:00:00.000,0
A. Baldwin Middle School,Public Schools,0600711,"68 Bullard Dr.
Guilford, CT 06437-1553
(41.338773, -72.719403)",06437-1553,203-457-0222,0,0,0,0,0,0,1,1,0,0,0,0,0,0,01Jul1997 0:00:00.000,0
Danbury High School,Public Schools,0346111,"43 Clapboard Ridge Rd.
Danbury, CT 06811-4529
(41.415766, -73.472158)",06811-4529,203-797-4803,0,0,0,0,0,0,0,0,0,0,1,1,1,1,01Jul1984 0:00:00.000,0
Old Saybrook Middle School,Public Schools,1065211,"60 Sheffield St.
Old Saybrook, CT 06475-2307
(41.290215, -72.371614)",06475-2307,860-395-3168,0,0,0,0,0,1,1,1,1,1,0,0,0,0,01Jul1990 0:00:00.000,0
B. W. Tinker School,Public Schools,1512111,"809 Highland Ave.
Waterbury, CT 06708-4601
(41.535946, -73.051797)",06708-4601,203-574-8186,0,1,1,1,1,1,1,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Avon Middle School,Public Schools,0045111,"375 West Avon Rd.
Avon, CT 06001-2208
(41.79116, -72.862902)",06001-2208,860-404-4770,0,0,0,0,0,0,0,0,1,1,0,0,0,0,01Jul1984 0:00:00.000,0
North Branford High School,Public Schools,0996111,"49 Caputo Rd.
North Branford, CT 06471-1021
(41.334511, -72.802855)",06471-1021,203-484-1465,0,0,0,0,0,0,0,0,0,0,1,1,1,1,01Jul1984 0:00:00.000,0
Highland School,Public Schools,1480211,"200 Highland Avenue
Wallingford, CT 06492-2135
(41.488848, -72.841418)",06492-2135,203-294-3970,1,1,1,1,0,0,0,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
McDonough Middle School,Public Schools,0641211,"111 Hillside Avenue
Hartford, CT 06106-3545
(41.750387, -72.697814)",06106-3545,860-695-4260,0,0,0,0,0,0,0,1,1,1,0,0,0,0,01Jul1984 0:00:00.000,0
Dr. Helen Baldwin Middle School,Public Schools,0225111,"45 Westminster Rd.
Canterbury, CT 06331-1538
(41.697618, -71.977709)",06331-1538,860-546-9421,0,0,0,0,0,0,1,1,1,1,0,0,0,0,01Jul1997 0:00:00.000,0
Tashua School,Public Schools,1440911,"401 Stonehouse Rd.
Trumbull, CT 06611-1651
(41.275502, -73.241318)",06611-1651,203-452-4433,0,1,1,1,1,1,1,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
South Windsor High School,Public Schools,1326211,"161 Nevers Rd.
South Windsor, CT 06074-2129
(41.843168, -72.551702)",06074-2129,860-648-5000,0,0,0,0,0,0,0,0,0,0,1,1,1,1,01Jul1984 0:00:00.000,0
Hampton Elementary School,Public Schools,0630111,"380 Main St.
Hampton, CT 06247-1416
(41.791892, -72.059764)",06247-1416,860-455-9409,1,1,1,1,1,1,1,1,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Wilbur Cross High School,Public Schools,0936111,"181 Mitchell Dr.
New Haven, CT 06511
(41.321401, -72.905879)",06511,475-220-7400,0,0,0,0,0,0,0,0,0,0,1,1,1,1,01Jul1984 0:00:00.000,0
Parker Farms School,Public Schools,1480311,"30 Parker Farms Road
Wallingford, CT 06492-2972
(41.476303, -72.834112)",06492-2972,203-294-6200,0,0,0,0,1,1,1,0,0,0,0,0,0,0,01Jul1987 0:00:00.000,0
Northville Elementary School,Public Schools,0960811,"22 Hipp Rd.
New Milford, CT 06776-2221
(41.619538, -73.39444)",06776-2221,860-355-3713,1,1,1,1,0,0,0,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Gaffney School,Public Schools,0890511,"322 Slater Rd.
New Britain, CT 06053-3458
(41.675985, -72.811159)",06053-3458,860-225-6247,1,1,1,1,1,1,1,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Portland Middle School,Public Schools,1135111,"95 High Street
Portland, CT 06480
(41.577672, -72.626631)",06480,860-342-1880,0,0,0,0,0,0,0,0,1,1,0,0,0,0,01Jul1984 0:00:00.000,0
Verplanck School,Public Schools,0771211,"126 Olcott St.
Manchester, CT 06040-2632
(41.773722, -72.553471)",06040-2632,860-647-3383,0,1,1,1,1,1,1,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Whiting Lane School,Public Schools,1551311,"47 Whiting Ln.
West Hartford, CT 06119-1642
(41.762726, -72.724195)",06119-1642,860-233-8541,1,1,1,1,1,1,1,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Coleytown Elementary School,Public Schools,1580311,"65 Easton Rd.
Westport, CT 06880
(41.175605, -73.348329)",06880,203-341-1710,0,1,1,1,1,1,1,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Eli Whitney School,Public Schools,1381311,"1130 Huntington Rd.
Stratford, CT 06615-2738
(41.222153, -73.134796)",06615-2738,203-385-4198,0,1,1,1,1,1,1,1,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Guilford High School,Public Schools,0606111,"605 New England Rd.
Guilford, CT 06437-1838
(41.313761, -72.712302)",06437-1838,203-453-2741,0,0,0,0,0,0,0,0,0,0,1,1,1,1,01Jul1984 0:00:00.000,0
Waterbury Arts Magnet School (High),Public Schools,1516011,"16 South Elm St.
Waterbury, CT 06706
(41.554306, -73.037067)",06706,203-573-6300,0,0,0,0,0,0,0,0,0,0,1,1,1,1,01Jul2005 0:00:00.000,1
Geraldine Claytor Magnet Academy,Public Schools,0153111,"139 Ocean Terrace
Bridgeport, CT 06605
(41.160147, -73.21821)",06605,203-275-1285,1,1,1,1,1,1,1,1,1,1,0,0,0,0,02Jan2017 0:00:00.000,
Duffy School,Public Schools,1550611,"95 Westminster St.
West Hartford, CT 06107-3353
(41.746712, -72.752606)",06107-3353,860-521-0110,0,1,1,1,1,1,1,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Brownstone Intermediate School,Public Schools,1130511,"314 Main St.
Portland, CT 06480-1877
(41.577154, -72.637449)",06480-1877,860-342-6765,0,0,0,0,0,0,1,1,0,0,0,0,0,0,01Jul2004 0:00:00.000,0
Dunbar Hill School,Public Schools,0620311,"315 Lane St.
Hamden, CT 06514-2718
(41.365517, -72.941193)",06514-2718,203-407-2025,1,1,1,1,1,1,1,1,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Hooker School,Public Schools,0151311,"138 Roger Williams Rd.
Bridgeport, CT 06610-1398
(41.21666, -73.169914)",06610-1398,203-576-7185,0,1,1,1,1,1,1,1,1,1,0,0,0,0,01Jul1984 0:00:00.000,0
Stonington BOE Pre-School,Public Schools,1370111,"49 North Stonington Rd
Old Mystic, CT 06372
(41.394066, -71.958233)",06372,860-572-0506,1,0,0,0,0,0,0,0,0,0,0,0,0,0,01Jul2013 0:00:00.000,
King's Highway Elementary School,Public Schools,1580511,"125 Post Rd. West
Westport, CT 06880-4602
(41.136988, -73.368107)",06880-4602,203-341-1802,0,1,1,1,1,1,1,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Interdistrict Discovery Magnet School,Public Schools,0153711,"4510 Park Avenue
Bridgeport, CT 06606
(41.215005, -73.234126)",06606,203-275-1801,1,1,1,1,1,1,1,1,1,1,0,0,0,0,26Aug2010 0:00:00.000,1
Turn of River School,Public Schools,1355511,"117 Vine Rd.
Stamford, CT 06905-2016
(41.100629, -73.542998)",06905-2016,203-977-4284,0,0,0,0,0,0,0,1,1,1,0,0,0,0,01Jul1984 0:00:00.000,0
Nathan Hale School,Public Schools,0491111,"5 Taylor Rd.
Enfield, CT 06082-4001
(41.986573, -72.513472)",06082-4001,860-763-8899,0,1,1,1,0,0,0,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Suffield School District,Public School Districts,1390011,"350 Mountain Road
Suffield, CT 06078
(41.983642, -72.661559)",06078,860-668-3800,1,1,1,1,1,1,1,1,1,1,1,1,1,1,01Jul1996 0:00:00.000,0
Plymouth Center School,Public Schools,1110211,"107 North Street
Plymouth, CT 06782-2100
(41.679328, -73.052812)",06782-2100,860-283-6321,1,1,1,1,1,1,1,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Stafford School District,Public School Districts,1340011,"16 Levinthal Run
Stafford Springs, CT 06076
(41.968501, -72.305488)",06076,860-684-2208,1,1,1,1,1,1,1,1,1,1,1,1,1,1,01Jul1996 0:00:00.000,0
Putnam High School,Public Schools,1166111,"152 Woodstock Ave.
Putnam, CT 06260-1440
(41.923482, -71.915822)",06260-1440,860-963-6905,0,0,0,0,0,0,0,0,0,0,1,1,1,1,01Jul1984 0:00:00.000,0
Hebron School District,Public School Districts,0670011,"580 Gilead Street
Hebron, CT 06248
(41.674805, -72.408774)",06248,860-228-2577,1,1,1,1,1,1,1,1,0,0,0,0,0,0,01Jul1996 0:00:00.000,0
Sports and Medical Sciences Academy,Public Schools,0646511,"280 Huyshope Avenue
Hartford, CT 06106
(41.752365, -72.660526)",06106,860-695-6900,0,0,0,0,0,0,0,1,1,1,1,1,1,1,01Jul2002 0:00:00.000,1
Simsbury High School,Public Schools,1286111,"34 Farms Village Rd.
Simsbury, CT 06070-2320
(41.870041, -72.82272)",06070-2320,860-658-0451,0,0,0,0,0,0,0,0,0,0,1,1,1,1,01Jul1984 0:00:00.000,0
Connecticut IB Academy,Public Schools,0436311,"857 Forbes St.
East Hartford, CT 06118
(41.75256, -72.604839)",06118,860-622-5590,0,0,0,0,0,0,0,0,0,0,1,1,1,1,01Jul2003 0:00:00.000,1
Middlesex Middle School,Public Schools,0355111,"204 Hollow Tree Ridge Rd.
Darien, CT 06820-4023
(41.074267, -73.49862)",06820-4023,203-655-2518,0,0,0,0,0,0,0,1,1,1,0,0,0,0,01Jul1984 0:00:00.000,0
Rock Hill School,Public Schools,1480411,"910 Old Rock Hill Road
Wallingford, CT 06492-2528
(41.453778, -72.788669)",06492-2528,203-294-6260,0,0,0,0,1,1,1,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Colchester Elementary School,Public Schools,0280411,"315 Halls Hill Rd.
Colchester, CT 06415-1462
(41.57239, -72.318664)",06415-1462,860-537-0717,1,1,1,1,0,0,0,0,0,0,0,0,0,0,01Jul2006 0:00:00.000,0
South School,Public Schools,0900211,"8 Farm Rd.
New Canaan, CT 06840-6697
(41.130512, -73.490149)",06840-6697,203-594-4313,0,1,1,1,1,1,0,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Middlebrook School,Public Schools,1440311,"220 Middlebrooks Ave.
Trumbull, CT 06611-3015
(41.250313, -73.211738)",06611-3015,203-452-4411,0,1,1,1,1,1,1,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Moody School,Public Schools,0831211,"300 Country Club Rd.
Middletown, CT 06457-2302
(41.563293, -72.713603)",06457-2302,860-347-2561,0,1,1,1,1,1,1,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Forbes School,Public Schools,1430211,"500 Migeon Ave.
Torrington, CT 06790
(41.812235, -73.132824)",06790,860-489-2500,0,1,1,1,1,1,1,0,0,0,0,0,0,0,01Jul1986 0:00:00.000,0
Torrington School District,Public School Districts,1430011,"355 Migeon Avenue
Torrington, CT 06790
(41.809875, -73.130892)",06790,860-489-2327,1,1,1,1,1,1,1,1,1,1,1,1,1,1,01Jul1996 0:00:00.000,0
Weston Intermediate School,Public Schools,1570211,"95 School Rd.
Weston, CT 06883
(41.209678, -73.37992)",06883,203-291-2700,0,0,0,0,1,1,1,0,0,0,0,0,0,0,01Jul2005 0:00:00.000,0
Helen Street School,Public Schools,0620411,"285 Helen St.
Hamden, CT 06514-3235
(41.349579, -72.943521)",06514-3235,203-407-2030,1,1,1,1,1,1,1,1,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Burr School,Public Schools,0642311,"400 Wethersfield Avenue
Hartford, CT 06114-1414
(41.744899, -72.67309)",06114-1414,860-695-3080,1,1,1,1,1,1,1,1,1,1,0,0,0,0,01Jul1984 0:00:00.000,0
Henry James Memorial School,Public Schools,1285111,"155 Firetown Rd.
Simsbury, CT 06070-1962
(41.883278, -72.813383)",06070-1962,860-651-3341,0,0,0,0,0,0,0,0,1,1,0,0,0,0,01Jul1984 0:00:00.000,0
Highland School,Public Schools,0250411,"490 Highland Ave.
Cheshire, CT 06410-2518
(41.510608, -72.899313)",06410-2518,203-272-0335,0,1,1,1,1,1,1,1,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Thomaston High School,Public Schools,1406211,"185 Branch Rd.
Thomaston, CT 06787-1984
(41.657625, -73.092214)",06787-1984,860-283-3030,0,0,0,0,0,0,0,0,1,1,1,1,1,1,01Jul1984 0:00:00.000,0
Henry Barnard School,Public Schools,0491811,"27 Shaker Rd.
Enfield, CT 06082-3199
(42.002479, -72.563109)",06082-3199,860-253-6540,0,1,1,1,0,0,0,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
