"Chronic Absenteeism, Trend"
"All Districts, All Schools, Free/Reduced Price Meal Eligibility"

"",,,,,"% Chronically Absent",,,,
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","Not Eligible For Lunch",2.9,4.0,4.9,3.5,5.3
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","Eligible For Reduced Lunch","*","*","*","*","*"
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","Eligible For Free Lunch","*","*","*","*","*"
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","Not Eligible For Lunch",4.7,5.6,"*",4.7,1.9
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","Eligible For Reduced Lunch","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","Eligible For Free Lunch","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","Not Eligible For Lunch","*",4.3,3.8,"*","*"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","Eligible For Reduced Lunch","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","Bridges at Barkhamsted Elementary School","=""0050211""","Not Eligible For Lunch","N/A","N/A","N/A","N/A","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Eligible For Free Lunch","*","*","*","*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Not Eligible For Lunch",5.1,5.0,6.0,8.4,3.7
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Eligible For Reduced Lunch","*","*","*","*","*"
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","Eligible For Free Lunch","*","*","*","*","*"
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","Not Eligible For Lunch",6.0,6.0,2.6,1.8,"*"
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","Eligible For Reduced Lunch","*","*","*","*","*"
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","Eligible For Free Lunch","*","*","*","*",14.8
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","Not Eligible For Lunch",1.8,2.5,"*","*",1.9
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","Eligible For Reduced Lunch","*","*","*","*",0.0
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","Eligible For Free Lunch","*","*","*","*","*"
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","Not Eligible For Lunch","*","*","*","*","*"
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","Eligible For Reduced Lunch","*","*","*","*","*"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","Eligible For Free Lunch","*","*","*","*","*"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","Not Eligible For Lunch","*","*","*","*","*"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","Eligible For Reduced Lunch","*","*","*","*","*"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","Eligible For Free Lunch","*","*","*","*","*"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","Not Eligible For Lunch","*",4.8,4.5,"*",3.6
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","Eligible For Reduced Lunch","*","*","*","*","*"
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""","Eligible For Free Lunch","*","*","*","*",9.6
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""","Not Eligible For Lunch",4.7,"*",2.7,3.4,3.0
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""","Eligible For Reduced Lunch","*",0.0,"*","*",0.0
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Eligible For Free Lunch",21.0,"*","*","*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Not Eligible For Lunch",5.7,6.5,8.3,3.4,6.6
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Eligible For Reduced Lunch",13.0,"*","*","*","*"
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""","Eligible For Free Lunch","*","*","*","*","*"
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""","Not Eligible For Lunch",4.8,6.3,2.8,4.5,3.1
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""","Eligible For Reduced Lunch","*","*","*","*","*"
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""","Eligible For Free Lunch","*","*","*","*","*"
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""","Not Eligible For Lunch","*","*","*","*","*"
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""","Eligible For Reduced Lunch","*","*","*","*","*"
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""","Eligible For Free Lunch","*","*","*","*","*"
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""","Not Eligible For Lunch",2.2,5.1,12.9,"*",13.9
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""","Eligible For Reduced Lunch","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Eligible For Free Lunch",13.2,9.6,11.7,17.6,13.1
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Not Eligible For Lunch",7.1,"*","*","*","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Eligible For Reduced Lunch",13.2,"*","*","*","*"
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""","Eligible For Free Lunch",7.0,5.7,"*",6.9,6.6
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""","Not Eligible For Lunch",0.0,"*",0.0,"*","*"
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""","Eligible For Reduced Lunch",0.0,"*",0.0,"*","*"
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""","Eligible For Free Lunch",13.7,10.3,"*",10.7,6.3
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""","Not Eligible For Lunch","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""","Eligible For Reduced Lunch","*","*",0.0,"*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Eligible For Free Lunch","N/A","*",13.8,"*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Not Eligible For Lunch","N/A",14.3,11.1,"*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Eligible For Reduced Lunch","N/A","*",0.0,"*","*"
"Bloomfield School District","=""0110011""","J. P. Vincent School","=""0110311""","Eligible For Free Lunch",11.0,"N/A","N/A","N/A","N/A"
"Bloomfield School District","=""0110011""","J. P. Vincent School","=""0110311""","Not Eligible For Lunch","*","N/A","N/A","N/A","N/A"
"Bloomfield School District","=""0110011""","J. P. Vincent School","=""0110311""","Eligible For Reduced Lunch","*","N/A","N/A","N/A","N/A"
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""","Eligible For Free Lunch","N/A",11.4,"*",9.6,13.9
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""","Not Eligible For Lunch","N/A","*","*","*","*"
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""","Eligible For Reduced Lunch","N/A","*",0.0,"*","*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","Eligible For Free Lunch","N/A","*","*","*","*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","Not Eligible For Lunch","N/A","*","*","*","*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","Eligible For Reduced Lunch","N/A","N/A","*","*","N/A"
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""","Eligible For Free Lunch","*","*","*","*",5.3
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""","Not Eligible For Lunch","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""","Eligible For Reduced Lunch",0.0,"*",0.0,"*","*"
"Bloomfield School District","=""0110011""","SAGE","=""3480415""","Not Eligible For Lunch","N/A","N/A","N/A","N/A","*"
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""","Eligible For Free Lunch","*","N/A","N/A","N/A","N/A"
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""","Not Eligible For Lunch","*","N/A","N/A","N/A","N/A"
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""","Eligible For Reduced Lunch","*","N/A","N/A","N/A","N/A"
"Bloomfield School District","=""0110011""","Wintonbury Early Childhood Magnet School","=""0110811""","Eligible For Free Lunch","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Wintonbury Early Childhood Magnet School","=""0110811""","Not Eligible For Lunch","*","*",13.3,"*","*"
"Bloomfield School District","=""0110011""","Wintonbury Early Childhood Magnet School","=""0110811""","Eligible For Reduced Lunch","*","*","*","*","*"
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""","Eligible For Free Lunch","*","*","*","*","*"
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""","Not Eligible For Lunch",1.5,3.1,"*","*",1.9
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""","Eligible For Reduced Lunch","*","*","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Eligible For Free Lunch","*","*","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Not Eligible For Lunch","*","*",2.1,"*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Eligible For Reduced Lunch","*","*","*","*","*"
"Booker T. Washington Academy District","=""2950013""","Booker T. Washington Academy","=""2950113""","Eligible For Free Lunch","N/A","N/A","N/A",31.9,21.9
"Booker T. Washington Academy District","=""2950013""","Booker T. Washington Academy","=""2950113""","Not Eligible For Lunch","N/A","N/A","N/A","*","*"
"Booker T. Washington Academy District","=""2950013""","Booker T. Washington Academy","=""2950113""","Eligible For Reduced Lunch","N/A","N/A","N/A","*","*"
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","Eligible For Free Lunch","*","*","*","*","*"
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","Not Eligible For Lunch",5.1,5.9,5.0,"*","*"
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","Eligible For Reduced Lunch","*","*","*","*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","Eligible For Free Lunch","*","*",19.5,"*",13.5
"Branford School District","=""0140011""","Branford High School","=""0146111""","Not Eligible For Lunch",9.1,8.5,13.6,13.2,9.8
"Branford School District","=""0140011""","Branford High School","=""0146111""","Eligible For Reduced Lunch","*","*",12.5,"*",14.8
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""","Eligible For Free Lunch","N/A","N/A","N/A",58.6,81.5
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""","Not Eligible For Lunch","N/A","N/A","N/A","*","*"
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""","Eligible For Reduced Lunch","N/A","N/A","N/A","*","*"
"Branford School District","=""0140011""","Bridgeport Detention Center","=""3480115""","Eligible For Free Lunch","N/A","N/A","N/A","N/A","*"
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","Eligible For Free Lunch",13.3,18.5,"*","*",16.9
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","Not Eligible For Lunch",6.4,"*",5.0,5.7,"*"
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","Eligible For Reduced Lunch",7.4,"*","*","*","*"
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""","Eligible For Free Lunch",10.8,"*","*","*",7.5
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""","Not Eligible For Lunch",2.4,4.4,3.0,3.2,"*"
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""","Eligible For Reduced Lunch",0.0,"*","*","*","*"
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""","Eligible For Free Lunch","*","*","*","*","*"
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""","Not Eligible For Lunch",3.0,"*","*","*",4.9
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""","Eligible For Reduced Lunch","*","*","*","*","*"
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""","Eligible For Free Lunch","*","*","*",11.1,18.1
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""","Not Eligible For Lunch",3.9,4.0,6.2,"*","*"
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""","Eligible For Reduced Lunch","*","*","*","*","*"
"Brass City Charter School District","=""2900013""","Brass City Charter School","=""2900113""","Eligible For Free Lunch","N/A","N/A","*","*",9.3
"Brass City Charter School District","=""2900013""","Brass City Charter School","=""2900113""","Not Eligible For Lunch","N/A","N/A","*","*","*"
"Brass City Charter School District","=""2900013""","Brass City Charter School","=""2900113""","Eligible For Reduced Lunch","N/A","N/A","*","*","*"
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","Eligible For Free Lunch","*",3.3,"*",4.1,5.7
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","Not Eligible For Lunch","*","*","*","*",3.7
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","Eligible For Reduced Lunch",0.0,"*",0.0,"*",0.0
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""","Eligible For Free Lunch","N/A","N/A",12.1,15.5,17.1
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","Eligible For Free Lunch",22.7,23.9,26.0,21.7,24.7
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","Not Eligible For Lunch","*","N/A","N/A","N/A","N/A"
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""","Eligible For Reduced Lunch","*","N/A","N/A","N/A","N/A"
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Eligible For Free Lunch",39.3,39.3,41.4,42.9,42.2
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Not Eligible For Lunch","*","*","N/A","N/A","N/A"
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Eligible For Reduced Lunch","*","*","N/A","N/A","N/A"
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","Eligible For Free Lunch",18.2,16.1,17.9,17.7,14.2
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","Not Eligible For Lunch","*","N/A","N/A","N/A","N/A"
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""","Eligible For Reduced Lunch","*","N/A","N/A","N/A","N/A"
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""","Eligible For Free Lunch","N/A","N/A",12.0,4.1,11.3
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""","Eligible For Free Lunch",13.1,18.8,13.3,10.9,6.4
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""","Not Eligible For Lunch","*","N/A","N/A","N/A","N/A"
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""","Eligible For Free Lunch",13.5,"*",17.2,13.9,12.3
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""","Not Eligible For Lunch","*","N/A","N/A","N/A","N/A"
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""","Eligible For Reduced Lunch","*","*","N/A","N/A","N/A"
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","Eligible For Free Lunch","*","*",19.4,29.2,31.0
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","Not Eligible For Lunch","N/A","*","N/A","N/A","N/A"
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","Eligible For Reduced Lunch","*","*","N/A","N/A","N/A"
"Bridgeport School District","=""0150011""","Bridgeport Military Academy","=""0151611""","Eligible For Free Lunch","N/A","N/A",0.0,19.0,22.0
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""","Eligible For Free Lunch",16.7,21.5,17.2,14.0,14.0
"Bridgeport School District","=""0150011""","Career and Craftsmanship","=""0152711""","Eligible For Free Lunch","N/A","N/A","N/A","N/A",84.4
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Eligible For Free Lunch",23.0,55.5,32.4,19.1,16.5
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Not Eligible For Lunch",10.6,"*","N/A","N/A","N/A"
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Eligible For Reduced Lunch",18.3,"*","N/A","N/A","N/A"
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""","Eligible For Free Lunch","*","*",16.7,14.0,12.3
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""","Not Eligible For Lunch","*","*","N/A","N/A","N/A"
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""","Eligible For Reduced Lunch","*","*","N/A","N/A","N/A"
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""","Eligible For Free Lunch",6.1,"*",2.8,4.4,4.4
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""","Not Eligible For Lunch","*","N/A","N/A","N/A","N/A"
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""","Eligible For Reduced Lunch","*","*","N/A","N/A","N/A"
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""","Eligible For Free Lunch",21.7,33.2,28.1,"*",24.3
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""","Not Eligible For Lunch","*","*","N/A","*","N/A"
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""","Eligible For Reduced Lunch","*","*","N/A","N/A","N/A"
"Bridgeport School District","=""0150011""","Cross School","=""0153911""","Eligible For Free Lunch","*","*",25.7,28.2,30.4
"Bridgeport School District","=""0150011""","Cross School","=""0153911""","Not Eligible For Lunch","*","N/A","N/A","N/A","N/A"
"Bridgeport School District","=""0150011""","Cross School","=""0153911""","Eligible For Reduced Lunch","*","*","N/A","N/A","N/A"
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""","Eligible For Free Lunch","*","*",29.1,27.0,19.7
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""","Not Eligible For Lunch","*","N/A","N/A","N/A","N/A"
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""","Eligible For Reduced Lunch","*","*","N/A","N/A","N/A"
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""","Eligible For Free Lunch","*","*",30.4,28.7,26.6
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""","Not Eligible For Lunch","N/A","*","N/A","N/A","N/A"
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""","Eligible For Reduced Lunch","*","*","N/A","N/A","N/A"
"Bridgeport School District","=""0150011""","Edison School","=""0150711""","Eligible For Free Lunch",11.1,16.9,13.9,14.0,14.8
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""","Eligible For Free Lunch",8.6,"*",7.2,8.8,3.6
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""","Not Eligible For Lunch","*","*","N/A","N/A","N/A"
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""","Eligible For Reduced Lunch","*","*","N/A","N/A","N/A"
"Bridgeport School District","=""0150011""","Hall School","=""0151111""","Eligible For Free Lunch","*","*",16.3,13.8,8.6
"Bridgeport School District","=""0150011""","Hall School","=""0151111""","Not Eligible For Lunch","N/A","*","N/A","N/A","N/A"
"Bridgeport School District","=""0150011""","Hall School","=""0151111""","Eligible For Reduced Lunch","*","N/A","N/A","N/A","N/A"
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""","Eligible For Free Lunch","*",11.2,12.7,12.3,10.0
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""","Not Eligible For Lunch","*","N/A","N/A","N/A","N/A"
