"school_code","district_code","type","district","school","street","city","state","zip","phone","fax","website","education_program","program_type","inter_district_magnet","pre_kindergarten","kindergarten","grade_1","grade_2","grade_3","grade_4","grade_5","grade_6","grade_7","grade_8","grade_9","grade_10","grade_11","grade_12"
"1480321","None","Nonpublic Elementary and Secondary Schools","","Benhaven Individualized Transition Services","50 North Plains Highway","Wallingford","CT","06492","203-774-0008","203-774-0031","n/a","TVSP","","","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"1480161","None","Nonpublic Elementary and Secondary Schools","","Benhaven School","125 North Plains Industrial Road","Wallingford","CT","06492","203-793-1905","203-793-1909","","APSEP","","","0","1","1","1","1","1","1","1","1","1","1","1","1","1"
"8500161","None","Nonpublic Elementary and Secondary Schools","","Bennington School","192 Fairview Street","Bennington","VT","05201","802-447-1557","","","APSEP","","","","","","","","","","","","","","","",""
"0110121","None","Nonpublic Elementary and Secondary Schools","","Bess & Paul Sigel Hebrew Academy","53 Gabb Road","Bloomfield","CT","06002","860-243-8333","860-243-3986","","Standard Non-Public","","","1","1","1","1","1","1","1","1","1","1","0","0","0","0"
"0140421","None","Nonpublic Elementary and Secondary Schools","","Bhcare - Branford","13 Sycamore Way","Branford","CT","06405","860-736-2601 x1308","203-736-2641","","TVSP","","","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"1351421","None","Nonpublic Elementary and Secondary Schools","","Bi-Cultural Day School","2186 High Ridge Road","Stamford","CT","06903","203-329-2186","203-329-0464","","Standard Non-Public","","","1","1","1","1","1","1","1","1","1","1","0","0","0","0"
"1510121","None","Nonpublic Elementary and Secondary Schools","","Blessed Sacrament School","386 Robinwood Road","Waterbury","CT","06708","203-756-5313","203-756-5313","","Standard Non-Public","","","1","1","1","1","1","1","1","1","1","1","0","0","0","0"
"8250261","None","Nonpublic Elementary and Secondary Schools","","Boston Higashi School, Inc.","800 North Main Street","Randolph","MA","02368","781-961-0800","","","APSEP","","","","","","","","","","","","","","","",""
"8440461","None","Nonpublic Elementary and Secondary Schools","","Bradley  School-East Providence","1011 Veterans Memorial Parkway","East Providence","RI","02915","401-432-1411","","","APSEP","","","","","","","","","","","","","","","",""
"8440861","None","Nonpublic Elementary and Secondary Schools","","Bradley School - Westerly","93 Tower Street","Westerly","RI","02891","401-637-4205","","","APSEP","","","","","","","","","","","","","","","",""
"0860221","None","Nonpublic Elementary and Secondary Schools","","Bradley School-New London Regional","26 Maple Avenue","Uncasville","CT","06382","860-367-0851","860-367-0889","www.bradleyschool.org/Bradley-school-new-london-regional.html","Standard Non-Public","","","0","1","1","1","1","1","1","1","1","1","1","1","1","1"
"8255061","None","Nonpublic Elementary and Secondary Schools","","Brandon School and Residential Treatment Center","27 Winter Street","Natick","MA","025xx","508-655-6400","","","APSEP","","","","","","","","","","","","","","","",""
"8500861","None","Nonpublic Elementary and Secondary Schools","","Brattleboro Retreat (Retreat Healthcare) Meadows Educational Center","1 Anna Marsh Lane Box 803","Brattleboro","VT","05301","802-258-4315","","","APSEP","","","","","","","","","","","","","","","",""
"0151921","None","Nonpublic Elementary and Secondary Schools","","Bridgeport Hope School","283 Lafayette Street","Bridgeport","CT","06604","203-333-6336","203-333-6336","","Standard Non-Public","","","0","1","1","1","1","1","1","1","1","1","0","0","0","0"
"0156421","None","Nonpublic Elementary and Secondary Schools","","Bridgeport International Academy","285 Lafayette Street","Bridgeport","CT","06604","203-334-3434","203-334-8651","www","Standard Non-Public","","","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
"8250361","None","Nonpublic Elementary and Secondary Schools","","Brightside School","2112 Riverdale Street","West Springfield","MA","01089","413-788-7366","","","APSEP","","","","","","","","","","","","","","","",""
"0170282","None","Nonpublic Elementary and Secondary Schools","","Bristol ARC","621 Jerome Avenue /Box 726","Bristol","CT","06011","860-582-9102 x125","860-582-8280","","TVSP","","","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"0576121","None","Nonpublic Elementary and Secondary Schools","","Brunswick School","100 Maher Avenue","Greenwich","CT","06830","203-625-5842","203-625-5816","","Standard Non-Public","","","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"0950382","None","Nonpublic Elementary and Secondary Schools","","Buckingham Community Services","516 Vauxhall St. Suite 102","New London","CT","06320","860-447-9911","860-444-7036","","TVSP","","","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"8420211","None","Public Schools","","Bucks County Schools Intermediate Unit # 22","705 N Shady Retreat Road","Doylestown","PA","18901","215-348-2940","","","","","","","","","","","","","","","","","","",""
"0150417","None","Adult Education Providers","","Bullard Havens","500 Palisade Avenue","Bridgeport","CT","06610","203-579-6333","203-382-8466","","","","","","","","","","","","","","","","","",""
"8130111","None","Public Schools","","Butler High School","2011 Lumkin Road","Augusta","GA","30906","706-826-1132","","","","","","","","","","","","","","","","","","",""
"0640421","None","Nonpublic Elementary and Secondary Schools","","CARE of Connecticut Transitional Services","606 Farmington Avenue","Hartford","CT","06105","860-523-5318","860-232-3597","www.","TVSP","","","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"0840461","None","Nonpublic Elementary and Secondary Schools","","CCCD-Orange","339 Boston Post Road","Orange","CT","06477","203-799-4110","203-799-4129","","APSEP","","","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"0840561","None","Nonpublic Elementary and Secondary Schools","","CCCD-Wolf Harbor Rd.","95 Wolf Harbor Rd","Milford","CT","06461","203-882-8810","203-882-9468","","APSEP","","","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"0620521","None","Nonpublic Elementary and Secondary Schools","","CCCP: Odali","995 Sherman Avenue","Hamden","CT","06514","203-786-6403","","","Standard Non-Public","","","","","","","","","","","","","","","",""
"0156521","None","Nonpublic Elementary and Secondary Schools","","CCCP: Stars","350 Fairfield Ave., 3rd Floor","Bridgeport","CT","06604","203-334-6002","203-468-3514","","Standard Non-Public","","","","","","","","","","","","","","","",""
"0890461","None","Nonpublic Elementary and Secondary Schools","","CCMC School","300 John Downey Drive","New Britain","CT","06051","860-837-6412","860-224-6951","","APSEP","","","0","1","1","1","1","1","1","1","1","1","1","1","1","1"
"0800521","None","Nonpublic Elementary and Secondary Schools","","CT Christian Academy","601 Paddock Avenue","Meriden","CT","06457","860-347-6757","","www.Ctchristianacademy.net","Standard Non-Public","","","1","1","1","1","1","1","1","1","1","1","0","0","0","0"
"0640617","None","Adult Education Providers","","CT Puerto Rican Forum","95 Park Street","Hartford","CT","06106","860-247-3227","860-249-5769","","","","","","","","","","","","","","","","","",""
"0890182","None","Nonpublic Elementary and Secondary Schools","","CW Resources, Inc. School to Work Transition Services - New Britain","200 Myrtle Street","New Britain","CT","06053","860-229-7700","860-229-6847","","TVSP","","","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"0170621","None","Nonpublic Elementary and Secondary Schools","","CW Resources, Inc. School to Work Transition Services-Bristol","530 Birch Street","Bristol","CT","06010","860-583-0401","860-585-8071","","TVSP","","","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"0720121","None","Nonpublic Elementary and Secondary Schools","","CW Resources, Inc. School to Work Transition Services-Gales Ferry","39 Kings Highway","Ledyard","CT","06335","203-464-2437","860-464-2465","","TVSP","","","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"0880421","None","Nonpublic Elementary and Secondary Schools","","CW Resources, Inc. School to Work Transition Services-Naugatuck","259 Great Hill Rd","Naugatuck","CT","06770","203-723-4465","203-723-4280","","TVSP","","","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"1550121","None","Nonpublic Elementary and Secondary Schools","","CW Resources, Inc. School to Work Transition Services-West Hartford","17A Andover Drive","West Hartford","CT","06110","860-953-0747","860-953-1121","","TVSP","","","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"1650221","None","Nonpublic Elementary and Secondary Schools","","Calvary Christain School","470 Elm Street","Windsor Locks","CT","06096","860-623-0319","","","Standard Non-Public","","","","","","","","","","","","","","","",""
"8420161","None","Nonpublic Elementary and Secondary Schools","","Camphill Special Schools, Inc","1784 Fairview Road","Glenmore","PA","19343","610-469-9236","","","APSEP","","","","","","","","","","","","","","","",""
"0966121","None","Nonpublic Elementary and Secondary Schools","","Canterbury School","101 Aspetuck Avenue","New Milford","CT","06776","860-210-3857","860-350-4425","","Standard Non-Public","","","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
"0640517","None","Adult Education Providers","","Capital Community College","950 Main Street","Hartford","CT","06103","860-906-5132","860-906-5110","www.ccc.commnet.edu","","","","","","","","","","","","","","","","",""
"8256061","None","Nonpublic Elementary and Secondary Schools","","Cardinal Cushing School at Hanover","405 Washington Street","Hanover","MA","02339","781-829-1209","","","APSEP","","","","","","","","","","","","","","","",""
"0150517","None","Adult Education Providers","","Career Resources","350 Fairfield Avenue","Bridgeport","CT","06604","203-953-3256","203-382-8466","","","","","","","","","","","","","","","","","",""
"0571421","None","Nonpublic Elementary and Secondary Schools","","Carmel Academy","270 Lake Avenue","Greenwich","CT","06830","203-863-9663","203-863-2076","","Standard Non-Public","","","1","1","1","1","1","1","1","1","1","1","0","0","0","0"
"0801221","None","Nonpublic Elementary and Secondary Schools","","Carver Academy School","262 Bee Street","Meriden","CT","06450","203-630-6509","","carverpreschool@innewlife.com","Standard Non-Public","","","0","1","1","1","1","1","0","0","0","0","0","0","0","0"
"0151721","None","Nonpublic Elementary and Secondary Schools","","Catholic Academy of Bridgeport St. Raphael Academy","324 Frank Street","Bridgeport","CT","06604","203-333-6818","203-336-9205","","Standard Non-Public","","","1","1","1","1","1","0","0","0","0","0","0","0","0","0"
"0620261","None","Nonpublic Elementary and Secondary Schools","","Cedarhurst School","871 Prospect Street","Hamden","CT","06517","203-764-9314","203-764-9321","","APSEP","","","0","0","0","0","0","0","0","1","1","1","1","1","1","1"
"0620382","None","Nonpublic Elementary and Secondary Schools","","Cedarhurst School Passage Program","871 Prospect Street","Hamden","CT","06517","203-764-9314","","","TVSP","","","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"8363361","None","Nonpublic Elementary and Secondary Schools","","Center for Discovery (Sullivan Diagnostic Treatment Center)","PO Box 840 Benmosche Road","Harris","NY","12742","845-794-1400","","","APSEP","","","","","","","","","","","","","","","",""
"8250282","None","Nonpublic Elementary and Secondary Schools","","Center of Hope Day Habilitation","1 North Street","Southbridge","MA","01550","508-764-4085","508-765-0255","","TVSP","","","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"1310421","None","Nonpublic Elementary and Secondary Schools","","Central Christian Academy","1505 West Street","Southington","CT","06489","860-621-6701","860-276-9584","","Standard Non-Public","","","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"8290121","None","Nonpublic Elementary and Secondary Schools","","Change Academy Lake of the Ozarks (CALO)","130 CALO Lane","Lake Ozark","MO","65049","877-879-2256","","caloteens.com","APSEP","","","0","0","0","0","0","0","0","0","0","1","1","1","1","1"
"0930661","None","Nonpublic Elementary and Secondary Schools","","Chapel Haven","1040 Whalley Avenue","New Haven","CT","06515","203-397-1714","203-392-3698","","APSEP","","","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"0930782","None","Nonpublic Elementary and Secondary Schools","","Chapel Haven - Vocational Transition Program","1040 Whitney Avenue","New Haven","CT","06515","203-397-1714","","","TVSP","","","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"0840161","None","Nonpublic Elementary and Secondary Schools","","Charles F. Hayden School at Boys & Girls Village","528 Wheelers Farms Road","Milford","CT","06461","203-877-0300","203-876-0076","","APSEP","","","0","1","1","1","1","1","1","1","1","1","1","1","1","1"
"1326021","None","Nonpublic Elementary and Secondary Schools","","Charter Oak Education Inc.","1294 Blue Hills Road, Suite C","Bloomfield","CT","06002","860-643-1100","860-643-5665","www","Standard Non-Public","","","0","0","0","0","1","1","1","1","1","1","1","1","1","1"
"1516321","None","Nonpublic Elementary and Secondary Schools","","Chase Collegiate","565 Chase Parkway","Waterbury","CT","06708","203-236-9501","203-236-9503","","Standard Non-Public","","","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"0256121","None","Nonpublic Elementary and Secondary Schools","","Cheshire Academy","10 Main Street","Cheshire","CT","06410","203-272-5396","203-250-7209","","Standard Non-Public","","","0","0","0","0","0","0","0","0","0","1","1","1","1","1"
"1511221","None","Nonpublic Elementary and Secondary Schools","","Children's Community School","31 Wolcott Street","Waterbury","CT","06702","203-575-0659","","","Standard Non-Public","","","1","1","1","1","1","1","1","0","0","0","0","0","0","0"
"1486121","None","Nonpublic Elementary and Secondary Schools","","Choate Rosemary Hall","333 Christian Street","Wallingford","CT","06492","203-697-2385","203-697-2512","","Standard Non-Public","","","0","0","0","0","0","0","0","0","0","0","1","1","1","1"
"0670121","None","Nonpublic Elementary and Secondary Schools","","Christ Lutheran School","330 Church Street","Amston","CT","06231","860-228-5134","860-228-1062","","Standard Non-Public","","","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1440421","None","Nonpublic Elementary and Secondary Schools","","Christian Heritiage School","575 White Plains Road","Trumbull","CT","06611","203-261-6230","203-452-1531","","Standard Non-Public","","","0","1","1","1","1","1","1","1","1","1","1","1","1","1"
"0180321","None","Nonpublic Elementary and Secondary Schools","","Christian Life Academy","133 Junction Road","Brookfield","CT","06804","203-775-5191","203-775-5567","","Standard Non-Public","","","1","1","1","1","1","1","1","1","1","1","0","0","0","0"
"8190161","None","Nonpublic Elementary and Secondary Schools","","Clarinda Academy","1820 North 16th Street","Clarinda","IA","51632","712-542-3103","","","APSEP","","","","","","","","","","","","","","","",""
"0640717","None","Adult Education Providers","","Co-opportunity Inc.","20-28 Sargent Street","Hartford","CT","06106","860-236-3617","860-808-1757","","","","","","","","","","","","","","","","","",""
"0931621","None","Nonpublic Elementary and Secondary Schools","","Cold Spring School","263 Chapel Street","New Haven","CT","06513","203-787-1584","203-787-9444","","Standard Non-Public","","","1","1","1","1","1","1","1","1","0","0","0","0","0","0"
"8250421","None","Nonpublic Elementary and Secondary Schools","","College Internship Program - The Berkshire Center","18 Park Street","Lee","MA","01238","413-243-2576","","","Standard Non-Public","","","","","","","","","","","","","","","",""
"0340821","None","Nonpublic Elementary and Secondary Schools","","Colonial Hills Christian Academy","40 Stadley Rough Road","Danbury","CT","06811","203-794-9399","203-794-9399","","Standard Non-Public","","","","","","","","","","","","","","","",""
"0770161","None","Nonpublic Elementary and Secondary Schools","","Community Child Guidance Clinic School","317 North Main Street","Manchester","CT","06042","860-643-2101","860-645-1470","","APSEP","","","1","1","1","1","1","1","1","1","1","1","0","0","0","0"
"0720382","None","Nonpublic Elementary and Secondary Schools","","Community Enterprises, Inc.","1649 Route 12","Gales Ferry","CT","06335","860-464-7221","860-464-7223","","TVSP","","","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"0950161","None","Nonpublic Elementary and Secondary Schools","","Connecticut College Children's Program","75 Nameaug Ave","New London","CT","06320","860-439-2920","860-439-5317","","APSEP","","","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1610521","None","Nonpublic Elementary and Secondary Schools","","Connecticut Friends School","317 New Canaan Road","Wilton","CT","06897","203-762-9860","203-834-9640","www","Standard Non-Public","","","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0740161","None","Nonpublic Elementary and Secondary Schools","","Connecticut Junior Republic","550 Goshen Road","Litchfield","CT","06759","860-567-9423","860-567-2670","","APSEP","","","0","0","0","0","0","1","1","1","1","1","1","1","1","1"
"0576221","None","Nonpublic Elementary and Secondary Schools","","Convent of the Sacred Heart","1177 King Street","Greenwich","CT","06831","203-532-3532","203-531-5206","","Standard Non-Public","","","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"1020221","None","Nonpublic Elementary and Secondary Schools","","Cornerstone Baptist Academy","P.O. BOx 25, 5 Rocky Hollow Rd","North Stonington","CT","06359","860-535-0208","","","Standard Non-Public","","","0","1","1","1","1","1","1","1","1","1","1","1","1","1"
"8440221","None","Nonpublic Elementary and Secondary Schools","","Cornerstone School","665 Dyer Avenue","Cranston","RI","02920","401-942-2388","","www.accesspointri.org/","APSEP","","","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"1080182","None","Nonpublic Elementary and Secondary Schools","","Corporation for Public Management","75 Summit Street","Manchester","CT","06040","413-536-5403 x216","413-420-0029","","TVSP","","","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"1590121","None","Nonpublic Elementary and Secondary Schools","","Corpus Christi School","581 Silas Deane Highway","Wethersfield","CT","06109","860-529-5487","860-257-9106","","Standard Non-Public","","","1","1","1","1","1","1","1","1","1","1","0","0","0","0"
"0325121","None","Nonpublic Elementary and Secondary Schools","","Covenant Academy","Box 231","Coventry","CT","06238","860-871-4169","","","Standard Non-Public","","","","","","","","","","","","","","","",""
